,background
10592.537251772897,0.0020344839058899053
11885.022274370165,0.001172407095208276
13335.21432163324,0.038495921571305734
14962.35656094436,0.05215954060135888
16788.040181225588,0.20811345870999393
18836.49089489802,0.8516353442778404
21134.890398366435,2.7058507332683237
23713.737056616552,1.6251164440679893
26607.25059798814,4.343104965608545
29853.82618917957,11.925380803488887
33496.54391578279,5.3526146905160665
37583.74042884436,4.565027346742376
42169.65034285822,5.2447513427265235
47315.12589614812,3.1400723866773745
53088.444423098794,2.57097794005972
59566.214352901094,2.4914542820312064
66834.39175686135,2.2307758481101985
74989.42093324558,2.625307036634986
84139.51416451964,2.0105350715382073
94406.08762859226,1.9894003187319598
105925.37251772897,1.2655075296994127
118850.22274370166,1.265062546376818
133352.1432163324,0.9522781875462343
149623.56560944358,0.7600427277863062
167880.4018122559,0.5359226864142812
188364.9089489802,0.5913744120374389
211348.90398366432,0.331765929055436
237137.37056616554,0.2645225306595975
266072.5059798814,0.17406589326662925
298538.26189179573,0.12172178817247215
334965.43915782793,0.09963949488717105
375837.40428844356,0.07378379601149021
421696.5034285823,0.05061653359350515
473151.2589614813,0.0444786510652051
530884.4442309879,0.03067843127521286
595662.1435290109,0.020212104391333696
668343.9175686135,0.01666137535359269
749894.2093324559,0.00871220400498629
841395.1416451965,0.007565560720856013
944060.8762859226,0.006408500102601522
1059253.7251772897,0.0032795858168412906
1188502.2274370189,0.002391935819389346
1333521.432163324,0.0013204091158485198
1496235.6560944358,0.0013939559693341153
1678804.018122559,0.0007938678742647198
1883649.089489802,0.0005135991607687629
2113489.0398366475,0.0004606003008973403
2371373.7056616554,0.0002836302342785757
2660725.059798814,0.00021127628025396916
2985382.618917957,0.00011515079569335285
3349654.3915782794,0.00010255579356055478
3758374.0428844434,7.195044979368959e-05
4216965.034285823,4.9379601335886036e-05
4731512.589614812,2.783695995844937e-05
5308844.442309879,2.730194715638845e-05
5956621.435290109,1.9140102821779692e-05
6683439.175686149,1.8601846207388917e-05
7498942.093324558,7.949607706336792e-06
8413951.416451965,2.6896798317466164e-06
9440608.762859225,2.5661747571348315e-06
