,nu_e,nu_mu,nu_tau
10592.537251772897,0.0,0.0,0.0
11885.022274370189,0.0,0.0,0.0
13335.21432163324,0.0006502339926260957,0.0,0.0
14962.35656094436,0.0016550299958049085,0.0,0.00016386538301005246
16788.040181225588,0.005214048978119189,0.0002306889441464569,0.0009095542641133162
18836.49089489802,0.02206614132591116,0.001209858628907234,0.002557627376411443
21134.890398366475,0.04313646605810931,0.004113050127791918,0.009679128508004864
23713.737056616552,0.09363171614388012,0.006964184177629545,0.016493668027973644
26607.25059798814,0.158180185630313,0.013907242070439654,0.04691135929859581
29853.82618917957,0.2590696017053891,0.030708656879316377,0.07840526432930969
33496.54391578279,0.3902205836902172,0.054081762475966084,0.13114139853196122
37583.74042884443,0.5537046550762906,0.08237426695815861,0.22634012857964111
42169.65034285822,0.774678142692856,0.12967245000192235,0.341698482769476
47315.12589614812,1.092295892979131,0.21692461436597205,0.5070056230898896
53088.444423098794,1.6160331450599066,0.2910944497047742,0.6878998568895438
59566.214352901094,2.11492615822131,0.45236749942719773,0.9611266637819709
66834.39175686149,2.8269413325943495,0.6542749713366703,1.425660721311512
74989.42093324558,3.4409509304186345,0.8911181398606428,1.7512501140790602
84139.51416451964,4.221090935729468,1.235720070365256,2.431535328003744
94406.08762859226,5.163777288336692,1.6503956414162724,2.9693246016616563
105925.37251772897,6.226608520538089,2.0319055627764318,3.815819357980573
118850.22274370189,6.998539622538851,2.4922523602782074,4.610028085848417
133352.1432163324,8.131027772319317,3.141903028589347,5.562448807954925
149623.56560944358,8.956552396274985,4.035818019867509,6.332682532780115
167880.4018122559,9.819176806150171,4.684120198537978,7.785107235871236
188364.9089489802,10.647793446897163,5.759203663952943,8.420234440785176
211348.90398366476,11.452863413148565,6.551858111483467,9.57594854639656
237137.37056616554,12.527706258913218,7.890312373701703,10.71077366992081
266072.5059798814,13.476125704229883,8.740547646910668,11.707366834861588
298538.26189179573,14.8548831701884,10.040159897699054,13.427793023507617
334965.43915782793,15.39381147991704,10.869736079922923,14.414752603550564
375837.4042884443,16.953660702158288,12.413542465085959,15.142567111936218
421696.5034285823,17.959391146112477,13.595216013342931,17.573067738498633
473151.2589614813,19.047812369078297,14.734294388445301,17.929177601534995
530884.4442309879,20.32773776510393,16.42483938186232,19.685143008973327
595662.1435290109,21.891248247284192,18.27936547798768,20.522049247315135
668343.9175686149,22.323655216961072,20.198013424196105,22.45261055664118
749894.2093324559,23.61969747404438,21.118502508294995,24.28165229509829
841395.1416451965,24.28644849555876,22.76123138048268,25.732885420612526
944060.8762859226,27.328052058481553,23.854133089715905,28.6007046824967
1059253.7251772897,28.536929179515568,26.830585973748203,29.829536443244027
1188502.2274370189,30.132170129360166,28.085885996256,31.78735211636029
1333521.432163324,31.41380320076693,30.333657292288752,34.76869554406081
1496235.6560944358,33.86186512933889,31.236377260006492,35.30845602550607
1678804.018122559,36.81005892601514,34.365680812109694,36.69030494465168
1883649.089489802,37.51907007089669,34.79099713655265,41.575833378123285
2113489.0398366475,40.20880968450312,37.169922365636516,43.29929958391751
2371373.7056616554,42.66698257359246,38.44596538682937,46.08421015444494
2660725.059798814,45.55745209779376,43.40426889087822,42.30023522020162
2985382.618917957,45.882946153913956,43.31550149121627,48.86254556598686
3349654.3915782794,52.832331123703966,47.99080696323433,53.683506027123684
3758374.0428844434,56.90598011148615,49.65085825250234,55.113947760905916
4216965.034285823,64.66661614121477,51.26039374428122,56.7901621986239
4731512.589614812,77.53462145825638,53.83326548191693,61.96217338297034
5308844.442309879,132.25834298779228,56.81785547624887,64.72307784835866
5956621.435290109,883.8434804994557,58.82736542088854,71.14368846963258
6683439.175686163,945.0316886733862,60.72858793975819,76.29679212537076
7498942.093324558,140.47117954124255,65.04822467922646,73.93711424181218
8413951.416451965,88.45789442841539,64.65554668262739,80.66287395028961
9440608.762859225,84.89621456943398,71.6473797573797,84.83247577181879
