,events
10592.537251772897,0
11885.022274370165,0
13335.21432163324,0
14962.35656094436,0
16788.040181225588,0
18836.49089489802,1
21134.890398366435,2
23713.737056616552,3
26607.25059798814,13
29853.82618917957,7
33496.54391578279,6
37583.74042884436,12
42169.65034285822,7
47315.12589614812,9
53088.444423098794,9
59566.214352901094,6
66834.39175686135,9
74989.42093324558,8
84139.51416451964,7
94406.08762859226,10
105925.37251772897,10
118850.22274370166,8
133352.1432163324,9
149623.56560944358,6
167880.4018122559,4
188364.9089489802,2
211348.90398366432,2
237137.37056616554,1
266072.5059798814,2
298538.26189179573,1
334965.43915782793,1
375837.40428844356,2
421696.5034285823,1
473151.2589614813,0
530884.4442309879,1
595662.1435290109,0
668343.9175686135,1
749894.2093324559,0
841395.1416451965,0
944060.8762859226,1
1059253.7251772897,0
1188502.2274370189,1
1333521.432163324,0
1496235.6560944358,0
1678804.018122559,0
1883649.089489802,0
2113489.0398366475,1
2371373.7056616554,0
2660725.059798814,0
2985382.618917957,0
3349654.3915782794,0
3758374.0428844434,0
4216965.034285823,0
4731512.589614812,1
5308844.442309879,0
5956621.435290109,0
6683439.175686149,0
7498942.093324558,0
8413951.416451965,0
9440608.762859225,0
