Mphi g si norm
2.211909641146408756e+00 1.299491532771330582e-03 2.508164512912736122e+00 5.669628178251016948e+00
1.719740262626734406e+00 5.083888111764478523e-02 2.632221545542812180e+00 5.996527104248913886e+00
2.263675062545079442e+00 4.350497928032182049e-02 2.572483989264679138e+00 8.095550350861177691e+00
2.277173361540470786e+00 2.568743672195135108e-01 2.469669063985734603e+00 1.117708028297017542e+01
2.136165869117521598e+00 6.698153399498590899e-01 2.428954049931883574e+00 1.994989453760433307e+01
2.099578677306264574e+00 7.464523090000429887e-04 2.495577722426659761e+00 9.876972078781479425e+00
1.958299353579989521e+00 1.053044437406713135e-02 2.542935466633823527e+00 8.172613042686116103e+00
1.872547424723457477e+00 2.773773215332623904e-03 2.613640655607803343e+00 5.512951402395536604e+00
2.326718850602302879e+00 2.782248435031508399e-03 2.535238763850328869e+00 2.484106819248709908e+00
2.045653279799123148e+00 1.829059604935406305e-04 2.524885101834715595e+00 4.895175566675918688e+00
2.283536660749971858e+00 1.108289538001067456e-02 2.516985418240173189e+00 1.608010601245502658e+00
1.964115328639783664e+00 5.365277373875412294e-03 2.563931860912027183e+00 3.754793953056724476e+00
1.996179081809854816e+00 2.109085882440356590e-03 2.564359775597474744e+00 1.043784805188219345e+01
2.344004743988329142e+00 1.497812555680209656e-01 2.580553048337824062e+00 1.832476658491929555e+01
1.819502131873882211e+00 3.494523060050365448e-02 2.543233939647222552e+00 1.871600139818534103e+01
2.497147354935000507e+00 6.938081339774072615e-04 2.472949884811482590e+00 1.373644880410634705e+01
2.262167374586510515e+00 1.534724708344628998e-04 2.434987929456944311e+00 3.113080898880694836e+00
2.286148614253253886e+00 2.778900294146637766e-04 2.618531206515898546e+00 7.317616096637020284e+00
1.879407157588691701e+00 8.533450788084022409e-02 2.556038766801416617e+00 1.771266166483938420e+01
1.994403570270098180e+00 1.152934880657574849e-03 2.451235451839158141e+00 9.976346758609144771e+00
1.912827249769035953e+00 6.678086735568010326e-04 2.550905205324641489e+00 1.836186334713799795e+01
1.977640478558903903e+00 1.023131756936322689e-02 2.593366718287660078e+00 1.237472043006984990e+01
2.213688401858893151e+00 3.676886152739775124e-04 2.460118031268678340e+00 1.011697420123900670e+01
2.383869756544384710e+00 4.453293194778573660e-02 2.449271312100014697e+00 1.913643145715413851e+01
2.233543537323492867e+00 1.648604614096949028e-02 2.554797304063817442e+00 8.657867690762005353e+00
2.094716163962324629e+00 1.753511233703698713e-01 2.451081514563184349e+00 1.359983134555739426e+01
1.985998264946314595e+00 2.082726969419100137e-03 2.491633694288664991e+00 8.587029949976813015e+00
