logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.358301377238652549e+03 -3.364294091525343902e+03 1.364999999999999991e+00
-3.364294091525343902e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.354223128265789910e+03 -3.360218342552481317e+03 1.850000000000000089e+00
-3.360201505600088240e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.298454235216000598e+03 -3.304451949502692059e+03 1.429999999999999938e+00
-3.304451949502692059e+03 2.814047661903314790e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -3.255995043032427020e+03 -3.261995257319118537e+03 1.665000000000000036e+00
-3.261995257319118537e+03 3.727428872456145825e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -3.250721323600501364e+03 -3.256724037887192480e+03 2.250000000000000056e-01
-3.256718913696199706e+03 1.329603579354061615e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -3.159304102184547901e+03 -3.165309316471239072e+03 2.349999999999999867e-01
-3.165309316471239072e+03 4.581209209236487823e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -3.127917648189292777e+03 -3.133925362475984002e+03 5.400000000000000355e-01
-3.133925362475984002e+03 4.515928011783545060e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.115772653947536128e+03 -3.121782868234227408e+03 9.749999999999999778e-01
-3.121782862906026367e+03 3.596976841602017139e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -3.039919596721750167e+03 -3.045932311008441502e+03 9.449999999999999512e-01
-3.045932311008441502e+03 3.886639085018148876e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.036403069870841136e+03 -3.042418284157532526e+03 1.514999999999999902e+00
-3.042388942110730113e+03 2.956268984175748571e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.020688812148819579e+03 -3.026706526435511023e+03 3.499999999999999778e-01
-3.026706526280909657e+03 2.619552606933839556e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -2.914273679636929501e+03 -2.920293893923620999e+03 7.399999999999999911e-01
-2.920293893923620999e+03 5.062558749184502460e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -2.912939288863332877e+03 -2.918962003150023975e+03 1.344999999999999973e+00
-2.918727739522860702e+03 4.046841039379633997e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -2.890648926191347073e+03 -2.896674140478038225e+03 8.549999999999999822e-01
-2.896674140477774017e+03 3.491234615265131680e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -2.881392675981304819e+03 -2.887420390267996027e+03 1.870000000000000107e+00
-2.887420294520691641e+03 9.381841878570062576e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -2.880138464819930959e+03 -2.886168679106622221e+03 1.030000000000000027e+00
-2.885917109552417969e+03 9.554904804270112351e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -2.879275051589739633e+03 -2.885307765876430949e+03 1.254999999999999893e+00
-2.884873578820774128e+03 3.960832346092939993e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -2.877297299608391313e+03 -2.883332513895082684e+03 5.550000000000000488e-01
-2.883138467244149069e+03 4.383142124860633260e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.876328613945848247e+03 -2.882366328232539672e+03 6.949999999999999512e-01
-2.881986506635737896e+03 4.765336403545322952e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -2.860202336804671631e+03 -2.866242551091363111e+03 7.850000000000000311e-01
-2.866242550945989024e+03 8.625634453358138387e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.829867553653238701e+03 -2.835910267939930236e+03 1.135000000000000009e+00
-2.835910267939930236e+03 1.755311385131432900e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -2.793892822226883709e+03 -2.799938036513574843e+03 1.804999999999999938e+00
-2.799938036513574843e+03 2.859743460018375671e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -2.754808637306792207e+03 -2.760856351593483396e+03 1.875000000000000000e+00
-2.760856351593483396e+03 2.406321416385389256e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.751862576400777471e+03 -2.757912790687468714e+03 8.149999999999999467e-01
-2.757861453471107325e+03 2.302242842241344434e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.728642424808774649e+03 -2.734695139095465947e+03 8.050000000000000488e-01
-2.734695139095379091e+03 2.761458319617210577e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -2.690023192407043098e+03 -2.696078406693734451e+03 1.905000000000000027e+00
-2.696078406693734451e+03 2.427877270983246660e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -2.684136668032678244e+03 -2.690194382319369652e+03 4.050000000000000266e-01
