weight logl Mphi g si norm
0.000000000000000000e+00 -3.358301377238652549e+03 8.089030925602017419e+01 3.706813213067529644e-01 3.340325971882822209e+00 1.196255688694084363e+01
0.000000000000000000e+00 -3.354223128265789910e+03 7.562572126785599380e+01 1.225201556815336658e-03 3.410299988242034619e+00 1.225655208597908796e+01
0.000000000000000000e+00 -3.298454235216000598e+03 9.801491950668953734e+01 3.385054469692829748e-01 3.023152521881113941e+00 1.181443816416981640e+01
0.000000000000000000e+00 -3.255995043032427020e+03 8.194909433388765763e+01 7.864742846053124348e-01 3.110533366085460383e+00 1.147411153757597013e+01
0.000000000000000000e+00 -3.250721323600501364e+03 7.447119303026413206e+01 3.417952912061010193e-03 3.187587557123996884e+00 1.104900347530518445e+01
0.000000000000000000e+00 -3.159304102184547901e+03 7.652886559865841321e+01 1.456067369925153898e-01 3.029688943305338000e+00 1.376613240206698663e+01
0.000000000000000000e+00 -3.127917648189292777e+03 5.607804531691308370e+01 4.053588940157874798e-02 3.237863231476449943e+00 3.422581535704388500e+00
0.000000000000000000e+00 -3.115772653947536128e+03 8.654895594329211406e+01 7.342669366277604359e-02 2.888286404966177390e+00 1.313251074425611620e+00
0.000000000000000000e+00 -3.039919596721750167e+03 6.227875063478922613e+01 8.040066293723776431e-03 3.047664601391969708e+00 1.243413067962274710e+01
0.000000000000000000e+00 -3.036403069870841136e+03 4.027490906504367274e+01 2.102685896324819025e-03 3.367703704946485299e+00 5.885947586087526773e+00
0.000000000000000000e+00 -3.020688812148819579e+03 4.059316006149468592e+01 5.623721946125074264e-04 3.341882616938846695e+00 5.256396209224405425e+00
0.000000000000000000e+00 -2.914273679636929501e+03 6.408141995449372530e+01 1.024848980870194173e-03 2.907881704714064597e+00 1.774230911161039614e+01
0.000000000000000000e+00 -2.912939288863332877e+03 3.004991217377540735e+01 7.932346869830630759e-04 3.420390408155801421e+00 1.578200233733649149e+01
0.000000000000000000e+00 -2.890648926191347073e+03 3.852378365372882030e+01 2.455981365000414317e-03 3.234463127263683901e+00 1.354191862652792899e+01
0.000000000000000000e+00 -2.881392675981304819e+03 4.966730279660925618e+01 1.186247244763302591e-03 3.053024559176169106e+00 9.983228262112032070e+00
0.000000000000000000e+00 -2.880138464819930959e+03 5.379778631095773989e+01 7.020956505245434104e-03 2.997398801523404543e+00 1.715025716869054051e+01
