weight logl Mphi g si norm
0.000000000000000000e+00 -3.358301377238652549e+03 9.738556133021242234e-01 8.922501756024902031e-01 8.935506479218815468e-01 5.769766782600443955e-01
0.000000000000000000e+00 -3.354223128265789910e+03 9.655592828818739815e-01 2.720518849939423944e-01 9.401999921613564126e-01 5.924501097883730916e-01
0.000000000000000000e+00 -3.298454235216000598e+03 9.975282111487548953e-01 8.823914153525359572e-01 6.821016812540758867e-01 5.691809560089376996e-01
0.000000000000000000e+00 -3.255995043032427020e+03 9.754587517897282956e-01 9.739211317599815176e-01 7.403555773903069959e-01 5.512690282934721298e-01
0.000000000000000000e+00 -3.250721323600501364e+03 9.636627605010292807e-01 3.834415188257777052e-01 7.917250380826645895e-01 5.288949197529044799e-01
0.000000000000000000e+00 -3.159304102184547901e+03 9.670227865762220931e-01 7.907953673894916324e-01 6.864592955368921112e-01 6.719017053719467114e-01
0.000000000000000000e+00 -3.127917648189292777e+03 9.286926542420270714e-01 6.519599265879865158e-01 8.252421543176333696e-01 1.275042913528625643e-01
0.000000000000000000e+00 -3.115772653947536128e+03 9.821912216482231450e-01 7.164634931906559423e-01 5.921909366441182598e-01 1.648689865397956478e-02
0.000000000000000000e+00 -3.039919596721750167e+03 9.416215762145511148e-01 4.763149074259102056e-01 6.984430675946464717e-01 6.017963515590919465e-01
0.000000000000000000e+00 -3.036403069870841136e+03 8.878856015094750420e-01 3.306936004253561157e-01 9.118024699643235698e-01 2.571551361098698418e-01
0.000000000000000000e+00 -3.020688812148819579e+03 8.888559138440218499e-01 1.875059599264480292e-01 8.945884112925646114e-01 2.240208531170739814e-01
0.000000000000000000e+00 -2.914273679636929501e+03 9.451392206675262031e-01 2.526649683950532577e-01 6.052544698093762499e-01 8.811741637689681772e-01
0.000000000000000000e+00 -2.912939288863332877e+03 8.517812190777318548e-01 2.248504242514334228e-01 9.469269387705343544e-01 7.780001230177100435e-01
0.000000000000000000e+00 -2.890648926191347073e+03 8.824055283422310714e-01 3.475562668074093642e-01 8.229754181757893416e-01 6.601009803435752277e-01
0.000000000000000000e+00 -2.881392675981304819e+03 9.137269699353698371e-01 2.685438041806531562e-01 7.020163727841127743e-01 4.728014874795806177e-01
0.000000000000000000e+00 -2.880138464819930959e+03 9.235751174180689693e-01 4.615990706482709927e-01 6.649325343489362883e-01 8.500135351942389450e-01
0.000000000000000000e+00 -2.879275051589739633e+03 9.480980413805938367e-01 9.492524312307556444e-01 5.753920236036206282e-01 3.020488130314133990e-01
0.000000000000000000e+00 -2.877297299608391313e+03 9.445817414639119391e-01 1.800038728547281863e-01 5.868987451621771045e-01 5.227162931047273364e-01
0.000000000000000000e+00 -2.876328613945848247e+03 8.890871511786615500e-01 9.104666488467869634e-01 7.894923815754574248e-01 4.384689478189951473e-02
0.000000000000000000e+00 -2.860202336804671631e+03 8.719251284356738241e-01 2.017730289317757331e-01 8.408633363568944752e-01 7.404815295167780365e-01
0.000000000000000000e+00 -2.829867553653238701e+03 8.364515874588658306e-01 8.939706556357039924e-01 9.423078270089958464e-01 8.355401912329507574e-02
0.000000000000000000e+00 -2.793892822226883709e+03 9.373739485373639990e-01 3.562236052408634945e-01 5.694722746204421426e-01 8.690445950557543764e-01
0.000000000000000000e+00 -2.754808637306792207e+03 8.523266624818361947e-01 9.476298919451611180e-01 8.451046924978926622e-01 3.862301194141475325e-01
0.000000000000000000e+00 -2.751862576400777471e+03 8.552628725192359394e-01 7.322729515785608712e-01 8.336742312827882806e-01 8.938148101706254733e-01
0.000000000000000000e+00 -2.728642424808774649e+03 8.907229531371823050e-01 4.686436901643272757e-01 7.001463877202183106e-01 3.956514255251276646e-01
0.000000000000000000e+00 -2.690023192407043098e+03 9.498609006282695555e-01 8.206912259540855015e-02 4.795453318028286560e-01 6.036830417453503683e-01
0.000000000000000000e+00 -2.684136668032678244e+03 9.429366744445804027e-01 9.597266686083787413e-01 4.998982004012569869e-01 2.303729837364819621e-01
0.000000000000000000e+00 -2.660674617057910382e+03 9.648847706579125605e-01 6.341407137530269411e-01 4.188378459276452803e-01 5.467839872786924849e-01
0.000000000000000000e+00 -2.644946172694400957e+03 8.589456866928842915e-01 9.798271131623308428e-01 7.657599634011026390e-01 6.798248413522723910e-01
0.000000000000000000e+00 -2.583309616690792154e+03 9.168914766595622767e-01 3.324742433362359861e-02 5.436207048241531448e-01 5.541221804809881579e-02
0.000000000000000000e+00 -2.565832384164095856e+03 9.872942434962669322e-01 6.909672576364727092e-01 3.137246402363332853e-01 8.341106244156344385e-01
0.000000000000000000e+00 -2.559695811851714097e+03 8.106207998485354116e-01 3.158048581507628683e-01 8.771550165613453132e-01 6.080293713890871921e-02
0.000000000000000000e+00 -2.553461526587954268e+03 9.048348958388309216e-01 1.163874544178168380e-01 5.712677641330722311e-01 9.095448678663282660e-01
0.000000000000000000e+00 -2.516583504366078159e+03 9.016443433186134282e-01 3.527721387790891949e-01 5.665597164506542827e-01 5.092633892913945859e-01
0.000000000000000000e+00 -2.513015937036781906e+03 9.315489793165645516e-01 4.625804973814213739e-01 4.671356130458859113e-01 5.408716901135073307e-01
0.000000000000000000e+00 -2.456658943830391763e+03 9.539383336067932539e-01 3.099599019334764449e-01 3.752579668255804357e-01 7.118112233456409532e-01
