norm si1 si2 E_break
2.302590479387726763e+00 1.492907847467940252e+00 3.122625833482892688e+00 3.718473641964220587e+04
1.898636807139971516e+00 1.392400796843701993e+00 2.998273080989325212e+00 3.456672151720108377e+04
2.124422089021979154e+00 1.075258309821075065e+00 3.095868460886991969e+00 3.477157061774959584e+04
2.906550516907616011e+00 1.211228214550861493e+00 2.854470090957880402e+00 3.888344747973709309e+04
2.272689814590416635e+00 1.385225440006369935e+00 3.080504378092241424e+00 3.779347368431361974e+04
2.170534239958127998e+00 1.330468247879786903e+00 3.004997186753910920e+00 2.838737600190142621e+04
3.574868393837429714e+00 1.956506534365749284e+00 3.496504585662675524e+00 8.330993674814439146e+04
2.253893466395607614e+00 1.248364931039819270e+00 3.047379098976310985e+00 4.217594009261190513e+04
2.308811038919629244e+00 1.055909890453231803e+00 3.136179260830303406e+00 3.771353127289116674e+04
1.582692778200458283e+00 1.395608595290994236e+00 3.215996150718901880e+00 2.672502036998528638e+04
2.226639155273771653e+00 1.598967608618412140e+00 3.381030751441495230e+00 4.698560293761631328e+04
2.077336107020836931e+00 1.071701789329042809e+00 3.061106219362968339e+00 3.600040868316420529e+04
2.132808156806980104e+00 1.077354006771573225e+00 3.302724881318515049e+00 3.761811600294291566e+04
2.355264374878396350e+00 1.796663362727063173e+00 3.094739864950457164e+00 4.428957849056948180e+04
2.247644354966577218e+00 1.570389152218593098e+00 2.985447193388808707e+00 3.897420299430468731e+04
2.351074480323857685e+00 1.685283152248804761e+00 2.918456399242668198e+00 3.514892119260739855e+04
2.259048268364278300e+00 1.612104065176735324e+00 2.912512490225823925e+00 2.621391799411299507e+04
2.376355286769796571e+00 1.288350582771126573e+00 3.293020841119602693e+00 4.005835872309951810e+04
2.235282635203096557e+00 1.447850111467721579e+00 3.276834708164998666e+00 3.757113132359805604e+04
2.108306142892677482e+00 1.538617565349944094e+00 3.350259525401398264e+00 4.160688810162455047e+04
2.097828738814186966e+00 1.159501425151741261e+00 3.319492954823040520e+00 3.533496639408245392e+04
2.366163037673217673e+00 1.286541423122727679e+00 2.967265819625995338e+00 3.876335505147177901e+04
2.439786916719048904e+00 1.091209628842408907e+00 2.990086329713918634e+00 3.036227693630352587e+04
2.034515581640959692e+00 1.482626563641076478e+00 2.991981212057823747e+00 3.461286751545979496e+04
2.311063192003423694e+00 1.077632880844477503e+00 3.289152701687717784e+00 3.809416059143476741e+04
2.048373789377457843e+00 1.811124197177791828e+00 2.957841231970133045e+00 3.186650748801915324e+04
1.933684379754741833e+00 1.754966865305332746e+00 3.020471804863677612e+00 3.501237342509696464e+04
2.431643065814166782e+00 1.817475111434826873e+00 3.175388757517518368e+00 5.193133891269336891e+04
1.875188012761822121e+00 1.549450913978391853e+00 3.377347694233794773e+00 3.457992048449144932e+04
1.981126588421715073e+00 1.023308954521251479e+00 3.206469637458072341e+00 3.652311779975610989e+04
2.113116974154986227e+00 1.116586968769943677e+00 3.155047854812487174e+00 3.575050698507160268e+04
1.981126588421715073e+00 1.023308954521251479e+00 3.206469637458072341e+00 3.652311779975610989e+04
1.974396308143661516e+00 1.720180320369743221e+00 2.901204709373173873e+00 2.982054798797337935e+04
2.773644237775294119e+00 1.870645949120345541e+00 3.161067947579391468e+00 6.410282416820985236e+04
2.660514790520034811e+00 1.668532441083795170e+00 3.314840556243805025e+00 4.865494675413832738e+04
2.007062293707690515e+00 1.170707150440740030e+00 3.226209700918019951e+00 3.374264704593778151e+04
2.338596454050799078e+00 1.826724301775302983e+00 3.269259962318574964e+00 5.273278695862788300e+04
2.602064505384217075e+00 1.735807784692063427e+00 3.048249135310576285e+00 4.316822441610603710e+04
2.017238802998808200e+00 1.706993979331011602e+00 3.143459698179575490e+00 3.756676410255151859e+04
1.847709605154150836e+00 1.127007734474016587e+00 3.247806203659935775e+00 3.994655245303910488e+04
2.419793986701307187e+00 1.892231934259952064e+00 3.209054718444418697e+00 5.906946624039528251e+04
2.529470631853399709e+00 1.780752791355008968e+00 3.254886796658482684e+00 5.529822148110968556e+04
2.425506849026819012e+00 1.067474989326145929e+00 2.901147828871104117e+00 3.635745084058836073e+04
2.186862387709904265e+00 1.594469544254903504e+00 3.401308142763457276e+00 4.487901488532322401e+04
2.459890300839997046e+00 2.160557820187604339e+00 2.611602070700299372e+00 4.587112437726141070e+04
2.541679910340514326e+00 1.730712583742850086e+00 3.121379443474613602e+00 4.260434332047904172e+04
2.054335845567206054e+00 1.722679870009112602e+00 3.196486666677010202e+00 4.108786471326991159e+04
2.493048788620213951e+00 1.694206444100321507e+00 3.120272172727218685e+00 4.407039484181147418e+04
2.028663287651700120e+00 1.228310906961417759e+00 3.048751100956675231e+00 3.048202702959490125e+04
