logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.790301468153300448e+03 -1.796294182439991800e+03 7.149999999999999689e-01
-1.796294182439991800e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.656834216676212236e+03 -1.662829430962903643e+03 8.100000000000000533e-01
-1.662829430962903643e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.639303128837412032e+03 -1.645300843124103267e+03 1.790000000000000036e+00
-1.645300843099700842e+03 5.461074102174836042e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.614704315936171270e+03 -1.620704530222862559e+03 1.254999999999999893e+00
-1.620704530222841868e+03 4.807511202460399602e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.591542226310273918e+03 -1.597544940596965262e+03 1.520000000000000018e+00
-1.597544940596877723e+03 1.770800568477218206e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.559376727611142769e+03 -1.565381941897834167e+03 1.125000000000000000e+00
-1.565381941897834167e+03 1.389908125623945878e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.509507348593921279e+03 -1.515515062880612504e+03 5.500000000000000444e-01
-1.515515062880612504e+03 2.896898322500885570e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.440016194440907611e+03 -1.446026408727598891e+03 1.679999999999999938e+00
-1.446026408727598891e+03 3.044572508035771108e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.338942077311428648e+03 -1.344954791598119982e+03 2.500000000000000139e-02
-1.344954791598119982e+03 5.662487756264918204e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.322611728234749989e+03 -1.328626942521441379e+03 1.499999999999999944e-01
-1.328626942440362882e+03 5.158807291505346626e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.230111082791064291e+03 -1.236128797077755507e+03 6.049999999999999822e-01
-1.236128797077755507e+03 7.986886440834592804e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.183573994227607955e+03 -1.189594208514299225e+03 2.000000000000000000e+00
-1.189594208514299225e+03 4.028955332624332897e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.101519779537065006e+03 -1.107542493823756331e+03 1.584999999999999964e+00
-1.107542493823756331e+03 7.286335426937993986e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.010896041428051831e+03 -1.016921255714743097e+03 1.939999999999999947e+00
-1.016921255714743097e+03 7.777135251605075439e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -9.140091301497732275e+02 -9.200368444364645484e+02 1.459999999999999964e+00
-9.200368444364645484e+02 9.805089991646153180e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -8.967407121679834745e+02 -9.027709264546747363e+02 1.399999999999999911e+00
-9.027709264229420114e+02 1.030282194461498051e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -8.797018309239058453e+02 -8.857345452105971617e+02 1.735000000000000098e+00
-8.857345451706768245e+02 6.688151986377039293e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -8.768105343567967793e+02 -8.828457486434880366e+02 3.449999999999999734e-01
-8.827915984534473637e+02 6.181886900566777143e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -8.536560533428520330e+02 -8.596937676295433448e+02 1.264999999999999902e+00
-8.596937676294502353e+02 1.518738305596633964e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -8.355004107873062367e+02 -8.415406250739976031e+02 7.249999999999999778e-01
-8.415406250609302106e+02 1.730617640006663649e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -8.305158661373820905e+02 -8.365585804240733978e+02 1.870000000000000107e+00
-8.365517438250093392e+02 1.359523532053497696e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -8.294166822116410458e+02 -8.354618964983324076e+02 1.114999999999999991e+00
-8.351720159725649637e+02 2.244799117464957305e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -8.247826821846073244e+02 -8.308303964712986271e+02 6.250000000000000000e-01
-8.308174650115812483e+02 2.570996387639641778e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -6.852285386631036772e+02 -6.912787529497950345e+02 7.700000000000000178e-01
-6.912787529497950345e+02 5.283020643902423785e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -6.774945450209387445e+02 -6.835472593076300427e+02 8.349999999999999645e-01
-6.835468206156347151e+02 3.129657229286678444e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -6.759631794681540669e+02 -6.820183937548454196e+02 4.500000000000000111e-01
-6.818221063624637281e+02 2.908024006055136113e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -6.209299162588113177e+02 -6.269876305455026113e+02 1.189999999999999947e+00
-6.269876305455026113e+02 2.767467848062405267e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -5.957470292735276871e+02 -6.018072435602190353e+02 1.455000000000000071e+00
-6.018072435602074393e+02 2.964030862501985197e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -5.916789618267894184e+02 -5.977416761134807075e+02 1.260000000000000009e+00
-5.977246683165633385e+02 2.369558910860826728e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -5.911947088055294444e+02 -5.972599230922207880e+02 1.465000000000000080e+00
-5.967723895394077545e+02 9.572422690174730020e-01 -7.500000000000002498e-02 4.000000000000000000e+02 -5.739699437774083890e+02 -5.800376580640996735e+02 6.800000000000000488e-01
-5.800376580101240052e+02 8.323312021675850048e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -5.508903176803214592e+02 -5.569605319670127983e+02 3.599999999999999867e-01
-5.569605319669177561e+02 1.073402393251855891e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -5.437802692641641897e+02 -5.498529835508554697e+02 9.749999999999999778e-01
-5.498521649858356568e+02 3.582386635488705284e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -5.429855739534224313e+02 -5.490607882401137658e+02 8.900000000000000133e-01
-5.486870061833946011e+02 2.563451188444184847e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -4.968656194395844068e+02 -5.029433337262757391e+02 1.770000000000000018e+00
-5.029433337262757391e+02 2.157127634958227347e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -4.408377045387612725e+02 -4.469179188254526025e+02 4.600000000000000200e-01
-4.469179188254526025e+02 2.604110956910205488e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -3.979330782114961949e+02 -4.040157924981875226e+02 6.800000000000000488e-01
-4.040157924981875226e+02 4.056646717075108199e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -3.974024957291400142e+02 -4.034877100158313397e+02 7.149999999999999689e-01
-4.030241428607536704e+02 2.785522104201970350e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -3.807015091524125410e+02 -3.867892234391038642e+02 9.499999999999999556e-01
-3.867892233501296460e+02 4.536066593689344728e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -3.803709903221546256e+02 -3.864612046088459465e+02 1.499999999999999944e-02
-3.859186771297669907e+02 4.620625202858145819e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -3.766200342560596255e+02 -3.827127485427509441e+02 1.700000000000000122e-01
-3.826730267468437887e+02 5.253570425028509128e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -3.583923126741862006e+02 -3.644875269608775170e+02 1.639999999999999902e+00
-3.644875269482261615e+02 8.141153098085844420e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -3.458758211709822490e+02 -3.519735354576735631e+02 3.449999999999999734e-01
-3.519735317828054804e+02 9.917343790993715658e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -3.446948603031431730e+02 -3.507950745898344849e+02 6.149999999999999911e-01
-3.505267640577501425e+02 3.662892043732322467e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -3.350072476996879800e+02 -3.411099619863792896e+02 1.844999999999999973e+00
-3.411098806439459850e+02 6.874111654957277828e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -3.261807167500847413e+02 -3.322859310367760486e+02 2.349999999999999867e-01
-3.322857838816407821e+02 7.068586494628969596e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -2.805253647552989378e+02 -2.866330790419902428e+02 1.915000000000000036e+00
-2.866330790419902428e+02 2.796291444954252015e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -2.777151038820475719e+02 -2.838253181687388746e+02 1.300000000000000044e-01
-2.837667286044471098e+02 1.329409824555604480e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -2.728633423976215227e+02 -2.789760566843128231e+02 6.600000000000000311e-01
-2.789677841225527004e+02 1.465991819668290397e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -2.586907303381451584e+02 -2.648059446248364566e+02 1.150000000000000050e-01
-2.648059439175569310e+02 8.171737995094590090e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -2.568520099570108641e+02 -2.629697242437021600e+02 1.705000000000000071e+00
-2.628218052744039710e+02 6.390169681536467472e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -2.514047599040325167e+02 -2.575249741907238104e+02 9.599999999999999645e-01
-2.575199792493002064e+02 3.102068337579979573e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -2.318543406449418853e+02 -2.379770549316332051e+02 1.590000000000000080e+00
-2.379770549283777257e+02 1.054976303210422373e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -2.283850714262936208e+02 -2.345102857129849383e+02 1.465000000000000080e+00
-2.344795453511385119e+02 2.050627218047608391e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -2.171901273854714134e+02 -2.233178416721627286e+02 1.209999999999999964e+00
-2.233178274642395991e+02 5.522352767526312434e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -2.067684889237269772e+02 -2.128987032104182902e+02 1.429999999999999938e+00
-2.128986733548496488e+02 9.341021953110349330e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -1.902912306792041761e+02 -1.964239449658954868e+02 3.200000000000000067e-01
-1.964239448958925323e+02 1.387907664970414245e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -1.774418307667540375e+02 -1.835770450534453460e+02 1.199999999999999956e+00
-1.835770424191666734e+02 9.117549326426466205e-01 -1.450000000000000733e-01 4.000000000000000000e+02 -1.717064827905920765e+02 -1.778441970772833827e+02 1.870000000000000107e+00
-1.778409644565160761e+02 2.578318771374700002e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -1.665787623469187793e+02 -1.727189766336100831e+02 1.114999999999999991e+00
-1.727130301933636076e+02 3.073737851163369061e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -1.659071359733709130e+02 -1.720498502600622146e+02 7.000000000000000666e-02
-1.716342959580380807e+02 3.338125392627541377e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -1.480460391208694091e+02 -1.541912534075607084e+02 3.400000000000000244e-01
-1.541912533809789920e+02 1.132143505050334475e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -1.261988792284793988e+02 -1.323465935151707242e+02 8.449999999999999734e-01
-1.323465935148448978e+02 1.515752369846665459e+01 -1.575000000000000844e-01 4.000000000000000000e+02 -1.134009486155562740e+02 -1.195511629022475830e+02 1.955000000000000071e+00
