weight logl norm si1 si2 E_break
0.000000000000000000e+00 -1.790301468153300448e+03 8.451349529353826995e+00 1.231083503726234429e+00 3.482211793569049973e+00 1.537219477262046667e+03
0.000000000000000000e+00 -1.656834216676212236e+03 8.504072939912475704e+00 1.287694542988117474e+00 3.412028057204099518e+00 1.775385852867454787e+03
0.000000000000000000e+00 -1.639303128837412032e+03 9.014305790531555118e+00 1.708658863793354632e+00 3.374788708742939569e+00 1.406032936059018311e+03
0.000000000000000000e+00 -1.614704315936171270e+03 7.354993920788228223e+00 2.138701418185531722e+00 3.489281493081846097e+00 5.035086816665348124e+03
0.000000000000000000e+00 -1.591542226310273918e+03 9.508746565613577673e+00 1.996586092130008483e+00 3.418633148318926729e+00 8.041241076833925035e+03
0.000000000000000000e+00 -1.559376727611142769e+03 8.949982977882738666e+00 1.947110558155454640e+00 3.465275449233846672e+00 9.146107724022709590e+03
0.000000000000000000e+00 -1.509507348593921279e+03 9.726597341351354231e+00 2.110345698885847554e+00 3.275813567465815979e+00 2.273478297237641073e+03
0.000000000000000000e+00 -1.440016194440907611e+03 9.404607812187427029e+00 2.431613700882612861e+00 3.312581405646077393e+00 7.585443733831460122e+03
0.000000000000000000e+00 -1.338942077311428648e+03 6.572562998557905267e+00 1.775621409011022944e+00 3.403151010355986106e+00 3.947708197354482309e+03
0.000000000000000000e+00 -1.322611728234749989e+03 5.888687825498428730e+00 1.742120191726146405e+00 3.430683106332811594e+00 2.207546215153151479e+03
0.000000000000000000e+00 -1.230111082791064291e+03 8.180191933965511808e+00 2.336743802369715794e+00 3.251020885597713850e+00 4.825827124680820816e+03
0.000000000000000000e+00 -1.183573994227607955e+03 7.398103043953430991e+00 1.766114456296444146e+00 3.258940257394466578e+00 2.195990621757916870e+03
0.000000000000000000e+00 -1.101519779537065006e+03 9.430232847874124857e+00 1.503838261115124419e+00 3.382281217328030110e+00 1.305890430522059978e+04
0.000000000000000000e+00 -1.010896041428051831e+03 3.952476165678367792e+00 2.327589874693499539e+00 3.476278662587200863e+00 2.862476675863877517e+03
0.000000000000000000e+00 -9.140091301497732275e+02 5.387280079156502310e+00 2.011094394612270353e+00 3.285769389665045725e+00 1.925116391108747393e+03
0.000000000000000000e+00 -8.967407121679834745e+02 8.049703203824977393e+00 1.566592335151036464e+00 3.125135862742603798e+00 5.000056514603919823e+03
0.000000000000000000e+00 -8.797018309239058453e+02 4.938679807412148293e+00 1.488561089315312502e+00 3.337476953092398446e+00 4.207876845874914579e+03
0.000000000000000000e+00 -8.768105343567967793e+02 5.555325974239035958e+00 1.643744729656416714e+00 3.254210432616566173e+00 1.237546448485712517e+03
0.000000000000000000e+00 -8.536560533428520330e+02 8.443995467283853529e+00 2.307079466240777421e+00 3.132141665238730610e+00 1.012687563213511748e+04
0.000000000000000000e+00 -8.355004107873062367e+02 4.009870124728951879e+00 1.375326025382668682e+00 3.475299247152777049e+00 6.348644890413019311e+03
0.000000000000000000e+00 -8.305158661373820905e+02 6.408785734769134379e+00 1.606915109049933399e+00 3.165919654836882202e+00 1.684793836052377401e+03
0.000000000000000000e+00 -8.294166822116410458e+02 8.967997151710795478e+00 2.397558391315124382e+00 3.122193212716991795e+00 1.322311611252576222e+04
0.000000000000000000e+00 -8.247826821846073244e+02 5.479464185650154917e+00 1.903931274507027815e+00 3.276239688253394178e+00 5.298645986341177377e+03
0.000000000000000000e+00 -6.852285386631036772e+02 9.747188456143918600e+00 1.064194129642952902e+00 3.132005183551309191e+00 1.229933903227620976e+04
0.000000000000000000e+00 -6.774945450209387445e+02 8.758447223189909536e+00 1.698927080332871542e+00 2.941284337229720602e+00 1.471661494135581506e+03
0.000000000000000000e+00 -6.759631794681540669e+02 9.047502127513636694e+00 1.225686319081512821e+00 3.218239027603482239e+00 1.396893877676242846e+04
0.000000000000000000e+00 -6.209299162588113177e+02 5.822751300266753915e+00 1.468106985327326086e+00 3.110746545861609924e+00 2.350360315172253195e+03
0.000000000000000000e+00 -5.957470292735276871e+02 7.850165668797419727e+00 1.272568402179250935e+00 2.953827495110676438e+00 2.030004583685591797e+03
0.000000000000000000e+00 -5.916789618267894184e+02 8.196122283486333870e+00 1.487865805338757008e+00 3.005983105211678552e+00 7.121704440122166488e+03
