weight logl norm si1 si2 E_break
0.000000000000000000e+00 -1.790301468153300448e+03 8.435706595306895483e-01 1.540556691508230269e-01 9.881411957127000933e-01 6.224529284451840727e-02
0.000000000000000000e+00 -1.656834216676212236e+03 8.488962565568156649e-01 1.917963619920782792e-01 9.413520381360661604e-01 8.309758496324404220e-02
0.000000000000000000e+00 -1.639303128837412032e+03 9.004349283365207235e-01 4.724392425289031250e-01 9.165258058286261944e-01 4.933183135670515806e-02
0.000000000000000000e+00 -1.614704315936171270e+03 7.328276687664877498e-01 7.591342787903544442e-01 9.928543287212306945e-01 2.340023210687166566e-01
0.000000000000000000e+00 -1.591542226310273918e+03 9.503784409710684944e-01 6.643907280866723220e-01 9.457554322126179303e-01 3.017743608276203249e-01
0.000000000000000000e+00 -1.559376727611142769e+03 8.939376745336099495e-01 6.314070387703031306e-01 9.768502994892311886e-01 3.204121040835193890e-01
0.000000000000000000e+00 -1.509507348593921279e+03 9.723835698334700739e-01 7.402304659238981843e-01 8.505423783105438007e-01 1.188969375864423750e-01
0.000000000000000000e+00 -1.440016194440907611e+03 9.398593749684269749e-01 9.544091339217420922e-01 8.750542704307181507e-01 2.933269970852017128e-01
0.000000000000000000e+00 -1.338942077311428648e+03 6.537942422785762986e-01 5.170809393406819998e-01 9.354340069039908112e-01 1.987816811499660830e-01
0.000000000000000000e+00 -1.322611728234749989e+03 5.847159419695382443e-01 4.947467944840976406e-01 9.537887375552077662e-01 1.146366014446061898e-01
0.000000000000000000e+00 -1.230111082791064291e+03 8.161810034308597528e-01 8.911625349131437890e-01 8.340139237318091592e-01 2.278572533819754886e-01
0.000000000000000000e+00 -1.183573994227607955e+03 7.371821256518616972e-01 5.107429708642960975e-01 8.392935049296442740e-01 1.138768270250642978e-01
0.000000000000000000e+00 -1.101519779537065006e+03 9.424477624115278340e-01 3.358921740767496500e-01 9.215208115520199250e-01 3.719689131359119605e-01
0.000000000000000000e+00 -1.010896041428051831e+03 3.891390066341785525e-01 8.850599164623330628e-01 9.841857750581339825e-01 1.522473188761116480e-01
0.000000000000000000e+00 -9.140091301497732275e+02 5.340686948642932030e-01 6.740629297415136056e-01 8.571795931100304466e-01 9.481899725348796881e-02
0.000000000000000000e+00 -8.967407121679834745e+02 8.030003236186845639e-01 3.777282234340243461e-01 7.500905751617359396e-01 2.329916377014676909e-01
0.000000000000000000e+00 -8.797018309239058453e+02 4.887555361022372091e-01 3.257073928768750015e-01 8.916513020615988161e-01 2.080210068695661496e-01
0.000000000000000000e+00 -8.768105343567967793e+02 5.510430277009127353e-01 4.291631531042777725e-01 8.361402884110442635e-01 3.085383605505986893e-02
0.000000000000000000e+00 -8.536560533428520330e+02 8.428278249781671061e-01 8.713863108271849844e-01 7.547611101591535920e-01 3.351584921514200177e-01
0.000000000000000000e+00 -8.355004107873062367e+02 3.949363762352476881e-01 2.502173502551123807e-01 9.835328314351847734e-01 2.675603452064818644e-01
0.000000000000000000e+00 -8.305158661373820905e+02 6.372510843201145692e-01 4.046100726999555253e-01 7.772797698912548015e-01 7.551558831486893109e-02
0.000000000000000000e+00 -8.294166822116410458e+02 8.957572880515954905e-01 9.317055942100830324e-01 7.481288084779946779e-01 3.737779371679835760e-01
0.000000000000000000e+00 -8.247826821846073244e+02 5.433802207727429501e-01 6.026208496713518770e-01 8.508264588355960445e-01 2.413883014525979309e-01
0.000000000000000000e+00 -6.852285386631036772e+02 9.744634804185776655e-01 4.279608642863530488e-02 7.546701223675393866e-01 3.632939243457019574e-01
0.000000000000000000e+00 -6.774945450209387445e+02 8.745906286050414424e-01 4.659513868885810650e-01 6.275228914864803276e-01 5.593597558582197316e-02
0.000000000000000000e+00 -6.759631794681540669e+02 9.037880936882460858e-01 1.504575460543418064e-01 8.121593517356547887e-01 3.817211379745338862e-01
0.000000000000000000e+00 -6.209299162588113177e+02 5.780556868956316929e-01 3.120713235515506501e-01 7.404976972410733937e-01 1.237114818772262481e-01
0.000000000000000000e+00 -5.957470292735276871e+02 7.828450170502444516e-01 1.817122681195006972e-01 6.358849967404510695e-01 1.024990061791353213e-01
0.000000000000000000e+00 -5.916789618267894184e+02 8.177901296450842406e-01 3.252438702258380054e-01 6.706554034744524051e-01 2.841946486445463549e-01
0.000000000000000000e+00 -5.911947088055294444e+02 9.646360322421305700e-01 3.302609607605632158e-01 5.649321731538974323e-01 1.144223773371854103e-01
0.000000000000000000e+00 -5.739699437774083890e+02 6.297760144759814160e-01 4.773027438457898564e-01 8.276060930427051598e-01 3.604114360910951609e-01
0.000000000000000000e+00 -5.508903176803214592e+02 8.686898215153746605e-01 5.202314538399166466e-01 5.862957655286136216e-01 1.328629658367594946e-01
0.000000000000000000e+00 -5.437802692641641897e+02 8.714323143904068036e-01 1.020791095464385068e-01 9.249386044177912991e-01 4.274883195792797963e-01
0.000000000000000000e+00 -5.429855739534224313e+02 3.349688975287941073e-01 7.956366557384528804e-01 8.756784358622241582e-01 4.520156143150766415e-02
9.881312916824930884e-324 -4.968656194395844068e+02 9.100491307961031673e-01 5.832926084950408319e-01 5.496111428171904789e-01 8.208282208660555579e-02
2.266970650680469992e-299 -4.408377045387612725e+02 2.279420707790237310e-01 7.757838111016966964e-01 9.473864585037358177e-01 1.258790991653926383e-01
9.718575735714947179e-281 -3.979330782114961949e+02 4.389693954335326387e-01 7.317880489427360802e-01 7.447885328605100552e-01 1.201271163846142631e-01
1.647957212482295008e-280 -3.974024957291400142e+02 6.379741835181036436e-01 1.682450685550026526e-01 7.648113691467455233e-01 3.567121014327699902e-01
2.944465756303845426e-273 -3.807015091524125410e+02 5.413512284914984152e-01 9.663089611082298358e-02 7.004842558719522883e-01 2.274652316839571586e-01
4.087551861116156600e-273 -3.803709903221546256e+02 9.281722242252110622e-01 5.856905375212784204e-02 4.949176813849671674e-01 7.489739099292458402e-02
1.735389881966047335e-271 -3.766200342560596255e+02 7.372100566780319664e-01 8.574244849268333191e-01 6.715453430938610468e-01 3.989118227825970697e-01
1.427283435212159675e-263 -3.583923126741862006e+02 9.665922612654628265e-01 2.804622375019868441e-01 5.152805869741504674e-01 2.950286771763762639e-01
3.883896802365750712e-258 -3.458758211709822490e+02 7.885114963345873917e-01 4.399088155226060781e-01 5.771630041730579919e-01 2.868651346362735000e-01
1.262021442654339400e-257 -3.446948603031431730e+02 8.815086427709828421e-01 6.427154948128377399e-02 5.958347866323119302e-01 3.422204460519647773e-01
2.028886228272419973e-253 -3.350072476996879800e+02 6.107024544179019410e-01 6.277107293666057686e-01 8.291976995441969756e-01 4.228061531307594212e-01
1.378750375716171246e-249 -3.261807167500847413e+02 4.824545404225963896e-01 7.185900003508050027e-02 6.979115611548953879e-01 1.783239459295558049e-01
9.252675861266933785e-230 -2.805253647552989378e+02 9.062472429003685104e-01 3.409252398066336953e-01 4.566655200569773587e-01 1.159446847438635464e-01
1.533424514830646801e-228 -2.777151038820475719e+02 7.691007510517909873e-01 7.280840387415035142e-01 6.178258489761390138e-01 3.945894509891234581e-01
1.957356381160339490e-226 -2.728633423976215227e+02 6.360216651533568966e-01 6.819933319850282061e-01 5.772928417535948542e-01 1.054509822570706135e-01
2.790431599980762149e-220 -2.586907303381451584e+02 8.948069406806173909e-01 1.515477754233295338e-01 8.599889430913683075e-01 4.560807434809981409e-01
1.750377654706923464e-219 -2.568520099570108641e+02 3.274797856390418982e-01 5.160995500169477390e-01 7.993067123703460064e-01 2.316775116519396160e-01
4.052813917614796397e-217 -2.514047599040325167e+02 5.955443169033164397e-01 4.339965575015715116e-01 6.486818460856847990e-01 3.096743235976607833e-01
1.251152162119028527e-208 -2.318543406449418853e+02 1.764882073337664670e-01 6.365841239842754407e-01 9.581386383377196170e-01 2.259711639716782683e-01
4.007826130114923972e-207 -2.283850714262936208e+02 4.088561477797614252e-01 5.544394254695027557e-01 6.979372191439014994e-01 1.411691126097238680e-01
2.908878343715013557e-202 -2.171901273854714134e+02 6.024267115589283517e-01 1.928175054577911940e-01 6.225435430062152831e-01 2.914158395677101110e-01
9.743161436112853107e-198 -2.067684889237269772e+02 7.493433719222215572e-01 8.081530588224739020e-02 4.880984091471100017e-01 5.647698333792749992e-02
1.391863015023648750e-190 -1.902912306792041761e+02 8.268082440232482622e-01 7.696308847730830571e-01 4.424805679504445477e-01 1.335726001187199641e-01
5.283652372543142505e-185 -1.774418307667540375e+02 4.970471764898162226e-01 6.397768424382775931e-01 9.898037862733271020e-01 4.709609601997840622e-01
1.631843394984690459e-182 -1.717064827905920765e+02 8.848814140266432204e-01 1.649949405619228759e-01 4.597782260180943714e-01 3.177274052254787096e-01
2.744943661390775435e-180 -1.665787623469187793e+02 7.260986387843741952e-01 1.884263645123486208e-01 4.996898806826000072e-01 2.454586661072114540e-01
5.359587023260487304e-180 -1.659071359733709130e+02 5.567012308914434104e-01 1.864750817126639149e-01 5.840122142598993538e-01 2.078199199578716350e-01
3.055071610469471002e-172 -1.480460391208694091e+02 5.898211343824111275e-01 8.142137145224548345e-01 5.537012342413607513e-01 2.514365037989603202e-01
9.376411196995979613e-163 -1.261988792284793988e+02 2.131056129855595227e-01 1.323077187788588294e-01 8.312101838477407023e-01 3.658045426103551101e-02
3.380816144329233806e-157 -1.134009486155562740e+02 6.685268427567357952e-01 3.679121542648957632e-01 9.706363862399001174e-01 4.852821979180017564e-01
3.366346142215786034e-150 -9.728464218240037553e+01 8.437037526739077364e-01 8.136762629725358131e-02 3.713794688452697335e-01 1.105645140107456292e-01
4.516133332900861548e-149 -9.468572884436179038e+01 9.255449845606871229e-01 8.557335706266100406e-02 3.461474128260821903e-01 9.513378546611660491e-01
1.384927207711054892e-148 -9.356265234112785834e+01 7.861777771051905450e-01 1.655109998660253545e-02 3.934321214168680081e-01 9.480152380244725174e-01
3.873924428652194855e-147 -9.022894677130548757e+01 4.927910176914943596e-01 7.182897377158928842e-01 5.671501850201249306e-01 1.159833033087476206e-02
6.356763454676259815e-147 -8.973119547173359933e+01 9.138845484661776153e-01 9.880783567778511634e-01 1.724410433157541611e-02 9.952556061235390272e-01
1.518883766268524511e-146 -8.885765403500491288e+01 5.427994748781121981e-01 9.382379926263912928e-01 8.134887168527547008e-01 5.128456566421607521e-01
6.493135620078306443e-146 -8.740238417535906024e+01 8.287451431244020617e-01 6.871914369713794102e-02 2.604581367550834470e-01 9.927021045296550161e-01
5.238319392031774155e-137 -6.689136317866450554e+01 8.392199218120733883e-01 6.160931815969957759e-01 3.479960071183241244e-01 1.052766300818404055e-01
1.723555005662377461e-135 -6.339530469129576318e+01 4.133464115366696223e-01 1.749297927571757949e-02 6.185980406375438667e-01 1.829269624227880531e-01
5.401711552448531392e-134 -5.994789276235198372e+01 5.722239977661914834e-01 1.676802573450461020e-01 8.084386319200279614e-01 4.394240675287892639e-01
2.058439308059709972e-130 -5.169982016966622496e+01 7.543990068288054518e-01 1.204611115579359293e-01 4.772896789077639701e-01 9.953617923434507908e-01
5.980523921442193831e-128 -4.602558988548960883e+01 9.068929108526765370e-01 1.981587714477418549e-01 5.109932244567672033e-01 9.129923936053685463e-01
1.034604362587355865e-126 -4.317240878063938680e+01 9.372418179618673406e-01 9.038141545102261754e-01 3.664143062893169267e-01 5.598174257986393565e-01
2.159130746347660843e-126 -4.243422216745560149e+01 6.950166253572892527e-01 7.593934508320669963e-01 4.219264643828336547e-01 2.698756284743014655e-01
3.950496893864727465e-125 -3.952500141599708172e+01 9.515386892495621973e-01 2.750777711518208601e-01 2.154289951013746984e-01 9.944059674329643883e-01
1.900911481072887115e-124 -3.795142419189883753e+01 8.382257642109318674e-01 2.098225035220130374e-01 3.475334676767793951e-01 9.896004416730463937e-01
2.379498859342607897e-124 -3.772436778770915566e+01 8.113112258799907162e-01 1.075183802274712885e-01 5.112926462275148021e-01 8.517677220465926791e-01
2.425259804568086676e-120 -2.849247866338819790e+01 9.920585941989538137e-01 3.013318766179122754e-01 5.312388974471435876e-01 9.276193943350784510e-01
9.533306894807282162e-119 -2.481854056906740880e+01 9.622300644862257224e-01 8.352947176324868606e-01 3.136426252664130665e-01 5.145071345426069920e-01
1.323316951529987869e-118 -2.448810570519736984e+01 9.296733353887478568e-01 9.416067236306636667e-01 2.468916152033933109e-01 1.636806516971022196e-01
1.470935793133930465e-117 -2.207726324674192142e+01 9.520551792793130463e-01 9.011510794565931182e-01 2.225318794558627244e-01 4.785314933569396745e-01
9.171772285544971159e-117 -2.024453150140581670e+01 5.041886881460839742e-01 4.778181128063940797e-02 3.218391363264734295e-01 9.379315041271563125e-01
1.337994328590346787e-115 -1.756182012999778408e+01 5.561687573890544689e-01 9.022551497592734560e-02 5.579824548160062792e-01 9.938791334265560939e-01
2.621375167225011486e-115 -1.688679279991114868e+01 9.680023306897025392e-01 2.697373049784040910e-01 2.107026482983259674e-01 1.587299406504844024e-01
2.843505511295499460e-115 -1.680295422700194763e+01 9.160473572967235967e-01 6.334604460251977986e-01 2.832526104324465388e-01 3.653688095726194129e-01
7.882077598868460060e-114 -1.347831523618134497e+01 8.859346264167583529e-01 9.244308496065130054e-01 4.587742740824404253e-01 6.118550874761260472e-01
1.810106568421500347e-113 -1.264443594585961250e+01 9.048588699756979770e-01 2.820354738930703764e-01 7.156071106719551489e-01 9.260113152667402980e-01
2.477109024447174277e-113 -1.232822950273219931e+01 9.699408354388640019e-01 9.223290634443994662e-01 4.826115434107396407e-01 7.014000004020357615e-01
6.403157771071878493e-113 -1.137603039657201975e+01 2.991883994041752981e-01 1.859611404123481249e-01 6.724778474864518962e-01 4.981028233204876088e-02
2.684329632442949057e-109 -3.032550269564524115e+00 6.898336797791146946e-01 1.470475878668858760e-01 9.233779624557729715e-01 4.889784629118685277e-01
4.826354099896380384e-109 -2.443389957125077672e+00 9.786396003332692439e-01 8.703551480564662990e-01 8.519796384792801547e-01 9.319646416233957620e-01
7.743332882922361973e-109 -1.968149095062244669e+00 6.382337315629581509e-01 7.271319720698845579e-01 4.092482764349489877e-01 9.809014411603411698e-02
8.520735633879315273e-109 -1.869978615890289575e+00 7.741523019377700709e-01 1.721477435437029913e-01 1.937520860816945856e-01 8.203077652345890369e-01
2.264718770843667936e-106 3.715224572216470733e+00 9.665979601329499626e-01 2.525461671883943993e-01 1.706598178347692452e-01 1.484429899010092369e-01
9.843647365675496603e-106 5.187100293600735768e+00 8.530341600066417840e-01 3.590112654629600275e-01 1.206402418976869617e-01 9.745116969929858985e-01
6.017211586939511881e-103 1.160515322343152889e+01 4.478603587966105692e-01 9.203648537504982574e-02 4.899741402405093371e-01 9.749375414496675996e-01
8.906944068413530587e-103 1.199986046787645932e+01 7.452277808683198668e-01 4.225949819934331497e-01 5.758471510785380110e-01 4.564519513699620834e-01
1.635879789092684420e-102 1.261029511288063532e+01 4.588048085675119347e-01 1.227653349772874769e-01 5.735424048205792769e-01 2.954815212773209687e-01
3.392663310933386781e-102 1.334222960633374555e+01 9.705814638885692514e-01 2.585476006645088809e-01 4.098728657811276932e-01 8.096466883824348093e-01
1.099203816856389909e-101 1.452028556381824842e+01 9.645952770010667310e-01 2.205556709752165556e-01 1.428380552015913185e-01 7.800357017218662037e-02
1.510384760418516739e-101 1.484056387553641798e+01 4.035284097021538674e-01 2.113168664025757426e-01 6.663563233379844464e-01 3.499492201974501171e-01
1.932900345903930455e-101 1.508972109372999171e+01 9.591859290580423414e-01 9.179784067890532917e-01 1.411455512174573101e-01 2.834543665646143129e-01
2.756592426453912880e-99 2.005236492378307389e+01 8.535631489582919951e-01 4.479138002728938472e-01 2.332910450803132862e-01 1.511276737639566381e-01
1.689305306224517994e-98 2.186777211094610607e+01 7.657507013549335051e-01 9.276327994144563105e-01 6.170442777002771439e-02 7.641207556791750344e-01
9.078956684455040095e-98 2.355191401134396756e+01 4.697627456966781967e-01 1.861733138218357730e-03 6.993647856747277070e-01 4.007080664240049162e-01
1.184687190531966086e-97 2.382051858642481079e+01 4.530929091587257984e-01 1.305114960838922311e-01 2.431823045364236435e-01 9.000054851325800520e-01
1.199005950848312033e-97 2.383503266012897370e+01 8.231830553728144428e-01 7.314619355817250090e-01 2.502592255632952734e-01 1.551435114621464439e-01
2.441144239027725206e-97 2.454850670072309526e+01 6.403330700811804554e-01 2.074197025089304924e-01 8.878042723058526819e-01 9.006720659550936370e-01
