norm si1 si2 E_break
2.058831950812693545e+00 1.834953775457149883e+00 2.862491163065562283e+00 2.878463716446477702e+04
2.682655748560602404e+00 1.122926237846170849e+00 2.777018444753887039e+00 3.329158998486318887e+04
2.343278121684897464e+00 1.849199493598517208e+00 2.797124537956482193e+00 4.262137311486435647e+04
2.823299735584341885e+00 1.703898649279671940e+00 2.950847586878328599e+00 4.878037244855249446e+04
2.283968262827642537e+00 1.357613402121919277e+00 2.825698327391359399e+00 2.919677926574222511e+04
3.034034320998997281e+00 2.007737809501528581e+00 3.100829199552451954e+00 6.345778739642311120e+04
3.697234559584256175e+00 2.091003633986448396e+00 3.148500575463947015e+00 1.031405836532566609e+05
2.291872369266786613e+00 1.276798633248449777e+00 2.997587807806424642e+00 3.465384928729638341e+04
2.154458237183717983e+00 1.299813083607862296e+00 2.953700791186009145e+00 3.111179670992313550e+04
2.488625295131202453e+00 1.230033413326256930e+00 2.755511962106941048e+00 2.357336205676207828e+04
2.021028740343980612e+00 1.827869727041021131e+00 2.651140220409583748e+00 1.636980367025794112e+04
2.170865931293313178e+00 1.554978055552572069e+00 2.715575706103315667e+00 2.343534323489747112e+04
2.209130627036118177e+00 1.278631416798383214e+00 2.593580496455850870e+00 1.992170199890468939e+04
2.323689544127990558e+00 1.500052181215773661e+00 2.986107132191785585e+00 3.633803741872737737e+04
2.200542717239504231e+00 1.872843759602263347e+00 3.173147062338501190e+00 4.277547800358798122e+04
2.520036112789926008e+00 1.498679025577699164e+00 2.635804705190947672e+00 2.183078650624656075e+04
2.420723789587053254e+00 1.851777153600783876e+00 2.936294872993532312e+00 3.889526225726614211e+04
2.534310127833761417e+00 1.830133126370664831e+00 2.750650308553276968e+00 4.442295094612449611e+04
2.327082392440783742e+00 1.747849445857010409e+00 2.849089443779376118e+00 3.061943784061255064e+04
2.440062656409244468e+00 2.183976761833361202e+00 2.669391916040905421e+00 4.211877739001420559e+04
2.101417978227172689e+00 1.953742966620513721e+00 3.024178483110175453e+00 4.228322002045727277e+04
2.611524865363682224e+00 1.937132424977328071e+00 2.789874911334357499e+00 3.712317833885957953e+04
2.511544758046015957e+00 1.227633565059929932e+00 2.621781098578034541e+00 2.286206828185411359e+04
2.315629676733450548e+00 1.647493460599509518e+00 2.941186985439975032e+00 3.807965820639886078e+04
2.497316113430876339e+00 1.872472776366146174e+00 2.907048867378775547e+00 4.592986408318969188e+04
2.595582347519233668e+00 1.491491085797560068e+00 2.621146009247770081e+00 2.174233444829551445e+04
2.217455210795033160e+00 2.276559305003317935e+00 2.663374580429418437e+00 3.372922584273118991e+04
1.882648828041428857e+00 2.171689436217279834e+00 2.986012855499010410e+00 3.834117317357117281e+04
2.753668829632144099e+00 1.757679216339984585e+00 2.569594631279609409e+00 3.283409425106868002e+04
2.381150063137432493e+00 1.604814668436680858e+00 2.953203710870809129e+00 3.367910916417480621e+04
2.555952651202953785e+00 1.023366238151509400e+00 2.593435037822292344e+00 1.715091469288523876e+04
2.359544272333969239e+00 1.454307737319548544e+00 2.885139043313170060e+00 3.662932795164873096e+04
2.320330615353773496e+00 1.670681849114327600e+00 2.874924228163268758e+00 3.371775911789738893e+04
2.333160314910934119e+00 2.179675541549871198e+00 2.782066501327038033e+00 3.870570847628719639e+04
2.056943466762501060e+00 1.216277534477278932e+00 2.904658871910142270e+00 2.549798368679430860e+04
3.131892274089976613e+00 1.949023529050342596e+00 2.704445122764564058e+00 3.996462882462148264e+04
3.079291770825675734e+00 2.296758909080239164e+00 3.261134427988374718e+00 1.118434566399827163e+05
2.251964275033606633e+00 1.369581150451135931e+00 2.985134222256757397e+00 2.927048389736918398e+04
2.269053299977901617e+00 1.894040863083485737e+00 2.888866774588246145e+00 3.371865397822963860e+04
2.445696261334029398e+00 1.666186321929536085e+00 3.091537728960439324e+00 3.939264284828097880e+04
2.551916177330272539e+00 1.520877969599309321e+00 3.016630612522867239e+00 4.200795037062116171e+04
1.859396643145779571e+00 1.139705879460337856e+00 2.825864266284703330e+00 1.578385827747360963e+04
2.816145094386631964e+00 1.594078204840222668e+00 2.905992571651306200e+00 3.784729473552638956e+04
2.233411539637303544e+00 1.806961558868395379e+00 2.920222662201243935e+00 3.465423810972371575e+04
2.486365033375336875e+00 1.686995620719671241e+00 2.657546914408662975e+00 2.432464432901292457e+04
2.583322100411828082e+00 1.557781257910201500e+00 2.827069270476814999e+00 2.876363586044355179e+04
2.797525982501586128e+00 1.066126583223768520e+00 2.872319611069028333e+00 2.839865174995223788e+04
2.197090842334812777e+00 1.509385409645712217e+00 2.706820600869028759e+00 2.134475728289550170e+04
2.242619837248751580e+00 2.268400834569820557e+00 3.069142879935914614e+00 5.713379130036370043e+04
