weight logl norm si1 si2 E_break
0.000000000000000000e+00 -2.028628473001961993e+03 8.625409202143034193e+00 2.169538814451818176e+00 3.476942336470534745e+00 3.147868133985778968e+03
0.000000000000000000e+00 -1.891119375497150713e+03 8.213039753463093007e+00 1.443645242463484912e+00 3.427083900757419865e+00 1.412463771392643594e+03
0.000000000000000000e+00 -1.822421606012561597e+03 8.933669382504112022e+00 1.189304661284827924e+00 3.456288281842244015e+00 6.803319348714544503e+03
0.000000000000000000e+00 -1.732876961348053101e+03 9.622174625619052790e+00 2.286936971669030871e+00 3.274627687221889349e+00 1.123367836283732686e+03
0.000000000000000000e+00 -1.616073815333532366e+03 9.688209062353507761e+00 1.707227069943700215e+00 3.413826991820776424e+00 1.110986251278086820e+04
0.000000000000000000e+00 -1.506610224690657560e+03 9.166842399002403496e+00 1.113925149434770168e+00 3.343219956084904965e+00 8.300980909730700660e+03
0.000000000000000000e+00 -1.504986672428180555e+03 8.339600600887147053e+00 1.274211917775352809e+00 3.238998563169396050e+00 1.200128759296973385e+03
0.000000000000000000e+00 -1.495311826315526787e+03 8.850948839307768878e+00 1.159162729901875855e+00 3.206084245224109175e+00 1.821266128440792954e+03
0.000000000000000000e+00 -1.461271664297484904e+03 7.577358121140069791e+00 1.687296457938471939e+00 3.264886007709305371e+00 1.522101665853574104e+03
0.000000000000000000e+00 -1.419836243596936356e+03 9.833207063063303721e+00 1.408702510110451556e+00 3.121155198284240928e+00 1.021741181289692349e+03
0.000000000000000000e+00 -1.383827774839181984e+03 5.911994566626555425e+00 2.118400414265281473e+00 3.354416433793885322e+00 3.400653047320498445e+03
0.000000000000000000e+00 -1.342040138469378462e+03 8.631687059826889552e+00 1.008847194553920801e+00 3.256262494467181856e+00 6.978913311066259666e+03
0.000000000000000000e+00 -1.272009793835568416e+03 6.491645668381322842e+00 1.268147440765735823e+00 3.252223868227813064e+00 1.446854786868330621e+03
0.000000000000000000e+00 -1.177846394714691542e+03 8.635539060177700676e+00 1.050969247886448077e+00 3.074114133939759519e+00 1.332671256750668817e+03
0.000000000000000000e+00 -1.149494592173171895e+03 4.145115534930052803e+00 1.393157878066799693e+00 3.438669918971879902e+00 4.544849136667715356e+03
0.000000000000000000e+00 -1.082086155025333937e+03 5.936848943843695103e+00 1.061958645334078799e+00 3.218510623008378868e+00 3.258335329808638562e+03
0.000000000000000000e+00 -1.072988540428817032e+03 9.858819054758180656e+00 2.461084759562013780e+00 3.296760265682614488e+00 2.594079296362385139e+04
0.000000000000000000e+00 -1.069981534478363528e+03 5.274302596539703458e+00 2.330745139899332852e+00 3.259207558100065683e+00 2.971228913886124701e+03
0.000000000000000000e+00 -1.018660137454923756e+03 9.930452886873032625e+00 2.159101555055674915e+00 2.931134400328857748e+00 2.436874888192029630e+03
0.000000000000000000e+00 -9.660393667724538318e+02 7.213441863085276573e+00 1.961579408643344680e+00 3.114010009530297829e+00 6.573033208807893061e+03
