weight logl norm si1 si2 E_break
0.000000000000000000e+00 -2.028628473001961993e+03 8.611524446609125638e-01 7.796925429678788211e-01 9.846282243136897927e-01 1.660055104071306298e-01
0.000000000000000000e+00 -1.891119375497150713e+03 8.194989649962719502e-01 2.957634949756565712e-01 9.513892671716132066e-01 4.999243910517259248e-02
0.000000000000000000e+00 -1.822421606012561597e+03 8.922898366165769035e-01 1.262031075232186161e-01 9.708588545614960097e-01 2.775736190932491798e-01
0.000000000000000000e+00 -1.732876961348053101e+03 9.618358207696012796e-01 8.579579811126871736e-01 8.497517914812595663e-01 1.684066173726017634e-02
0.000000000000000000e+00 -1.616073815333532366e+03 9.685059658942937189e-01 4.714847132958002174e-01 9.425513278805175421e-01 3.485695614918384866e-01
0.000000000000000000e+00 -1.506610224690657560e+03 9.158426665658994104e-01 7.595009962318011176e-02 8.954799707232697914e-01 3.063764716961334678e-01
0.000000000000000000e+00 -1.504986672428180555e+03 8.322828889784996687e-01 1.828079451835684655e-01 8.259990421129306259e-01 2.640928103040873776e-02
0.000000000000000000e+00 -1.495311826315526787e+03 8.839342261927038980e-01 1.061084866012506067e-01 8.040561634827393389e-01 8.679113691399509278e-02
0.000000000000000000e+00 -1.461271664297484904e+03 7.552886991050575816e-01 4.581976386256479961e-01 8.432573384728702104e-01 6.081455375602473623e-02
0.000000000000000000e+00 -1.419836243596936356e+03 9.831522285922528193e-01 2.724683400736342964e-01 7.474367988561606557e-01 3.113632659235920919e-03
0.000000000000000000e+00 -1.383827774839181984e+03 5.870701582451066658e-01 7.456002761768543152e-01 9.029442891959236217e-01 1.771874417213262776e-01
0.000000000000000000e+00 -1.342040138469378462e+03 8.617865716996858660e-01 5.898129702613830183e-03 8.375083296447879411e-01 2.812626012493266714e-01
0.000000000000000000e+00 -1.272009793835568416e+03 6.456207745839720458e-01 1.787649605104906225e-01 8.348159121518755610e-01 5.347498182511090103e-02
0.000000000000000000e+00 -1.177846394714691542e+03 8.621756626442121929e-01 3.397949859096538461e-02 7.160760892931729016e-01 4.157434363129730581e-02
0.000000000000000000e+00 -1.149494592173171895e+03 4.085975287808134571e-01 2.621052520445331657e-01 9.591132793145865643e-01 2.191731572241213399e-01
0.000000000000000000e+00 -1.082086155025333937e+03 5.895807013983530576e-01 4.130576355605253269e-02 8.123404153389192084e-01 1.709985924843271388e-01
0.000000000000000000e+00 -1.072988540428817032e+03 9.857392984604222974e-01 9.740565063746757790e-01 8.645068437884094736e-01 4.713277491853933299e-01
