logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.106600815472992508e+03 -2.112593529759683861e+03 1.354999999999999982e+00
-2.112593529759683861e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.925647369393223244e+03 -1.931642583679914651e+03 5.550000000000000488e-01
-1.931642583679914651e+03 7.831126125727475085e+01 -5.000000000000000104e-03 4.000000000000000000e+02 -1.895768525074539866e+03 -1.901766239361231101e+03 2.449999999999999956e-01
-1.901766239361231101e+03 7.513006791468576751e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.892961786568528851e+03 -1.898962000855220140e+03 1.549999999999999989e-01
-1.898903210513007480e+03 1.394614240653705650e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.892734687399616632e+03 -1.898737401686307976e+03 1.905000000000000027e+00
-1.898123726277694232e+03 1.771195902823448298e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -1.783604294663317205e+03 -1.789609508950008603e+03 3.499999999999999778e-01
-1.789609508950008603e+03 5.135044148086185345e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.780315594019943774e+03 -1.786323308306634999e+03 1.709999999999999964e+00
-1.786286594907940071e+03 1.818767192432338309e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -1.776871551420470496e+03 -1.782881765707161776e+03 9.399999999999999467e-01
-1.782849092834146177e+03 2.008742465855788417e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -1.753077665747259516e+03 -1.759090380033950851e+03 5.500000000000000028e-02
-1.759090380033902875e+03 1.243674298259138844e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.715764118046874501e+03 -1.721779332333565890e+03 1.129999999999999893e+00
-1.721779332333565890e+03 2.455553640495366352e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.696070195269240230e+03 -1.702087909555931446e+03 1.784999999999999920e+00
-1.702087909553125201e+03 2.872855366235725327e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.629864719773252091e+03 -1.635884934059943362e+03 1.749999999999999889e-01
-1.635884934059943362e+03 5.599565705202628862e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.548562352258070632e+03 -1.554585066544761958e+03 7.950000000000000400e-01
-1.554585066544761958e+03 6.585626779501876626e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.489188476895350732e+03 -1.495213691182042112e+03 1.364999999999999991e+00
-1.495213691182042112e+03 2.912920949719580932e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.459359729584879915e+03 -1.465387443871571122e+03 7.750000000000000222e-01
