norm si1 si2 E_break
2.312045261298694587e+00 1.698849431005515331e+00 2.671149432051776351e+00 2.120859446376704364e+04
2.346547462326864064e+00 1.951995273818028398e+00 2.773569775790198477e+00 3.461270253309678083e+04
2.557431269976383703e+00 2.032230003707291566e+00 2.825019523935719867e+00 4.243297458159334201e+04
2.043275624443436467e+00 1.587261256811579369e+00 2.995854855793356197e+00 2.688261708416236434e+04
2.110206402116086011e+00 1.389996135908275310e+00 3.235825926489322768e+00 4.043439199667901994e+04
2.813397425720593148e+00 1.506394800964943048e+00 2.807771223209739375e+00 4.344943093900789972e+04
2.431960636186528468e+00 1.902481314596316420e+00 2.939038907213618934e+00 3.896219231867487542e+04
2.505267957259071476e+00 1.088256960917088012e+00 3.019690411875777691e+00 3.043632829654339366e+04
2.512291106880096159e+00 1.753551450711967163e+00 3.037475922117006455e+00 4.651718794019264897e+04
2.540333948651781082e+00 2.030286562208173606e+00 2.682331001245579216e+00 4.178707856841682951e+04
2.734745454025654166e+00 1.651659063948159201e+00 2.700573907737008117e+00 3.064493617543722576e+04
2.556612877171113407e+00 1.536520063702634387e+00 3.123823543973178296e+00 4.004970427612444473e+04
2.462227072103245540e+00 1.512661256098009055e+00 2.962328722556280880e+00 4.175245749642640294e+04
2.527144732465622656e+00 1.742151591167485636e+00 2.875573918844980703e+00 3.464405362137595512e+04
2.297194461312436431e+00 1.705985450867633535e+00 2.857409463588310050e+00 3.131307703293152372e+04
2.802049865500555459e+00 1.689781444611799799e+00 3.172628562207029823e+00 4.784517998565501330e+04
2.219696762367305620e+00 1.607092674336551896e+00 3.283130482476440015e+00 4.362726603305557364e+04
2.367282691422619045e+00 1.061692633162895527e+00 2.841267129516356071e+00 2.770499706410120780e+04
2.455552596515768293e+00 1.130165740888225967e+00 2.914814409143717810e+00 2.669862862956450772e+04
2.212511735283504866e+00 1.836940491912535389e+00 2.758422842205908943e+00 3.078540907447283462e+04
1.894542635666425001e+00 1.652093068369883122e+00 2.843911606630647793e+00 2.586977633878584675e+04
2.009058459095444338e+00 1.985323815097520317e+00 2.893429454093860542e+00 3.697511327032960980e+04
2.512291106880096159e+00 1.753551450711967163e+00 3.037475922117006455e+00 4.651718794019264897e+04
2.395582638338983994e+00 2.013282756803918438e+00 3.286918002503401937e+00 5.629442434241039882e+04
2.065904985395621729e+00 1.726674123561556140e+00 2.855670999809261978e+00 3.876479487012331811e+04
2.146479891732808731e+00 2.069901053494323406e+00 2.806397440044538172e+00 4.126910772097158770e+04
3.017989828479415770e+00 1.913579811820268262e+00 2.894347330625920200e+00 5.258809445413832873e+04
2.040436540114757058e+00 1.921770315180410194e+00 2.805461445716699309e+00 3.183113766324454991e+04
2.478592843402961599e+00 1.031696234184056760e+00 2.671029841663087545e+00 2.385388732349551719e+04
2.698871058620046615e+00 1.942165878189231032e+00 2.698638819992064342e+00 3.424300001942700328e+04
3.224077780646186220e+00 1.372065521303560631e+00 2.969873139684238605e+00 4.345170380618276977e+04
2.303076895618793252e+00 1.769817077510766890e+00 3.193417957826937048e+00 4.523266744815788115e+04
2.252218958349216926e+00 1.854698163778716546e+00 2.859386927077183227e+00 3.586719740207303403e+04
2.220074192578389116e+00 1.846573417649463700e+00 2.703138131628884722e+00 2.680141435147731318e+04
2.519646551745735596e+00 1.136180241259278523e+00 2.702492280813798331e+00 2.867870425892243657e+04
2.863754191139406213e+00 1.042893430361709672e+00 2.856893682278034419e+00 3.081568439512503392e+04
2.791120081143003251e+00 2.018288485184932313e+00 3.102880068915498502e+00 6.418567160690816672e+04
2.216111587297198149e+00 1.921816889851683419e+00 2.912041142418919648e+00 3.589768614698687452e+04
2.675683643556105995e+00 1.290111190224426885e+00 2.792206402280844380e+00 2.576442288823555646e+04
2.261329030101435933e+00 2.068768466007349538e+00 2.824402559190548168e+00 3.231864511172693892e+04
2.635614697589931055e+00 2.079829617872504421e+00 3.115138726588754459e+00 5.442608630098909634e+04
3.028917134704336878e+00 1.212255547495772356e+00 2.766504145336151410e+00 3.736379921659285901e+04
2.994646638115459947e+00 1.844971481871024555e+00 2.994027876668117649e+00 5.123236157936840755e+04
2.137180995235909542e+00 1.415325163794288077e+00 2.722611697192949265e+00 3.086326691281571038e+04
2.189666217931744541e+00 1.914869358313602943e+00 2.927580306404336419e+00 3.589426877378943027e+04
2.523402177980753169e+00 1.167277428763723535e+00 3.179117145376258780e+00 4.335564692984653084e+04
2.349286217277074318e+00 1.915002387688066188e+00 2.843891068654673671e+00 4.040384393681921210e+04
2.996631541896376039e+00 2.156426964052986506e+00 2.645731430691732999e+00 4.020639836368797842e+04
2.052079503754836054e+00 1.595972334999745446e+00 2.710766051094348317e+00 2.333497469638301118e+04
2.774804879363593546e+00 1.410669335571601124e+00 2.905900226506276773e+00 3.279740983888961637e+04
2.816143014374178133e+00 1.669584467399317429e+00 3.224664420474700588e+00 5.405012995482498809e+04
2.533459227528488622e+00 1.529627018486459988e+00 2.704472375792739136e+00 2.730010346207823022e+04
2.398321866811331748e+00 1.275614623852971974e+00 3.062121462964559448e+00 3.492670919680771476e+04
2.164083197625662258e+00 1.660420858724291238e+00 3.075822831616251918e+00 4.120267396745242877e+04
3.025169784593875200e+00 2.107897010580434216e+00 2.985097325341292240e+00 7.654384883061776054e+04
2.492383127738156290e+00 2.227950367287493627e+00 2.790459366206484493e+00 5.801476241032699909e+04
2.517676962615722491e+00 1.198705367349991890e+00 2.782127424413342709e+00 2.939031455770241155e+04
2.546873370268180725e+00 1.939000881456894421e+00 3.112082418321404198e+00 5.234120857739384519e+04
2.446457434784458762e+00 1.948213987354640686e+00 2.740627585967667201e+00 4.013323408401040797e+04
3.106635427903744251e+00 1.255422061911936948e+00 2.974767826645799751e+00 4.353375785329680366e+04
2.507732013620578293e+00 1.767314605615729173e+00 3.052615054716022236e+00 4.398379624603682169e+04
2.144991536480174599e+00 1.223436064151409930e+00 2.866481361079881829e+00 2.375008024710186146e+04
3.253591714755590836e+00 2.007410548924922544e+00 2.939214948219342816e+00 5.443739431028500258e+04
2.871898542075971061e+00 1.203260396175924729e+00 2.958671915738317004e+00 4.125050295842380729e+04
2.350358738261093094e+00 1.771911489466905243e+00 2.656358232115265672e+00 2.912358882835626355e+04
2.773800646441282769e+00 1.380383992239501367e+00 2.916767165740004497e+00 4.191163046517661132e+04
2.141420567137426900e+00 1.300000254990024695e+00 2.843012108266309124e+00 2.629735598284630032e+04
2.325393541328756974e+00 1.717816254225835948e+00 3.009222022767864324e+00 3.962210454046530504e+04
2.148215946522212150e+00 1.812173964352143063e+00 2.827225461615864965e+00 3.433298456773304497e+04
2.684198270597638825e+00 1.473968489008189664e+00 3.022563955254276014e+00 3.771949902738239325e+04
2.383035312968333042e+00 1.702821621900194149e+00 2.773646162097611612e+00 2.885364474497248375e+04
2.687210033802336362e+00 1.653456126022645467e+00 2.885421721495365244e+00 3.218633753674330364e+04
2.484310496720546713e+00 1.607603666847662316e+00 2.974226653796649522e+00 4.183695376479719562e+04
2.253878788473909101e+00 1.815442675515699378e+00 2.887524879983164539e+00 3.249579810495544734e+04
2.737847813192114899e+00 1.401435176265547922e+00 2.688920279342254638e+00 2.511860510008959682e+04
2.409863796778464184e+00 1.762232576945375939e+00 2.707922281690929189e+00 3.594099688920490735e+04
2.706135681321011344e+00 1.330936751487664660e+00 2.836013513900382144e+00 3.845741615222496330e+04
2.685712808845775346e+00 1.606262149302920106e+00 3.030089059808054319e+00 4.477149526846443041e+04
2.372572958576262270e+00 1.781657171903441528e+00 2.897490088425239474e+00 3.738991853140919557e+04
2.474269184849685388e+00 1.460552390240993592e+00 2.675103266880114017e+00 2.470809338387814933e+04
2.448203278246966264e+00 1.559988823398813507e+00 2.834773322338643098e+00 3.289374101951313060e+04
2.398866815462244784e+00 1.479861104833078311e+00 2.659335196166113136e+00 1.735932345431928115e+04
2.650084103880416819e+00 1.678749803163689824e+00 3.036175061350072646e+00 4.864683226560988260e+04
3.057689338118441125e+00 1.710980537327282391e+00 2.749296995852549053e+00 3.670967352774926258e+04
2.901398712799614366e+00 1.598646234165926217e+00 2.993484227627650540e+00 4.077393553591434465e+04
2.633553379255349824e+00 1.016676305347812947e+00 2.962818786804735982e+00 2.573076274439204644e+04
2.062420571098134481e+00 1.830282936092911594e+00 2.785088385004564682e+00 4.127293557091050752e+04
2.503676300419353407e+00 1.828504913937706533e+00 3.036631328978558031e+00 5.221100628837961267e+04
1.940878731651810796e+00 1.688088010711441544e+00 3.045226421508043124e+00 3.453428084653966653e+04
2.855180591862919837e+00 1.630047501915975472e+00 2.910927634741322656e+00 3.611845916246360139e+04
2.420014810152279150e+00 1.730120965852075976e+00 2.744516138145875139e+00 2.959581011529434181e+04
2.696096500004526497e+00 2.227594627978353614e+00 2.707104158445452935e+00 6.102234553092849819e+04
2.408929661802751365e+00 1.057237230928252281e+00 2.652083555137771942e+00 2.085365804567405939e+04
