weight logl norm si1 si2 E_break
0.000000000000000000e+00 -2.106600815472992508e+03 9.486815641675981681e+00 1.886824664127359164e+00 3.466832733623306684e+00 1.225876400748362357e+03
0.000000000000000000e+00 -1.925647369393223244e+03 8.191553990909852700e+00 1.490741430424716629e+00 3.445429635368697507e+00 1.433473774690138498e+02
0.000000000000000000e+00 -1.895768525074539866e+03 8.689977430221064836e+00 2.129763283525268669e+00 3.402020450943796792e+00 1.058270292183833448e+02
0.000000000000000000e+00 -1.892961786568528851e+03 7.424797462744233911e+00 1.149063033451126037e+00 3.476692431444483145e+00 3.404833233730714142e+02
0.000000000000000000e+00 -1.892734687399616632e+03 7.918964369088715038e+00 1.020150331685603984e+00 3.445502891770352960e+00 8.274380183326118186e+02
0.000000000000000000e+00 -1.783604294663317205e+03 7.774986696008674869e+00 1.100991941594010370e+00 3.419653576753796553e+00 3.775653863027464922e+03
0.000000000000000000e+00 -1.780315594019943774e+03 6.421777579265703473e+00 2.348614160182958877e+00 3.491326452766609911e+00 6.381799607110497163e+02
0.000000000000000000e+00 -1.776871551420470496e+03 7.680535018876328834e+00 1.745062321902241420e+00 3.404126541163019048e+00 7.511356692023754249e+02
0.000000000000000000e+00 -1.753077665747259516e+03 7.308758101769078586e+00 2.419473149567355375e+00 3.416578987191601691e+00 2.326850698025091901e+02
0.000000000000000000e+00 -1.715764118046874501e+03 7.288768324642827423e+00 2.185029456096783562e+00 3.400267171558903900e+00 1.238969291169887356e+03
0.000000000000000000e+00 -1.696070195269240230e+03 9.795413268484839620e+00 1.498589989753240870e+00 3.248816186980611143e+00 1.251795041701525975e+02
0.000000000000000000e+00 -1.629864719773252091e+03 7.731154492606572504e+00 2.121691958878214379e+00 3.372625700294438644e+00 5.822624716309946962e+03
0.000000000000000000e+00 -1.548562352258070632e+03 7.821597777537921736e+00 1.084938300951120649e+00 3.312377367852766596e+00 3.964624519276747378e+03
0.000000000000000000e+00 -1.489188476895350732e+03 6.103631588234633476e+00 1.007669693223252283e+00 3.379528360404999265e+00 4.404577043224167028e+02
0.000000000000000000e+00 -1.459359729584879915e+03 5.225232680777458505e+00 2.002538093434192312e+00 3.438442645979983503e+00 4.490891441707988179e+02
0.000000000000000000e+00 -1.443109963048114423e+03 8.178717711830522319e+00 1.219469402892513710e+00 3.220342175094546011e+00 2.341290869382163464e+02
0.000000000000000000e+00 -1.407338800433817823e+03 7.639057957007596933e+00 2.485939794197854269e+00 3.236685867030812958e+00 1.663119813192072343e+02
0.000000000000000000e+00 -1.378280447565406803e+03 5.421799306704019550e+00 1.270597535280507895e+00 3.384275112534949059e+00 3.404474146568460355e+02
0.000000000000000000e+00 -1.376666728218081062e+03 6.272638377533419352e+00 1.294187987226919745e+00 3.315641493278549401e+00 1.693067230569023707e+02
0.000000000000000000e+00 -1.376024938909197544e+03 6.753348686257075961e+00 1.670680296810752585e+00 3.280734585111312995e+00 1.559909183854817002e+03
0.000000000000000000e+00 -1.369860967996528416e+03 7.949376054831330585e+00 1.734531875044335925e+00 3.200868735733378045e+00 1.397541506989890081e+02
0.000000000000000000e+00 -1.353719996412368346e+03 7.125831329654239710e+00 2.434058177514608179e+00 3.283872828213984629e+00 6.522276586218966258e+03
0.000000000000000000e+00 -1.353421159831884324e+03 7.673608020055030288e+00 2.127891951526025505e+00 3.210230671410966075e+00 1.634899487950261118e+03
0.000000000000000000e+00 -1.345941303546850349e+03 7.385374642910036869e+00 1.999184953975170931e+00 3.326553604266194508e+00 8.599742204220437998e+03
0.000000000000000000e+00 -1.341660859339707713e+03 5.493375424895811321e+00 1.772570408778424644e+00 3.361537704808798210e+00 1.262526804896852354e+03
0.000000000000000000e+00 -1.340181223501620480e+03 9.303432186512099022e+00 1.869798744539360458e+00 3.112049554670567986e+00 2.317095169344139833e+02
0.000000000000000000e+00 -1.336224738929308614e+03 8.513617818190256870e+00 2.474946944200891785e+00 3.152962086709180323e+00 2.580530328422332786e+02
0.000000000000000000e+00 -1.304740725076017270e+03 9.896742803964132307e+00 1.709294205582331916e+00 3.110191365946267439e+00 5.630169700701290822e+03
0.000000000000000000e+00 -1.290626785698201274e+03 8.121424000597677662e+00 1.781409327373481233e+00 3.154902031416945363e+00 2.561318693837660021e+02
0.000000000000000000e+00 -1.282045757153942532e+03 7.803965065894572284e+00 2.402512711638680631e+00 3.335581273593418050e+00 1.412394572673282528e+04
0.000000000000000000e+00 -1.278089236952512238e+03 5.510325850301818207e+00 1.237360267654998847e+00 3.331212461376579448e+00 1.133140639219172243e+02
0.000000000000000000e+00 -1.274313593019877999e+03 9.539047727063334037e+00 2.073615478208971297e+00 3.070070671376055493e+00 1.999586140269160524e+03
0.000000000000000000e+00 -1.256412624950000918e+03 7.178651978782700560e+00 1.001797946285111429e+00 3.373998381004936320e+00 9.015427422529150135e+03
0.000000000000000000e+00 -1.247759742580832153e+03 5.137348584348759850e+00 2.393592930040136402e+00 3.400469604993633599e+00 6.811462946467003349e+03
0.000000000000000000e+00 -1.239690792664833680e+03 5.016204675387895939e+00 1.141624373100751155e+00 3.357027369194287125e+00 1.170439724399119825e+02
0.000000000000000000e+00 -1.223543490381172887e+03 6.112805724350838688e+00 2.105592194466970657e+00 3.258262614596029394e+00 1.467348939304876239e+03
0.000000000000000000e+00 -1.210698075481351452e+03 4.870025349085489452e+00 1.942536715655095003e+00 3.357324313193455367e+00 1.156755932135794410e+03
0.000000000000000000e+00 -1.191008838682744454e+03 8.765998864291912440e+00 1.687818218735097187e+00 3.146288876123819911e+00 6.952469174888257839e+03
0.000000000000000000e+00 -1.184895614337095139e+03 8.088335799975807205e+00 1.101825166964421232e+00 3.108747280585554940e+00 2.713518425911057079e+02
0.000000000000000000e+00 -1.172927975264611860e+03 9.383749276908444514e+00 1.565496613071364562e+00 3.227192497055664244e+00 1.151765926864525682e+04
0.000000000000000000e+00 -1.170145639547576593e+03 9.372123604964988530e+00 1.148563984262787496e+00 3.345716554271861209e+00 1.346522238178073349e+04
0.000000000000000000e+00 -1.154923855335390726e+03 7.303301004026331533e+00 1.837833663909114845e+00 3.177958428552796200e+00 5.153607693331641713e+03
0.000000000000000000e+00 -1.125221011524072537e+03 8.828244886641876121e+00 1.748193642715205831e+00 3.039108162779347477e+00 3.039200918429448279e+02
0.000000000000000000e+00 -1.119466046592909379e+03 4.572981116481479980e+00 2.168324296399594786e+00 3.343982875421906975e+00 2.380135170963050939e+02
0.000000000000000000e+00 -1.107209505579161032e+03 3.819060778097334019e+00 2.141795326792194309e+00 3.419750914743994841e+00 1.312139389586849802e+03
0.000000000000000000e+00 -1.103366588707149504e+03 9.558974893218159963e+00 1.819590324004806359e+00 3.194535419033226908e+00 1.309419532213314233e+04
