Mphi g si norm
8.333246591656887636e-01 2.662423674054006928e-02 2.536821399292763513e+00 1.385944151060129315e+01
8.209703237803446241e-01 2.495661836577798415e-02 2.569994586342032150e+00 1.282607124765235973e+01
7.400803968907599284e+00 4.030797384437486558e-02 2.406722354601280145e+00 6.969259462171057962e+00
7.691027076283641906e-01 1.201562120896267592e-02 2.498432592535163366e+00 6.959794637392126226e+00
9.307247902783487570e-01 2.567562221432186445e-02 2.537971609852309740e+00 1.215039698658010536e+01
7.643826281085003282e-01 1.711738566681750631e-02 2.466951127769267060e+00 8.649574435601623534e+00
6.652385889136947839e+00 2.554172016399285788e-02 2.383457381619519921e+00 8.280255788837585840e+00
9.834610460187528380e-01 2.105194408838216569e-02 2.572594154211623074e+00 1.030283329387412472e+01
4.611330219323756552e+01 6.623795974988491153e-01 2.146515043041825166e+00 1.463452582355579601e+01
7.923288838805303547e-01 1.837490477835356656e-02 2.417292884500823469e+00 9.477705865203921221e+00
7.257764702517635058e-01 1.312508840532868037e-02 2.457732502303354494e+00 9.211248639280441353e+00
7.847357928910935199e-01 2.088044763326447201e-02 2.440432718580019422e+00 1.111188198381158898e+01
7.283671752328916282e-01 2.490394185298565322e-02 2.578179889352009813e+00 1.275357184148659684e+01
9.015777357271232972e-01 3.068184804466325862e-03 2.493124690430160051e+00 8.389342770154767592e+00
8.485692522756562717e-01 2.849160170475556128e-02 2.582944793138577833e+00 1.510857800990311084e+01
6.979902069134699127e-01 3.696622086278979831e-04 2.516485314162230313e+00 7.840183677326802325e+00
8.098349660499681857e-01 1.690578403417917694e-02 2.492328875388935217e+00 8.442576429095204560e+00
7.875066927488414414e-01 2.960163633307279912e-02 2.641741593074919958e+00 1.385967191489227623e+01
8.263572073857005096e-01 2.956408648928359612e-02 2.492501925532830231e+00 1.704630668213223288e+01
8.601772757606123143e-01 2.920664855569025942e-02 2.615433485956589976e+00 1.332276743048360856e+01
8.565171702681134702e-02 1.429441604984709076e-02 3.029108939771045783e+00 1.415091049022155900e+01
9.002374728163621276e-01 2.021119737205365197e-02 2.553989539914920393e+00 9.317881254001047608e+00
8.453265012794993760e-01 3.180644011723862685e-02 2.686040383964345857e+00 1.624859117195356362e+01
8.053387113766153904e-01 2.521636900604290465e-02 2.549642898488578169e+00 1.077166407143547211e+01
8.414717865266052588e-01 2.963684109654716667e-02 2.586256197459600781e+00 1.893251305889397429e+01
7.550775177332884613e-01 2.896899482044135513e-02 2.481357539637663034e+00 1.930398834792643470e+01
8.754903227371728658e-01 2.533925299948170534e-02 2.442255872512800519e+00 1.284748119372768471e+01
