weight logl Mphi g si norm
0.000000000000000000e+00 -1.640385651832755912e+03 6.039433055293236263e-01 1.186799740223617450e-01 9.653427761860513545e-01 9.868173684941291546e-01
0.000000000000000000e+00 -1.574323648871329624e+03 8.212557784441575359e-01 7.057326867288410410e-01 9.738833340956071227e-01 8.937646956982955304e-01
0.000000000000000000e+00 -1.548971010571717898e+03 9.283124700731298917e-01 3.981642027233914805e-01 9.742390617818038612e-01 8.692047378743963382e-01
0.000000000000000000e+00 -1.517788579717352150e+03 7.631594070176230815e-01 3.925512823270405072e-01 9.599800029894169917e-01 8.823132392118335776e-01
0.000000000000000000e+00 -1.458795453608789330e+03 9.295008982370830397e-01 3.825663206512880388e-01 9.969312959121559015e-01 7.313158268460882017e-01
0.000000000000000000e+00 -1.448637882356772025e+03 7.480679378923531520e-01 4.280975390482015808e-01 9.370767349978919025e-01 8.871201249716641479e-01
0.000000000000000000e+00 -1.394448258667830032e+03 3.034595339384367207e-01 4.416526727274410202e-01 9.570818633883615423e-01 8.030345892357921844e-01
0.000000000000000000e+00 -1.284019509011561468e+03 8.676567031132812469e-01 6.675990619302979434e-01 9.377707998211466389e-01 7.449768098245634906e-01
0.000000000000000000e+00 -1.281197644862055540e+03 6.196709466437410052e-01 5.394603255321821500e-01 9.331758354623825857e-01 7.559226013728058691e-01
0.000000000000000000e+00 -1.267887794219666603e+03 8.807324581086681814e-01 4.057616784929851672e-01 8.589431483732451467e-01 9.597971907927695945e-01
0.000000000000000000e+00 -1.226552181530259077e+03 6.716538423323474838e-01 5.706852806112361343e-01 8.940179489279516112e-01 8.171535523274443547e-01
0.000000000000000000e+00 -1.220927499869732173e+03 6.916113171260632742e-01 1.197868964056483243e-01 8.910524485715093368e-01 8.192025086995575744e-01
0.000000000000000000e+00 -1.208317240155735590e+03 9.547172983868963403e-01 1.628976489651483561e-01 8.331392652954234812e-01 9.848959707367790362e-01
0.000000000000000000e+00 -1.189091334681398166e+03 5.557081513382774451e-01 2.471115225660668324e-01 9.039194804144478068e-01 7.650580764533414513e-01
0.000000000000000000e+00 -1.151336268274721533e+03 5.953370925221262988e-01 7.372604879940791722e-02 9.513683861391233343e-01 6.151572051859629520e-01
0.000000000000000000e+00 -1.102195965281794315e+03 8.073972249236274212e-01 2.275854305089972662e-01 9.365419451510925697e-01 6.131330391375012789e-01
0.000000000000000000e+00 -1.075372665819965277e+03 7.749324749196025985e-01 1.531899300643642103e-01 8.540554148875825202e-01 7.965375162031559375e-01
0.000000000000000000e+00 -1.064709853793848879e+03 5.877828399623576949e-01 4.797463573645184276e-01 8.866189071565030444e-01 7.051163011704337791e-01
0.000000000000000000e+00 -1.035949601772988444e+03 7.832853451462399308e-01 8.560860963243954735e-01 9.196557640574766213e-01 7.022682375295123958e-01
0.000000000000000000e+00 -1.026767956087345055e+03 6.921343668144025463e-01 2.744205276166437057e-01 9.023362785617765613e-01 6.356844536594824513e-01
0.000000000000000000e+00 -1.019785918995096608e+03 9.713899655597258986e-01 2.994764603762356536e-03 9.733093731543756011e-01 4.868838151501321265e-01
0.000000000000000000e+00 -1.013417951258095968e+03 1.431087458430441162e-01 3.060137479859378340e-01 9.857181608037441922e-01 5.276393567684520836e-01
