logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.557557813332493424e+03 -1.563550527619184777e+03 1.439999999999999947e+00
-1.563550527619184777e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.460235056822522438e+03 -1.466230271109213845e+03 1.400000000000000133e-01
-1.466230271109213845e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.371661581837395261e+03 -1.377659296124086495e+03 2.300000000000000100e-01
-1.377659296124086495e+03 7.119076206508688642e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.283606810297292668e+03 -1.289607024583983957e+03 9.599999999999999645e-01
-1.289607024583983957e+03 2.443947781227664962e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.275533304828680230e+03 -1.281536019115371573e+03 1.649999999999999911e+00
-1.281535706695234467e+03 3.252997001568776803e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -1.265734417348635134e+03 -1.271739631635326532e+03 1.110000000000000098e+00
-1.271739575967204701e+03 5.847714044793931087e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -1.262703733163911693e+03 -1.268711447450602918e+03 9.350000000000000533e-01
-1.268664176397121764e+03 6.630598022166408256e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -1.205491553620664490e+03 -1.211501767907355770e+03 1.879999999999999893e+00
-1.211501767907355770e+03 3.180941869268192690e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.188663206815150943e+03 -1.194675921101842277e+03 1.435000000000000053e+00
-1.194675921052567219e+03 2.927356081983431935e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.178034043936067064e+03 -1.184049258222758453e+03 5.400000000000000355e-01
-1.184049233962595963e+03 2.594401102472362908e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.166649155023240155e+03 -1.172666869309931371e+03 8.149999999999999467e-01
-1.172666857915324044e+03 2.928758537860415601e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.132568473928525918e+03 -1.138588688215217189e+03 1.379999999999999893e+00
-1.138588688215217189e+03 1.967788013933871483e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.117139100107933245e+03 -1.123161814394624571e+03 1.750000000000000000e+00
-1.123161814195009356e+03 1.750918696231174110e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.113105050670111041e+03 -1.119130264956802421e+03 6.049999999999999822e-01
-1.119112673778249700e+03 1.861540118158178814e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.112948794153152221e+03 -1.118976508439843428e+03 7.750000000000000222e-01
-1.118349128091815373e+03 1.331851822445456524e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -1.072642941521409057e+03 -1.078673155808100319e+03 5.649999999999999467e-01
-1.078673155808100319e+03 1.693511282887323688e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.040247691821612307e+03 -1.046280406108303623e+03 9.200000000000000400e-01
-1.046280406108303623e+03 2.222050293335342275e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.026763461492899978e+03 -1.032798675779591349e+03 1.514999999999999902e+00
-1.032798674383356001e+03 1.274647763497654473e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.007926159890553777e+03 -1.013963874177245089e+03 1.499999999999999944e-01
-1.013963874170635904e+03 1.844805560258193111e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -9.848955102766602749e+02 -9.909357245633516413e+02 3.500000000000000333e-02
-9.909357245632518243e+02 2.815732991890052261e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -9.617990399057382547e+02 -9.678417541924295620e+02 1.350000000000000089e+00
