weight logl Mphi g si norm
0.000000000000000000e+00 -1.557557813332493424e+03 2.914034938972346334e-01 2.108746641731252169e-04 3.404691196862246638e+00 1.991419380754208035e+01
0.000000000000000000e+00 -1.460235056822522438e+03 2.321262370305799960e-01 3.172502282007148323e-03 3.406482045289504157e+00 1.805329415212322886e+01
0.000000000000000000e+00 -1.371661581837395261e+03 3.867178584186262924e+01 1.394354516350127804e-01 3.362286634481599812e+00 1.819416789733829631e+01
0.000000000000000000e+00 -1.283606810297292668e+03 1.652687237967854728e+01 6.777818372812048284e-03 3.420799186535111058e+00 1.468575641706881996e+01
0.000000000000000000e+00 -1.275533304828680230e+03 3.061960916752282102e+01 1.110899766737482577e-03 3.294203451210766076e+00 1.914196028891123547e+01
0.000000000000000000e+00 -1.265734417348635134e+03 2.162693311066859536e+01 2.933781227437174399e-01 3.365767605214306180e+00 1.882530288546743691e+01
0.000000000000000000e+00 -1.262703733163911693e+03 1.031443233391676628e+01 9.557076848763777430e-03 3.422126636315343973e+00 1.430154933354155489e+01
0.000000000000000000e+00 -1.205491553620664490e+03 4.266188999158981865e+00 4.957089213167594280e-03 3.376718275644549738e+00 1.498092407007523796e+01
0.000000000000000000e+00 -1.188663206815150943e+03 6.031475476947015801e-01 6.913039463515059831e-03 3.474650379957163082e+00 1.473423135407405482e+01
0.000000000000000000e+00 -1.178034043936067064e+03 8.309857144656254135e+00 5.242044261400261636e-04 3.415910139360106790e+00 1.334018336093786772e+01
0.000000000000000000e+00 -1.166649155023240155e+03 3.301181721311219341e+00 7.852560082854504256e-03 3.254848868725946698e+00 1.892856489142890908e+01
0.000000000000000000e+00 -1.132568473928525918e+03 8.165057182615770159e+01 1.152325446476635921e-02 3.332109548982076674e+00 1.530447635270316198e+01
0.000000000000000000e+00 -1.117139100107933245e+03 3.091068646187937574e+01 8.493600038432368160e-02 3.250511346924182199e+00 1.798248139324188344e+01
0.000000000000000000e+00 -1.113105050670111041e+03 5.771916113460943965e-02 9.781077199943477574e-03 3.433197444172146451e+00 1.355986836195706680e+01
0.000000000000000000e+00 -1.112948794153152221e+03 7.531626876591547948e+00 2.010759344783565614e-04 3.344489635675559569e+00 1.460497046549488509e+01
0.000000000000000000e+00 -1.072642941521409057e+03 6.221786331424745953e+01 4.196704223919218123e-04 3.404472465036096462e+00 1.227423925752628975e+01
0.000000000000000000e+00 -1.040247691821612307e+03 2.107320419264886890e+00 5.282953003736824390e-04 3.260685613064999266e+00 1.754131926111464423e+01
0.000000000000000000e+00 -1.026763461492899978e+03 3.814135102647263409e+00 2.232673331071846601e-04 3.458154322818947968e+00 1.037970386381997479e+01
0.000000000000000000e+00 -1.007926159890553777e+03 9.782278859204947707e+01 5.809026546023304816e-01 3.393559999763882118e+00 1.181669774135199091e+01
0.000000000000000000e+00 -9.848955102766602749e+02 9.242801225278100219e+01 3.997744412619137072e-02 3.252843510686980188e+00 1.562799406400806568e+01
0.000000000000000000e+00 -9.617990399057382547e+02 1.401022310548183381e+00 6.501721996049484448e-03 3.352363232947476845e+00 1.908908670961114140e+01
0.000000000000000000e+00 -9.609615301590349645e+02 2.959247526407658979e-01 1.376757016049206216e-02 3.253019836045643487e+00 1.932541342797441075e+01
0.000000000000000000e+00 -9.570735006205570699e+02 9.911999857168718453e-02 1.378792393462041643e-04 3.334935863727254812e+00 1.266480193934109089e+01
0.000000000000000000e+00 -9.482529115864749656e+02 5.025300519859204201e-02 2.331476250993935891e-04 3.128798761144345963e+00 1.966065153877515925e+01
0.000000000000000000e+00 -9.202366328741845791e+02 1.598880496704390808e+01 1.134950598349792695e-03 3.238784766561075390e+00 1.504457972792718223e+01
0.000000000000000000e+00 -9.042954316973020923e+02 3.982145096777819582e+00 1.479973641358473153e-02 3.293068788301495964e+00 1.314499302747067766e+01
0.000000000000000000e+00 -8.973877174008352995e+02 2.041838470919228321e+00 1.341422104935503963e-04 3.273079500813779408e+00 1.437455384677282311e+01
