Mphi g si norm mntot
4.232107693838391693e-01 1.969029148498400647e-02 2.625528648506589402e+00 1.029424177741134727e+01 1.226380488996249019e-01
5.278418392379817803e-01 3.116498411029374263e-03 2.504342734957619054e+00 7.272809950025366454e+00 1.288572294234690552e-01
6.355335887655375160e+00 1.341019631919443140e-03 2.385783429901871866e+00 7.867559656591426531e+00 1.107718960935515640e-01
6.172315444290791264e-01 1.473737737210891081e-02 2.656644974034740869e+00 8.882658067277136027e+00 1.197271714946410576e-01
6.200998342640486882e+00 3.457475246666556756e-02 2.424389179598992694e+00 8.000189183513256808e+00 1.479002479698388051e-01
5.215424871550776720e-01 2.452985542635084323e-02 2.917871175391776095e+00 1.047277763608364864e+01 1.334935096842712055e-01
3.523126464234475202e-02 2.012398907587766364e-02 2.857100764205161791e+00 1.305117362230137701e+01 1.159914514338155206e-01
8.402909162591812864e-01 1.294541222341867408e-02 2.616379378474765538e+00 8.690090382319503703e+00 1.442583290777735006e-01
5.640146500615701441e-01 3.120374491057141889e-02 3.188280052329372616e+00 1.745236094649029113e+01 1.241083701674099843e-01
2.822788010966671424e-01 1.040246978727561722e-02 2.574095054101906754e+00 6.832673647276601869e+00 1.296039206637887020e-01
5.280383795756130594e-01 2.010858108686754825e-02 2.953863478330109871e+00 9.381702826682849050e+00 1.149217917105060660e-01
3.957881809585325761e-01 2.337076097713922801e-02 3.018071519739626840e+00 1.196096199022916018e+01 1.108056935279497779e-01
1.268329011460672540e+01 9.396181560487017193e-02 2.354830900281806638e+00 9.652212782505355193e+00 1.236034225543866660e-01
9.885466530188156131e-01 8.050734380641104936e-04 2.580391001621862301e+00 6.423262058087518156e+00 1.371773902800120515e-01
3.462015328381771312e-02 1.615552531565536340e-02 2.697762449145066022e+00 9.973516576444874104e+00 1.171541451782745769e-01
1.107521181935729321e-01 1.464050724814744929e-02 2.716516207867540889e+00 7.410215600142135983e+00 1.411279560117329468e-01
8.689506352407712075e-01 1.088903833260260060e-03 2.494062413875452133e+00 7.277347339568661866e+00 1.422713083839797776e-01
5.252336215055998458e+00 3.634022019323263249e-03 2.406128214634876805e+00 7.552545483727198139e+00 1.290919720926454739e-01
6.434080160540900373e+00 4.315179783513394679e-02 2.338199369869145894e+00 9.920081086465687648e+00 1.164292616506748118e-01
1.596160101718438196e-01 2.792977450102269651e-02 3.016820148451270445e+00 1.594057986957045792e+01 1.424861326802810135e-01
7.208685803057310881e-01 3.106442975376650165e-02 3.178311752866912698e+00 1.332266366749419362e+01 1.420051273331665309e-01
5.707920986304468869e+00 2.268270966485586189e-03 2.461744953975237848e+00 6.739364584666025948e+00 1.402296193076203179e-01
3.645240426679538515e-02 1.405263752821476336e-02 2.702918214100618499e+00 8.830967612267166089e+00 1.167293931779460614e-01
4.946538079548329359e-01 2.156483742953619123e-02 2.935792743181944164e+00 1.099359803888417986e+01 1.139474475203173104e-01
8.984069489968736777e-01 9.274303329858056251e-04 2.532937857163303441e+00 7.840015829575190054e+00 1.445370690069103237e-01
