logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.661620863011379697e+03 -1.667613577298071050e+03 1.199999999999999956e+00
-1.667613577298071050e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.652677784256806945e+03 -1.658672998543498352e+03 1.050000000000000044e+00
-1.658672867586852135e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.537923694032628418e+03 -1.543921408319319653e+03 1.110000000000000098e+00
-1.543921408319319653e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.440928698992924865e+03 -1.446928913279616154e+03 1.469999999999999973e+00
-1.446928913279616154e+03 6.447280070461555113e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.421707496637560325e+03 -1.427710210924251669e+03 1.419999999999999929e+00
-1.427710210919749443e+03 8.911052226944374155e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -1.356748856678118955e+03 -1.362754070964810353e+03 3.750000000000000000e-01
-1.362754070964810353e+03 3.368881373002236757e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.287843706486768042e+03 -1.293851420773459267e+03 5.949999999999999734e-01
-1.293851420773459267e+03 2.997132786465036958e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.225843784756027844e+03 -1.231853999042719124e+03 1.205000000000000071e+00
-1.231853999042719124e+03 1.712586055268513263e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.220002870768366392e+03 -1.226015585055057727e+03 6.199999999999999956e-01
-1.226012675831209663e+03 1.850213122483224382e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.210244499572266250e+03 -1.216259713858957639e+03 1.580000000000000071e+00
-1.216259655738394713e+03 6.224571042504306817e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.198570955754070155e+03 -1.204588670040761372e+03 6.099999999999999867e-01
-1.204588661502814375e+03 9.329011835607650127e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -1.179157802598262833e+03 -1.185178016884954104e+03 1.784999999999999920e+00
-1.185178016881238136e+03 1.504682070421793227e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.175240981136420487e+03 -1.181263695423111812e+03 6.250000000000000000e-01
-1.181243937812775584e+03 1.396601860397198358e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.170905723050345387e+03 -1.176930937337036767e+03 1.250000000000000000e+00
-1.176917632931480966e+03 2.633463372761442045e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.164054345542540204e+03 -1.170082059829231412e+03 1.475000000000000089e+00
-1.170080985555331154e+03 1.937291291220903267e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -1.163091705176338792e+03 -1.169121919463030054e+03 5.450000000000000400e-01
-1.168797483197831980e+03 1.254371335678677202e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.152190692351765847e+03 -1.158223406638457163e+03 2.200000000000000011e-01
-1.158223381068420849e+03 5.383258815334206027e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -1.125453323417214051e+03 -1.131488537703905422e+03 1.900000000000000022e-01
-1.131488537703902921e+03 1.685372534342955930e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.073485541149528899e+03 -1.079523255436220325e+03 1.324999999999999956e+00
-1.079523255436220325e+03 2.959163941554511368e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.057905314104492163e+03 -1.063945528391183416e+03 5.500000000000000444e-01
-1.063945528219519474e+03 7.246713080104465021e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.049212222298610186e+03 -1.055254936585301493e+03 2.600000000000000089e-01
-1.055254768438931706e+03 7.221124274286871980e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.035663337255574788e+03 -1.041708551542266150e+03 1.909999999999999920e+00
-1.041708550233227470e+03 5.913697706127869047e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -1.015807886949600174e+03 -1.021855601236291477e+03 1.405000000000000027e+00
-1.021855601233903826e+03 1.200567166350551496e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -9.862929685536515763e+02 -9.923431828403429336e+02 5.649999999999999467e-01
-9.923431828403428199e+02 1.726969245655290663e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -9.752567332685543988e+02 -9.813094475552456970e+02 7.199999999999999734e-01
-9.813094314077141007e+02 1.116359989775728678e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -9.409212986264822121e+02 -9.469765129131735648e+02 4.149999999999999800e-01
-9.469765129131735648e+02 2.397433539703822092e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -9.308913870786840334e+02 -9.369491013653753271e+02 4.500000000000000111e-01
-9.369490571940016252e+02 1.181021389622254603e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -9.247357773267914354e+02 -9.307959916134827836e+02 1.530000000000000027e+00
-9.307938669208169813e+02 1.353647530906254737e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -9.168549499330097206e+02 -9.229176642197010096e+02 1.155000000000000027e+00
-9.229172846197070612e+02 5.508183926404200292e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -8.518148436174490143e+02 -8.578800579041403580e+02 5.500000000000000028e-02
-8.578800579041403580e+02 3.118411137229664476e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -8.479416469357533970e+02 -8.540093612224446815e+02 2.000000000000000000e+00
-8.539887316402662236e+02 2.284910042828902732e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -8.292073969264007474e+02 -8.352776112130920865e+02 1.155000000000000027e+00
-8.352776112056127431e+02 2.809246329912132012e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -8.247834497395380140e+02 -8.308561640262292940e+02 5.100000000000000089e-01
-8.308442188258702572e+02 7.426309678586196839e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -8.005027680324806170e+02 -8.065779823191719515e+02 3.499999999999999778e-01
-8.065779823191430751e+02 8.591757825669628090e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -7.955493027451992702e+02 -8.016270170318905457e+02 1.909999999999999920e+00
-8.016199653786383124e+02 3.327536874483903340e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -7.910295874111028525e+02 -7.971098016977941825e+02 5.500000000000000444e-01
-7.970988650613361415e+02 3.917414563946777228e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -7.896652291592736219e+02 -7.957479434459648928e+02 9.549999999999999600e-01
-7.955176245384815275e+02 9.103336135591930667e-01 -9.250000000000004052e-02 4.000000000000000000e+02 -7.455156461303677133e+02 -7.516008604170590388e+02 4.899999999999999911e-01
-7.516008604170590388e+02 1.913626078463235913e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -7.068167849388619288e+02 -7.129044992255531952e+02 1.314999999999999947e+00
-7.129044992255531952e+02 1.660649285275142617e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -6.622815434615145023e+02 -6.683717577482058232e+02 1.389999999999999902e+00
-6.683717577482058232e+02 2.007825933938787699e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -6.615767259291600340e+02 -6.676694402158512958e+02 8.649999999999999911e-01
-6.672670225572892377e+02 1.259946688718354579e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -6.557381159544977436e+02 -6.618333302411890600e+02 1.675000000000000044e+00
-6.618289728067422857e+02 1.403958208984773570e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -6.026972115683644233e+02 -6.087949258550556806e+02 1.014999999999999902e+00
-6.087949258550556806e+02 2.677033782341414181e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -5.871525391370246325e+02 -5.932527534237159443e+02 1.695000000000000062e+00
-5.932527532458387896e+02 2.531269560342108704e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -5.758759339551517087e+02 -5.819786482418430751e+02 1.750000000000000000e+00
-5.819786355444182391e+02 8.605198559216113097e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -5.674730575358486249e+02 -5.735782718225399321e+02 2.999999999999999889e-01
-5.735780470622505618e+02 1.014919887753705829e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -5.664940318266269514e+02 -5.726017461133183133e+02 6.149999999999999911e-01
-5.722820553551764533e+02 1.039066044454852999e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -5.652569322202593867e+02 -5.713671465069506894e+02 2.449999999999999956e-01
-5.710302792515341253e+02 1.430873549097671615e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -5.511795941188403276e+02 -5.572923084055316849e+02 5.500000000000000444e-01
-5.572923073249071422e+02 5.021147658811333514e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -5.409616523177039653e+02 -5.470768666043952635e+02 1.600000000000000089e+00
-5.470768300042745977e+02 7.565494718821148545e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -5.270696586080267707e+02 -5.331873728947181235e+02 4.149999999999999800e-01
-5.331873719659972721e+02 8.942631135560263900e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -5.119541008025759083e+02 -5.180743150892672020e+02 2.500000000000000139e-02
-5.180743148160659075e+02 1.072893427204355987e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -5.115843152053416816e+02 -5.177070294920330298e+02 4.099999999999999756e-01
-5.171807565953010908e+02 8.067059911801335303e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -5.079280979454798057e+02 -5.140533122321711517e+02 9.050000000000000266e-01
-5.140104159102788799e+02 1.654223044554459454e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -5.063115631032267174e+02 -5.124392773899180611e+02 8.449999999999999734e-01
-5.122504698679890680e+02 2.106074132808290145e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -5.041123345495869330e+02 -5.102425488362782744e+02 5.799999999999999600e-01
-5.101165617481848926e+02 1.811332028834002239e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -4.973596777856183735e+02 -5.034923920723097126e+02 6.550000000000000266e-01
-5.034910650706196975e+02 3.420949886011778851e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -4.958315494447006131e+02 -5.019667637313919499e+02 5.500000000000000028e-02
-5.017697398246991725e+02 1.219133947948056296e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -4.870521729238261059e+02 -4.931898872105174405e+02 9.799999999999999822e-01
-4.931896993754973550e+02 4.513934866670334500e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -4.832179922215493093e+02 -4.893582065082406416e+02 1.754999999999999893e+00
-4.893367608880290618e+02 4.954557862485874153e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -4.607700642096537536e+02 -4.669127784963450836e+02 5.500000000000000444e-01
-4.669127784961625025e+02 8.875280608422155382e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -4.548150755520236999e+02 -4.609602898387150276e+02 1.735000000000000098e+00
-4.609576938476806163e+02 2.782537128151261197e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -4.419170844695941582e+02 -4.480647987562854837e+02 1.900000000000000022e-01
-4.480647962404266877e+02 6.779817755224728515e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -4.413473873285275886e+02 -4.474976016152189118e+02 9.200000000000000400e-01
-4.470483657910847342e+02 5.764407110870850559e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -4.351754486989918291e+02 -4.413281629856831501e+02 1.270000000000000018e+00
-4.413248893042037935e+02 3.186058199134544910e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -4.346689002334912288e+02 -4.408241145201825475e+02 2.000000000000000000e+00
-4.403503299779492295e+02 1.638128438364130135e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -4.341438067313109173e+02 -4.403015210180022336e+02 2.899999999999999800e-01
-4.396324805576492167e+02 1.915561209783771313e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -4.331328961814710965e+02 -4.392931104681624106e+02 9.350000000000000533e-01
-4.387553203857526114e+02 8.561383845127186198e-01 -1.700000000000000955e-01 4.000000000000000000e+02 -4.263687824135597566e+02 -4.325314967002510684e+02 6.650000000000000355e-01
-4.325295170076436193e+02 2.747236550309378522e+00 -1.725000000000000977e-01 4.000000000000000000e+02 -4.238081079847514161e+02 -4.299733222714427257e+02 5.000000000000000000e-01
-4.298985864210862928e+02 1.244070201292158062e+00 -1.750000000000000999e-01 4.000000000000000000e+02 -4.162257036113199433e+02 -4.223934178980112506e+02 1.235000000000000098e+00
-4.223928678162184269e+02 4.190963137406122030e+00 -1.775000000000001021e-01 4.000000000000000000e+02 -4.077731087683964688e+02 -4.139433230550877738e+02 2.849999999999999756e-01
-4.139431090801687105e+02 2.901770422682548034e+00 -1.800000000000001044e-01 4.000000000000000000e+02 -3.805503577332466421e+02 -3.867230720199379448e+02 2.000000000000000111e-01
-3.867230720199364100e+02 1.494270097829863353e+01 -1.825000000000001066e-01 4.000000000000000000e+02 -3.585466463980838512e+02 -3.647218606847751516e+02 1.774999999999999911e+00
-3.647218606844965620e+02 1.943575440442995372e+01 -1.850000000000001088e-01 4.000000000000000000e+02 -3.479547521994230692e+02 -3.541324664861143674e+02 8.100000000000000533e-01
-3.541324413047611301e+02 8.870122183082322920e+00 -1.875000000000001110e-01 4.000000000000000000e+02 -3.450186569087099997e+02 -3.511988711954012956e+02 8.999999999999999667e-02
-3.511470316427125340e+02 9.369850999760590327e+00 -1.900000000000001132e-01 4.000000000000000000e+02 -3.387741152242984413e+02 -3.449568295109897349e+02 1.245000000000000107e+00
-3.449547821957104929e+02 1.138684257647006426e+01 -1.925000000000001155e-01 4.000000000000000000e+02 -3.327969254294692973e+02 -3.389821397161605887e+02 1.645000000000000018e+00
-3.389795954547421957e+02 1.262538451919911964e+01 -1.950000000000001177e-01 4.000000000000000000e+02 -3.321385653252991119e+02 -3.383262796119904010e+02 7.550000000000000044e-01
-3.379073603372613093e+02 4.010068000549901868e+00 -1.975000000000001199e-01 4.000000000000000000e+02 -3.283615428852183982e+02 -3.345517571719096850e+02 6.999999999999999556e-01
-3.345174636540277220e+02 2.709950300945782597e+00 -2.000000000000001221e-01 4.000000000000000000e+02 -3.206861496388613091e+02 -3.268788639255526505e+02 3.850000000000000089e-01
-3.268783825392235940e+02 3.748921906671607740e+00 -2.025000000000001243e-01 4.000000000000000000e+02 -3.180343640118628059e+02 -3.242295782985541450e+02 1.239999999999999991e+00
-3.241612322738188823e+02 1.875714743106247306e+00 -2.050000000000001266e-01 4.000000000000000000e+02 -3.178167164993818119e+02 -3.240144307860731487e+02 8.850000000000000089e-01
-3.233919929302308560e+02 1.912977801855929805e+00 -2.075000000000001288e-01 4.000000000000000000e+02 -3.160535573920595311e+02 -3.222537716787508657e+02 1.379999999999999893e+00
-3.219758457387125077e+02 1.394349410752993679e+00 -2.100000000000001310e-01 4.000000000000000000e+02 -3.024726324475631714e+02 -3.086753467342545036e+02 3.599999999999999867e-01
-3.086753450605980902e+02 7.372721850442607305e+00 -2.125000000000001332e-01 4.000000000000000000e+02 -2.966237206365613588e+02 -3.028289349232526888e+02 1.969999999999999973e+00
-3.028260488358329212e+02 2.661863718891484876e+00 -2.150000000000001354e-01 4.000000000000000000e+02 -2.945740823942309703e+02 -3.007817966809222980e+02 1.455000000000000071e+00
-3.006600420026852021e+02 2.440689885627385536e+00 -2.175000000000001377e-01 4.000000000000000000e+02 -2.935140753355317429e+02 -2.997242896222230684e+02 8.299999999999999600e-01
-2.993933393158024501e+02 1.188911120496004115e+00 -2.200000000000001399e-01 4.000000000000000000e+02 -2.888650607745615275e+02 -2.950777750612528507e+02 3.750000000000000000e-01
