weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.661620863011379697e+03 7.242203124048998575e+01 2.434438645206487006e-01 3.452434756536471028e+00 1.996032287935293326e+01 1.202402366055366489e-01
0.000000000000000000e+00 -1.652677784256806945e+03 4.405516477838243572e-02 3.475340426553515973e-03 3.453681347432311810e+00 1.987108847070096118e+01 1.035087033049229416e-01
0.000000000000000000e+00 -1.537923694032628418e+03 7.680004933411271395e+01 2.932304170817784123e-04 3.462896853973983280e+00 1.726833910841564901e+01 1.225979827007949718e-01
0.000000000000000000e+00 -1.440928698992924865e+03 4.550569715937382437e-02 1.395227217284894690e-04 3.351248780724800369e+00 1.990761849063957456e+01 1.241930503760643179e-01
0.000000000000000000e+00 -1.421707496637560325e+03 3.083943324503866990e+01 3.472657216359569237e-03 3.352815561382327836e+00 1.947330848587571950e+01 1.302272295670494628e-01
0.000000000000000000e+00 -1.356748856678118955e+03 2.278130809743994067e+00 5.655640486333308233e-04 3.469681090485975616e+00 1.466832922995548216e+01 1.117058016045296698e-01
0.000000000000000000e+00 -1.287843706486768042e+03 2.215136034252369512e+01 4.718101578376533885e-03 3.455990005811901966e+00 1.366917514372281239e+01 1.096038369426588083e-01
0.000000000000000000e+00 -1.225843784756027844e+03 4.306444167878728280e+01 3.010432294631245481e-02 3.303480812297313385e+00 1.787284188090126591e+01 1.249443655790951901e-01
0.000000000000000000e+00 -1.220002870768366392e+03 1.773578821832519381e+01 3.160316767077708030e-03 3.350285812258678497e+00 1.606160529458657749e+01 1.016747133510947920e-01
0.000000000000000000e+00 -1.210244499572266250e+03 7.783148108492444983e+00 5.269483232322536362e-04 3.399645461136599600e+00 1.428951661777985294e+01 1.131649665597659199e-01
0.000000000000000000e+00 -1.198570955754070155e+03 7.233877740830155223e-02 1.979805014863757640e-03 3.278069076678051363e+00 1.838040881789434522e+01 1.200846306409017461e-01
0.000000000000000000e+00 -1.179157802598262833e+03 3.805632806591415118e+01 2.923257895779625241e-03 3.284446838499285093e+00 1.777894557466339975e+01 1.139109789148363000e-01
0.000000000000000000e+00 -1.175240981136420487e+03 3.491045988621526708e-01 1.119692472531939398e-03 3.275627048444365919e+00 1.899959767364211771e+01 1.278147139895018658e-01
0.000000000000000000e+00 -1.170905723050345387e+03 6.545269854278815558e+01 8.070386543115537492e-02 3.321979759680536048e+00 1.626126434944075783e+01 1.060279656768903789e-01
0.000000000000000000e+00 -1.164054345542540204e+03 2.479889760097898588e+01 6.174478631702917794e-04 3.236692624920841865e+00 1.940582462568552202e+01 1.364937607586191870e-01
0.000000000000000000e+00 -1.163091705176338792e+03 1.618445803353836965e+01 2.278502668667463718e-02 3.249762609410102865e+00 1.884329714579213189e+01 1.371758271743359070e-01
0.000000000000000000e+00 -1.152190692351765847e+03 3.552068543093480457e+01 9.853133723104507292e-04 3.408459972792889481e+00 1.321328027111457359e+01 1.311098084061230462e-01
0.000000000000000000e+00 -1.125453323417214051e+03 2.115016771500913606e+01 1.913652316861516253e-02 3.227394097979742416e+00 1.905134498157745782e+01 1.245077400461108569e-01
0.000000000000000000e+00 -1.073485541149528899e+03 1.091923157486900742e+01 2.017040418395625329e-03 3.406982560200277010e+00 1.220126946883404706e+01 1.066523055455716601e-01
0.000000000000000000e+00 -1.057905314104492163e+03 5.777487150563014040e-02 5.637083690888974701e-03 3.257917404393491090e+00 1.699694557898008185e+01 1.265105309973896253e-01
0.000000000000000000e+00 -1.049212222298610186e+03 7.680687724764785340e-01 8.977680760273169976e-04 3.441961217516431137e+00 1.529086507674180773e+01 1.146136838603711849e-01
0.000000000000000000e+00 -1.035663337255574788e+03 3.853207116583075731e+01 3.030116257947773964e-02 3.250652174174212483e+00 1.654992491398438403e+01 1.384446217297133352e-01
0.000000000000000000e+00 -1.015807886949600174e+03 1.474674206286724631e-01 4.042022232983088700e-03 3.452457367022911949e+00 1.041418242642116532e+01 1.347197124990257011e-01
0.000000000000000000e+00 -9.862929685536515763e+02 6.082291253766707040e-02 1.204685241203032011e-04 3.248929768321906941e+00 1.578497826804715842e+01 1.435006074123409414e-01
0.000000000000000000e+00 -9.752567332685543988e+02 4.558030924035158193e+01 3.657772258288983624e-03 3.385770905253657759e+00 1.153351675729355286e+01 1.492406063660403903e-01
0.000000000000000000e+00 -9.409212986264822121e+02 6.321092819056973156e+01 9.493189982352943923e-02 3.352813700391968688e+00 1.195949378543623531e+01 1.380504455100515226e-01
0.000000000000000000e+00 -9.308913870786840334e+02 5.079693995353028180e-02 1.412011560697822932e-03 3.159655309931525213e+00 1.807405497705556385e+01 1.430261036107729200e-01
0.000000000000000000e+00 -9.247357773267914354e+02 2.719798357884769757e+01 1.419783806632055837e-03 3.330154389329064379e+00 1.235822478405948033e+01 1.196067345477736243e-01
0.000000000000000000e+00 -9.168549499330097206e+02 4.510063379820903467e-02 1.765761054127435847e-03 3.291327748288433774e+00 1.335814546903366384e+01 1.474401389190674316e-01
0.000000000000000000e+00 -8.518148436174490143e+02 1.282773917077977943e+00 3.864045271657756274e-04 3.444195679956648881e+00 1.254270644710554095e+01 1.293789476052986664e-01
0.000000000000000000e+00 -8.479416469357533970e+02 4.445295322028731277e+01 1.392767959352269875e-04 3.112273425554334505e+00 1.831389905241137939e+01 1.360864174792986159e-01
0.000000000000000000e+00 -8.292073969264007474e+02 3.931860530931421266e-02 3.743295995342173048e-03 3.456828629434915978e+00 8.391373502196890044e+00 1.059230586970178606e-01
0.000000000000000000e+00 -8.247834497395380140e+02 6.586667814619594219e-02 3.123181440244598202e-03 3.124020346144551041e+00 1.745311275282395158e+01 1.152985095529759224e-01
0.000000000000000000e+00 -8.005027680324806170e+02 3.581777902988037710e+01 5.324354563500096303e-03 3.067930061188361979e+00 1.910947075047322130e+01 1.156189116905310815e-01
0.000000000000000000e+00 -7.955493027451992702e+02 3.555760340701342170e-01 1.584282276668850815e-04 3.408273541808921170e+00 8.967435590460544503e+00 1.434574327879563627e-01
0.000000000000000000e+00 -7.910295874111028525e+02 7.354405499009637470e-01 1.167472071927643873e-03 3.496969465639148567e+00 9.517515389182889862e+00 1.464829376040519271e-01
0.000000000000000000e+00 -7.896652291592736219e+02 5.483054069917015738e+01 1.046033002797283791e-02 3.140447428412392661e+00 1.615995033968233940e+01 1.083675165867891144e-01
1.643756403713827252e-320 -7.455156461303677133e+02 3.014383250572959838e+01 4.572816014074718854e-02 3.196734043917774937e+00 1.357489481890480221e+01 1.129932006721416499e-01
1.050663041346245808e-303 -7.068167849388619288e+02 2.609828038113072779e+01 9.211730025517459244e-03 3.292785284650623367e+00 1.044416947289530917e+01 1.039029606829609542e-01
2.300315168400534310e-284 -6.622815434615145023e+02 3.685932729161228494e+00 6.123370293854758610e-03 3.196677109627362068e+00 1.232444654897383174e+01 1.325179121198631904e-01
4.643013773960446352e-284 -6.615767259291600340e+02 3.503702026939197745e-01 3.796151255396336670e-03 3.057257556471200122e+00 1.786117781454993647e+01 1.239235277933928847e-01
1.589975124786470288e-281 -6.557381159544977436e+02 5.484800063128116715e-02 5.472930114349737994e-03 3.447336339927313809e+00 6.912890493545077675e+00 1.493222824129867843e-01
1.720587183963503971e-258 -6.026972115683644233e+02 5.279399324870499149e-02 4.879140277965564971e-04 3.059571981471465030e+00 1.539740220758877776e+01 1.145701155479917077e-01
