weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.661620863011379697e+03 9.602230707599654913e-01 8.465997083902219167e-01 9.682898376909806482e-01 9.979117304922595633e-01 4.048047321107329788e-01
0.000000000000000000e+00 -1.652677784256806945e+03 4.736909422889823418e-02 3.852493380683936763e-01 9.691208982882076883e-01 9.932151826684716411e-01 7.017406609845877608e-02
0.000000000000000000e+00 -1.537923694032628418e+03 9.674588570089539541e-01 1.168022545257024758e-01 9.752645693159888163e-01 8.562283741271394799e-01 4.519596540158993259e-01
0.000000000000000000e+00 -1.440928698992924865e+03 5.136268677541311334e-02 3.616123490911937743e-02 9.008325204832000610e-01 9.951378152968196611e-01 4.838610075212863570e-01
0.000000000000000000e+00 -1.421707496637560325e+03 8.549783717293183427e-01 3.851654791281033940e-01 9.018770409215520756e-01 9.722793939934588625e-01 6.045445913409894789e-01
0.000000000000000000e+00 -1.356748856678118955e+03 5.337843107280758614e-01 1.881204486871311810e-01 9.797873936573169296e-01 7.193857489450253828e-01 2.341160320905933956e-01
0.000000000000000000e+00 -1.287843706486768042e+03 8.141861683613377254e-01 4.184418216985175132e-01 9.706600038746013848e-01 6.667986917748848219e-01 1.920767388531759989e-01
0.000000000000000000e+00 -1.225843784756027844e+03 8.961414214338411233e-01 6.196572160656044215e-01 8.689872081982087382e-01 8.880443095211192350e-01 4.988873115819039139e-01
0.000000000000000000e+00 -1.220002870768366392e+03 7.867796310770731605e-01 3.749326538270021381e-01 9.001905415057854798e-01 7.927160681361355987e-01 3.349426702189561844e-02
0.000000000000000000e+00 -1.210244499572266250e+03 6.852447145383938620e-01 1.804420067274697947e-01 9.330969740910662891e-01 6.994482430410449147e-01 2.632993311953182314e-01
0.000000000000000000e+00 -1.198570955754070155e+03 1.085049862431186618e-01 3.241556049973808307e-01 8.520460511187009089e-01 9.147583588365445495e-01 4.016926128180348110e-01
0.000000000000000000e+00 -1.179157802598262833e+03 8.809004941531762833e-01 3.664667828483650913e-01 8.562978923328569136e-01 8.831023986664947589e-01 2.782195782967259445e-01
0.000000000000000000e+00 -1.175240981136420487e+03 3.025464094257502845e-01 2.622746896359049451e-01 8.504180322962439087e-01 9.473472459811641544e-01 5.562942797900370939e-01
0.000000000000000000e+00 -1.170905723050345387e+03 9.477494241018722398e-01 7.267235840994071827e-01 8.813198397870239953e-01 8.032244394442504820e-01 1.205593135378073555e-01
0.000000000000000000e+00 -1.164054345542540204e+03 8.281043236338440083e-01 1.976500729957245683e-01 8.244617499472278732e-01 9.687276118781854573e-01 7.298752151723838510e-01
0.000000000000000000e+00 -1.163091705176338792e+03 7.754955829149267066e-01 5.894123853951726000e-01 8.331750729400685396e-01 9.391209024101121461e-01 7.435165434867180290e-01
0.000000000000000000e+00 -1.152190692351765847e+03 8.724001889143558897e-01 2.483935942286482623e-01 9.389733151952597279e-01 6.428042247955039201e-01 6.221961681224610352e-01
0.000000000000000000e+00 -1.125453323417214051e+03 8.084844148146012044e-01 5.704657588846778760e-01 8.182627319864950177e-01 9.500707885040767797e-01 4.901548009222170821e-01
0.000000000000000000e+00 -1.073485541149528899e+03 7.269823933933081683e-01 3.261786502237805641e-01 9.379883734668512663e-01 5.895404983596866932e-01 1.330461109114330354e-01
0.000000000000000000e+00 -1.057905314104492163e+03 8.079123754116401823e-02 4.377636206538432218e-01 8.386116029289941709e-01 8.419445041568462962e-01 5.302106199477927273e-01
0.000000000000000000e+00 -1.049212222298610186e+03 3.997522921958429620e-01 2.382910395369370882e-01 9.613074783442874249e-01 7.521507935127267341e-01 2.922736772074236988e-01
0.000000000000000000e+00 -1.035663337255574788e+03 8.824320459990728782e-01 6.203648229025228167e-01 8.337681161161415444e-01 8.184171007360201422e-01 7.688924345942667049e-01
0.000000000000000000e+00 -1.015807886949600174e+03 1.963095750095248393e-01 4.016496745013599101e-01 9.683049113486079662e-01 4.954832856011139874e-01 6.943942499805139112e-01
0.000000000000000000e+00 -9.862929685536515763e+02 8.712929970154070780e-02 2.021839744032571939e-02 8.326198455479379978e-01 7.781567509498504842e-01 8.700121482468191614e-01
0.000000000000000000e+00 -9.752567332685543988e+02 9.031409374720055228e-01 3.908041654404150744e-01 9.238472701691051725e-01 5.543956188049238287e-01 9.848121273208079174e-01
0.000000000000000000e+00 -9.409212986264822121e+02 9.434531112649867657e-01 7.443530430684044408e-01 9.018758002613124214e-01 5.768154623913808177e-01 7.610089102010304529e-01
0.000000000000000000e+00 -9.308913870786840334e+02 6.492312471080152747e-02 2.874595631178127331e-01 7.731035399543502162e-01 8.986344724766085479e-01 8.605220722154582891e-01
0.000000000000000000e+00 -9.247357773267914354e+02 8.394882896476787426e-01 2.880555546283537494e-01 8.867695928860430676e-01 5.978013044241832219e-01 3.921346909554723759e-01
0.000000000000000000e+00 -9.168549499330097206e+02 5.026042709222988680e-02 3.117329834322766224e-01 8.608851655256224422e-01 6.504287088965086117e-01 9.488027783813485216e-01
0.000000000000000000e+00 -8.518148436174490143e+02 4.629818350140915140e-01 1.467605515059967614e-01 9.627971199710990691e-01 6.075108656371337457e-01 5.875789521059734399e-01
0.000000000000000000e+00 -8.479416469357533970e+02 9.000535053989433543e-01 3.596969181828602036e-02 7.415156170362230403e-01 9.112578448637568274e-01 7.217283495859725395e-01
0.000000000000000000e+00 -8.292073969264007474e+02 3.334683312212560757e-02 3.933135424091978027e-01 9.712190862899440225e-01 3.890196580103626456e-01 1.184611739403571562e-01
0.000000000000000000e+00 -8.247834497395380140e+02 9.695040085060635526e-02 3.736493037911465809e-01 7.493468974297006202e-01 8.659533027802079896e-01 3.059701910595183927e-01
0.000000000000000000e+00 -8.005027680324806170e+02 8.734269955346291026e-01 4.315667421591642405e-01 7.119533741255745785e-01 9.531300394985905422e-01 3.123782338106216860e-01
0.000000000000000000e+00 -7.955493027451992702e+02 3.048107257245220580e-01 4.995814094811756867e-02 9.388490278726140392e-01 4.193387152873970791e-01 8.691486557591274753e-01
0.000000000000000000e+00 -7.910295874111028525e+02 3.944008345389853343e-01 2.668116250605465645e-01 9.979796437594323777e-01 4.482902836412047121e-01 9.296587520810387639e-01
