logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.474457867868919720e+03 -1.480450582155611073e+03 1.189999999999999947e+00
-1.480450582155611073e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.350163034029744722e+03 -1.356158248316436129e+03 1.669999999999999929e+00
-1.356158248316436129e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.267488496594031176e+03 -1.273486210880722410e+03 8.500000000000000611e-02
-1.273486210880722410e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.219496541224615385e+03 -1.225496755511306674e+03 6.149999999999999911e-01
-1.225496755511306674e+03 3.842355466086839755e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.119264878885100416e+03 -1.125267593171791759e+03 6.400000000000000133e-01
-1.125267593171791759e+03 5.522237214086516133e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.101154326781901318e+03 -1.107159541068592716e+03 7.600000000000000089e-01
-1.107159541054922556e+03 4.330767385869977204e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.088469129299514861e+03 -1.094476843586206087e+03 2.099999999999999922e-01
-1.094476840481833733e+03 3.622381094242778232e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.056115796331883303e+03 -1.062126010618574583e+03 1.754999999999999893e+00
-1.062126010618574583e+03 2.007230167081022998e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.051953180195964023e+03 -1.057965894482655358e+03 1.929999999999999938e+00
-1.057950409254647866e+03 1.051891808892332492e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.031142191781721976e+03 -1.037157406068413366e+03 5.749999999999999556e-01
-1.037157406067480679e+03 1.012173366953787834e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.013493265926927165e+03 -1.019510980213618495e+03 1.499999999999999944e-02
-1.019510980191928752e+03 1.180707250860203494e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.010850397731443081e+03 -1.016870612018134352e+03 1.945000000000000062e+00
-1.016801706482820919e+03 5.355165571295495752e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -9.935331220191570765e+02 -9.995558363058484019e+02 9.649999999999999689e-01
-9.995558362734731190e+02 8.924404991296913892e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -9.735613385194023977e+02 -9.795865528060936640e+02 1.385000000000000009e+00
-9.795865528039681749e+02 1.224988596295782273e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -9.621315017816256159e+02 -9.681592160683169368e+02 1.104999999999999982e+00
-9.681592051747941241e+02 8.946076644606431927e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -9.159772460883590384e+02 -9.220074603750503002e+02 1.764999999999999902e+00
-9.220074603750503002e+02 2.408001727408570147e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -8.931005879912867158e+02 -8.991333022779780322e+02 7.800000000000000266e-01
-8.991333022778616169e+02 2.263770585107071298e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -8.849932656468425876e+02 -8.910284799335338448e+02 1.635000000000000009e+00
-8.910281779002589246e+02 1.319766248888930171e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -8.754858895374087524e+02 -8.815236038241000642e+02 6.350000000000000089e-01
-8.815235293166421116e+02 1.140009359847858406e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -8.715435530471492029e+02 -8.775837673338405693e+02 1.195000000000000062e+00
-8.775645012776240037e+02 2.382018638945076372e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -8.591965357514036441e+02 -8.652392500380949514e+02 1.120000000000000107e+00
-8.652392455998584637e+02 5.756965029031683834e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -8.240340395196243435e+02 -8.300792538063157053e+02 1.840000000000000080e+00
-8.300792538063157053e+02 1.496020358149680973e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -8.054465469183564892e+02 -8.114942612050477919e+02 1.810000000000000053e+00
