weight logl Mphi g si norm
0.000000000000000000e+00 -1.474457867868919720e+03 5.560332796374328979e+00 1.233716197641760576e-02 3.379261258360895415e+00 1.942056116485552408e+01
0.000000000000000000e+00 -1.350163034029744722e+03 7.374477531368577032e-02 1.423532781855828917e-03 3.360348801398575169e+00 1.787674299837479808e+01
0.000000000000000000e+00 -1.267488496594031176e+03 5.753559897624644037e+00 3.669557661094914646e-04 3.377644519155625247e+00 1.588133186668412833e+01
0.000000000000000000e+00 -1.219496541224615385e+03 7.794843564711669615e+00 1.675444549796168336e-03 3.251221100508297823e+00 1.989419380650337388e+01
0.000000000000000000e+00 -1.119264878885100416e+03 3.847272628101800507e+01 8.724433189141715282e-04 3.339037918856942344e+00 1.487253168240727241e+01
0.000000000000000000e+00 -1.101154326781901318e+03 1.196991717965669189e+01 7.717120886325971006e-03 3.199546676306820547e+00 1.972429470854405054e+01
0.000000000000000000e+00 -1.088469129299514861e+03 4.340486409275809621e+01 1.424520246789943816e-02 3.446568237110796851e+00 1.136797319279543217e+01
0.000000000000000000e+00 -1.056115796331883303e+03 8.355909722741362844e-02 9.998248256719481988e-04 3.226715871635655208e+00 1.779882782697506016e+01
0.000000000000000000e+00 -1.051953180195964023e+03 2.190614430264426815e+01 2.414370870485501863e-01 3.249356797069703262e+00 1.763087417341197849e+01
0.000000000000000000e+00 -1.031142191781721976e+03 5.249861821145052759e-02 3.117935481937084488e-03 3.205161237819881048e+00 1.825906373884311051e+01
0.000000000000000000e+00 -1.013493265926927165e+03 4.084505079670428668e-02 1.929434901985430193e-03 3.226331610364066460e+00 1.706606538579876542e+01
0.000000000000000000e+00 -1.010850397731443081e+03 4.779977658384777328e+01 1.215603657247462527e-02 3.317939416264740426e+00 1.392437613319418332e+01
0.000000000000000000e+00 -9.935331220191570765e+02 3.312569435686161384e-02 4.883572682755764772e-04 3.203358640133456170e+00 1.755688346926341836e+01
0.000000000000000000e+00 -9.735613385194023977e+02 2.543542260809847733e+01 1.882116836319980204e-04 3.365158213052834579e+00 1.205413293466241065e+01
0.000000000000000000e+00 -9.621315017816256159e+02 3.383890077071305313e+01 4.032942387291523212e-01 3.221420800757348601e+00 1.732674653261394226e+01
0.000000000000000000e+00 -9.159772460883590384e+02 4.202853284846170823e-01 1.199917500766821020e-03 3.389122916696786447e+00 1.769825625544543968e+01
0.000000000000000000e+00 -8.931005879912867158e+02 2.531079699487198553e+01 3.678137783391427842e-03 3.272701709677526161e+00 1.356113289827958290e+01
0.000000000000000000e+00 -8.849932656468425876e+02 2.069202706930393987e+00 1.321094300406802494e-04 3.226625831496359620e+00 1.527065425285065281e+01
0.000000000000000000e+00 -8.754858895374087524e+02 8.251712368498590422e+01 4.512434427867749454e-02 3.244108303262738247e+00 1.416929065711166658e+01
0.000000000000000000e+00 -8.715435530471492029e+02 3.134921815248999710e+00 1.198337882689742102e-03 3.182811852268052633e+00 1.625518112955398919e+01
0.000000000000000000e+00 -8.591965357514036441e+02 7.350330281710450109e+00 1.555233193194798663e-02 3.450134256759249674e+00 8.738445123048048657e+00
0.000000000000000000e+00 -8.240340395196243435e+02 4.237999381807820498e+01 1.476457744271623129e-01 3.393139426105068690e+00 9.568241230968027367e+00
0.000000000000000000e+00 -8.054465469183564892e+02 1.911919493014351046e+00 1.437078424194206464e-02 3.272390048547578090e+00 1.369936545840318587e+01
0.000000000000000000e+00 -8.041749650207593731e+02 1.206935102932558346e+00 1.607562459812493299e-04 3.169277577993683259e+00 1.826390123838973523e+01
0.000000000000000000e+00 -7.911827131900946597e+02 4.286842148274264730e+01 4.014466380107796430e-04 3.103231625599175647e+00 1.754177067304227577e+01
0.000000000000000000e+00 -7.841028818249925507e+02 2.798712603104261376e+01 8.566223574305725785e-03 3.335189005467060763e+00 1.041379256419763166e+01
0.000000000000000000e+00 -7.600657779795454871e+02 1.357976636071875909e+00 3.414088165946901638e-03 3.199796303912126660e+00 1.855877942511763123e+01
0.000000000000000000e+00 -7.565444966524993333e+02 5.361742908175129330e+00 2.085886195574630612e-04 3.349645334893669446e+00 9.746929914475352064e+00
6.276254280752301784e-310 -7.206536879340110318e+02 8.514594767865600600e-02 2.423099271268549300e-04 3.214884079902598835e+00 1.266234676410870819e+01
6.450266675149015833e-303 -7.045057441585375955e+02 1.683632198923225853e-01 7.951189428184715982e-03 3.135344428440209885e+00 1.799506896876292927e+01
7.189328882237378473e-294 -6.836715019695919864e+02 8.665274888043575174e+01 1.122437406264675547e-03 3.036460181487045329e+00 1.787651399038347932e+01
7.841150009346677424e-288 -6.697667037300934680e+02 8.156974426968764647e+01 3.580457395439011828e-03 3.279120292106890044e+00 1.028631621975188537e+01
1.883897376745790777e-282 -6.573747359768711931e+02 2.578712489386917994e+00 1.152334639629578293e-02 3.131635029229940415e+00 1.439207034092080661e+01
1.054453262154248779e-278 -6.487422159109507902e+02 3.851933239710625401e+00 2.685588275978445429e-04 3.248923935540197316e+00 1.072669063321935923e+01
6.228380749425971824e-274 -6.377532815494408851e+02 4.723290716135193634e-02 1.123570283150042805e-04 3.409907023393054182e+00 7.265918906372172970e+00
