Mphi g si norm
6.106804826906740979e-01 2.938829136880419246e-02 3.229287420340685610e+00 1.378322425416613761e+01
6.756641132093353930e-01 1.754597904564897046e-02 2.927616826068463851e+00 7.390208316233175978e+00
6.191202155839089505e-01 3.048254186406983493e-02 3.117626486149207565e+00 1.621589145596335868e+01
5.578412421843582436e+00 2.952973171733521297e-03 2.492234119522898972e+00 7.365707218067211848e+00
6.690137084787823873e-01 1.800976432197701552e-02 2.792221333493174917e+00 9.372942543129530790e+00
9.599252893768869810e-02 2.778346998527670905e-02 3.215683618585694070e+00 1.712087591065268910e+01
6.445411219992259744e-01 2.530015951384145464e-02 3.077927734114481950e+00 1.080966165676905533e+01
6.351938431736366963e-01 2.662816203484754882e-02 3.188950710298518842e+00 1.025009309807964364e+01
7.343716402211754035e-01 4.917319657514837572e-03 2.538991625148482534e+00 8.118385099985278686e+00
7.439402371095411581e-01 1.708116041788934961e-02 2.892049256654365852e+00 7.572734199170192859e+00
5.570340936481924521e-01 2.992638189007038388e-02 2.981362226685155381e+00 1.881066236677056480e+01
5.242468131706781165e-01 2.596275941005416962e-02 3.016131479878674249e+00 1.186842234796393747e+01
6.212067283842270804e-01 2.843884408078656625e-02 3.158114120269079894e+00 1.401858121213322228e+01
6.981864166246259940e-01 1.896535488395703628e-02 2.779559601984719741e+00 9.911652408615603704e+00
7.316343807127576593e-01 1.615082257822615316e-02 2.893516364057794110e+00 6.417779097642482000e+00
7.803746580082926876e+00 2.022927942056549841e-02 2.316197456705617608e+00 7.864503301052767625e+00
8.078623637513818734e-01 5.052006752387569726e-04 2.604563133440759959e+00 8.322517245734228908e+00
5.839776716447295790e-01 3.458648909478179156e-02 3.278269902922312795e+00 1.914497178476207750e+01
7.466596162980104756e-01 3.380269760418642966e-03 2.610367145671271594e+00 7.049176104213330518e+00
7.581018003173027875e-01 6.335441160768812141e-03 2.541792007162528400e+00 7.010360443360338145e+00
7.307482265213411932e-01 1.703621074920898606e-02 2.874746787324522046e+00 7.528889854583542096e+00
6.318531411518629737e-01 3.409690257629943017e-02 3.295099471051622153e+00 1.893235220305222199e+01
6.222391562488429617e-01 1.916633176489037499e-02 2.896352689439587014e+00 7.307088109683941290e+00
6.067038841863025000e-01 3.499165487867925833e-02 3.456644673302683657e+00 1.604884145825348440e+01
4.961581794504107967e-02 1.924898014176779429e-02 2.835148775060691850e+00 1.179779646391016001e+01
6.680365210403036436e-01 1.715976222131758433e-02 2.739777077826167417e+00 8.437468465109338567e+00
5.296567193249809291e-01 4.370138700323166620e-03 2.533620384374179579e+00 6.623140056870747472e+00
1.294603309536341840e-01 2.043194825767827988e-02 2.845471163649265556e+00 1.076089724931751412e+01
6.828069499095908990e-01 2.275758539849127154e-02 2.968232845598007597e+00 9.229261565274045509e+00
6.734657368132738187e-01 2.115472205837235983e-02 2.897135373263012958e+00 9.610200526308211977e+00
5.936195288294523476e-01 1.615559523334159781e-04 2.488076132249439354e+00 6.911483877478949545e+00
6.708031029117245136e-01 2.141463089502076630e-02 2.921170485933526351e+00 1.002863199205788369e+01
6.426079626582384408e-02 1.459376270032125902e-02 2.694949295148347801e+00 8.173822664147326833e+00
6.456962232620099273e-01 2.889704279420863067e-02 3.156804439988253108e+00 1.382313301832837737e+01
5.829051780339677968e-01 3.210329922257541824e-02 3.174974953220318419e+00 1.893225399323939229e+01
6.755757705279978431e+00 3.950349092673299811e-02 2.384543512125414377e+00 8.444998777801121292e+00
8.102050076384297306e-01 3.664891656222568888e-03 2.651005329062178451e+00 6.707827646669707100e+00
4.756360661432412207e-01 2.019230353957025825e-02 2.762022296169662994e+00 8.873878743451275142e+00
6.324792491031510089e-01 2.233314821339654407e-02 2.823911850760526310e+00 1.113418758819475052e+01
6.785300149466185760e-01 2.045125235210644779e-02 2.836702430529252972e+00 1.170187736474710860e+01
5.692649845454526153e-02 1.691623123452401511e-02 2.811604284562847056e+00 8.242020014879706480e+00
6.009925551854981007e-01 1.992823655031000438e-02 2.840660096473348606e+00 8.122664379798965939e+00
1.172303792418634671e+01 1.459603825250499753e-01 2.115185674262546556e+00 1.350553704741626859e+01
8.429050966777255072e-01 3.988223048420964228e-03 2.687708783909484644e+00 7.090443724569601258e+00
6.135493015879509571e-01 3.365260678410680190e-02 3.259616918069073055e+00 1.953634524163749475e+01
8.200309444660751623e-01 7.667236084969803779e-03 2.583482877188492566e+00 8.203291834918720937e+00
6.024503529409928060e-01 2.879768230308963825e-02 3.144821452822215591e+00 1.559318307305261087e+01
6.967627003579968115e-01 2.470268949070144378e-03 2.637519808390134557e+00 7.475630395253988425e+00
8.095564877182017671e-01 1.993627147443030861e-03 2.548133851684186268e+00 8.118675392995120532e+00
7.570542789933139005e-01 2.654874558714273407e-03 2.540567829489684293e+00 7.289689082685465671e+00
9.251839011579098271e-01 2.259768417848365986e-04 2.622603878842832081e+00 7.911362157177323162e+00
2.737039861970051291e+01 4.154228307910536322e-01 2.057922798436545353e+00 1.812395576754377302e+01
5.642064513730879582e+00 1.479686871703675844e-03 2.282340825257189731e+00 8.550504147704366176e+00
7.905023500111625356e-01 1.448552224796673983e-02 2.783818329920999091e+00 8.644604727125106081e+00
6.735236485812030605e-01 2.686478166617149027e-02 3.095249584953459365e+00 1.234901174771309584e+01
6.609609151931517879e+00 6.913220713900979433e-03 2.402472639906792828e+00 6.855804846497379756e+00
6.922115269822096684e-01 2.337340925932242935e-02 2.872008703342943559e+00 9.526270538643213825e+00
4.249128764489649157e-01 2.950127830914970120e-02 2.924081679511835841e+00 1.803112246052115353e+01
4.309418526332202126e-01 2.590478913637508929e-02 2.900632344274884034e+00 1.608815883260164981e+01
6.753088079787055165e-01 2.176547666568363557e-02 2.849139625697391320e+00 1.022029740691330879e+01
7.006832278871967246e-01 1.827270684648592269e-02 2.821381545528092616e+00 9.103041600994103533e+00
5.541561192328752838e+01 8.008145788222097439e-01 2.136139417389792960e+00 1.567078844182305275e+01
8.226913655061550701e-01 3.359074946719156065e-04 2.567306315982394338e+00 8.241653914771568168e+00
6.925398800172420932e-01 2.050702023062149840e-02 2.957660761246640568e+00 8.894884377097220352e+00
7.266274061507839166e-01 2.178576520850037182e-02 2.869213177841352103e+00 1.043040266950294637e+01
6.337219227152827150e-01 2.074363991290594823e-03 2.498436042247799360e+00 8.213681910195736791e+00
4.147391665322285037e-02 1.262552363828282724e-02 2.638426387932200079e+00 8.690809658448625186e+00
6.721757392016700083e-02 1.690360600521201989e-02 2.901016412492045227e+00 8.135045400303006602e+00
2.967066959045271091e+01 4.211096062678768570e-01 2.141005147824363686e+00 1.815777579556589671e+01
9.608244264091375664e-02 2.051071565799502186e-02 2.881493837394395463e+00 1.154843520360708986e+01
6.887474269997551080e-01 2.046126482109935155e-02 2.947779689589317798e+00 9.036490471489347698e+00
6.366394134339682376e-01 2.903732037029704144e-02 3.123031953867493993e+00 1.513655288105092112e+01
7.576298239289011027e-01 1.134691845199031594e-02 2.642516952479597947e+00 8.634812407491757824e+00
6.234315758557147369e-01 3.139155613398793288e-02 3.154304650893032580e+00 1.629927472911821695e+01
7.971614034151108807e-01 1.866361642476840801e-03 2.499529764865819903e+00 8.273566290303318027e+00
6.523317118957242533e-01 2.420249000593864205e-02 3.046023025312610599e+00 9.551022181053969717e+00
6.209987953695164098e-01 3.352800961841297112e-02 3.208159925734367590e+00 1.766000918687713295e+01
6.856732743172034850e-01 2.126382545200943344e-02 2.996271801229520637e+00 9.272005413582059319e+00
6.746597335716107979e-01 2.331497471499133223e-02 2.902027360761419317e+00 1.012673592574753378e+01
6.853757653291503438e-01 2.222561505478770974e-02 2.958391866006468529e+00 1.009542809164909727e+01
6.958624063298599616e-01 2.607318882685224354e-02 3.005507398405700581e+00 1.400273089514625724e+01
6.660323670635341919e-01 2.787477077596451150e-02 3.065228311523978011e+00 1.510582026852437210e+01
8.425488322767169524e-01 6.064115126111373211e-03 2.607033670836821582e+00 8.973170146734890551e+00
5.973619319075691436e-01 2.958113299249965841e-02 3.183878464164501487e+00 1.320400185815763727e+01
6.594752536230580331e-01 1.966409310054496179e-02 2.869492355083733237e+00 9.210721549373715789e+00
6.323759451387651609e-01 2.820165963375423010e-02 3.029293628638992431e+00 1.507241626293320103e+01
7.536855329684037930e-01 1.031233260602414797e-02 2.712159044350477721e+00 7.372528197789794291e+00
7.677512048231932562e-01 5.228102737758330218e-04 2.619262439575420487e+00 6.305455873950565504e+00
5.762435317396504830e-01 2.159910389487217780e-02 2.874636509823435215e+00 1.099781010688341354e+01
6.419332079143050818e-01 2.521349025028103708e-02 3.087731962158499766e+00 9.655962013925098120e+00
6.997172615920397298e+00 3.330977470962994454e-03 2.429674147905469983e+00 7.822808315462900453e+00
5.992358159625782443e-02 2.334063298340051731e-02 2.949806086052630061e+00 1.365915653066079649e+01
6.861620944418289625e-01 1.424633088336316362e-02 2.584536592267594024e+00 9.228713444983398517e+00
5.372019495643157727e-01 3.392718297007057959e-02 3.282754637963456901e+00 1.676598251747098089e+01
3.601793153807333892e-02 1.871205029434358513e-02 2.839591771836873058e+00 8.878941802880675027e+00
8.102050076384297306e-01 3.664891656222568888e-03 2.651005329062178451e+00 6.707827646669707100e+00
1.259488896241795497e-01 1.868158282698802533e-02 2.805294223806888532e+00 9.975241480245260917e+00
6.401577543567833484e-01 2.463095061119203663e-02 2.848884460867885160e+00 1.246078758276354215e+01
7.392202643412711938e-01 9.868550554592394816e-03 2.591376504670160230e+00 8.295482931495666179e+00
6.485559862678960119e-01 2.734405862341255516e-02 3.061263462593425633e+00 1.131778415673590921e+01
6.427240932569846521e-01 2.143581698446173772e-02 2.972332051182032142e+00 8.006904590798605170e+00
8.635257801541948997e-01 2.682727802746450352e-04 2.619660690036734518e+00 8.321955990227092315e+00
6.853256816302761845e-01 2.069747292809699657e-02 2.880978175852380030e+00 9.897333950877493791e+00
7.128915390305558653e+00 4.382795672064222943e-03 2.352971411037266591e+00 8.684598012801227895e+00
6.808466750224464459e-01 2.174362279276457685e-02 2.989539035675312206e+00 9.683109482709923554e+00
7.483645830481655548e-01 1.421328732730866998e-03 2.643063258165067708e+00 6.791567803781740409e+00
3.994528804570324776e-01 2.454641090788605221e-02 2.939562602919459700e+00 1.248914475495590892e+01
6.726125789519478815e+00 7.801655201978068173e-03 2.331348055355778381e+00 9.757071954792547075e+00
4.533674186613952939e-01 2.324026490588144978e-02 2.823280502280071325e+00 1.187016969158148960e+01
2.569594450126193408e+01 3.324221738693483585e-01 2.179733010040974861e+00 1.600363034571352117e+01
8.102283817942487198e-01 1.726183379394395406e-04 2.644759298969641570e+00 8.322651504674077216e+00
6.726831353791540291e-01 2.429164907114477606e-02 3.031093349764618861e+00 1.092606122186643169e+01
4.028525680256538760e-02 2.101490642390158384e-02 2.862669545871830756e+00 1.288237356090953156e+01
7.536855329684037930e-01 1.031233260602414797e-02 2.712159044350477721e+00 7.372528197789794291e+00
6.921891880096481264e-01 2.775590607638330973e-02 3.187924378792502011e+00 9.822236787834279781e+00
5.989290353217067153e-01 3.473196270982199796e-02 3.373017071963005264e+00 1.783208791156542361e+01
6.832455873470173469e-01 1.890138136253442097e-02 2.760318744128976931e+00 9.450464782131893671e+00
1.424333813376779945e-01 2.274346867653463319e-02 2.917551008376539912e+00 1.234127850472859578e+01
8.158129744189013266e-02 1.766686898866920430e-02 2.775905889189205666e+00 1.018001952171450775e+01
7.911496737297605275e-01 7.466811966583867480e-04 2.581348709180943946e+00 7.594300382221160106e+00
7.609914749372662657e-01 1.286600501928565274e-02 2.674610658943081365e+00 8.072057989034011172e+00
7.594228045837334573e-01 1.198690785367849745e-02 2.617378827825829646e+00 7.804393270550396444e+00
7.001377902689368549e-01 5.140397419477623318e-04 2.549091957725601709e+00 7.160264340505039904e+00
6.776399283516451044e-01 2.627598526891902764e-02 3.036230699827747515e+00 1.303415131689286710e+01
6.305039508422526362e-01 3.282670225830042199e-02 3.243540256258645726e+00 1.753838820949632193e+01
3.989740795959560715e-02 2.481583214045164631e-02 2.945743824821025925e+00 1.793497664598591612e+01
6.859515979028775190e-01 1.519719149669882495e-02 2.759065159940045753e+00 8.124239747358149799e+00
9.181754271066798978e+00 7.266670030659003188e-02 2.324681386463005595e+00 8.579524121173172091e+00
7.489394960963337011e-01 1.526397505153235037e-02 2.857551283945193532e+00 6.768911446709706681e+00
6.921905300028142749e-01 1.888277260308843242e-02 2.827832650634037659e+00 9.072651721572572825e+00
7.351072777544538361e+00 2.548535188266306400e-02 2.473074735704263727e+00 7.201148898013234323e+00
5.871643098893575274e-01 3.256739306111154642e-02 3.094696051391017999e+00 1.861732630859838267e+01
1.734321812341419466e-01 2.709044870335347924e-02 3.010288003955784220e+00 1.784499336783627754e+01
9.660345568318847143e+01 3.402311352207317285e-01 2.565818869819295411e+00 7.625319321623623914e+00
6.708195665219018888e-01 1.167030322805866910e-02 2.608787170347258932e+00 7.402786748533626060e+00
7.581018003173027875e-01 6.335441160768812141e-03 2.541792007162528400e+00 7.010360443360338145e+00
6.721078222129335256e-01 2.636029153075566608e-02 3.108305783225105756e+00 1.132710420533051732e+01
6.862556723340905718e-01 1.960285503443832955e-02 2.870926543684823251e+00 9.140644942199585898e+00
5.318556728944707768e-01 3.353600975262063105e-02 3.173951251559929521e+00 1.929895511628341609e+01
5.413848732835371269e-01 2.639557132207364168e-02 3.038069865773768363e+00 1.452352242904702884e+01
6.510424856955960848e-01 1.938886194724466841e-02 2.831634489841706070e+00 8.625292275524726548e+00
