weight logl Mphi g si norm
0.000000000000000000e+00 -1.623165363009394468e+03 8.287847789363378403e-01 4.416249165024428436e-01 9.803108369417434798e-01 9.203810369124049151e-01
0.000000000000000000e+00 -1.548268191273958791e+03 7.100372866041648745e-02 4.862307654229098830e-01 9.772055311711715930e-01 9.264768673527974396e-01
0.000000000000000000e+00 -1.471867883411709045e+03 9.053571466517421618e-01 9.344991697810069997e-01 9.425995469500232371e-01 9.944416636455258862e-01
0.000000000000000000e+00 -1.305914456572900917e+03 3.534113408518851918e-01 4.952881416476648813e-01 9.772245684204579064e-01 7.757129578913928292e-01
0.000000000000000000e+00 -1.270804229044496878e+03 1.130865955214898078e-01 1.132477027754221766e-01 9.360235896785904508e-01 7.390434153282979812e-01
0.000000000000000000e+00 -1.257413447703586144e+03 8.213906800040928768e-01 7.691739491511668803e-01 9.284817251925021608e-01 7.507587183357405936e-01
0.000000000000000000e+00 -1.245558356311785474e+03 6.105924817232576407e-01 9.248086344325912034e-02 9.476968107508967343e-01 6.916447989883892644e-01
0.000000000000000000e+00 -1.237320173461117747e+03 7.902138599993119294e-01 4.363087367292881602e-01 9.845269601311886776e-01 6.003868647665338010e-01
0.000000000000000000e+00 -1.216505233793365051e+03 9.603006512545697593e-01 1.441670933892312823e-01 8.443229482584462264e-01 9.564179961718847212e-01
0.000000000000000000e+00 -1.198851759367201794e+03 2.870326052574615483e-01 2.885891670235376516e-01 8.371872696244080370e-01 9.620805939094423387e-01
0.000000000000000000e+00 -1.183759462060936585e+03 6.971942252754755875e-01 6.680730046587676219e-01 9.274504494206455840e-01 6.927873168177377527e-01
0.000000000000000000e+00 -1.133918569560129981e+03 5.903262904080701645e-01 2.000796505064008635e-01 8.349300405587309903e-01 9.137089352405947107e-01
0.000000000000000000e+00 -1.092555410223888430e+03 6.016156336010899386e-01 5.525172001769939056e-01 8.131438623502867946e-01 9.415412751735748875e-01
0.000000000000000000e+00 -1.076186683968154057e+03 5.869397581497193261e-02 3.651266360167613190e-01 9.763643962822035061e-01 5.153134617963865960e-01
0.000000000000000000e+00 -1.071036060103055661e+03 5.760958254301508097e-01 3.320053680461920731e-01 8.376382018497777748e-01 8.490942060236184030e-01
0.000000000000000000e+00 -1.067232252060279052e+03 9.019691183098588194e-02 6.978546914445649119e-02 9.128425341485660871e-01 6.416849203982971650e-01
0.000000000000000000e+00 -1.029960919133667630e+03 6.727096065130427904e-01 3.084819557826971037e-01 8.108309526650721022e-01 8.834281622067742257e-01
0.000000000000000000e+00 -1.003669414531901111e+03 2.278868450231192888e-01 2.108890062329323856e-01 8.151701095355118332e-01 8.427864338329004168e-01
0.000000000000000000e+00 -9.674429313134621680e+02 2.814215414445830898e-02 3.081478241554590491e-01 9.769835766162174862e-01 4.504804716009908061e-01
0.000000000000000000e+00 -9.651264716470207077e+02 8.136138511388277816e-01 4.757856905092907596e-01 8.497731987588644786e-01 7.153178763961218767e-01
0.000000000000000000e+00 -9.573349814426447892e+02 2.283402273107280056e-01 9.188606302521662439e-02 7.643889636395188036e-01 9.529917943849415263e-01
0.000000000000000000e+00 -9.083022489890714724e+02 4.569598862283223983e-01 2.340566160189752054e-01 9.081355852622928770e-01 9.684461096451447704e-01
0.000000000000000000e+00 -9.023871895184146297e+02 1.125531567019381063e-01 1.212927878480033472e-01 7.851999814452661486e-01 8.348337531076963636e-01
0.000000000000000000e+00 -8.830401074388239522e+02 9.360165335664094588e-02 4.303792304226414789e-01 7.902018274159126054e-01 8.113736385134535656e-01
0.000000000000000000e+00 -8.680136231159660838e+02 8.642182103941769000e-01 1.024661824940098498e-02 8.181501054357287472e-01 7.150220196413830109e-01
0.000000000000000000e+00 -8.168967308408442705e+02 5.411971693645531989e-01 1.261557091738327863e-01 7.641261186242408465e-01 8.505811585276685793e-01
0.000000000000000000e+00 -7.870499089429973765e+02 1.304172681592790095e-01 5.785561129713556738e-02 8.463441821937751630e-01 5.852696120442869576e-01
0.000000000000000000e+00 -7.822637179920288872e+02 2.920526558160063679e-01 1.159078061837247597e-01 8.603467740250655416e-01 5.524890759785143768e-01
0.000000000000000000e+00 -7.757671931446325289e+02 1.155746353029598605e-01 5.246713814482748539e-01 8.335758228283399740e-01 8.048041868414962385e-01
0.000000000000000000e+00 -7.707782685104399434e+02 5.717909094275022142e-01 1.209012101822942720e-01 8.631151741231022356e-01 5.422243580739900537e-01
5.808235732509694373e-320 -7.447057608189268194e+02 3.089486789967917924e-01 9.869034191372438869e-02 6.860478091859003591e-01 9.733449824124125183e-01
1.008177138913945093e-311 -7.257311500780666620e+02 8.340192797197831798e-02 3.528919273097083087e-01 8.381884916040287514e-01 5.574898974374248306e-01
4.645843055107901485e-294 -6.850568745312981491e+02 8.650271340969339917e-02 3.352574454117297487e-01 6.978232335487061233e-01 8.697006578079757855e-01
