Mphi g si norm mntot
6.494128323549014148e+00 8.257994306973689969e-02 2.092377189436513518e+00 1.327429555954019591e+01 6.289032325459925632e-02
6.822768859460148327e+00 7.758844140021327329e-02 2.153505886211583675e+00 1.231175085454517415e+01 6.168938312106730243e-02
6.885526714422749439e-01 1.885958008730052177e-02 2.672391629908648092e+00 7.263666297481561784e+00 1.448255586074675139e-01
6.159605979976748996e-02 2.302976023598843347e-02 2.942706118119184477e+00 1.424332860537784207e+01 1.263479845133941015e-01
5.824491565708769691e+00 9.016274070474970814e-03 2.380837520739390367e+00 8.153316093332765746e+00 1.361935328612177143e-01
4.056769505630048595e-02 1.153499456925707531e-02 2.634433166641979795e+00 7.547137456251764576e+00 7.131174486817327962e-02
6.184302318547277189e+00 2.978853151650329503e-02 2.487578272023246662e+00 8.425946183018005797e+00 1.161303104981140366e-01
5.896120346355317871e-02 2.376271357298933087e-02 2.954682608340391869e+00 1.511268135966931503e+01 1.124091063632893239e-01
3.529853104024595467e+01 4.818196463087063841e-01 2.036760499367941346e+00 1.947671052389328850e+01 1.242274293518243339e-01
9.371842202829093471e-02 2.311184732429471395e-02 2.862298664891502309e+00 1.319734361414689339e+01 1.333692701066445663e-01
5.881348875137120125e-01 2.404550028782173957e-02 3.068407567509388922e+00 1.249259446602598800e+01 8.750005136305623321e-02
6.477064287606837922e+01 9.504778071456032595e-01 2.174087972098395660e+00 1.524396599799054108e+01 1.072007677746016352e-01
6.962502744969641943e-01 2.554481557679666448e-02 3.106992817688370767e+00 9.960437856825313574e+00 1.040649920302827713e-01
7.030535758787477274e-01 2.781727007438306726e-02 2.893848579942536414e+00 1.391325666591445120e+01 1.217050968800394845e-01
5.594595402113209381e-01 2.037246448363229032e-02 2.892353838336666705e+00 1.011946423203688461e+01 8.713579194191935218e-02
6.042958888099482451e+00 5.026804552394108921e-03 2.495642855944125049e+00 6.882506540320739497e+00 1.477466677654203919e-01
6.381637927690566592e+00 3.830648928978515333e-02 2.291909092533578995e+00 8.207831248013302883e+00 1.380349057087332798e-01
5.735729560102726943e-01 1.773058786464106265e-02 2.784229107617478327e+00 9.094819147824006578e+00 8.803025229319104417e-02
5.915745763426649262e+00 6.332928637304595376e-02 2.076356020186025386e+00 1.450944682880466097e+01 6.089430070167275305e-02
5.657521669911045326e-01 2.222753131648576297e-02 3.016248277341425421e+00 7.760317609389605131e+00 9.747178527346894716e-02
1.715302871907169457e-01 1.821235173246198505e-02 2.755345267550920685e+00 9.847608529194378235e+00 1.036099009419446382e-01
6.447939546515665254e-01 2.397591698159858703e-02 3.001421684058999340e+00 1.058934247585930066e+01 1.012905373489823707e-01
6.139426293658354794e+00 7.174814172690135994e-02 2.016700759218672978e+00 1.236094783086985061e+01 6.314645175950804601e-02
5.844845424646208376e-02 2.808684428289113903e-03 2.509083643521201612e+00 6.501408995820337822e+00 7.208821142472357502e-02
6.106577476534214011e-01 3.283682717913538607e-02 3.246087429022094462e+00 1.725883896096650005e+01 9.457800988220446681e-02
5.633670308496064871e-01 2.693825592696865237e-02 3.063749600932139217e+00 1.465983806415967194e+01 8.604557577112396938e-02
5.409038100573730912e-01 1.796112666577728140e-02 3.043071990215847400e+00 7.033943719131856120e+00 7.880993463086255479e-02
5.800751184623471612e-01 1.155170791888040886e-02 2.696398822626099090e+00 7.649095134310176292e+00 8.001504032709461089e-02
