logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.370239271903485587e+03 -1.376231986190176940e+03 7.399999999999999911e-01
-1.376231986190176940e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.368256808570249405e+03 -1.374252022856940812e+03 6.750000000000000444e-01
-1.374122685233424363e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.366132940564924866e+03 -1.372130654851616100e+03 5.400000000000000355e-01
-1.372002773497720682e+03 6.984952997339308745e-01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.311508300750846956e+03 -1.317508515037538245e+03 1.645000000000000018e+00
-1.317508515037538245e+03 2.339849473506964372e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.291188881420590178e+03 -1.297191595707281522e+03 1.179999999999999938e+00
-1.297191595705780173e+03 2.049171966841300829e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.255785737430447398e+03 -1.261790951717138796e+03 5.749999999999999556e-01
-1.261790951717138796e+03 3.468364114022441669e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.196389720103443551e+03 -1.202397434390134777e+03 8.549999999999999822e-01
-1.202397434390134777e+03 3.378673539132516623e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.146632215259338182e+03 -1.152642429546029462e+03 1.125000000000000000e+00
-1.152642429546029462e+03 4.682626725984022897e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.146192927067653955e+03 -1.152205641354345289e+03 6.300000000000000044e-01
-1.151707227477812239e+03 1.055661644269890731e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -1.126262648350380005e+03 -1.132277862637071394e+03 1.364999999999999991e+00
-1.132277862633424320e+03 9.201283497597502858e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.101082190263150778e+03 -1.107099904549841995e+03 6.199999999999999956e-01
-1.107099904549830399e+03 1.746003677928797870e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.087180787759120449e+03 -1.093201002045811720e+03 1.950000000000000067e-01
-1.093201001125821676e+03 1.852602168055431875e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.084080163070798790e+03 -1.090102877357490115e+03 9.200000000000000400e-01
-1.090058732437709750e+03 7.464953940029854351e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -1.071670690028199033e+03 -1.077695904314890413e+03 1.125000000000000000e+00
-1.077695900040334209e+03 9.219064102126026228e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -1.067674024067054006e+03 -1.073701738353745213e+03 1.479999999999999982e+00
-1.073683483115106355e+03 4.760718948348435120e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -1.061712364382110991e+03 -1.067742578668802253e+03 1.070000000000000062e+00
-1.067739952470085200e+03 3.275135611608519515e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.052841214483044268e+03 -1.058873928769735585e+03 1.260000000000000009e+00
-1.058873787677149949e+03 6.933232357551192493e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -1.011317801173937255e+03 -1.017353015460628512e+03 5.899999999999999689e-01
-1.017353015460628512e+03 1.854256267939414826e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -9.969168743965115027e+02 -1.002954588683202815e+03 3.449999999999999734e-01
-1.002954588124934958e+03 2.233060444673801470e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -9.862929688311076006e+02 -9.923331831177989670e+02 1.580000000000000071e+00
-9.923331587297465148e+02 1.891311142867027328e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -9.768053775796948912e+02 -9.828480918663861985e+02 1.270000000000000018e+00
-9.828480158912822162e+02 1.038360409937868845e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -9.569824722647283579e+02 -9.630276865514197198e+02 1.169999999999999929e+00
-9.630276865489528291e+02 1.574527446087733296e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -9.477462353668868218e+02 -9.537939496535781245e+02 1.860000000000000098e+00
-9.537938519708438889e+02 8.461898841962133488e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -9.395990127763107012e+02 -9.456492270630020585e+02 4.600000000000000200e-01
-9.456489368136111580e+02 1.014204322365874233e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -9.163737987541828716e+02 -9.224265130408741697e+02 1.409999999999999920e+00
-9.224265130407919742e+02 1.289782906169094190e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -9.158972588621014665e+02 -9.219524731487928193e+02 6.149999999999999911e-01
-9.214685158143837498e+02 7.895028803309536158e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -8.159815734456581140e+02 -8.220392877323494076e+02 1.104999999999999982e+00
-8.220392877323494076e+02 4.900237025492894105e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -7.925205271114349443e+02 -7.985807413981262926e+02 6.250000000000000000e-01
-7.985807413980613774e+02 5.204890722636057632e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -7.743436215587165634e+02 -7.804063358454078525e+02 2.099999999999999922e-01
-7.804063358326153548e+02 3.736175514528128616e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -7.408214131273866769e+02 -7.468866274140780206e+02 1.780000000000000027e+00
-7.468866274140780206e+02 2.403139741843629551e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -7.248148044754368584e+02 -7.308825187621281430e+02 1.584999999999999964e+00
-7.308825186500544078e+02 1.864869892052897171e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -7.135923053584278932e+02 -7.196625196451192323e+02 1.084999999999999964e+00
-7.196625062417668914e+02 9.961641136838723654e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -7.103565437181821380e+02 -7.164292580048734180e+02 1.885000000000000009e+00
-7.163905862739967461e+02 5.462923917202588520e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -6.998828438477730742e+02 -7.059580581344644088e+02 1.540000000000000036e+00
-7.059580286764005450e+02 7.549204534097152752e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -6.991139256777473747e+02 -7.051916399644386502e+02 2.550000000000000044e-01
-7.048099976015049606e+02 7.901428436187442061e-01 -8.750000000000003608e-02 4.000000000000000000e+02 -6.863279276124161470e+02 -6.924081418991074770e+02 2.149999999999999967e-01
-6.924081377881630033e+02 6.210805056575556371e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -6.845910043791083126e+02 -6.906737186657995835e+02 1.969999999999999973e+00
-6.905111724442379000e+02 1.552645210309691493e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -6.769030241734182027e+02 -6.829882384601095282e+02 1.455000000000000071e+00
-6.829876980618623747e+02 4.511219518859980404e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -6.734338469669886535e+02 -6.795215612536799199e+02 1.014999999999999902e+00
-6.794908017412999470e+02 5.131339033633914859e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -6.314829613390724035e+02 -6.375731756257637244e+02 2.899999999999999800e-01
-6.375731756257637244e+02 2.118095131189214797e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -6.294426306620143805e+02 -6.355353449487056423e+02 1.250000000000000000e+00
-6.354128520518165715e+02 1.485472863319514225e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -6.149224203717254795e+02 -6.210176346584167959e+02 8.999999999999999667e-02
-6.210176340983543923e+02 7.553596637071991360e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -6.081385611984752586e+02 -6.142362754851665159e+02 1.784999999999999920e+00
-6.142351413963000368e+02 1.011797092105200946e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -6.022480019964656321e+02 -6.083482162831569440e+02 1.229999999999999982e+00
-6.083454446298078437e+02 7.471321936119342588e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -5.966783331167948745e+02 -6.027810474034862409e+02 1.570000000000000062e+00
-6.027772228368625065e+02 8.679996165196586233e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -5.862477915690510599e+02 -5.923530058557423672e+02 1.449999999999999900e-01
-5.923529761518312853e+02 4.174121850497336084e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -5.824324840647660722e+02 -5.885401983514574340e+02 1.314999999999999947e+00
-5.885183519893951143e+02 4.053345796642077836e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -5.811471573780361268e+02 -5.872573716647274296e+02 5.000000000000000278e-02
-5.870078774889883562e+02 4.660668492531788054e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -5.545310861078907010e+02 -5.606438003945820583e+02 1.929999999999999938e+00
-5.606438003945785340e+02 1.301344934870423664e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -5.506244919809670364e+02 -5.567397062676583346e+02 1.314999999999999947e+00
-5.567197475663598425e+02 1.354571198064257409e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -5.354104005151151568e+02 -5.415281148018065096e+02 1.864999999999999991e+00
-5.415281145492505175e+02 1.454867404096813743e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -5.334328750524664429e+02 -5.395530893391577365e+02 1.610000000000000098e+00
-5.394231513075901603e+02 1.435435090013884540e+01 -1.300000000000000600e-01 4.000000000000000000e+02 -5.283747691133471562e+02 -5.344974834000385044e+02 3.200000000000000067e-01
-5.344902517346077957e+02 3.649867241020992470e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -5.207165771127181415e+02 -5.268417913994094306e+02 1.300000000000000044e-01
-5.268413147353898012e+02 4.984886428808885661e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -5.187655009176926342e+02 -5.248932152043839778e+02 1.899999999999999911e+00
-5.247599572225079783e+02 2.636057006642416489e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -4.845029816064815691e+02 -4.906331958931729105e+02 6.899999999999999467e-01
-4.906331958931729105e+02 1.742915322984937632e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -4.838116600341103322e+02 -4.899443743208016713e+02 1.629999999999999893e+00
-4.895374652633117876e+02 1.584856330569615679e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -4.806946500184877777e+02 -4.868298643051791146e+02 1.495000000000000107e+00
-4.867652977004424883e+02 1.064361441048755808e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -4.651795434914173484e+02 -4.713172577781086829e+02 5.550000000000000488e-01
-4.713172575826740740e+02 1.434917942853438788e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -4.560435185013690216e+02 -4.621837327880603539e+02 9.549999999999999600e-01
-4.621836248095991664e+02 1.125410851333274742e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -4.557667583718555306e+02 -4.619094726585468607e+02 1.639999999999999902e+00
-4.613440359032277911e+02 7.648377854230451689e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -4.510893925877127799e+02 -4.572346068744041077e+02 1.590000000000000080e+00
-4.572183230331651203e+02 1.856081061243819885e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -4.477564839129156553e+02 -4.539041981996069808e+02 1.985000000000000098e+00
-4.538684779705866390e+02 2.698653501438860847e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -4.367160453093737829e+02 -4.428662595960651061e+02 1.000000000000000000e+00
-4.428662429315127156e+02 7.057913041481001848e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -4.356109791114149061e+02 -4.417636933981062271e+02 1.239999999999999991e+00
-4.414769941844901950e+02 7.031466437029653349e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -4.347547290715498889e+02 -4.409099433582412075e+02 1.879999999999999893e+00
-4.404606554931192477e+02 3.741395984266608910e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -4.337463619870808884e+02 -4.399040762737722048e+02 1.814999999999999947e+00
-4.394509858761120427e+02 1.633652369959595507e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -4.270942771589240010e+02 -4.332544914456153151e+02 3.449999999999999734e-01
-4.332524569591562340e+02 2.788354649218565573e+00 -1.700000000000000955e-01 4.000000000000000000e+02 -4.266493613474684139e+02 -4.328120756341597257e+02 1.104999999999999982e+00
-4.323150705471278457e+02 2.169502264863380159e+00 -1.725000000000000977e-01 4.000000000000000000e+02 -4.265800226264847765e+02 -4.327452369131760861e+02 7.399999999999999911e-01
-4.318140523304839462e+02 1.341815589175701984e+00 -1.750000000000000999e-01 4.000000000000000000e+02 -4.264031322096063832e+02 -4.325708464962976905e+02 9.200000000000000400e-01
