weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.370239271903485587e+03 1.150596090557644935e+01 8.978466920685117605e-03 3.428936812205146900e+00 1.571687566164733241e+01 8.635145163888861830e-02
0.000000000000000000e+00 -1.368256808570249405e+03 9.375417050497913962e+00 1.749065468271290835e-03 3.489364128363195316e+00 1.374772647815520088e+01 1.199027865550016392e-01
0.000000000000000000e+00 -1.366132940564924866e+03 9.311561780196549876e+01 2.315624793334824724e-02 3.385591824359335256e+00 1.720029989085960409e+01 7.380102436174726388e-02
0.000000000000000000e+00 -1.311508300750846956e+03 3.205099516895180689e-01 6.834754764517189315e-03 3.479265013192331502e+00 1.353811829074482098e+01 1.232790425013532976e-01
0.000000000000000000e+00 -1.291188881420590178e+03 4.068028149488543965e-01 6.078385188054366735e-03 3.406262997391833913e+00 1.882402136754206268e+01 8.023355838631766879e-02
0.000000000000000000e+00 -1.255785737430447398e+03 2.359634175884588458e+01 2.297074086798348534e-03 3.283218163966184822e+00 1.922086087491218720e+01 1.099061985155663224e-01
0.000000000000000000e+00 -1.196389720103443551e+03 3.648870670512126679e+01 5.944685581471410851e-03 3.388556214002748312e+00 1.443584267292327894e+01 9.660718840044940636e-02
0.000000000000000000e+00 -1.146632215259338182e+03 5.532521696046553694e-02 1.675612943665090232e-03 3.463307023491483339e+00 1.164430918123671077e+01 1.056355688021906047e-01
0.000000000000000000e+00 -1.146192927067653955e+03 5.114106538444370464e+00 2.348719647185467090e-03 3.466702719092857876e+00 1.153735322802093854e+01 1.426782728470810113e-01
0.000000000000000000e+00 -1.126262648350380005e+03 1.648619321776531699e+00 2.175782915607882284e-03 3.291211823856824203e+00 1.976260485055913918e+01 7.686160814340969871e-02
0.000000000000000000e+00 -1.101082190263150778e+03 2.485822672419920210e+01 1.534268361397561342e-01 3.406177761861950426e+00 1.269044638724734497e+01 1.491113380948529410e-01
0.000000000000000000e+00 -1.087180787759120449e+03 1.272229978072164924e-01 2.163632409228054623e-03 3.265848523663006375e+00 1.688250020327915024e+01 1.399694191830689327e-01
0.000000000000000000e+00 -1.084080163070798790e+03 5.450467122102568840e-02 9.912794354728662188e-03 3.290690718337559773e+00 1.809968102285422020e+01 1.403519162736415749e-01
0.000000000000000000e+00 -1.071670690028199033e+03 3.040329792694213690e-02 9.881094260788304568e-04 3.195912895963431755e+00 1.931711383395073867e+01 1.194659054307680573e-01
0.000000000000000000e+00 -1.067674024067054006e+03 6.871049091971860590e-02 2.818723542475020066e-04 3.326744025122544635e+00 1.449044250218057073e+01 1.032510457260656794e-01
0.000000000000000000e+00 -1.061712364382110991e+03 4.261272314947481960e-02 1.018536405329388767e-03 3.228323518124143199e+00 1.783797355477863533e+01 9.264770641672276374e-02
0.000000000000000000e+00 -1.052841214483044268e+03 3.314372952567427866e-02 2.848670191497986066e-03 3.436458110614641015e+00 1.120807279464903594e+01 1.324345678558779271e-01
0.000000000000000000e+00 -1.011317801173937255e+03 1.662510766990178634e+00 7.822730644342609828e-04 3.278758556466871976e+00 1.967269270024015171e+01 1.144138586311691103e-01
0.000000000000000000e+00 -9.969168743965115027e+02 2.707516358118182964e+01 1.937876868374487083e-02 3.205170980432946237e+00 1.754621044994754797e+01 9.016166131674438478e-02
0.000000000000000000e+00 -9.862929688311076006e+02 6.082291253766707040e-02 1.204685241203032011e-04 3.248929768321906941e+00 1.578497826804715842e+01 1.381711054904605218e-01
0.000000000000000000e+00 -9.768053775796948912e+02 8.219319525812965210e+00 1.995367126506044850e-04 3.420429106132373942e+00 1.068850594433689771e+01 1.462271287647034512e-01
0.000000000000000000e+00 -9.569824722647283579e+02 3.264244936925148055e-02 1.179394847537098504e-03 3.324080373760292417e+00 1.297347333719652696e+01 6.721388963858448973e-02
0.000000000000000000e+00 -9.477462353668868218e+02 1.572091501578493755e+01 4.059586511843136028e-03 3.379676756556415640e+00 1.134073887095504141e+01 1.215283737364223626e-01
