weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.370239271903485587e+03 7.334347351035340745e-01 4.883005467301024805e-01 9.526245414700977854e-01 7.745724032445964191e-01 3.005654026251497468e-01
0.000000000000000000e+00 -1.368256808570249405e+03 7.081905229780223188e-01 3.107015164029501841e-01 9.929094189087969147e-01 6.709329725344842510e-01 6.692613907143036833e-01
0.000000000000000000e+00 -1.366132940564924866e+03 9.912067734437649547e-01 5.911670477248637257e-01 9.237278829062235408e-01 8.526473626768212855e-01 1.626486193598600805e-01
0.000000000000000000e+00 -1.311508300750846956e+03 2.920112607822813455e-01 4.586807341031492458e-01 9.861766754615542974e-01 6.599009626707800225e-01 7.063631044104758949e-01
0.000000000000000000e+00 -1.291188881420590178e+03 3.214026870044808248e-01 4.459470544783451507e-01 9.375086649278890905e-01 9.381063877653718075e-01 2.333358064430512968e-01
0.000000000000000000e+00 -1.255785737430447398e+03 8.219764664989445135e-01 3.402937506456030770e-01 8.554787759774565847e-01 9.589926776269571684e-01 5.594087748963333384e-01
0.000000000000000000e+00 -1.196389720103443551e+03 8.757148454360723644e-01 4.435322223567167432e-01 9.257041426684987639e-01 7.071496143643830612e-01 4.132658065983451090e-01
0.000000000000000000e+00 -1.146632215259338182e+03 7.545019008829245699e-02 3.060434266279251636e-01 9.755380156609889664e-01 5.602267990124584207e-01 5.124787780460506870e-01
0.000000000000000000e+00 -1.146192927067653955e+03 6.334729855219264349e-01 3.427077951749594176e-01 9.778018127285719174e-01 5.545975383168915140e-01 9.195414598580329280e-01
0.000000000000000000e+00 -1.126262648350380005e+03 4.939139994725169069e-01 3.344038905809065820e-01 8.608078825712160986e-01 9.875055184504810679e-01 1.962814081693373680e-01
0.000000000000000000e+00 -1.101082190263150778e+03 8.283989035829795178e-01 7.964753323544681018e-01 9.374518412413002100e-01 6.152866519603865658e-01 9.902344845588235689e-01
0.000000000000000000e+00 -1.087180787759120449e+03 1.781055822427742852e-01 3.337958695378905327e-01 8.438990157753374355e-01 8.359210633304815508e-01 8.897738371765818721e-01
0.000000000000000000e+00 -1.084080163070798790e+03 7.360811662810873290e-02 4.990490241605157751e-01 8.604604788917065150e-01 8.999832117291693967e-01 8.939771019081490522e-01
0.000000000000000000e+00 -1.071670690028199033e+03 1.646222009385911456e-03 2.487012605676283128e-01 7.972752639756210957e-01 9.640586228395126023e-01 6.644604992392094678e-01
0.000000000000000000e+00 -1.067674024067054006e+03 1.021612785403895884e-01 1.125131207003178258e-01 8.844960167483632008e-01 7.100232895884510675e-01 4.862752277589635908e-01
0.000000000000000000e+00 -1.061712364382110991e+03 4.326519440713527676e-02 2.519941391271492970e-01 8.188823454160956139e-01 8.862091344620335320e-01 3.697550155683820838e-01
0.000000000000000000e+00 -1.052841214483044268e+03 1.228544170542877900e-02 3.636605427851463679e-01 9.576387404097607137e-01 5.372669891920545115e-01 8.069732731415157900e-01
0.000000000000000000e+00 -1.011317801173937255e+03 4.949484038417898413e-01 2.233395941718347988e-01 8.525057043112479471e-01 9.827733000126395169e-01 6.089435014414188441e-01
0.000000000000000000e+00 -9.969168743965115027e+02 8.389303317466616505e-01 5.718315446899907561e-01 8.034473202886308618e-01 8.708531815761867412e-01 3.424358386455427228e-01
0.000000000000000000e+00 -9.862929688311076006e+02 8.712929970154070780e-02 2.021839744032571939e-02 8.326198455479379978e-01 7.781567509498504842e-01 8.700121482468191614e-01
0.000000000000000000e+00 -9.768053775796948912e+02 6.919666515651371475e-01 7.500570324467714656e-02 9.469527374215825910e-01 5.099213654914156457e-01 9.585398765352030059e-01
0.000000000000000000e+00 -9.569824722647283579e+02 1.040668359459173686e-02 2.679148065321668160e-01 8.827202491735283152e-01 6.301828072208698339e-01 9.026252350092855981e-02
0.000000000000000000e+00 -9.477462353668868218e+02 7.719131885871265419e-01 4.021204502188143737e-01 9.197845043709436119e-01 5.442494142607916530e-01 6.871249861145315441e-01
0.000000000000000000e+00 -9.395990127763107012e+02 8.012968860772406998e-03 2.580994684231520120e-01 8.451052499927433903e-01 7.064029992626856824e-01 5.283607504931826515e-01
0.000000000000000000e+00 -9.163737987541828716e+02 3.977695602742814529e-02 2.414255539168680409e-01 7.548267928143969074e-01 9.409374660144441682e-01 4.648965698689679904e-01
