Mphi g si norm
7.111787864811625060e-01 3.386550224431676692e-02 2.552195600336959025e+00 1.435624048187066748e+01
7.661374115287060693e-01 1.625389002363048299e-02 2.454043088090219538e+00 7.506591144124558745e+00
7.618387833002400189e-01 2.850812494432743843e-02 2.669624400816407839e+00 9.484881642755027542e+00
7.308933693251543628e-01 2.422035699950840504e-02 2.491677755949226913e+00 9.165149498269325790e+00
7.066219626200863635e-01 3.556571725225503994e-02 2.591767726121606774e+00 1.879034159705248186e+01
7.260296498853235914e-01 3.444671690832944860e-02 2.499828602047583281e+00 1.642884585138549625e+01
6.611680736354094146e-01 3.664621772333295779e-02 2.664422102880422027e+00 1.917599725690828194e+01
5.791712888853779440e+00 6.965881619914418565e-02 2.339392881278598679e+00 6.885779285332167987e+00
7.755774756750025700e-01 3.229368762380938757e-02 2.625585660122007337e+00 1.333323871050930443e+01
7.489271001749056023e-01 2.096989204273103438e-02 2.520835994084376086e+00 8.647003487924770582e+00
6.646467941401079660e-01 3.124393411708331625e-02 2.534675725770563215e+00 1.401382680396027958e+01
8.768193169682769739e-02 1.248998705445255111e-02 2.928573445647340900e+00 9.903575399358075515e+00
6.197648427372524971e+00 9.093805897092267776e-02 2.332004736899422781e+00 7.669976459440983163e+00
7.808602832844329100e-01 3.246370819411644598e-02 2.459623794928857965e+00 1.471173517626877114e+01
7.479107280734802465e-01 2.269892077575242154e-02 2.502758531883683357e+00 8.967889809338759122e+00
8.863233316639892445e-01 2.369000483745844002e-02 2.399037824167466137e+00 1.022336444871443106e+01
7.695366459158070604e-01 3.551774307998940144e-02 2.630726711083376301e+00 1.572644083615900357e+01
7.243675466433108223e-01 1.628069842008116747e-02 2.483865312409812454e+00 7.900534218371885409e+00
7.286091229722433393e-01 3.269805976689590249e-02 2.627151775767047504e+00 1.391288144979886354e+01
8.154832367454001307e-01 3.148918387410420267e-02 2.559450909933160823e+00 1.228812862917946624e+01
6.735250873675988625e-01 2.965485925147932217e-02 2.461766720001430819e+00 1.487991346424575489e+01
7.647863480989504081e-01 3.220276853422537194e-02 2.578580473250866589e+00 1.310180562895883583e+01
8.153735576535848795e-01 2.680655757709999101e-02 2.604955064871373516e+00 1.048563405050964192e+01
7.837548760228214562e-01 2.908159874691637614e-02 2.615115459148876553e+00 1.110330858141313115e+01
8.223460479530346756e-01 1.727511782524386585e-02 2.523230838153123656e+00 6.126095372556163099e+00
7.332895124018650179e-01 2.935699742287814842e-02 2.428396613299219631e+00 1.214818025332861673e+01
7.153875262527766843e-01 2.280792060345111089e-02 2.531336314755296080e+00 8.725979366533749726e+00
7.286091229722433393e-01 3.269805976689590249e-02 2.627151775767047504e+00 1.391288144979886354e+01
7.998964560011041502e-01 3.513937929942226313e-02 2.516609885580672668e+00 1.593036610976180256e+01
7.231991421814437659e-01 3.137083108262238990e-02 2.612639444297067293e+00 1.218569678949734225e+01
7.608031078162685867e-01 3.750475315556714428e-02 2.556505844110945169e+00 1.897977513154673090e+01
6.836835104540418540e-01 2.465084236513690602e-02 2.417889899196521419e+00 1.024736809479481892e+01
6.717377661073679063e-01 2.805760818582224078e-02 2.409081994316236486e+00 1.249365454651833929e+01
7.620639408925596880e-01 2.647429383319510002e-03 2.449225523688731698e+00 7.291386723560845162e+00
7.667391024643975816e-01 3.576468053079760040e-02 2.700985956396093624e+00 1.456716711990440771e+01
7.105049421229506779e-01 3.379398844349026237e-02 2.518985064017132292e+00 1.528227079444603120e+01
5.718047885201736236e+00 7.661726551142447605e-02 2.281621260295596532e+00 8.194041599871768611e+00
6.883166043073878360e-01 2.661256333633444521e-02 2.509140253565070200e+00 9.609309364122754715e+00
7.404331030013573400e-01 2.927583924379831629e-02 2.504037999713788487e+00 1.107853279302707250e+01
7.939315461568966503e-01 3.720191632460909115e-02 2.653638541079867963e+00 1.722227660002932126e+01
6.677176686012392670e-01 2.671915027516980068e-02 2.603616346397204850e+00 9.965026420301631660e+00
7.069277590114017018e-01 2.274251000339778256e-02 2.442493156135994159e+00 1.186361228311523952e+01
6.955690226987927716e+00 9.833976853996961864e-02 2.289062711102340053e+00 7.278885385913631545e+00
7.367349464103725154e-01 3.106623923753174671e-02 2.546918433943300197e+00 1.208720441113717037e+01
7.308635640729866934e-01 2.919917894737081646e-02 2.632579768702934864e+00 1.015568238536134515e+01
6.947238671755540107e-01 3.268913126535703817e-02 2.638446008834941736e+00 1.450313581923067296e+01
7.575319941433058535e-01 2.226982871177185172e-02 2.511388369787782793e+00 9.572300987686240603e+00
8.449019117448345328e-01 2.821586240253467701e-02 2.457893641833988951e+00 1.031868947192248065e+01
7.136329307386565235e-01 3.164607389303040336e-02 2.455560366674752082e+00 1.484386998186760387e+01
6.590148623999749766e-01 2.975327538254579976e-02 2.510514471289908123e+00 1.431127594491092303e+01
6.895553694140047485e-01 2.435191976579180462e-02 2.433490136529995684e+00 1.074740544103163487e+01
6.796477596370561480e-01 1.799282754579384358e-02 2.309561695869320364e+00 9.206074418945798143e+00
7.361244676128081421e-01 3.466396180545328054e-02 2.610659190645966632e+00 1.522808481685452442e+01
7.024860314422798346e-01 2.796262012942262593e-02 2.507956471207944293e+00 1.158233138477535640e+01
7.488732376419526826e-01 2.837933977838190749e-02 2.551715627435614309e+00 1.271572241825806060e+01
7.735727211475821319e-01 2.640296727235205698e-02 2.541324725929861472e+00 1.090842478662542625e+01
5.781101379058056544e+00 8.122138913185281139e-02 2.344721528242840414e+00 7.348472477105179479e+00
6.471162389815764415e-01 2.129976293498514819e-02 2.563778642091579574e+00 8.612344520491298283e+00
7.411653351903337850e-01 3.362196752355613855e-02 2.504570065000645496e+00 1.553412435807875980e+01
7.362274455121224914e-01 2.814027347419482961e-02 2.568759122933477634e+00 1.321390738187880487e+01
7.321301799691725121e-01 3.105639971177029737e-02 2.635726509571396203e+00 1.415558534628509690e+01
2.579448851575940083e+01 6.052655814807005319e-01 2.030043492365240176e+00 7.647507742879540160e+00
5.609278454492956811e+00 9.541845981482377113e-04 2.465323586559422964e+00 6.609607675653910164e+00
8.823870323980839148e-01 1.725290229182862775e-02 2.552812408721847781e+00 7.394846930829217513e+00
8.049995464676282797e-01 2.444301997053156816e-02 2.561921845081912341e+00 8.579381985184920012e+00
7.258482980797137385e-01 1.091424835407851790e-02 2.452510615494865043e+00 7.307460975496866240e+00
8.237219375550114409e-01 3.298638911135468726e-02 2.537494501988462936e+00 1.521969817620156462e+01
8.105335216722371339e-01 2.795410681232207359e-02 2.491018382321553482e+00 1.121540650627533608e+01
7.018451280636975875e-01 3.435983445853548618e-02 2.604066083468889126e+00 1.582075885227604140e+01
7.509126011504886344e-01 3.678236266047640868e-02 2.489354418771291932e+00 1.965435348113316749e+01
7.943246717673441148e-01 2.452968540654313148e-02 2.455367969367641567e+00 1.097881097758848945e+01
3.809364526499939979e-02 9.824414242493488894e-03 2.819994594698549406e+00 1.120260409934429191e+01
8.224829866193912320e-01 2.125229953644903330e-02 2.470799114018314313e+00 8.382138373174225165e+00
6.373273788367790793e+00 1.092505558095279716e-01 2.219522603744194189e+00 8.292086037461430692e+00
7.694988578143571178e-01 1.722388337802224084e-02 2.530229221941567630e+00 7.175797013322231521e+00
7.538083284721915911e-01 3.613245161624553670e-02 2.634135898646088769e+00 1.678714397621437726e+01
5.984711983245997402e+00 9.347355840537564797e-02 2.269698081867697503e+00 7.806153182063169993e+00
7.064377595683434263e-01 2.920465181163982640e-02 2.561733928590173015e+00 1.202951779825118983e+01
7.315649462841018469e-01 1.611370125281681026e-02 2.434683629022043494e+00 7.879549140649504402e+00
6.883820830033722249e-01 2.660189189896125517e-02 2.480439269024639515e+00 1.086694986964901588e+01
7.792877997114403543e-01 2.949339199439248924e-02 2.569778522462598858e+00 1.162241276631568887e+01
7.416203849347627886e-01 3.210784059310740207e-02 2.592227302598602900e+00 1.504899234727595392e+01
6.496344847435861602e+00 8.082125563902664567e-02 2.226411780792933115e+00 8.167910745072239465e+00
7.911772523777957922e-01 1.866869783417190662e-02 2.430098092286717915e+00 7.076089481476409482e+00
7.427969062185642013e-01 3.510719139639222053e-02 2.706898237102695948e+00 1.627095845481757408e+01
7.242712116591476512e-01 2.697165233882922383e-02 2.576340473093897909e+00 1.017817168281344742e+01
7.777420795859151248e-01 2.141916981012589871e-02 2.484584764868376983e+00 7.989083358976809990e+00
6.545733718268326173e-01 2.382269087324007106e-02 2.494781855267115489e+00 1.064534759134470221e+01
7.043177208875326389e-01 2.571103818545934783e-02 2.496882373297730773e+00 1.153362493196007499e+01
7.901362859705476360e-01 1.728624715377126420e-02 2.663927051182567673e+00 6.992073001016559708e+00
7.587457506333847856e-01 3.378104784239888830e-02 2.451678437280194967e+00 1.761170910957221380e+01
7.629841353701973805e-01 2.487371786864550280e-02 2.468063232208252966e+00 9.709582511412719441e+00
6.522383799566777718e+00 8.682299476756101531e-02 2.267555565020695774e+00 7.609086370522840426e+00
6.218267438724445206e+00 9.089615632185432670e-02 2.256170318422137555e+00 8.083867254141846814e+00
6.776297752779759653e-01 2.604133805505882970e-02 2.568340488397547805e+00 9.510916642123939724e+00
8.300312413489795427e-01 3.148418724467954427e-02 2.618460210427397516e+00 1.149682661966189201e+01
6.973352273931829881e-01 3.405333474458073495e-02 2.535112017065007883e+00 1.633600055342403579e+01
7.949898994035894395e-01 3.274576968286601469e-02 2.633681035790961911e+00 1.388066828800534580e+01
8.207941843438923968e-01 3.043377611249147366e-02 2.630711290672210545e+00 1.119453986893734410e+01
7.785700207581377486e-01 2.846180428679690247e-02 2.598745874174274384e+00 1.268137125804856069e+01
8.114916295138869806e-01 1.724863020156440496e-02 2.570666285799021900e+00 7.174080912242322583e+00
6.741476095930426737e+00 9.420645873971042472e-02 2.394612607998742426e+00 8.448228331412847680e+00
7.314071355982481037e-01 2.670664656506119977e-02 2.541940124437700455e+00 9.499739529701932028e+00
7.120633680014700762e-01 3.371724405554146070e-02 2.534424232565942070e+00 1.544067566987768991e+01
5.172212501181465250e+00 4.608311338816091507e-02 2.453190440638791880e+00 8.002934447322928690e+00
6.455127822441991015e+00 1.276117170815387614e-01 2.027541246852589740e+00 7.523267717959725154e+00
7.233041692553102697e-01 3.479395971886998368e-02 2.507430286648099305e+00 1.757327859418438720e+01
7.014147714084382201e-01 3.512904266792980096e-02 2.605627763422350363e+00 1.939215405745108001e+01
7.237152136889148935e-01 3.508654718323347965e-02 2.558393242406095780e+00 1.737090909722155985e+01
7.098537123150790995e-01 2.517807712043529031e-02 2.291629644563756063e+00 1.035639606910467236e+01
7.438668556089230721e-01 2.504316349552383747e-02 2.541709443115037992e+00 9.141291734835768068e+00
6.620685018842966674e-01 1.812012706598364886e-02 2.245421335577975519e+00 8.007015031470173128e+00
7.871636363629966882e-01 2.645097852971126443e-02 2.351555781025858938e+00 1.196972197206794064e+01
9.063021981860863718e-02 9.255907465429043246e-03 2.631730956426249435e+00 8.456753328329012831e+00
7.261933770610248251e-01 7.575922815409148964e-04 2.535472522122796502e+00 7.102705214247928112e+00
2.275882674805934158e+01 5.830458648981712289e-01 2.125821618909658817e+00 1.164359712967756266e+01
7.346132581905222558e-01 2.653558701213797402e-02 2.557226775141240971e+00 1.072227182184878203e+01
7.103100712587981924e+00 6.113942290574669869e-02 2.355232924654734550e+00 7.311334713079137515e+00
6.992456321524830321e-01 3.435117519678303200e-02 2.609284497515110601e+00 1.827880852345916551e+01
7.585106152474426766e-01 3.027933783072282378e-02 2.499573170803394362e+00 1.405013368944555907e+01
6.606423584999839838e-01 1.214350681557448651e-02 2.394981360657165048e+00 7.311576500310714266e+00
7.458185325822386247e-01 2.457054255016033473e-02 2.403832946775435353e+00 1.036748075614457143e+01
7.300090105631144022e-01 2.927820132761186495e-02 2.579642383308272002e+00 1.224779296039604937e+01
6.789044656298433900e+00 9.732578250565288025e-02 2.148509537102480493e+00 8.610671221464212266e+00
7.372981839199860277e-01 3.592590155215637931e-02 2.573085381421059470e+00 1.850223539947245044e+01
7.533554409458618206e-01 3.285099768785984531e-02 2.539918464334995019e+00 1.409959749163305354e+01
7.943496635382382154e-01 3.355134738864622851e-02 2.616538840682902212e+00 1.484621723300103291e+01
6.684139154795534665e+00 7.038795761283536678e-02 2.458589878583493871e+00 6.540169753961813548e+00
7.267591308564150809e-01 3.603642651020581844e-02 2.472572334206236455e+00 1.804633159884980742e+01
6.974549079803920471e+00 7.929380888748530087e-02 2.408946718359686656e+00 7.869561281496503469e+00
7.196943102668162950e-01 1.981205029375063958e-02 2.657065755991609546e+00 7.191846402178271980e+00
7.885797715068673108e-01 2.507988367482015188e-02 2.507274917112775281e+00 9.246296335105462560e+00
6.397321682759180561e-01 3.160047171319348147e-02 2.588518656274662710e+00 1.495825193266345998e+01
6.415071688088868740e+00 8.602469372321597252e-02 2.232944645888306212e+00 8.918199294231831331e+00
6.190096322097345727e+00 7.570499041714344457e-02 2.402785388055160176e+00 8.023083094953410210e+00
6.443451662692246673e-01 3.117087406835886143e-02 2.429316692968527036e+00 1.530606660739987390e+01
6.844603566998368471e-01 3.422862485018889761e-02 2.545835155986448939e+00 1.742397396272628640e+01
7.682490836448796490e-01 3.507626992481235884e-02 2.537807924622133005e+00 1.704330112470430336e+01
7.720992846621604899e-01 2.672536092471878774e-02 2.596010206894574512e+00 9.755551370897947550e+00
7.178000182599992840e-01 2.329753307134890122e-02 2.508874242081176931e+00 1.009435600418172463e+01
7.327158192117003699e-01 2.462958867688990611e-02 2.519452494088070260e+00 9.940604667224553381e+00
5.843194932830074073e+00 8.531321759405247063e-02 2.212733362063301623e+00 8.256952517136168623e+00
6.403768815165238326e-01 2.283738187046118612e-02 2.532921720447255609e+00 9.032506354040906515e+00
7.139408225870251812e-01 3.609709718940264100e-02 2.561338926822872786e+00 1.669148474386054204e+01
7.164598553457048880e-01 3.547323742589432449e-02 2.434304724135371689e+00 1.684019830435157417e+01
7.857604213529415516e-01 1.955638684991295104e-02 2.546926225911470887e+00 7.422897289087446282e+00
7.456346819228065748e-01 2.601326884230532530e-02 2.509606975890551706e+00 1.050419333976583225e+01
7.160949108251863926e-01 2.742116465515569146e-02 2.543264727275095449e+00 9.081217114955849823e+00
