weight logl Mphi g si norm
0.000000000000000000e+00 -1.715887813135326269e+03 3.465142213786697178e-01 1.570154439715186392e-03 3.478530649728082125e+00 1.983101873798321790e+01
0.000000000000000000e+00 -1.513128909913031066e+03 2.387603492356892065e+00 6.446130508798396212e-03 3.448800219822029334e+00 1.724306517890113000e+01
0.000000000000000000e+00 -1.506917352658671007e+03 3.381154230309037223e-02 4.457009683072121818e-04 3.468504959072554072e+00 1.654861847106607087e+01
0.000000000000000000e+00 -1.472800209634622206e+03 5.891778088437030547e+00 4.197195965749473540e-02 3.476856466133837031e+00 1.572936726282848419e+01
0.000000000000000000e+00 -1.422204857193018597e+03 1.207302261359427575e+01 1.396872072070402537e-01 3.375312029860712215e+00 1.872429136142557127e+01
0.000000000000000000e+00 -1.414933327204020770e+03 3.546464673743572860e+01 4.181754758693732171e-02 3.478445685844771873e+00 1.478689546443781389e+01
0.000000000000000000e+00 -1.346539462282265276e+03 4.590207130017148529e+00 1.085822328010777353e-03 3.497968421530175398e+00 1.322180082973759774e+01
0.000000000000000000e+00 -1.317990061033287020e+03 6.054759683060972009e+01 8.648066200063038445e-03 3.338967703666147369e+00 1.813134898838515241e+01
0.000000000000000000e+00 -1.315091683862340687e+03 4.249547655497626408e+01 5.771325661650943406e-01 3.332306786659638309e+00 1.821189618673698973e+01
0.000000000000000000e+00 -1.313346000998019463e+03 3.481060595441424965e+01 1.320719990517625749e-03 3.442501858057222641e+00 1.443995966909021789e+01
0.000000000000000000e+00 -1.248853351035261994e+03 7.576789685386690110e+01 1.848937857575164850e-02 3.270851499741710633e+00 1.960463324553785469e+01
0.000000000000000000e+00 -1.231366054041068764e+03 3.374245817527204139e+01 3.071667501771559020e-04 3.417907312187127289e+00 1.402867829546744005e+01
0.000000000000000000e+00 -1.223149699863158276e+03 2.169521528647529340e+00 2.616223702396761833e-03 3.420663260379907644e+00 1.381561484890624847e+01
0.000000000000000000e+00 -1.196476817248067618e+03 3.293130249046755803e-02 2.772178508627384601e-04 3.471320643397111994e+00 1.204452643798085099e+01
0.000000000000000000e+00 -1.185732697040645235e+03 1.706487331015342335e+01 2.720142312625271619e-01 3.254436850090884015e+00 1.986338022877703580e+01
0.000000000000000000e+00 -1.163335433935194260e+03 1.620412224938960533e+00 2.003102908663058519e-03 3.336036507993119571e+00 1.671734708562424032e+01
0.000000000000000000e+00 -1.152380985996705022e+03 1.503845181378292151e-01 1.513861362871880790e-03 3.390433730788519284e+00 1.692433159104395912e+01
0.000000000000000000e+00 -1.133160976110985303e+03 2.151426032807094213e+00 1.507317120788328872e-04 3.390295030785674513e+00 1.350496524993695679e+01
0.000000000000000000e+00 -1.121775827334667156e+03 1.024314688962838105e+01 5.385016078001321829e-03 3.379655483156983387e+00 1.362556097837313906e+01
0.000000000000000000e+00 -1.093633128032244713e+03 1.028627402402652535e+01 1.429826447824518280e-02 3.378550129025852389e+00 1.326693031851286442e+01
0.000000000000000000e+00 -1.067421163437994664e+03 6.065252282053981148e+00 1.033194063659306078e-01 3.214722957000974990e+00 1.936676126822648669e+01
0.000000000000000000e+00 -1.042083053772205403e+03 2.230632865561545053e+00 1.707133255558854082e-04 3.191598410764261651e+00 1.882431177684818380e+01
0.000000000000000000e+00 -1.041027856735744308e+03 3.373488168368614648e-01 6.781701863029812767e-03 3.188373360283338620e+00 1.897312436572756766e+01
0.000000000000000000e+00 -1.021026363278527811e+03 9.874240546177145461e+01 6.806954936040923165e-01 3.000203979646449692e+00 1.928420774997753639e+01
0.000000000000000000e+00 -1.019785918445269544e+03 7.928852116570926967e+01 1.027966728600498866e-04 3.459964059731563513e+00 1.025079248785251096e+01
0.000000000000000000e+00 -9.815757770541763421e+02 2.286992177385246094e+01 1.661201475248163530e-04 3.385781762616811186e+00 1.161250381627960060e+01
0.000000000000000000e+00 -9.647758742378771331e+02 6.889899721324772575e-01 1.166754928335961370e-03 3.271326811028204329e+00 1.547330762264739157e+01
0.000000000000000000e+00 -9.309567507282490624e+02 1.647731896882093927e-01 7.018876086347121575e-03 3.481835784604535355e+00 1.431495343159256883e+01
0.000000000000000000e+00 -9.258008222081761005e+02 4.548031342185311843e+01 2.144575309579657002e-02 3.156401293354932136e+00 1.810334721440289130e+01
0.000000000000000000e+00 -9.202486612928491923e+02 3.903617256270113245e+01 3.859216345682391514e-03 3.425585662705675105e+00 9.923905686885051480e+00
0.000000000000000000e+00 -9.132545516332272655e+02 4.016031684643771582e-01 4.316598034356385299e-04 3.443297020382534157e+00 9.399326860441870934e+00
0.000000000000000000e+00 -8.878362851439557062e+02 3.180909102203129635e+01 1.741421027425908152e-01 3.163961711056670900e+00 1.710148927754969961e+01
0.000000000000000000e+00 -8.749626620705889763e+02 6.678608446630461515e+01 6.427176496848898551e-03 3.414748889294738632e+00 9.660829827135735570e+00
0.000000000000000000e+00 -8.624070289639741986e+02 8.347363656519843911e-01 1.449968680520865292e-04 3.250550380716188847e+00 1.514341169708775681e+01
