weight logl Mphi g si norm
0.000000000000000000e+00 -1.715887813135326269e+03 3.016282663739930925e-01 2.989855928821463227e-01 9.856870998187216015e-01 9.911062493675377727e-01
0.000000000000000000e+00 -1.513128909913031066e+03 5.395703594088364641e-01 4.523247735052646767e-01 9.658668132146863705e-01 8.548981673105857659e-01
0.000000000000000000e+00 -1.506917352658671007e+03 1.474468196686751220e-02 1.622608944033155920e-01 9.790033060483694927e-01 8.183483405824247825e-01
0.000000000000000000e+00 -1.472800209634622206e+03 6.509236598892164105e-01 6.557398116891485218e-01 9.845709774225579469e-01 7.752298559383412613e-01
0.000000000000000000e+00 -1.422204857193018597e+03 7.393654302936487621e-01 7.862891586262737986e-01 9.168746865738083285e-01 9.328574400750300200e-01
0.000000000000000000e+00 -1.414933327204020770e+03 8.722055471268175264e-01 6.553396399474658018e-01 9.856304572298479894e-01 7.256260770756743916e-01
0.000000000000000000e+00 -1.346539462282265276e+03 6.201493683067547114e-01 2.589396919768510719e-01 9.986456143534504504e-01 6.432526752493472610e-01
0.000000000000000000e+00 -1.317990061033287020e+03 9.381462987132977993e-01 4.842297513594644442e-01 8.926451357774315420e-01 9.016499467571132964e-01
0.000000000000000000e+00 -1.315091683862340687e+03 8.945018199656190605e-01 9.403188952912333587e-01 8.882045244397588357e-01 9.058892729861574011e-01
0.000000000000000000e+00 -1.313346000998019463e+03 8.699108172762012314e-01 2.802026878511645336e-01 9.616679053714818348e-01 7.073662983731693332e-01
0.000000000000000000e+00 -1.248853351035261994e+03 9.657908272371862335e-01 5.667305787138433582e-01 8.472343331611403849e-01 9.791912234493608258e-01
0.000000000000000000e+00 -1.231366054041068764e+03 8.660688272638504825e-01 1.218435507271481422e-01 9.452715414580847852e-01 6.857199102877600261e-01
0.000000000000000000e+00 -1.223149699863158276e+03 5.277623341022231740e-01 3.544187189882506139e-01 9.471088402532717998e-01 6.745060446792762177e-01
0.000000000000000000e+00 -1.196476817248067618e+03 1.149277518865665648e-02 1.107052980808794773e-01 9.808804289314079217e-01 5.812908651568868823e-01
0.000000000000000000e+00 -1.185732697040645235e+03 7.820257275076092363e-01 8.586479065205954164e-01 8.362912333939226395e-01 9.928094857251071881e-01
0.000000000000000000e+00 -1.163335433935194260e+03 4.917865136828969419e-01 3.254258153958419220e-01 8.906910053287465656e-01 8.272287939802231982e-01
0.000000000000000000e+00 -1.152380985996705022e+03 1.987243741514014284e-01 2.950215262387372306e-01 9.269558205256793748e-01 8.381227153181030065e-01
0.000000000000000000e+00 -1.133160976110985303e+03 5.267297851684294985e-01 4.455115802221520926e-02 9.268633538571161568e-01 6.581560657861555974e-01
0.000000000000000000e+00 -1.121775827334667156e+03 7.191028500035305804e-01 4.327967510764123560e-01 9.197703221046554800e-01 6.645032093880599566e-01
0.000000000000000000e+00 -1.093633128032244713e+03 7.196208039584685023e-01 5.388208315120142089e-01 9.190334193505682592e-01 6.456279115006771097e-01
0.000000000000000000e+00 -1.067421163437994664e+03 6.545009868066586911e-01 7.535454755543238292e-01 8.098153046673166600e-01 9.666716456961308435e-01
0.000000000000000000e+00 -1.042083053772205403e+03 5.311868438504431245e-01 5.806685565875657762e-02 7.943989405095078782e-01 9.381216724656938899e-01
0.000000000000000000e+00 -1.041027856735744308e+03 2.983236190026387069e-01 4.578346733552439707e-01 7.922489068555591540e-01 9.459539139856615320e-01
0.000000000000000000e+00 -1.021026363278527811e+03 9.984398278947966832e-01 9.582382188655780286e-01 6.668026530976330912e-01 9.623267236830281846e-01
0.000000000000000000e+00 -1.019785918445269544e+03 9.713899655597258986e-01 2.994764603762356536e-03 9.733093731543756011e-01 4.868838151501321265e-01
0.000000000000000000e+00 -9.815757770541763421e+02 8.181216649180965694e-01 5.510557702949570036e-02 9.238545084112074202e-01 5.585528324357684760e-01
0.000000000000000000e+00 -9.647758742378771331e+02 3.863577899584941244e-01 2.667449110018101921e-01 8.475512073521361822e-01 7.617530327709153282e-01
0.000000000000000000e+00 -9.309567507282490624e+02 2.099888607155238063e-01 4.615668938239284591e-01 9.878905230696902739e-01 7.007870227153983889e-01
0.000000000000000000e+00 -9.258008222081761005e+02 9.028701877557738786e-01 5.828353254160516528e-01 7.709341955699547944e-01 9.001761691790994835e-01
0.000000000000000000e+00 -9.202486612928491923e+02 8.840343933556833456e-01 3.966247813947528789e-01 9.503904418037832924e-01 4.696792466781606334e-01
0.000000000000000000e+00 -9.132545516332272655e+02 3.198168195042352391e-01 1.587854021577654873e-01 9.621980135883562157e-01 4.420698347600984235e-01
0.000000000000000000e+00 -8.878362851439557062e+02 8.587948160862003411e-01 8.102259460507282851e-01 7.759744740377807481e-01 8.474468040815631431e-01
0.000000000000000000e+00 -8.749626620705889763e+02 9.502355799685013871e-01 4.520050565613511484e-01 9.431659261964924212e-01 4.558331487966176265e-01
0.000000000000000000e+00 -8.624070289639741986e+02 4.100135667049022992e-01 4.033965538221540026e-02 8.337002538107926020e-01 7.443900893204082880e-01
0.000000000000000000e+00 -8.615375838029134457e+02 3.316026691246314329e-01 2.838369539172309608e-01 9.536489398565817233e-01 4.278066706930222507e-01
0.000000000000000000e+00 -8.613603238835941056e+02 9.231953147253212366e-01 2.824448227798244115e-01 7.550802272126836412e-01 8.835712340511848728e-01
0.000000000000000000e+00 -8.595278283048401136e+02 9.857539064295678388e-01 2.338508156423930728e-01 8.035466264657492585e-01 7.453336868057769404e-01
0.000000000000000000e+00 -8.551043290023418422e+02 7.979163414475175520e-01 5.274657358224493775e-01 7.984997270206500852e-01 7.547627289376230841e-01
0.000000000000000000e+00 -8.485155109085364984e+02 7.127933519674195528e-01 2.735451584447796680e-01 7.751811095088907422e-01 8.112677453704082442e-01
0.000000000000000000e+00 -8.388865173690450092e+02 6.412181566268748689e-02 2.997144205902492198e-01 7.163632160675957872e-01 9.829339826715897122e-01
0.000000000000000000e+00 -7.711606334636852580e+02 1.048692674638265210e-01 2.788851206782387848e-01 7.910695410234915848e-01 7.412369175282392808e-01
0.000000000000000000e+00 -7.570816945796144637e+02 7.431322405358800065e-01 6.017152335346692693e-01 7.520509342196353142e-01 7.884200263594780544e-01
3.726737166580522683e-320 -7.433086168871317341e+02 7.867886206362463275e-01 2.563225224392277068e-01 8.776219775104284748e-01 4.921184489731721401e-01
3.024575357318444810e-299 -6.951606359349508466e+02 3.933948327172097637e-01 1.309417598719653242e-02 7.187834799223580262e-01 8.765416973270196976e-01
9.034590792102249246e-299 -6.940638460072261751e+02 6.079700914655725708e-01 1.883894182512052540e-01 7.089583681303770479e-01 8.439875573111355056e-01
1.169212034263027742e-289 -6.730802256619587070e+02 1.588285128879918240e-02 1.629234835863818676e-01 7.682014808508569326e-01 6.701505054662941774e-01
5.108586602518745230e-289 -6.716031329373560084e+02 1.732685458414114921e-01 6.778823419680479745e-02 8.217470650059203185e-01 6.226924496259578223e-01
1.231582407288678726e-287 -6.684180856703750351e+02 7.818253059073168032e-01 2.586683326426580942e-01 8.448738646382074613e-01 5.025971055131669418e-01
3.672569620696152371e-275 -6.396919728207872140e+02 3.671717562560014025e-01 3.540643493776617357e-01 7.657140561717626914e-01 6.888762763478747386e-01
1.142412383640410860e-271 -6.316468818824347409e+02 2.502800223915913058e-01 3.752963583039923279e-01 8.250164873518804898e-01 5.250501480922341591e-01
2.963854657391094177e-261 -6.076651824347964066e+02 2.960010918191423590e-01 1.816170434732795602e-01 6.875049994667508102e-01 8.007822541980732511e-01
3.854909868952504197e-258 -6.004920701996336447e+02 7.477214832548643164e-01 7.550374311597696231e-01 9.395403042118974923e-01 3.100969675710721907e-01
1.029709162937922702e-256 -5.972044712438007537e+02 1.888007392940433959e-01 4.166566188773802581e-01 7.634039898170551508e-01 7.924492428549289036e-01
1.600888767313996728e-254 -5.921555184995064565e+02 5.493277433837306933e-01 7.230970840428931901e-01 7.987422532445895840e-01 7.564840691449091770e-01
1.430489819400053881e-253 -5.899629754444372338e+02 5.532974075391838831e-01 5.482880922608577290e-01 6.791969849474301935e-01 8.026895612778555122e-01
1.333037929014191508e-250 -5.831232765874597135e+02 2.708557529425401622e-01 3.803984587745055101e-01 6.346757437761142429e-01 9.359662932330812257e-01
1.080888005466515680e-247 -5.764226988725671390e+02 9.723107919574986990e-01 6.803524361165622647e-01 7.300561480308505047e-01 6.722945858449462797e-01
2.583858553281074801e-244 -5.686409426791815349e+02 5.400382051587215848e-02 4.487974577940354592e-01 7.631964189758945194e-01 7.529131530466350863e-01
1.536352091377872426e-243 -5.668557305965525757e+02 8.785099900252996141e-01 9.020053700169476940e-01 8.518735909699179931e-01 4.188709234631566858e-01
1.928661156610290489e-243 -5.666258153702107165e+02 1.147883111355763042e-01 2.838393443955363749e-01 7.141347742133127285e-01 7.483045114334793135e-01
4.131606404265472780e-243 -5.658614751399489933e+02 9.636627605010292807e-01 3.834415188257777052e-01 7.917250380826645895e-01 5.288949197529044799e-01
1.302049083763369009e-239 -5.578033618173723198e+02 7.528234986280031293e-01 2.761691342773975322e-02 6.368035145066683889e-01 9.014471052472179391e-01
