logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.557158020783343318e+03 -1.563150735070034671e+03 9.250000000000000444e-01
-1.563150735070034671e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.465580279329561336e+03 -1.471575493616252743e+03 6.450000000000000178e-01
-1.471575493616252743e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.447821909596081923e+03 -1.453819623882773158e+03 6.400000000000000133e-01
-1.453819623863332026e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.410943802722586270e+03 -1.416944017009277559e+03 1.000000000000000000e+00
-1.416944017009277559e+03 4.071161408816274729e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.294305848807106713e+03 -1.300308563093798057e+03 1.629999999999999893e+00
-1.300308563093798057e+03 8.121300686338292962e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.292854354603132151e+03 -1.298859568889823549e+03 4.400000000000000022e-01
-1.298648654744472651e+03 1.549289996263953029e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -1.268764815007563129e+03 -1.274772529294254355e+03 1.239999999999999991e+00
-1.274772529294211608e+03 1.186356108649173358e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.249576971908823680e+03 -1.255587186195514960e+03 1.000000000000000021e-02
-1.255587186190859939e+03 9.233536949106103009e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -1.233567316950251097e+03 -1.239580031236942432e+03 1.754999999999999893e+00
-1.239580031125209644e+03 1.428616032007450798e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.227743413741170798e+03 -1.233758628027862187e+03 9.250000000000000444e-01
-1.233755668965981613e+03 1.479296132119828400e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.182533129143419728e+03 -1.188550843430110945e+03 8.299999999999999600e-01
-1.188550843430110945e+03 3.100864859477467661e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.156867658370963454e+03 -1.162887872657654725e+03 9.449999999999999512e-01
-1.162887872657647677e+03 3.436499929667844100e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.138105275615203936e+03 -1.144127989901895262e+03 1.215000000000000080e+00
-1.144127989894771872e+03 4.308732568919489125e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.116524273233581425e+03 -1.122549487520272805e+03 3.499999999999999778e-01
-1.122549487519847617e+03 3.196202227712575450e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.073788167098608710e+03 -1.079815881385299917e+03 1.324999999999999956e+00
-1.079815881385299917e+03 4.494873356415843091e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.033811881838647196e+03 -1.039842096125338458e+03 7.000000000000000666e-02
-1.039842096125338458e+03 3.773228274121424164e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.017544441466356602e+03 -1.023577155753047919e+03 1.735000000000000098e+00
-1.023577155666705153e+03 4.099499121870029938e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.013720940138616015e+03 -1.019756154425307273e+03 1.604999999999999982e+00
-1.019734485054344418e+03 4.253285516036602587e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -9.967095299053130475e+02 -1.002747244192004359e+03 1.590000000000000080e+00
-1.002747244150073357e+03 2.888464286736251907e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -9.966263666870905809e+02 -1.002666580973781947e+03 1.219999999999999973e+00
-1.002012952283266600e+03 2.193277552688102716e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -9.590452805093312918e+02 -9.650879947960225991e+02 1.449999999999999900e-01
-9.650879947960225991e+02 1.854942391902002541e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -9.404773846577488712e+02 -9.465225989444402330e+02 1.499999999999999944e-02
-9.465225989357875278e+02 1.570682285177271176e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -9.237604657494658795e+02 -9.298081800361571823e+02 2.700000000000000178e-01
-9.298081799810738630e+02 8.252038420725600787e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -9.189630706015703936e+02 -9.250132848882617509e+02 5.600000000000000533e-01
-9.250050470460880661e+02 9.468426744775966242e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -9.095998241964059616e+02 -9.156525384830972598e+02 1.465000000000000080e+00
-9.156524517393253291e+02 1.062898890265588925e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -8.797019644076235636e+02 -8.857571786943149164e+02 5.849999999999999645e-01
-8.857571786943148027e+02 1.575151362304606018e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -8.705315650670706873e+02 -8.765892793537619809e+02 5.350000000000000311e-01
-8.765891750237516362e+02 1.405749200676386401e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -8.698320454636829027e+02 -8.758922597503742509e+02 5.300000000000000266e-01
-8.754880490962526665e+02 1.072051037974052079e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -8.435696562319403711e+02 -8.496323705186316602e+02 2.700000000000000178e-01
-8.496323705186257484e+02 9.457009270027624481e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -8.334407967105006492e+02 -8.395060109971919928e+02 8.850000000000000089e-01
-8.395059709871276254e+02 5.054204724736038656e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -8.096753080266389588e+02 -8.157430223133302434e+02 1.580000000000000071e+00
-8.157430223132823812e+02 1.065350546304364165e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -8.028409059837435962e+02 -8.089111202704349353e+02 9.100000000000000311e-01
-8.089100420476929685e+02 8.443495059459884544e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -7.861522274250605733e+02 -7.922249417117518533e+02 7.349999999999999867e-01
-7.922249416550296246e+02 5.296774572718645047e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -7.845278025852811652e+02 -7.906030168719724998e+02 1.550000000000000044e+00
-7.904227656623924076e+02 1.961179849992886082e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -7.693306549069667426e+02 -7.754083691936580180e+02 8.249999999999999556e-01
-7.754083688921281237e+02 7.169103172828394044e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -7.691510230684475573e+02 -7.752312373551388873e+02 1.439999999999999947e+00
-7.746227391119243748e+02 5.519956394826194490e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -7.392123884330424062e+02 -7.452951027197336771e+02 1.419999999999999929e+00
-7.452951027197334497e+02 1.103680006106656286e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -7.305428443876891151e+02 -7.366280586743804406e+02 1.764999999999999902e+00
-7.366278865219280760e+02 1.092018145527462103e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -7.031503373489911155e+02 -7.092380516356823819e+02 2.000000000000000111e-01
-7.092380516356811313e+02 1.291327102735384358e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -7.000927092377679628e+02 -7.061829235244592837e+02 1.120000000000000107e+00
-7.061368831525459200e+02 1.070954864113233640e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -6.956180183015745797e+02 -7.017107325882658415e+02 1.034999999999999920e+00
-7.016988431069751186e+02 9.021512263271855403e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -6.849448644262422476e+02 -6.910400787129335640e+02 5.699999999999999512e-01
-6.910400552191838415e+02 5.672285321065247743e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -6.776908990927043988e+02 -6.837886133793956560e+02 5.999999999999999778e-02
-6.837879044795555501e+02 7.484985201763749707e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -6.773031508334524915e+02 -6.834033651201438033e+02 1.620000000000000107e+00
-6.828841165780060010e+02 2.948069184951277677e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -6.557169491420063423e+02 -6.618196634286977087e+02 3.950000000000000178e-01
-6.618196634279868249e+02 1.123677788790674015e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -6.443438868855489545e+02 -6.504491011722402618e+02 4.299999999999999933e-01
-6.504490896423532149e+02 1.648297105869417933e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -6.384187167085317469e+02 -6.445264309952231088e+02 1.854999999999999982e+00
-6.445237565042059487e+02 1.639371540534608584e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -5.995665379196191225e+02 -6.056767522063104252e+02 1.655000000000000027e+00
-6.056767522063104252e+02 2.611876896235891721e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -5.950379017379041215e+02 -6.011506160245954788e+02 2.000000000000000042e-02
-6.011398517565418160e+02 1.176617283370068101e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -5.879971034221905484e+02 -5.941123177088818466e+02 1.489999999999999991e+00
-5.941114309854642670e+02 1.367255292536046341e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -5.806820303141803379e+02 -5.867997446008716906e+02 9.100000000000000311e-01
-5.867990771335578302e+02 4.875482338529226745e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -5.794310247135944110e+02 -5.855512390002857046e+02 1.260000000000000009e+00
-5.852988280662410716e+02 7.622511240768065077e-01 -1.300000000000000600e-01 4.000000000000000000e+02 -5.658602201978868607e+02 -5.719829344845782089e+02 3.500000000000000333e-02
-5.719829328364896810e+02 4.867359702494463036e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -5.582357176281900593e+02 -5.643609319148813483e+02 5.000000000000000000e-01
-5.643604424734006670e+02 5.113014188378233627e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -5.241175847412613393e+02 -5.302452990279526830e+02 1.925000000000000044e+00
-5.302452990279526830e+02 1.169059138377246754e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -5.157736213364598825e+02 -5.219038356231511671e+02 4.650000000000000244e-01
-5.219035972283916180e+02 2.513627107514058601e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -4.850958711459329606e+02 -4.912285854326242998e+02 1.274999999999999911e+00
-4.912285854326242429e+02 1.139405945960956501e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -4.759792020643743058e+02 -4.821144163510656426e+02 1.604999999999999982e+00
-4.821143062623626747e+02 2.660165711027239421e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -4.618521972804500137e+02 -4.679899115671413483e+02 1.739999999999999991e+00
-4.679899108328757507e+02 7.993692799194304754e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -4.578509764469777679e+02 -4.639911907336691002e+02 2.849999999999999756e-01
-4.639730177707139092e+02 6.808269835452105845e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -4.454514683912714190e+02 -4.515941826779627490e+02 1.650000000000000078e-01
-4.515941784712843514e+02 6.936509515806124071e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -4.381503190089222244e+02 -4.442955332956135521e+02 1.344999999999999973e+00
-4.442948570696740376e+02 9.585107604745621401e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -4.319551184981676215e+02 -4.381028327848589470e+02 2.300000000000000100e-01
-4.381007891928990716e+02 1.068762349100445341e+01 -1.575000000000000844e-01 4.000000000000000000e+02 -4.275904536242801441e+02 -4.337406679109714673e+02 1.550000000000000044e+00
-4.337279720081419327e+02 1.133912719115089196e+01 -1.600000000000000866e-01 4.000000000000000000e+02 -4.168209107025521121e+02 -4.229736249892434330e+02 1.205000000000000071e+00
-4.229736036370843522e+02 6.571415116326920547e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -4.165593660504181912e+02 -4.227145803371095099e+02 6.700000000000000400e-01
-4.221425815136679489e+02 4.472400449735227212e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -4.147849566271781896e+02 -4.209426709138695060e+02 7.399999999999999911e-01
-4.206793677518895720e+02 3.478975184267318888e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -4.103227238610859331e+02 -4.164829381477772472e+02 8.850000000000000089e-01
