Mphi g si norm mntot
6.226350389241799732e+00 9.686320424069258528e-02 2.147209985564467960e+00 8.136671068441525989e+00 1.154308564969672990e-01
5.440371726439929390e+00 4.707874343295333219e-02 2.409236338616008055e+00 7.471478790834342298e+00 1.136522873592338001e-01
5.899052977673339804e+00 9.585668702328344060e-02 2.081693642100999497e+00 8.415068724340340367e+00 1.158651358721723978e-01
5.807398350507636309e+00 9.061675006401086196e-02 2.268374965911542418e+00 9.296474922216230397e+00 1.036889023771820628e-01
5.466695912936252455e+00 6.127387444768780944e-02 2.291965731249555382e+00 7.368717771985568099e+00 1.176278846808962580e-01
5.957504640388490813e+00 3.570659605446465518e-02 2.481966861694168358e+00 6.658269135921957904e+00 1.179577529339822795e-01
5.888306636024814855e-01 1.654354148884782522e-02 2.589376474717103527e+00 7.257682141136928777e+00 1.456539826872708943e-01
4.713616705959670128e+01 8.935414875678638902e-01 2.181950431137356983e+00 7.324785893284662563e+00 1.185995973342533205e-01
5.318028692953884473e+00 6.906826728569320784e-02 2.308562635791315376e+00 7.613197703261662674e+00 1.124734174249718971e-01
5.024268663901383380e-01 2.336384606887204410e-02 2.835412335653566096e+00 1.442842688090381387e+01 1.149533217263804530e-01
5.061914395937169076e+00 6.476999749719974941e-02 2.213019170708443895e+00 8.166960925154784334e+00 1.382946202221940202e-01
4.080664407256378579e-01 1.363991669162975366e-02 2.617773837101931456e+00 8.871619761697104423e+00 1.162754832366673235e-01
5.881519034473333463e+00 5.351141827439688525e-02 2.209308633315314019e+00 7.291922286666270736e+00 1.184570429267510910e-01
6.756644442955221930e-01 2.313065312847021812e-02 2.784314294663523537e+00 9.468473209213382091e+00 1.355428555080688824e-01
6.270032295330774108e-01 2.207053968762234114e-02 2.782028407297696404e+00 1.093243454397461178e+01 1.223226802926125484e-01
5.829635361776096758e+00 7.119059745820766061e-02 2.200155583215745114e+00 6.913761900353899925e+00 1.179685888268185157e-01
5.070962033212188524e-01 3.357935061424991569e-02 2.940733814002791657e+00 1.677957247241668171e+01 1.495904380498492836e-01
9.676308685096170203e-02 5.011878514857118737e-03 2.502011595975943692e+00 7.205147574078397454e+00 1.493586731775083665e-01
5.999474839314631325e+00 9.644936370721900187e-02 2.130211922150010651e+00 7.346518514267488698e+00 1.018183785257599089e-01
4.817443951812862002e-01 2.607589698122397479e-02 3.023412317337992761e+00 1.251958773656617296e+01 1.135105759173751089e-01
5.138702622957275423e+00 7.274266800538457811e-02 2.208088216720162755e+00 8.475306877129092697e+00 1.051217730272310386e-01
5.369755324640862248e+00 3.644327724300742283e-02 2.303809766119528035e+00 7.199727401331760923e+00 1.450302236891645447e-01
5.250205886362325103e+00 7.233318079161625558e-02 2.182042236795918022e+00 7.610216340452821804e+00 1.054776607200372529e-01
6.080313175395916758e+00 5.105349298345596837e-02 2.403275974108016300e+00 7.452749867679813178e+00 1.338928336162916455e-01
5.392516983248317963e+00 5.985706844959052392e-02 2.287727530278755417e+00 8.394258152931318051e+00 1.057426793193846221e-01
5.297740937286828711e+00 4.305288905094514784e-02 2.263255456082700956e+00 8.727014748573704850e+00 1.352847258752879478e-01
5.534160125253710927e-01 2.856654026124293838e-02 2.990040685063080517e+00 1.198484168377342840e+01 1.281959960766883566e-01
6.837262618476989573e+00 8.595496999179452757e-02 2.251660318795638105e+00 6.819637623334827481e+00 1.055529018533949287e-01
4.890454044408385670e+01 9.801426671689387193e-01 2.138905858552561767e+00 8.003469051812924562e+00 1.005660195633636400e-01
6.587486469813386591e+00 5.515006826813274171e-02 2.396318145913420850e+00 7.649027654679326105e+00 1.065335273147411527e-01
5.392705208815216089e+00 8.232316814035095520e-02 2.258188181859543953e+00 6.527118378889833927e+00 1.050763049295226625e-01
