logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.648313880082001333e+03 -1.654306594368692686e+03 2.500000000000000000e-01
-1.654306594368692686e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.572526686668158391e+03 -1.578521900954849798e+03 3.449999999999999734e-01
-1.578521900954849798e+03 2.892319943133657034e+01 -5.000000000000000104e-03 4.000000000000000000e+02 -1.556485882976989160e+03 -1.562483597263680394e+03 7.199999999999999734e-01
-1.562483597155374127e+03 2.458128617737488142e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.504123989247047348e+03 -1.510124203533738637e+03 6.099999999999999867e-01
-1.510124203533738637e+03 2.523350663935496740e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.494785930096508082e+03 -1.500788644383199426e+03 4.299999999999999933e-01
-1.500788556156706363e+03 1.694683842177272126e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.448443816394283658e+03 -1.454449030680975056e+03 1.125000000000000000e+00
-1.454449030680975056e+03 3.244399601769703878e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.417864882412184215e+03 -1.423872596698875441e+03 1.600000000000000089e+00
-1.423872596698875441e+03 3.824944288767073886e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.408352279901686870e+03 -1.414362494188378150e+03 1.409999999999999920e+00
-1.414362420091677905e+03 4.020581415711256312e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.403919065493510288e+03 -1.409931779780201623e+03 1.709999999999999964e+00
-1.409919943246051616e+03 4.196715705206736402e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.365578190152979005e+03 -1.371593404439670394e+03 6.800000000000000488e-01
-1.371593404439670394e+03 1.430507880173012225e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.331573152426326260e+03 -1.337590866713017476e+03 1.215000000000000080e+00
-1.337590866713017476e+03 1.653282185275091720e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.312486540957288298e+03 -1.318506755243979569e+03 7.850000000000000311e-01
-1.318506755238828646e+03 2.191053764795429259e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.219759619704858778e+03 -1.225782333991550104e+03 1.870000000000000107e+00
-1.225782333991550104e+03 5.364813904277188072e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.210528917749361199e+03 -1.216554132036052579e+03 9.449999999999999512e-01
-1.216554033811177987e+03 2.726418824692126108e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.166513304232573773e+03 -1.172541018519264981e+03 8.249999999999999556e-01
-1.172541018519264981e+03 2.338503174702776732e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.151292379173235531e+03 -1.157322593459926793e+03 4.000000000000000083e-02
-1.157322593214047629e+03 2.455743436327345464e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.097474550142983617e+03 -1.103507264429674933e+03 7.550000000000000044e-01
-1.103507264429674933e+03 2.342692162147421087e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.073742186772024752e+03 -1.079777401058716123e+03 9.799999999999999822e-01
-1.079777401058666555e+03 1.059630496743453065e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.066248937069710109e+03 -1.072286651356401535e+03 1.814999999999999947e+00
-1.072286093287849326e+03 1.110169198675410840e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.062983446919177823e+03 -1.069023661205869075e+03 1.900000000000000022e-01
