weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.648313880082001333e+03 5.070772594423046398e-01 1.417911439975334050e-04 3.480132855984648721e+00 1.945391484444636987e+01 1.422777129453280942e-01
0.000000000000000000e+00 -1.572526686668158391e+03 5.130940194967916312e+00 1.753118968132870057e-04 3.415668936108150255e+00 1.974114225648899534e+01 1.177782012722652927e-01
0.000000000000000000e+00 -1.556485882976989160e+03 5.703314721521551833e-02 8.275481129143389888e-03 3.453447938297702802e+00 1.922798364177915431e+01 1.497236015719328184e-01
0.000000000000000000e+00 -1.504123989247047348e+03 8.445708366766511688e+01 1.839247015215144943e-01 3.424608674725837520e+00 1.811901525369792054e+01 1.071784770775835449e-01
0.000000000000000000e+00 -1.494785930096508082e+03 3.825617656147592971e+00 6.536290369786990073e-02 3.452862416681590219e+00 1.815812366459378069e+01 1.462327678682159016e-01
0.000000000000000000e+00 -1.448443816394283658e+03 2.515521836101847208e-01 7.176258011909748390e-04 3.471127580134131030e+00 1.553003450855391776e+01 1.302486646999725106e-01
0.000000000000000000e+00 -1.417864882412184215e+03 9.166807743050531254e-02 2.853997416104023244e-03 3.474930521986848930e+00 1.496593899704519792e+01 1.126109594307692641e-01
0.000000000000000000e+00 -1.408352279901686870e+03 4.347643796109317282e-01 5.462259645174972382e-04 3.494242382837575711e+00 1.503902884911527948e+01 1.242570039591441439e-01
0.000000000000000000e+00 -1.403919065493510288e+03 1.365932514678116227e+01 2.908069724101153275e-03 3.429021660821796935e+00 1.625771728079101663e+01 1.306462277836655528e-01
0.000000000000000000e+00 -1.365578190152979005e+03 1.129295852884746876e-01 2.379994604967286900e-04 3.371750930099534305e+00 1.770817247888150092e+01 1.189988580009177649e-01
0.000000000000000000e+00 -1.331573152426326260e+03 3.389056444008056168e+00 5.151492511620200119e-04 3.425250360719391374e+00 1.519836636486930281e+01 1.374283287876783277e-01
0.000000000000000000e+00 -1.312486540957288298e+03 4.975561924251872131e-02 1.317271917650570615e-04 3.293884962966449059e+00 1.985709514611033200e+01 1.381438314561251324e-01
0.000000000000000000e+00 -1.219759619704858778e+03 1.234297290201466779e-01 4.001776966098585971e-04 3.317203668202677314e+00 1.724888858976474282e+01 1.407168831879093140e-01
0.000000000000000000e+00 -1.210528917749361199e+03 5.328847011495561503e+00 1.626459931225771646e-03 3.368807984238255226e+00 1.527772972594795675e+01 1.129493439363521562e-01
0.000000000000000000e+00 -1.166513304232573773e+03 2.100323302747246856e+01 7.339431797849885761e-04 3.463910805781148294e+00 1.186997162306501075e+01 1.415123575951521273e-01
0.000000000000000000e+00 -1.151292379173235531e+03 6.131917868165935204e+00 1.039868778648513487e-01 3.298664534034914553e+00 1.759472594112245147e+01 1.004184015628343946e-01
0.000000000000000000e+00 -1.097474550142983617e+03 1.203220949374349402e+01 2.710284273970356254e-03 3.383414593978943508e+00 1.318878870212030741e+01 1.190162985331103124e-01
0.000000000000000000e+00 -1.073742186772024752e+03 6.266466882255516957e-01 1.647172312900803707e-03 3.343526780697109402e+00 1.658654476006763545e+01 1.422012999921448972e-01
0.000000000000000000e+00 -1.066248937069710109e+03 1.737215511251140754e+01 4.037996439732638616e-04 3.327225441541428630e+00 1.445345045719446553e+01 1.357522023326180327e-01
0.000000000000000000e+00 -1.062983446919177823e+03 4.085232151948807200e+01 4.329267129184567048e-03 3.232281639131781681e+00 1.770890788088603074e+01 1.236420012185570627e-01
0.000000000000000000e+00 -1.048292498914586304e+03 4.882191925494601126e-01 1.459103302795270243e-02 3.430634507283640833e+00 1.685156137112713282e+01 1.421689282783029640e-01
0.000000000000000000e+00 -1.026199545257756427e+03 6.835887180695575438e+00 1.097310235284324441e-02 3.335706604612651560e+00 1.360983833782450070e+01 1.124039561683245342e-01
0.000000000000000000e+00 -1.008528402404649682e+03 9.006807443630784893e-02 6.890946229880934824e-03 3.341137181090536146e+00 1.384429259927116540e+01 1.172973684265277011e-01
0.000000000000000000e+00 -9.916434199719327580e+02 4.056638816194513275e+00 4.042424819180390812e-04 3.160207302367274096e+00 1.916603262456135681e+01 1.461868571704923458e-01
0.000000000000000000e+00 -9.862929681708345697e+02 6.082291253766707040e-02 1.204685241203032011e-04 3.248929768321906941e+00 1.578497826804715842e+01 1.435006074123409414e-01
0.000000000000000000e+00 -9.847225424760443957e+02 2.399375835165031745e+01 2.875288658861014507e-03 3.493217577019742670e+00 9.149853222022848342e+00 1.048099461986474606e-01
0.000000000000000000e+00 -9.794352325130556665e+02 4.352375740729333131e+01 7.866239385783808892e-04 3.417569278969393221e+00 1.078984860506177057e+01 1.012813753785343079e-01
0.000000000000000000e+00 -9.788714792386847421e+02 8.536235467584681658e+00 8.648209960419241116e-02 3.381561393403045290e+00 1.167960021591403041e+01 1.436869770029330640e-01
0.000000000000000000e+00 -9.745000849196699164e+02 5.816925305451142947e+01 1.743545557199408349e-03 3.185639641752571194e+00 1.788524177847470042e+01 1.147818312924232115e-01
0.000000000000000000e+00 -9.713771227535327171e+02 7.002369505683962814e+01 3.675502479983376314e-01 3.168522787954780817e+00 1.850007883032125378e+01 1.130580167194237401e-01
0.000000000000000000e+00 -9.705545194156567277e+02 5.230782897389688602e-01 7.757697606480245395e-03 3.400444616154627120e+00 1.321598424183264164e+01 1.359545955993346211e-01
0.000000000000000000e+00 -9.562721421324310995e+02 2.569840415467284256e+00 3.060799688671307812e-03 3.390296266674115877e+00 1.104329720192027153e+01 1.063779494984077034e-01
0.000000000000000000e+00 -9.492850999875828393e+02 8.533865059025659150e+01 3.054704693613271519e-03 3.169767881085659766e+00 1.802784971441214878e+01 1.160650852148977230e-01
0.000000000000000000e+00 -9.373076107450860945e+02 2.303827699530994266e+01 2.802387217502284034e-01 3.150918545747176225e+00 1.888258220344210869e+01 1.437576193957336712e-01
0.000000000000000000e+00 -9.223903756651151298e+02 8.523553567701897293e+01 4.829734582224507996e-04 3.145024790269083326e+00 1.848400232711524183e+01 1.248368816671449888e-01
0.000000000000000000e+00 -8.200275144809826315e+02 3.603207028304495196e+01 1.813272749824755775e-03 3.073578230563963398e+00 1.929360086571452015e+01 1.070225422447857594e-01
0.000000000000000000e+00 -8.022765112230325713e+02 4.843588855989181319e+00 5.930097230390828436e-03 3.070764448290119297e+00 1.903857538052874077e+01 1.305938569190230880e-01
0.000000000000000000e+00 -7.962882201871499319e+02 1.134526295208592472e+01 2.407357841376346304e-04 3.314654999077174757e+00 1.106610902685342879e+01 1.320408759636224338e-01
0.000000000000000000e+00 -7.926087808305650242e+02 3.221876988826266341e+01 1.725563872239884444e-01 3.278095346920069098e+00 1.196881846661428028e+01 1.183900558884997123e-01
0.000000000000000000e+00 -7.838127351505615934e+02 1.861829911997841869e+00 1.145701207363510098e-03 3.217154632445330620e+00 1.374820643247592322e+01 1.327280670567087539e-01
0.000000000000000000e+00 -7.784066434283479339e+02 1.283015426886615629e-01 7.105414683102914512e-04 3.440752542793263924e+00 8.112138372535188324e+00 1.184941341747745708e-01
0.000000000000000000e+00 -7.712575569324312710e+02 3.612376613349787546e-01 7.120162360964659397e-04 3.261655109708553990e+00 1.269191348161038491e+01 1.324919708957134623e-01
