weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.648313880082001333e+03 3.485651844796848753e-01 3.791227662376672747e-02 9.867552373230991103e-01 9.712586760234931393e-01 8.455542589065619952e-01
0.000000000000000000e+00 -1.572526686668158391e+03 6.338781035034434241e-01 6.095284717098126137e-02 9.437792907387669850e-01 9.863759082362629771e-01 3.555640254453058535e-01
0.000000000000000000e+00 -1.556485882976989160e+03 7.919832132474569075e-02 4.794483131695767009e-01 9.689652921984684975e-01 9.593675600936396597e-01 9.944720314386562565e-01
0.000000000000000000e+00 -1.504123989247047348e+03 9.791750087654064183e-01 8.161600149822709760e-01 9.497391164838916433e-01 9.010008028262063151e-01 1.435695415516707873e-01
0.000000000000000000e+00 -1.494785930096508082e+03 5.976874200541985038e-01 7.038328342897142154e-01 9.685749444543936271e-01 9.030591402417779134e-01 9.246553573643179202e-01
0.000000000000000000e+00 -1.448443816394283658e+03 2.621455075933941670e-01 2.139745111856494741e-01 9.807517200894207976e-01 7.647386583449430342e-01 6.049732939994503234e-01
0.000000000000000000e+00 -1.417864882412184215e+03 1.376989965513399916e-01 3.638633938964551673e-01 9.832870146578992498e-01 7.350494208971156684e-01 2.522191886153852813e-01
0.000000000000000000e+00 -1.408352279901686870e+03 3.295976910410353122e-01 1.843430850543089639e-01 9.961615885583838814e-01 7.388962552165936337e-01 4.851400791828828218e-01
0.000000000000000000e+00 -1.403919065493510288e+03 7.545840151168963228e-01 3.659012037473498014e-01 9.526811072145311421e-01 8.030377516205797761e-01 6.129245556733109446e-01
0.000000000000000000e+00 -1.365578190152979005e+03 1.634136512176735945e-01 9.414399314694388288e-02 9.145006200663561291e-01 8.793774988885000310e-01 3.799771600183553533e-01
0.000000000000000000e+00 -1.331573152426326260e+03 5.827499882048917668e-01 1.779832682143601685e-01 9.501669071462610638e-01 7.472824402562791013e-01 7.485665757535667764e-01
0.000000000000000000e+00 -1.312486540957288298e+03 6.236969730328578709e-02 2.991885834669882893e-02 8.625899753109659285e-01 9.924786919005437191e-01 7.628766291225028695e-01
0.000000000000000000e+00 -1.219759619704858778e+03 1.743740177371938538e-01 1.505632200323281378e-01 8.781357788017848387e-01 8.552046626191970313e-01 8.143376637581863919e-01
0.000000000000000000e+00 -1.210528917749361199e+03 6.385436911045715425e-01 3.028108421639374992e-01 9.125386561588368917e-01 7.514594592604187939e-01 2.589868787270431794e-01
0.000000000000000000e+00 -1.166513304232573773e+03 8.076249856505587355e-01 2.164156097811216206e-01 9.759405371874321222e-01 5.721037696350005364e-01 8.302471519030426572e-01
0.000000000000000000e+00 -1.151292379173235531e+03 6.558485947298444696e-01 7.542446347515175953e-01 8.657763560232765165e-01 8.734066284801290658e-01 8.368031256687724628e-03
0.000000000000000000e+00 -1.097474550142983617e+03 7.389479792958003612e-01 3.582537112925716638e-01 9.222763959859623384e-01 6.415151948484372202e-01 3.803259706622061920e-01
0.000000000000000000e+00 -1.073742186772024752e+03 3.746656043301409555e-01 3.041847584183603459e-01 8.956845204647396752e-01 8.203444610561912986e-01 8.440259998428978339e-01
0.000000000000000000e+00 -1.066248937069710109e+03 7.842258117506919479e-01 1.515414829235030014e-01 8.848169610276189756e-01 7.080763398523403085e-01 7.150440466523607652e-01
0.000000000000000000e+00 -1.062983446919177823e+03 8.896404654149403513e-01 4.091035959884916640e-01 8.215210927545211206e-01 8.794162042571594951e-01 4.728400243711412543e-01
0.000000000000000000e+00 -1.048292498914586304e+03 3.438930718285748700e-01 5.410215101299359342e-01 9.537563381890938885e-01 8.342927037435332593e-01 8.433785655660595015e-01
0.000000000000000000e+00 -1.026199545257756427e+03 6.692463187845888450e-01 5.100823575372798180e-01 8.904710697417678178e-01 6.636757019907632005e-01 2.480791233664905171e-01
0.000000000000000000e+00 -1.008528402404649682e+03 1.355282590947305410e-01 4.595697152809827823e-01 8.940914540603573935e-01 6.760153999616402842e-01 3.459473685305539670e-01
0.000000000000000000e+00 -9.916434199719327580e+02 6.049158206333571375e-01 1.516604879164886732e-01 7.734715349115158789e-01 9.561069802400714579e-01 9.237371434098469170e-01
0.000000000000000000e+00 -9.862929681708345697e+02 8.712929970154070780e-02 2.021839744032571939e-02 8.326198455479379978e-01 7.781567509498504842e-01 8.700121482468191614e-01
0.000000000000000000e+00 -9.847225424760443957e+02 8.240354652564977345e-01 3.646703628353252791e-01 9.954783846798286318e-01 4.289396432643604040e-01 9.619892397294904640e-02
0.000000000000000000e+00 -9.794352325130556665e+02 8.974493176866620292e-01 2.239417896864659419e-01 9.450461859795954433e-01 5.152551897400932113e-01 2.562750757068610330e-02
0.000000000000000000e+00 -9.788714792386847421e+02 6.966305993175817557e-01 7.342315562083474578e-01 9.210409289353636009e-01 5.620842218902121212e-01 8.737395400586612793e-01
0.000000000000000000e+00 -9.745000849196699164e+02 9.332061845124418609e-01 3.103583248912662462e-01 7.904264278350475736e-01 8.886969357091947241e-01 2.956366258484641740e-01
0.000000000000000000e+00 -9.713771227535327171e+02 9.560714441182435186e-01 8.913291800296511136e-01 7.790151919698538041e-01 9.210567805432239297e-01 2.611603343884746353e-01
0.000000000000000000e+00 -9.705545194156567277e+02 3.523951660381110518e-01 4.724332117202203474e-01 9.336297441030848576e-01 6.429465390438232619e-01 7.190919119866924225e-01
0.000000000000000000e+00 -9.562721421324310995e+02 5.486379293591009398e-01 3.714587271272593583e-01 9.268641777827439920e-01 5.285945895747511392e-01 1.275589899681538464e-01
0.000000000000000000e+00 -9.492850999875828393e+02 9.804551238792633683e-01 3.712423080527318398e-01 7.798452540571063629e-01 8.962026165480078133e-01 3.213017042979544602e-01
0.000000000000000000e+00 -9.373076107450860945e+02 8.190258449161673671e-01 8.618820358428882500e-01 7.672790304981174092e-01 9.411885370232688786e-01 8.751523879146737572e-01
0.000000000000000000e+00 -9.223903756651151298e+02 9.803060763308286685e-01 1.709808161949923910e-01 7.633498601793887728e-01 9.202106487955390435e-01 4.967376333428997759e-01
0.000000000000000000e+00 -8.200275144809826315e+02 8.741623495737881333e-01 3.146157837368619425e-01 7.157188203759755618e-01 9.628210981955009906e-01 1.404508448957150213e-01
0.000000000000000000e+00 -8.022765112230325713e+02 6.267732091398877659e-01 4.432654535382002381e-01 7.138429655267460872e-01 9.493987042383547070e-01 6.118771383804619823e-01
0.000000000000000000e+00 -7.962882201871499319e+02 7.317008326859264500e-01 9.538516267929253445e-02 8.764366660514497642e-01 5.297952119396541759e-01 6.408175192724486768e-01
0.000000000000000000e+00 -7.926087808305650242e+02 8.603724168450321841e-01 8.092327598648497711e-01 8.520635646133792873e-01 5.773062350849621494e-01 3.678011177699941348e-01
0.000000000000000000e+00 -7.838127351505615934e+02 5.089073108302508697e-01 2.647678426904209736e-01 8.114364216302204502e-01 6.709582332882064737e-01 6.545613411341748566e-01
0.000000000000000000e+00 -7.784066434283479339e+02 1.791462804271248821e-01 2.128973572769182754e-01 9.605016951955093196e-01 3.743230722386940990e-01 3.698826834954914711e-01
0.000000000000000000e+00 -7.712575569324312710e+02 3.067581501933542842e-01 2.131224742402209049e-01 8.411034064723692527e-01 6.153638674531781705e-01 6.498394179142695792e-01
0.000000000000000000e+00 -7.565267487534904376e+02 8.862528463532440837e-01 5.198079556199797224e-01 8.606239472282319891e-01 5.338070971688690936e-01 8.528638168696334176e-02
2.470328229206232721e-322 -7.497731261118896100e+02 5.997430349318942921e-01 5.494356197449349333e-01 8.630424780485737024e-01 5.186103100051738801e-01 9.450453416390408590e-01
1.971321926906573711e-320 -7.453862139331313301e+02 6.379312026942042246e-01 6.977375753448088469e-01 8.327138957661813778e-01 5.803914564686629696e-01 4.703751146122724380e-01
2.667746979971478015e-318 -7.404758991355470243e+02 3.783954104918828554e-01 3.794045278559782242e-01 9.937693845868149634e-01 3.815843644833334380e-01 5.807359652857664312e-01
1.205515383415876908e-316 -7.366625569415493828e+02 6.510540845485438544e-01 1.732081598498496078e-01 8.003119695888347707e-01 6.485097191880903056e-01 7.764328278985958010e-01
1.071220623570838057e-315 -7.344755802744169841e+02 5.814380148694288097e-01 5.509811165843272462e-01 8.463014859035775661e-01 5.411390039319911027e-01 5.409069134200279461e-01
3.569916331375653238e-312 -7.263615816052290484e+02 4.538885813016451110e-01 2.725760837231959721e-01 8.949926144039369591e-01 5.571837408618210974e-01 1.161634197597568585e-01
7.554711679657325169e-311 -7.233068672390177198e+02 6.866996151756377120e-02 2.497561069519332877e-01 6.934633846319733230e-01 9.252333100256152632e-01 4.478541843386759647e-01
3.410640479787267809e-310 -7.217970534805253919e+02 1.735484545739574003e-06 6.372591753693745975e-02 8.366295769117885195e-01 5.574155772484664650e-01 3.956763032893492182e-01
7.460080118409097777e-310 -7.210118874242775746e+02 1.886862596708877016e-01 2.708575367829058056e-02 9.940853062823782338e-01 2.997409094909331273e-01 8.578632082930780500e-01
2.130782295394586615e-299 -6.969340283681085566e+02 1.249698883754435386e-02 7.977683108480737584e-02 9.326829607303449565e-01 3.720218752401133200e-01 1.177678926011037630e-01
1.590200271034859458e-297 -6.926189874043201371e+02 1.019299057035667477e-01 4.463001090539063798e-01 7.074314891234958491e-01 8.714174188082179917e-01 7.948711971621951200e-01
2.939020737475298966e-295 -6.873971007398830579e+02 9.931583021940951772e-01 3.997418814631398254e-01 7.247217771310809908e-01 7.952972530217257141e-01 2.454196006687482390e-01
2.798395591608088399e-289 -6.736281203753386535e+02 4.076262014452962656e-01 7.635027221797141550e-02 8.980526596529573302e-01 5.324934726347169134e-01 8.995704716942990453e-01
1.493152886635905734e-277 -6.466227555937495026e+02 6.428352877358103346e-01 4.890369196450697897e-01 6.955008834396178008e-01 8.359804816767263391e-01 8.537826381017448174e-01
4.861365853308065323e-276 -6.431372409781677106e+02 9.705283217521005756e-01 9.935037301076301564e-01 8.906873429282446963e-01 4.029210183014420021e-01 1.280036217161746315e-01
5.211794413583050182e-276 -6.430651362027093683e+02 7.749397694763763278e-01 1.592146137995973376e-01 6.603925163062720483e-01 9.343215675902832862e-01 1.557611758099430865e-02
2.530962235409866511e-274 -6.391797906697493090e+02 9.869982335457166966e-01 8.093512932963949913e-01 8.634645015700822546e-01 4.488951955250978232e-01 4.628683993193967172e-01
8.677111389224620997e-274 -6.379452015463572252e+02 5.347397385097599765e-01 5.084274899767016187e-01 7.171472494666194519e-01 7.518016693363408498e-01 4.538219555515924375e-01
3.541345047635518128e-273 -6.365362985254495243e+02 2.794104127722873976e-02 5.097711275166795231e-01 7.879654516440570688e-01 7.932370370348630351e-01 6.552298702352520321e-01
2.039515079092665326e-268 -6.255726675991463708e+02 4.530304233516956325e-01 3.958938321800498095e-02 7.966035193967957451e-01 6.960628487386950614e-01 7.176630893674468270e-01
1.045511680161661876e-265 -6.193306179817697057e+02 4.162956120911835978e-01 2.141332514913537599e-01 8.007370485217304434e-01 6.681174019349555016e-01 3.599038226148417730e-01
3.762256085141807995e-259 -6.042320950353680473e+02 6.017972499967697564e-01 7.411021641948132288e-01 7.788212418081017496e-01 6.411846202736816158e-01 9.426389697855053207e-02
7.914423534689761105e-252 -5.873678313258373009e+02 5.215962401337825849e-01 4.472784069121374939e-01 6.633123231074139481e-01 8.547753928647577881e-01 2.385379305275968642e-01
