Mphi g si norm mntot
5.717599485676260196e-01 3.271117165792879894e-02 3.029100960343096283e+00 1.675562964513533615e+01 9.666874329451188852e-02
5.211480751453891891e+00 4.238879096911998129e-02 2.372341994646762764e+00 7.461742175194491011e+00 1.032938625134545152e-01
5.772912092374283155e+00 5.798377020889724370e-02 2.312538624524428155e+00 7.098935230776514338e+00 6.264713340963866395e-02
5.222871275401149704e-01 2.541507338913948782e-02 3.076902327754577282e+00 1.238548375013295022e+01 8.690512282329089511e-02
3.689549298708390523e+01 8.167864948226839505e-01 2.048866339135279713e+00 8.115725941502816454e+00 8.080206365173532579e-02
5.464751828728031668e+00 6.153966549544466480e-02 2.202821154271661364e+00 8.177009045233667450e+00 1.152990989951105244e-01
6.019963769742496806e-01 3.352314372137404214e-02 3.026963522145995622e+00 1.945792008025511777e+01 9.443525216418174884e-02
5.999798700332099610e-01 2.877432815943346475e-02 3.063072371409454320e+00 1.053081708737549604e+01 1.119204627652511524e-01
5.526554655816434014e+00 7.018545097191249138e-02 2.311619464498789966e+00 6.769473469848065861e+00 7.714048371288284578e-02
2.496051103196639431e+01 5.259001655319229807e-01 2.046726589502280813e+00 7.694631162384132139e+00 1.426197434310162437e-01
4.562133968692281827e-01 2.585203095937353007e-02 2.766402309860910513e+00 1.153372480683799495e+01 1.121073862113321218e-01
5.390521651153829197e+00 5.451628308578187337e-02 2.303119493189380140e+00 7.817210579278425442e+00 8.327900528985503203e-02
5.487517402592902549e+00 5.756038603755569277e-02 2.252035254085338334e+00 8.413020530784443451e+00 1.035029821941548522e-01
4.305693780316072194e-01 2.674141360302084020e-02 2.871781153596906222e+00 1.351046646710081234e+01 1.266747671374622297e-01
6.341332243394880441e-01 3.085583227246695495e-02 2.792584741980521645e+00 1.544386177763788126e+01 1.272249314409488186e-01
7.525868759286265253e-02 2.231906908794276459e-02 2.923235900533034393e+00 1.102772444855142453e+01 1.308308172181087414e-01
6.921495982961076265e+00 1.117026966204461846e-01 2.087778453021690073e+00 6.740715356078650800e+00 6.715562806077723934e-02
9.887876921540032527e+01 9.530794050952267060e-01 2.541471613530399853e+00 5.086892738839853045e+00 1.434504227814030197e-01
6.243625912276882239e+00 9.580938838419662817e-02 2.271195485069323894e+00 7.426720177790123500e+00 6.044926324075413498e-02
5.334588270109811070e+00 6.296676582178670212e-02 2.127511441099528167e+00 7.110065557651408241e+00 7.443019967544428628e-02
3.273284466685029703e-01 1.871545058816664539e-02 2.857871980790309685e+00 1.036426333112297904e+01 6.676518352438583215e-02
6.096843306773455318e+00 1.148652830206237790e-01 2.108145628485218914e+00 7.436330013234088376e+00 6.204451744116158685e-02
5.533640959624815947e-01 2.364792154551629763e-02 2.936482846462197038e+00 1.404707568008852192e+01 8.359529986644348432e-02
5.986185360980592618e-01 1.806955944798893654e-02 2.884426256500083774e+00 7.492968409049783673e+00 9.283974054322541303e-02
3.330755470669442553e-01 2.051546072042832736e-02 2.958959488534660398e+00 1.229650590978981839e+01 6.730978198999279516e-02
4.123340320943407633e+00 1.719668650684174835e-02 2.429627531550095032e+00 7.367607454402422817e+00 9.282674945495586472e-02
4.820349519927020765e-01 2.607742913654544428e-02 3.034928849660532446e+00 1.493155220088280544e+01 7.528501402079353089e-02
3.108745042492017419e+01 5.440169376618364527e-01 2.202089354498300011e+00 8.172679179952407225e+00 1.121067619974472906e-01
6.641151026634874555e+00 1.113048759845645108e-01 2.117304603046759937e+00 7.655617292698197573e+00 6.985612080817686642e-02
6.212881766307662090e+00 9.363785785002026740e-02 2.257287364725771628e+00 7.044868873316661784e+00 8.582157452420395571e-02
6.647243101599333848e-01 2.019894267022082426e-02 2.846874749541785654e+00 8.253991758806911605e+00 1.112405506715545556e-01
5.634277209982151646e+01 8.925699102402512297e-01 2.449395177705205651e+00 8.126206165879256815e+00 6.327827670798798210e-02
9.476436427707253529e-02 1.698350665456516140e-02 2.775874891785397924e+00 8.030494573018295057e+00 1.409376237508318530e-01
4.187478842475786944e-01 2.072744294706243065e-02 2.789294154838644513e+00 1.159287975732906162e+01 7.057466331989176167e-02
6.884125848584277119e-01 1.621410844457367093e-02 2.791933807250471578e+00 6.591935919387978515e+00 1.004984148240487679e-01
6.761755963868030239e-01 1.995984565624628684e-02 2.781062897112495769e+00 9.009881301075889581e+00 1.030662704955152553e-01
6.099321382848588158e-01 1.770923557391175171e-02 2.737048465094030991e+00 9.531013912058016402e+00 8.384828325558002504e-02
5.508239828977704589e-01 2.841205937554744376e-02 2.993236654981299427e+00 1.472737187235379608e+01 8.943046023575580705e-02
5.605896723640414470e-01 1.653641133249625361e-02 2.693698245268248748e+00 9.375147947522174618e+00 8.891072775651556737e-02
6.737325781096474842e-01 1.052688169792346563e-02 2.678540165061626954e+00 6.493957793040765480e+00 1.019014800756370964e-01
5.787179181354845880e+00 9.896339843749579757e-02 2.109263593622598520e+00 8.221581583941311777e+00 7.521410921729523857e-02
8.320355571960316721e-02 2.509129372857270279e-02 2.947150938675803467e+00 1.287571131378571998e+01 1.395105370343630580e-01
7.264143175534792940e-01 1.857439252511372194e-02 2.716796856812655481e+00 9.330644865441263036e+00 1.060942032271422336e-01
6.515703016444780005e+00 4.834434073828734052e-02 2.405084204039103390e+00 7.578580351816380123e+00 6.038808112424376429e-02
2.366006080900907094e+01 5.497842903085595756e-01 2.153380358000414940e+00 9.754945685487259155e+00 7.927804179188503719e-02
6.168358782625122494e+00 1.081786702285678081e-01 2.016812675317166015e+00 6.876621323016215648e+00 6.612904854117786224e-02
1.483405139942474449e+01 2.600644633673969697e-01 2.212083402149342959e+00 8.221834055157358989e+00 1.055823337352812669e-01
5.448557812501636732e+00 4.814740758937025716e-02 2.453919643807284334e+00 7.772744228881497186e+00 6.117875037572682168e-02
5.610248011453508044e-01 2.106460565335069313e-02 2.856420148035888396e+00 1.071662289639542998e+01 7.889487653988964955e-02
2.728397328687611201e-01 2.240318160358511362e-02 2.800016978554913383e+00 9.778055582504007859e+00 1.059940567881161866e-01
6.602215976070181291e+00 1.011089884455276949e-01 2.122629812524127857e+00 8.044651946567395129e+00 6.176281060680349072e-02
6.548395995197865416e-01 3.076085411771362077e-02 2.883922843806181469e+00 1.404475397688990412e+01 1.218926518337884596e-01
6.575760214280671256e+00 5.283844727645217038e-02 2.304155778434643143e+00 7.743474859180124348e+00 1.454217615282529519e-01
4.308530185835556914e+00 8.798913216864639748e-04 2.315778054012379350e+00 8.691876669480036455e+00 1.057145844081867347e-01
5.041549662055856196e+00 7.344615776461364820e-02 2.299955591640897801e+00 7.820974130991926287e+00 6.678471124106773182e-02
