logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.533563850504198854e+03 -1.539556564790890206e+03 1.645000000000000018e+00
-1.539556564790890206e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.501863723412315721e+03 -1.507858937699007129e+03 8.649999999999999911e-01
-1.507858937699007129e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.487711617167367876e+03 -1.493709331454059111e+03 1.544999999999999929e+00
-1.493709330738074186e+03 1.273181505172472150e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.472108074624249639e+03 -1.478108288910940928e+03 1.254999999999999893e+00
-1.478108288743233061e+03 8.398580096875484458e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -1.436117759029290028e+03 -1.442120473315981371e+03 1.034999999999999920e+00
-1.442120473315981371e+03 1.805654947131209553e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.349482264964392471e+03 -1.355487479251083869e+03 6.500000000000000222e-02
-1.355487479251083869e+03 3.857256788867238129e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.285942246472442548e+03 -1.291949960759133774e+03 1.044999999999999929e+00
-1.291949960759133774e+03 5.130880453669674779e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.257410444860077405e+03 -1.263420659146768685e+03 1.465000000000000080e+00
-1.263420659146768230e+03 5.589947090292793774e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.250497654798303074e+03 -1.256510369084994409e+03 1.614999999999999991e+00
-1.256509372113708423e+03 5.209289314575611485e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.219633249307762298e+03 -1.225648463594453688e+03 6.199999999999999956e-01
-1.225648463594453688e+03 5.957214501022620112e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.215700293790650676e+03 -1.221718008077341892e+03 2.449999999999999956e-01
-1.221698563625396901e+03 1.254913224677771488e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.151582428678225369e+03 -1.157602642964916640e+03 1.100000000000000089e+00
-1.157602642964916640e+03 3.237676180415279958e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.046442039588853277e+03 -1.052464753875544602e+03 2.849999999999999756e-01
-1.052464753875544602e+03 7.361790029547296399e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.037315730852815477e+03 -1.043340945139506857e+03 1.750000000000000000e+00
-1.043340836106864799e+03 5.997124364629702598e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.000057411849480218e+03 -1.006085126136171539e+03 1.149999999999999911e+00
-1.006085126136171539e+03 1.990948297401619982e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -9.862929684678314288e+02 -9.923231827545226906e+02 9.100000000000000311e-01
-9.923231816994954215e+02 1.904478323188602573e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -9.812232995364541921e+02 -9.872560138231455085e+02 1.840000000000000080e+00
-9.872497333487274318e+02 5.143094792173207530e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -9.706161542762278032e+02 -9.766513685629190604e+02 7.149999999999999689e-01
-9.766513436064443567e+02 3.844896749166068606e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -9.475971740214012016e+02 -9.536348883080925134e+02 4.899999999999999911e-01
-9.536348883079915595e+02 1.145894872935626196e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -9.415849416655730693e+02 -9.476251559522644357e+02 6.400000000000000133e-01
-9.476227042151386968e+02 2.731604230520408461e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -9.343693158384262460e+02 -9.404120301251175533e+02 2.500000000000000000e-01
-9.404112917387269590e+02 4.592527762567828908e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -9.267212216939869904e+02 -9.327664359806783523e+02 1.060000000000000053e+00
-9.327659575957977722e+02 4.796013230265280924e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -9.090546488235345350e+02 -9.151023631102258378e+02 1.070000000000000062e+00
-9.151023630889052356e+02 1.106616296987585812e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -8.991181144898771436e+02 -9.051683287765685009e+02 1.764999999999999902e+00
-9.051682802819905191e+02 1.274630150722536293e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -8.518585832975415997e+02 -8.579112975842328979e+02 1.699999999999999956e+00
-8.579112975842328979e+02 2.787210729088216965e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -8.479703334317240433e+02 -8.540255477184153960e+02 1.750000000000000000e+00
-8.540052232406180792e+02 1.965354949834998699e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -8.394827336617121318e+02 -8.455404479484034255e+02 1.784999999999999920e+00
-8.455402372074030382e+02 4.363538540518535847e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -8.380147198681997907e+02 -8.440749341548911389e+02 2.500000000000000000e-01
-8.438671008306004069e+02 1.383518633496473971e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -8.315416629248442177e+02 -8.376043772115355068e+02 1.979999999999999982e+00
-8.376024729783651992e+02 3.268643112124408834e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -8.313505410595959120e+02 -8.374157553462872556e+02 6.600000000000000311e-01
-8.368116153633557133e+02 2.134108414232783524e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -7.912061251823943167e+02 -7.972738394690856012e+02 9.499999999999999556e-01
-7.972738394690856012e+02 1.731532748180476489e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -7.845374323933682490e+02 -7.906076466800595881e+02 1.060000000000000053e+00
-7.906063742529214551e+02 1.709543845793543682e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -7.660198063154177817e+02 -7.720925206021090617e+02 3.549999999999999822e-01
-7.720925205929986532e+02 1.698133544855734200e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -7.232415569571535343e+02 -7.293167712438448689e+02 1.270000000000000018e+00
-7.293167712438448689e+02 2.008898004295942741e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -7.167560596378036735e+02 -7.228337739244949489e+02 2.149999999999999967e-01
-7.228322458723197315e+02 1.390419092532101608e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -7.135199490599153478e+02 -7.196001633466066778e+02 1.580000000000000071e+00
