weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.661035327984962123e+03 1.870565170558783075e-01 1.500243179864552405e-04 3.459860014269376283e+00 1.962891597233344498e+01 2.454130525654619477e-01
0.000000000000000000e+00 -1.568635348376086540e+03 5.166449858238792991e+00 5.294005314890706023e-04 3.469613119811414403e+00 1.752361797910250019e+01 7.872125391792254845e-02
0.000000000000000000e+00 -1.384834200787071268e+03 1.059174663497796054e+01 1.387578868342805895e-02 3.445294048665736852e+00 1.538934361136569251e+01 9.839614347022482277e-02
0.000000000000000000e+00 -1.309788239471003408e+03 3.144524880148000245e-02 4.320943218918547185e-03 3.361404403517293638e+00 1.721147271985987715e+01 2.270727616719271924e-01
0.000000000000000000e+00 -1.285926236332734561e+03 2.863133772121828624e+00 7.880902667680721868e-03 3.475159510688217157e+00 1.291877193867118656e+01 1.247307194846166423e-01
0.000000000000000000e+00 -1.278799178130973132e+03 8.319215786984239358e+00 1.612830327959310309e-04 3.316466507452082713e+00 1.831714599387706599e+01 2.358940727416562189e-01
0.000000000000000000e+00 -1.278749503490032339e+03 1.606531942785113243e-01 7.023550177159920346e-03 3.318098840969537555e+00 1.858693238450086938e+01 2.053702382292999506e-01
0.000000000000000000e+00 -1.225107364132574503e+03 3.635403640354678556e-02 4.964930303272302448e-03 3.446944430123342507e+00 1.324916970161086738e+01 1.206654983463875397e-01
0.000000000000000000e+00 -1.223605682361856680e+03 5.854304449694316403e-01 6.637957559891680863e-04 3.365692161600267518e+00 1.851736767003716366e+01 1.060494689198041435e-01
0.000000000000000000e+00 -1.157220438432027095e+03 8.822121171453074950e+00 1.504710955192354932e-03 3.247711195969634534e+00 1.881319699029859649e+01 1.788821653260459499e-01
0.000000000000000000e+00 -1.096497347723543271e+03 2.077674976499610970e+00 5.851648920500644550e-04 3.214141196159605585e+00 1.899247363131512856e+01 7.699012008292407949e-02
0.000000000000000000e+00 -1.064544543074559670e+03 2.935264818439685119e-01 7.801051409579744939e-03 3.475189668459421899e+00 1.062650957319628198e+01 1.888873333512020580e-01
0.000000000000000000e+00 -1.045488462901710136e+03 4.620736578522329552e+01 6.900423493376595108e-02 3.254308808689964749e+00 1.658695210780155804e+01 1.383437931251457198e-01
0.000000000000000000e+00 -1.023688522191852826e+03 9.691842635398190353e+00 1.894885756155876011e-01 3.262807314306428452e+00 1.900109436000206742e+01 1.775746578998164682e-01
0.000000000000000000e+00 -1.016147679941941533e+03 1.436138627660858980e+00 5.728378447175274356e-03 3.492577141182809264e+00 1.231907798611625182e+01 1.231563241890839822e-01
0.000000000000000000e+00 -1.001655296787461566e+03 1.356528991786364879e-01 4.228774672512832129e-03 3.161190090942872288e+00 1.945619259086711494e+01 1.369869532773677623e-01
0.000000000000000000e+00 -9.970451537198626966e+02 2.994569567053039449e+01 2.423358519083065020e-04 3.449959448161536990e+00 1.022731493510542933e+01 2.217265152211030377e-01
0.000000000000000000e+00 -9.862929696155268857e+02 6.082291253766707040e-02 1.204685241203032011e-04 3.248929768321906941e+00 1.578497826804715842e+01 2.251723203151424491e-01
0.000000000000000000e+00 -9.755152617120658078e+02 7.233174413420873350e+01 2.769173729762645702e-04 3.269008157061595199e+00 1.493754165895116159e+01 1.930801903841355138e-01
0.000000000000000000e+00 -9.737333242492169347e+02 1.323664221105303440e+01 1.171280425554228433e-04 3.411672302451560945e+00 1.086494782136951009e+01 2.218645120228696088e-01
0.000000000000000000e+00 -9.730000431287298852e+02 2.041052674071390238e-01 1.680217706457056391e-04 3.177863187034203563e+00 1.815887807603704829e+01 9.216390123029885584e-02
0.000000000000000000e+00 -9.691076760785346096e+02 3.651178040015293780e-01 1.125993620026336829e-02 3.280732059728046046e+00 1.621803104218235347e+01 1.326993242384978400e-01
0.000000000000000000e+00 -9.495763310619003050e+02 6.527268842267679894e+00 1.775962721658804477e-01 3.387010029036109593e+00 1.544917393338963230e+01 9.760908278825952689e-02
0.000000000000000000e+00 -9.468220240684775035e+02 3.716324209207287899e-01 1.671000467378036189e-02 3.480100694746875778e+00 1.217870660230683910e+01 2.198575724923598762e-01
0.000000000000000000e+00 -9.460632083061171897e+02 2.933714782186959269e+01 4.965426562554886569e-03 3.305844178541552214e+00 1.334841612053485171e+01 2.003710268101208392e-01
0.000000000000000000e+00 -9.325529633571077284e+02 1.244044250351140857e+00 1.156486577207334202e-03 3.489119925153894908e+00 1.295153057420846743e+01 1.568683556160516135e-01
0.000000000000000000e+00 -8.985528880319476457e+02 1.184904413676385460e+01 4.264955573081739902e-04 3.297324811491116670e+00 1.291172651961159978e+01 1.413863343712843668e-01
0.000000000000000000e+00 -8.904144687687081614e+02 1.417881285606297226e+00 5.683033375566035831e-04 3.456681025629607440e+00 1.253416198483932398e+01 1.984692196466028569e-01
0.000000000000000000e+00 -8.807879835436218627e+02 3.349554544660294786e-01 2.258237180064703560e-04 3.139332868593011305e+00 1.790313445038591311e+01 2.454754457687893243e-01
0.000000000000000000e+00 -8.721106349731976479e+02 7.987703513648872544e+00 2.722658125216772737e-02 3.496574579037081687e+00 7.966233166488607687e+00 2.015507580416784628e-01
0.000000000000000000e+00 -8.607825738669356497e+02 1.872292657823833695e+00 5.819612182466711928e-03 3.265360845416970026e+00 1.555546571357223407e+01 2.073363662217912740e-01
0.000000000000000000e+00 -8.601551284795090169e+02 1.417208873198189112e-01 7.015978355943028495e-03 3.304258372165655544e+00 1.874964738813380194e+01 5.954055915166902441e-02
0.000000000000000000e+00 -8.579322670313850949e+02 7.048325462329946056e+00 9.355904986926290648e-03 3.297617312700386272e+00 1.233037711320570295e+01 1.576744150842629422e-01
0.000000000000000000e+00 -8.575687741427060473e+02 1.510657136370330722e+00 1.898601283219807827e-04 3.220339313710406159e+00 1.607912013664010331e+01 7.064382027469010006e-02
0.000000000000000000e+00 -8.525619644876321672e+02 1.893938373995408320e+00 1.653741411235843685e-04 3.183303025086613225e+00 1.655717163372202805e+01 1.453021115873025515e-01
0.000000000000000000e+00 -8.523298667845372165e+02 2.404694405902291265e+01 9.436578886672807379e-03 3.128091870771071648e+00 1.778604376045365854e+01 2.200895606174973484e-01
0.000000000000000000e+00 -8.209090397957774030e+02 7.041938383007898317e+00 1.479408873064668936e-02 3.281739410909965127e+00 1.225016445533502640e+01 9.676960850700028205e-02
0.000000000000000000e+00 -8.204180862679188522e+02 1.674764017334234723e+01 4.796637324485155188e-03 3.085063913690910375e+00 1.880987968831696833e+01 2.321672012072331925e-01
0.000000000000000000e+00 -8.044273064052298423e+02 6.234510038665101561e+00 5.467040810575103833e-04 3.122390304451498011e+00 1.711955834801034015e+01 1.465744359982328049e-01
0.000000000000000000e+00 -7.906900780099234680e+02 8.815201421915405433e+01 9.617547024610042031e-03 3.084287598010939213e+00 1.825849921294532763e+01 1.953644196280825140e-01
0.000000000000000000e+00 -7.840771817757843110e+02 1.661492279163525321e-01 7.570168794312055966e-04 3.244504912910861627e+00 1.277247390037929975e+01 2.147054670576598323e-01
