weight logl Mphi g si norm mntot
0.000000000000000000e+00 -1.661035327984962123e+03 2.256255881581552547e-01 4.404041528280910889e-02 9.732400095129175588e-01 9.804692617017602974e-01 9.759845684055599158e-01
0.000000000000000000e+00 -1.568635348376086540e+03 6.347283360459184953e-01 1.809460932433415437e-01 9.797420798742763060e-01 8.696641041632895419e-01 1.032526383137306603e-01
0.000000000000000000e+00 -1.384834200787071268e+03 7.232285051426836642e-01 5.355644193203243919e-01 9.635293657771578646e-01 7.573338742824048397e-01 2.062625312577216485e-01
0.000000000000000000e+00 -1.309788239471003408e+03 5.800307664848070033e-03 4.088946398321250397e-01 9.076029356781959434e-01 8.532354063084146567e-01 8.799621029943832662e-01
0.000000000000000000e+00 -1.285926236332734561e+03 5.619609779797870575e-01 4.741439909568099242e-01 9.834396737921446974e-01 6.273037862458519243e-01 3.441398925896159700e-01
0.000000000000000000e+00 -1.278799178130973132e+03 6.934559237647175411e-01 5.189717034896224046e-02 8.776443383013884381e-01 9.114287365198455726e-01 9.261469777050063135e-01
0.000000000000000000e+00 -1.278749503490032339e+03 2.068672137345399786e-01 4.616391723563126881e-01 8.787325606463584071e-01 9.256280202368878385e-01 7.663363258078531581e-01
0.000000000000000000e+00 -1.225107364132574503e+03 2.368272911988489327e-02 4.239782890831420570e-01 9.646296200822284117e-01 6.446931421900456982e-01 3.228560122847515812e-01
0.000000000000000000e+00 -1.223605682361856680e+03 3.662783031989892413e-01 2.055086178495798555e-01 9.104614410668450120e-01 9.219667194756402395e-01 2.463322980094457826e-01
0.000000000000000000e+00 -1.157220438432027095e+03 7.006916622057065558e-01 2.943632707264858261e-01 8.318074639797563563e-01 9.375366836999260434e-01 6.276553158431724677e-01
0.000000000000000000e+00 -1.096497347723543271e+03 5.224296626497708651e-01 1.918195655021130985e-01 8.094274641064038711e-01 9.469722963850067954e-01 9.418911038180144413e-02
0.000000000000000000e+00 -1.064544543074559670e+03 2.811694940781781504e-01 4.730382849869174677e-01 9.834597789729478956e-01 5.066583985892779696e-01 6.800383945089112370e-01
0.000000000000000000e+00 -1.045488462901710136e+03 9.048253392989739075e-01 7.097189362782507782e-01 8.362058724599765736e-01 8.203659004106084174e-01 4.154125294510246924e-01
0.000000000000000000e+00 -1.023688522191852826e+03 7.122825622675917900e-01 8.193957578020467647e-01 8.418715428709524495e-01 9.474260189474772442e-01 6.208097272241699383e-01
0.000000000000000000e+00 -1.016147679941941533e+03 4.769040407820518412e-01 4.395079255132627871e-01 9.950514274552062499e-01 5.957409466376974994e-01 3.358969852831622527e-01
0.000000000000000000e+00 -1.001655296787461566e+03 1.860148681280449079e-01 4.065536361666367560e-01 7.741267272952480072e-01 9.713785574140586521e-01 4.083086559024490247e-01
0.000000000000000000e+00 -9.970451537198626966e+02 8.513529328708936417e-01 9.610441743669650982e-02 9.666396321076912157e-01 4.856481544792331517e-01 8.519712838801205557e-01
0.000000000000000000e+00 -9.862929696155268857e+02 8.712929970154070780e-02 2.021839744032571939e-02 8.326198455479379978e-01 7.781567509498504842e-01 8.700121482468191614e-01
0.000000000000000000e+00 -9.755152617120658078e+02 9.600692862821145201e-01 1.105875507376268274e-01 8.460054380410636510e-01 7.335548241553242477e-01 7.019905255713900782e-01
0.000000000000000000e+00 -9.737333242492169347e+02 7.507089418786397905e-01 1.716522135361453483e-02 9.411148683010407412e-01 5.192077800720794611e-01 8.526937802244481945e-01
0.000000000000000000e+00 -9.730000431287298852e+02 2.363785467289640785e-01 5.634138926886944621e-02 7.852421246894688567e-01 9.030988461072130269e-01 1.736329907345489643e-01
0.000000000000000000e+00 -9.691076760785346096e+02 3.080752516444711375e-01 5.128839824433952810e-01 8.538213731520307714e-01 8.009490022201239956e-01 3.858603363272138376e-01
0.000000000000000000e+00 -9.495763310619003050e+02 6.635511508892661947e-01 8.123584613702471424e-01 9.246733526907398026e-01 7.604828385994543138e-01 2.021417947029294782e-01
0.000000000000000000e+00 -9.468220240684775035e+02 3.102554526546581481e-01 5.557441428413421036e-01 9.867337964979171483e-01 5.883529790687810346e-01 8.421862434154967492e-01
0.000000000000000000e+00 -9.460632083061171897e+02 8.488219012451960754e-01 4.239891407912483867e-01 8.705627856943680687e-01 6.499166379228868973e-01 7.401624440320463405e-01
0.000000000000000000e+00 -9.325529633571077284e+02 4.592024564643786277e-01 2.657851491213166772e-01 9.927466167692632348e-01 6.290279249583403676e-01 5.123997676233069676e-01
0.000000000000000000e+00 -8.985528880319476457e+02 7.370568930171993438e-01 1.574786278989839250e-01 8.648832076607445574e-01 6.269329747163999711e-01 4.313420647711223577e-01
0.000000000000000000e+00 -8.904144687687081614e+02 4.753267815101839266e-01 1.886450516489441842e-01 9.711206837530714786e-01 6.070611570968065251e-01 7.302053384638893530e-01
0.000000000000000000e+00 -8.807879835436218627e+02 2.974458888166054971e-01 8.844238835913142971e-02 7.595552457286740555e-01 8.896386552834690820e-01 9.763112343915671953e-01
0.000000000000000000e+00 -8.721106349731976479e+02 6.884428494598532344e-01 6.087482779760881035e-01 9.977163860247211247e-01 3.666438508678214747e-01 7.463390473386307677e-01
0.000000000000000000e+00 -8.607825738669356497e+02 5.095981466600472132e-01 4.412235110840126984e-01 8.435738969446466839e-01 7.660771428195912724e-01 7.766301896428862150e-01
0.000000000000000000e+00 -8.601551284795090169e+02 1.914095422635546662e-01 4.615220601440496173e-01 8.695055814437702146e-01 9.341919677965159208e-01 2.830152626539406135e-03
0.000000000000000000e+00 -8.579322670313850949e+02 6.730191035485157958e-01 4.927714506799836247e-01 8.650782084669240701e-01 5.963356375371422491e-01 5.166199742631568670e-01
0.000000000000000000e+00 -8.575687741427060473e+02 4.831402880963221458e-01 6.960844251672693161e-02 8.135595424736040693e-01 7.936379019284265368e-01 6.096240981513145751e-02
0.000000000000000000e+00 -8.525619644876321672e+02 5.110152006444984574e-01 5.461690041943878526e-02 7.888686833910755203e-01 8.187985070380013886e-01 4.518435161638876263e-01
0.000000000000000000e+00 -8.523298667845372165e+02 8.243084273749963220e-01 4.937036437034584280e-01 7.520612471807143207e-01 8.834759873922978235e-01 8.434008409293054509e-01
0.000000000000000000e+00 -8.209090397957774030e+02 6.729073400917870984e-01 5.425220547864613163e-01 8.544929406066433808e-01 5.921139187018434891e-01 1.977466413979072080e-01
0.000000000000000000e+00 -8.204180862679188522e+02 7.797124355668578755e-01 4.202342206353774090e-01 7.233759424606071020e-01 9.373620888587878008e-01 9.066345612944146648e-01
