weight logl Mphi g si norm
0.000000000000000000e+00 -1.630885090350934433e+03 2.127060930784747672e-01 1.202517018495567416e-04 3.461406486717241826e+00 1.994414253844187712e+01
0.000000000000000000e+00 -1.553496075627617984e+03 6.334225242544250456e+00 1.656911595458462894e-02 3.406180608010705768e+00 1.979684768753055479e+01
0.000000000000000000e+00 -1.508403168900885703e+03 2.273954925508568792e+01 5.742826399027217005e-04 3.456949753342517084e+00 1.698599800883453526e+01
0.000000000000000000e+00 -1.496942617548846783e+03 3.617760437986016625e-02 3.863817883953563634e-04 3.450534220639051686e+00 1.702597696108256642e+01
0.000000000000000000e+00 -1.482231601400480031e+03 6.514042398021985925e+00 7.297892787382281865e-02 3.416821476308231631e+00 1.812801723024840328e+01
0.000000000000000000e+00 -1.472383065380244943e+03 4.127407448105659127e-02 2.369169119620447624e-03 3.472591472080385877e+00 1.588019956814120448e+01
0.000000000000000000e+00 -1.415006781721179323e+03 3.591696117736046023e+00 2.292668500560817064e-03 3.367246571761694618e+00 1.867062850096000659e+01
0.000000000000000000e+00 -1.361243276702928370e+03 1.946753242941852591e+00 8.176137831450063301e-03 3.422231116879454582e+00 1.604620501800432208e+01
0.000000000000000000e+00 -1.347287829079612266e+03 8.194455717521164217e+01 3.818137358179954973e-03 3.372125642764622011e+00 1.737956469185954944e+01
0.000000000000000000e+00 -1.333022648817964864e+03 5.699859004500019283e-02 1.670208139298345927e-03 3.359744730675117363e+00 1.760559468670944838e+01
0.000000000000000000e+00 -1.315071614148153003e+03 6.373195151107899359e-02 1.204898563801228614e-03 3.372185763366952749e+00 1.683709709187473536e+01
0.000000000000000000e+00 -1.288233328980813440e+03 4.031791418935392102e+01 1.785571317968590588e-01 3.458223626139272255e+00 1.361036442089418941e+01
0.000000000000000000e+00 -1.271545107437068509e+03 5.903016772152211544e+00 1.623308323644902717e-03 3.437972463448324412e+00 1.398201483123696320e+01
0.000000000000000000e+00 -1.267249015480181924e+03 8.138003445591691920e-02 1.758485851733647973e-03 3.303382346100544265e+00 1.862618436318873805e+01
0.000000000000000000e+00 -1.254146904970211835e+03 1.535674776439500278e+01 6.800794587786862348e-03 3.358040828468798811e+00 1.633896142471226653e+01
0.000000000000000000e+00 -1.183502328096607016e+03 3.357668048677354966e-02 7.130427899050239583e-03 3.405305676552976557e+00 1.582467750583096944e+01
