logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.031441934228127366e+03 -2.037434648514818718e+03 9.899999999999999911e-01
-2.037434648514818718e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.943392331131338096e+03 -1.949387545418029504e+03 1.330000000000000071e+00
-1.949387545418029504e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.897882873868604520e+03 -1.903880588155295754e+03 1.645000000000000018e+00
-1.903880588155295754e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.895163751248767312e+03 -1.901163965535458601e+03 2.449999999999999956e-01
-1.901099960642945462e+03 2.092324530776203062e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -1.861554874519428040e+03 -1.867557588806119384e+03 1.320000000000000062e+00
-1.867557588806119384e+03 1.483925664528205957e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.797536179733230938e+03 -1.803541394019922336e+03 1.899999999999999911e+00
-1.803541394019922336e+03 3.489797597777094040e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.773750619038188233e+03 -1.779758333324879459e+03 9.599999999999999645e-01
-1.779758333324832620e+03 2.470410664338228202e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.745270355723093417e+03 -1.751280570009784697e+03 1.199999999999999956e-01
-1.751280570009784242e+03 1.064835455383930629e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.724662765043530726e+03 -1.730675479330222061e+03 9.749999999999999778e-01
-1.730675479329096561e+03 1.494967310017197981e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.655688437202019486e+03 -1.661703651488710875e+03 1.300000000000000044e-01
-1.661703651488710875e+03 3.754037091079260335e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.639705709869844668e+03 -1.645723424156535884e+03 9.200000000000000400e-01
-1.645723424041753560e+03 3.498943976237713827e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.628858471560233738e+03 -1.634878685846925009e+03 1.235000000000000098e+00
-1.634878666340134941e+03 9.011575314182103114e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -1.598838446238063852e+03 -1.604861160524755178e+03 1.560000000000000053e+00
-1.604861160524755178e+03 1.855504135542806310e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.587856698324201034e+03 -1.593881912610892414e+03 1.975000000000000089e+00
-1.593881895559120494e+03 1.488928772028531355e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.544621901042210538e+03 -1.550649615328901746e+03 1.655000000000000027e+00
-1.550649615328901746e+03 1.570828698189817807e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.544403868900841417e+03 -1.550434083187532678e+03 6.550000000000000266e-01
-1.549842906519474809e+03 1.199861734674145275e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.515469157506752026e+03 -1.521501871793443343e+03 8.249999999999999556e-01
-1.521501871793442888e+03 2.166289922880270780e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.479016931507227810e+03 -1.485052145793919181e+03 3.350000000000000200e-01
-1.485052145793919181e+03 2.091280012165777080e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.442596229890521499e+03 -1.448633944177212925e+03 6.750000000000000444e-01
-1.448633944177212925e+03 2.273769501661001513e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.431750332737547524e+03 -1.437790547024238776e+03 1.290000000000000036e+00
-1.437790527491272087e+03 1.358824793604899561e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -1.430073542673203747e+03 -1.436116256959895054e+03 8.599999999999999867e-01
-1.435944453133714205e+03 1.397341910322062297e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -1.418329537940363480e+03 -1.424374752227054842e+03 1.239999999999999991e+00
-1.424374742779037433e+03 3.814319135476571976e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -1.404229268578844312e+03 -1.410276982865535729e+03 1.649999999999999911e+00
-1.410276982111450479e+03 6.245099512655733598e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -1.388202673273088749e+03 -1.394252887559779992e+03 2.000000000000000111e-01
-1.394252887449923946e+03 1.105623063257278282e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.340501085629757654e+03 -1.346553799916448952e+03 7.399999999999999911e-01
-1.346553799916448952e+03 1.811180461832643829e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -1.336843021900389203e+03 -1.342898236187080556e+03 1.060000000000000053e+00
-1.342872717649605420e+03 1.406767744871044101e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.300473634269616014e+03 -1.306531348556307421e+03 9.500000000000000111e-02
-1.306531348556307421e+03 2.640118144623531649e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.294002425847995937e+03 -1.300062640134687172e+03 1.439999999999999947e+00
-1.300061090108626331e+03 2.710578548763868945e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -1.280995798671483954e+03 -1.287058512958175243e+03 1.185000000000000053e+00
-1.287058510703666116e+03 8.277219947332788763e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -1.250177873523475682e+03 -1.256243087810167026e+03 1.229999999999999982e+00
-1.256243087810167026e+03 2.169699650928030721e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.237403601263580185e+03 -1.243471315550271584e+03 2.000000000000000000e+00
-1.243471312710462371e+03 2.112612694498542965e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.226785362140231427e+03 -1.232855576426922653e+03 1.799999999999999933e-01
-1.232855551900230239e+03 2.533971078875798000e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -1.222206117465201714e+03 -1.228278831751892994e+03 3.699999999999999956e-01
-1.228268595733086613e+03 1.981362210207360164e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -1.218807676422052509e+03 -1.224882890708743844e+03 1.000000000000000056e-01
-1.224849597367996921e+03 3.345401600505527373e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.212417571017884029e+03 -1.218495285304575418e+03 1.050000000000000044e+00
-1.218493547584018870e+03 3.490151335070665439e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -1.194941417764216112e+03 -1.201021632050907328e+03 2.099999999999999922e-01
-1.201021632025082226e+03 8.335915785254609744e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -1.147879772400961883e+03 -1.153962486687653154e+03 1.875000000000000000e+00
-1.153962486687653154e+03 3.017788219678990913e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -1.122566159058041649e+03 -1.128651373344732974e+03 5.300000000000000266e-01
-1.128651373344722742e+03 3.183610799129644064e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.084847455529763010e+03 -1.090935169816454390e+03 1.169999999999999929e+00
-1.090935169816454390e+03 2.735347747039440591e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -1.048710579024129856e+03 -1.054800793310821064e+03 1.340000000000000080e+00
-1.054800793310821064e+03 9.982986897620117261e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -1.032090809757117313e+03 -1.038183524043808575e+03 1.389999999999999902e+00
-1.038183523983105260e+03 1.513162543177582187e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -1.027535220667672775e+03 -1.033630434954364091e+03 6.049999999999999822e-01
-1.033619955444391962e+03 6.010953732501268298e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -1.021715269375069738e+03 -1.027812983661761109e+03 3.599999999999999867e-01
-1.027809981651606677e+03 3.896710873732535330e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -1.016885263609644426e+03 -1.022985477896335738e+03 5.749999999999999556e-01
-1.022977479431516599e+03 4.100532164466525131e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -1.011648392634398306e+03 -1.017751106921089672e+03 3.850000000000000089e-01
-1.017745748323627254e+03 4.908449116687453539e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -9.991696561946554311e+02 -1.005274870481346738e+03 1.049999999999999961e-01
-1.005274866644577060e+03 6.647546634648291430e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -9.869814917916658032e+02 -9.930892060783571651e+02 1.150000000000000050e-01
-9.930892009752610647e+02 3.360268635105428725e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -9.830758914043991581e+02 -9.891861056910904608e+02 1.939999999999999947e+00
-9.891661272421494004e+02 1.916428494581429165e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -9.618961556168427478e+02 -9.680088699035341051e+02 1.649999999999999911e+00
-9.680088699028862038e+02 1.110867548579349062e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -9.463786315863349046e+02 -9.524938458730262028e+02 1.530000000000000027e+00
-9.524938456902538064e+02 1.551871482601610985e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -9.261695148867133867e+02 -9.322872291734047394e+02 4.000000000000000222e-01
-9.322872291717283133e+02 1.886577725611996925e+01 -1.275000000000000577e-01 4.000000000000000000e+02 -9.162897463446374786e+02 -9.224099606313287723e+02 1.854999999999999982e+00
-9.224099093043582798e+02 3.098548444761984211e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -9.093141543788347008e+02 -9.154368686655260490e+02 1.549999999999999989e-01
-9.154359323039493574e+02 3.655387703407143363e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -8.848265152178257722e+02 -8.909517295045170613e+02 1.950000000000000067e-01
-8.909517295044937555e+02 1.340821202557857816e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -8.681983024877168873e+02 -8.743260167744082310e+02 1.955000000000000071e+00
-8.743260167142153705e+02 1.917786953032720731e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -8.671668090134231761e+02 -8.732970233001144607e+02 8.750000000000000000e-01
-8.729914768749129053e+02 5.009531934546666676e+00 -1.400000000000000688e-01 4.000000000000000000e+02 -8.454363383855212533e+02 -8.515690526722125924e+02 8.199999999999999512e-01
-8.515690526717155535e+02 8.150983989088347315e+00 -1.425000000000000711e-01 4.000000000000000000e+02 -8.424090815131754653e+02 -8.485442957998667453e+02 1.004999999999999893e+00
-8.484968688230069347e+02 6.890527181593914641e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -8.273450989353437990e+02 -8.334828132220351335e+02 1.850000000000000089e+00
-8.334828129204024663e+02 1.210039928880547500e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -8.210903250804927893e+02 -8.272305393671840648e+02 1.979999999999999982e+00
-8.272286151495472950e+02 1.345475676882647065e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -8.127084894940604727e+02 -8.188512037807518027e+02 5.999999999999999778e-01
-8.188509738026262994e+02 1.544456878724875359e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -8.123985008244682149e+02 -8.185437151111594858e+02 7.650000000000000133e-01
-8.179924424194126686e+02 6.903651648374051319e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -8.070518307416381276e+02 -8.131995450283294531e+02 4.899999999999999911e-01
-8.131912907807559350e+02 2.709363436228846567e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -8.035591878769655523e+02 -8.097094021636568186e+02 4.099999999999999756e-01
-8.096791161671103509e+02 3.290872172297452103e+00 -1.600000000000000866e-01 4.000000000000000000e+02 -7.985962600466546064e+02 -8.047489743333459273e+02 1.145000000000000018e+00
-8.047417748336590648e+02 3.525629528834388626e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -7.795231231635249287e+02 -7.856783374502161905e+02 1.139999999999999902e+00
-7.856783374449578332e+02 1.003995230448832920e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -7.766101159180077502e+02 -7.827678302046990666e+02 1.389999999999999902e+00
-7.827148126982566509e+02 1.052218614123732898e+01 -1.675000000000000933e-01 4.000000000000000000e+02 -7.723038749073813278e+02 -7.784640891940725851e+02 1.550000000000000044e+00
-7.784499359086058803e+02 8.137741914581665625e+00 -1.700000000000000955e-01 4.000000000000000000e+02 -7.697966440802268835e+02 -7.759593583669181953e+02 1.399999999999999911e+00
-7.758797507417826864e+02 8.923610100951201218e+00 -1.725000000000000977e-01 4.000000000000000000e+02 -7.532822356240066028e+02 -7.594474499106979692e+02 1.084999999999999964e+00
-7.594474498376611109e+02 1.478778224565927069e+01 -1.750000000000000999e-01 4.000000000000000000e+02 -7.501876293006334890e+02 -7.563553435873247963e+02 6.500000000000000222e-02
-7.563109380532723662e+02 8.165334268858922329e+00 -1.775000000000001021e-01 4.000000000000000000e+02 -7.482042900735610829e+02 -7.543745043602524447e+02 1.950000000000000067e-01
-7.542397834878623826e+02 1.542459188318275887e+00 -1.800000000000001044e-01 4.000000000000000000e+02 -7.375891517735933576e+02 -7.437618660602846603e+02 1.150000000000000050e-01
-7.437618379093922840e+02 6.034781826852857023e+00 -1.825000000000001066e-01 4.000000000000000000e+02 -7.360032636150715462e+02 -7.421784779017629035e+02 1.925000000000000044e+00
-7.419917625271928046e+02 8.634743583289898883e-01 -1.850000000000001088e-01 4.000000000000000000e+02 -7.161637925318489124e+02 -7.223415068185402106e+02 1.834999999999999964e+00
