Mphi g si norm
6.262707442877143427e-01 2.519422664183872465e-02 2.995861472956914628e+00 9.878862249736807044e+00
6.215949533488898560e+00 4.651142254050179281e-02 2.325858675102750350e+00 8.918584411171091020e+00
6.005134041691719826e-01 2.745442532962994245e-02 3.070855746071839754e+00 1.077905545511859309e+01
6.560798729385397543e-01 2.761391233946739604e-02 2.887358017579098934e+00 1.232900084913194760e+01
6.122738560531201246e-01 3.135429926171180021e-02 3.074736622441936795e+00 1.347454634645255211e+01
6.735953994824569468e-01 1.127812256934712307e-02 2.613911461921075485e+00 6.741558052362463194e+00
4.076882229668532531e+00 2.847163706952881429e-03 2.478300429401785188e+00 7.774938483395240851e+00
7.299060149202579728e-02 1.802398515723013794e-02 2.902561793250974187e+00 8.412227238108920702e+00
6.275425238319388699e-01 2.922992566053754515e-02 3.016159915916133194e+00 1.415736290745129722e+01
6.623522697527767233e-01 2.495357188645932339e-02 2.879538493787451969e+00 1.359818835327008202e+01
6.719113741844481291e-01 2.282883463454542239e-02 2.953663838538305164e+00 8.426046771469096086e+00
6.320470672937639200e-01 3.156735134355157651e-02 3.114743064352151869e+00 1.365921509229653275e+01
3.779838226849277838e+00 1.323527625937609593e-03 2.301553959310979725e+00 7.870926806685906385e+00
1.497459559473960644e-01 1.538567988670603258e-02 2.697500425521790035e+00 8.078971920446235799e+00
6.459740048068162155e-01 3.280416059902432901e-02 3.073143755982622238e+00 1.883620789255946448e+01
6.174414072641487561e-01 2.976049915098896714e-02 3.022187877303974979e+00 1.418121990189342263e+01
6.943498516354982275e-01 2.197978594703943120e-02 2.788873676253347256e+00 1.194657580004542652e+01
5.771272921329519967e+00 3.905375150742694534e-02 2.438230279642070730e+00 6.186471356901999563e+00
6.214537088096727668e-01 2.732531948950153375e-02 3.013564835216575144e+00 1.083395327544947939e+01
5.119019658048339361e-01 2.985528364925065306e-02 2.971416165289832101e+00 1.485329659063889807e+01
1.954692586645081320e+01 3.972146497147185373e-01 2.224379862962488907e+00 8.961223042577714182e+00
5.922733514801030719e-01 2.984681547344482030e-02 3.098891953239947039e+00 1.267004395025884378e+01
4.479647232675160740e-01 3.165384538743878234e-02 3.079765514269555915e+00 1.785947228072560833e+01
4.960464209067284358e+00 4.070810160188203380e-02 2.366640239404135038e+00 7.792514049454393188e+00
6.441088987942162891e-01 2.498414014544356881e-02 2.866366514869493898e+00 1.239242667797932818e+01
4.196299726989628276e+00 5.140904294490027593e-04 2.432698463589555882e+00 7.026049011350931295e+00
7.518726233389345648e-01 1.309503859919095351e-04 2.598726398482063438e+00 6.818894623276198885e+00
7.141003454429534436e+00 3.299542348136238340e-02 2.449685442911107458e+00 6.207557905917381547e+00
1.577912674124902215e-01 2.055226702441476094e-02 2.719233723220188192e+00 1.123178516704136065e+01
9.911398448107453518e-01 1.847011617396693631e-03 2.633853826511536766e+00 7.494284737112647754e+00
4.449734646893226397e+00 2.671291600642934985e-02 2.355986111841904318e+00 7.172172542267501782e+00
5.349619024370563247e-01 2.213320541706829958e-02 2.826337815389830865e+00 1.030322089757785342e+01
4.769149889651545848e+00 2.269227594640166063e-03 2.322698249143940075e+00 7.412127725832754699e+00
6.669847994416758796e-01 2.588538759464551614e-02 2.932890642593852792e+00 1.278911146086273831e+01
6.146522885057214003e-01 3.313187395466640761e-02 3.005763526231165272e+00 1.817168995232592366e+01
6.103541024519774094e-01 3.133737531957406924e-02 3.147994505436703339e+00 1.493112112717038720e+01
6.521454374669606313e-01 2.192774551442817910e-02 2.886870395392085786e+00 9.594570784529373952e+00
7.152410039023493482e-01 1.696478396413151832e-02 2.770146496520133450e+00 7.153146951891030447e+00
7.218164727993269913e+00 5.420967298414406527e-02 2.302231144357982817e+00 7.696223112853629367e+00
4.142376716899420330e+00 8.862809146320076853e-03 2.429211748189570308e+00 7.085355610268831761e+00
3.178257293099258363e-02 1.245838226306947120e-02 2.598580503081152848e+00 8.716341215795990749e+00
5.950961712285018912e-01 2.495966630504452971e-02 2.781883500047525715e+00 1.110855946235792580e+01
7.324586479732008160e-01 8.205606699334829467e-04 2.577619267764825306e+00 7.809362190151472483e+00
7.734986261624161585e-01 9.912650984679582944e-03 2.623934943391324381e+00 7.221526732199187393e+00
3.703824101880331954e-02 1.896721520967661195e-02 2.845303525285894697e+00 9.896714337236186765e+00
6.864324414208884395e-01 3.042230149118450508e-02 3.035792938073198499e+00 1.651547655280152327e+01
2.697914061465299107e-01 2.798612861915815084e-02 2.896826225587884274e+00 1.609868413326687531e+01
5.992725708589659028e-01 2.916878046042270523e-02 3.029882408664515747e+00 1.466847643812897317e+01
4.810603044456971844e+01 9.085336928493389363e-01 2.251340736966591205e+00 8.371658604969482553e+00
6.471280759218199785e-01 2.133768280267122827e-02 2.824350531821176347e+00 8.562274949476657682e+00
7.265955600606659459e-01 1.950436868195402212e-02 2.713412384450053949e+00 9.357167009800186008e+00
6.004649263169738876e-02 1.724058807773408072e-02 2.755368045221443740e+00 8.600317858874124255e+00
5.721772038761304691e-01 2.999245304877004234e-02 3.074102720755979234e+00 1.507549382557030349e+01
4.347426163010422506e+00 7.560618828456904493e-03 2.439037180022554985e+00 8.197997437593359749e+00
6.917897240155361782e-01 2.468341048625417172e-02 2.842313581995384641e+00 1.202059165881755831e+01
5.119883643940291940e+00 5.001546524056996873e-02 2.425239037874612258e+00 6.159923178838770497e+00
