Mphi g si norm
5.500801122689680939e-02 2.602824262259773730e-02 3.115983054073339531e+00 1.714644921565752611e+01
4.057765974902525130e+01 7.428940062694815438e-01 2.228910207643579611e+00 8.224077754472176593e+00
2.516966230302357488e+01 5.201678241876847020e-01 2.132509533216885522e+00 8.420751919428241195e+00
4.377750152614911378e-02 1.675263219579673987e-02 2.679330912221374206e+00 1.097314069307451945e+01
1.442139725463041922e-01 2.283841598558972522e-02 2.930757348741669155e+00 1.233714048873157054e+01
5.972883803547512915e-01 2.286528243356643342e-02 2.738429721664177308e+00 1.058883463092263533e+01
6.759927019381329893e-01 2.518914827945217469e-02 2.827555037515476322e+00 1.232863195784634058e+01
5.432720220095476060e-01 3.276422151980253744e-02 3.073508099779942881e+00 1.600873241265693991e+01
6.014152154447913734e-01 2.242206427899798987e-02 2.708340094796972242e+00 8.911550053332844001e+00
3.786218912117860214e+00 1.043109375490361857e-03 2.405076297464856960e+00 7.639859473930942890e+00
3.523378578886409596e+00 7.171894270201472146e-03 2.351745088433174313e+00 7.766647942645507285e+00
4.869663081597169985e+00 4.781845717966193982e-02 2.213708207269156958e+00 7.073811712778814709e+00
6.391995704910315990e-01 2.763997835781920737e-02 2.918909159826389210e+00 1.301588697527068739e+01
5.498442899502215653e+00 5.054942999928484226e-02 2.404353639097453588e+00 6.827920756412523495e+00
6.265352291054698819e-01 2.263610591785343226e-02 2.939817439805804344e+00 9.304735331849151692e+00
6.891855195613397767e-01 1.710166280189753113e-02 2.716794806879086366e+00 8.225881379957851181e+00
6.967443016203684891e-01 2.389171571116877751e-02 2.918954744435247939e+00 1.107252324123221143e+01
6.079457120056684927e-01 3.303936364906063378e-02 3.119302090425697394e+00 1.728902226982928880e+01
6.417923071326842033e-01 2.162424955534926821e-02 2.755043648948748203e+00 9.625066946503254783e+00
6.747626111992425235e-01 1.964346471513017320e-02 2.815011519723979116e+00 7.653965592285526753e+00
6.439032839693490384e-01 2.235584301660413151e-02 2.824517003849886798e+00 9.488768861635865193e+00
2.059752375486432641e+01 3.977129829829253449e-01 2.220177182274210015e+00 8.162873977488445121e+00
4.249686422892889226e+00 1.909992736126318522e-02 2.433102213106938638e+00 8.246622380789528250e+00
5.342872609976049958e+00 5.275532872387329181e-02 2.289172283657889828e+00 6.998700547691362850e+00
4.516084424473067183e-02 1.746511043890365891e-02 2.889323619673501486e+00 8.456213501424484136e+00
6.141584751598644365e-01 2.670349832344067614e-02 3.005012395665265235e+00 1.277483293787429375e+01
2.145509852546472374e+01 4.988846180614536219e-01 2.028255619995748216e+00 8.468862369863751738e+00
5.107464223072176068e+00 5.602062798035281621e-02 2.316518065361750978e+00 7.249171443860767283e+00
7.068851398419913057e-01 1.987630819558586226e-02 2.789666371279833967e+00 8.850470970231686607e+00
5.096514679338608467e+00 5.912126246443834277e-02 2.217709256319371658e+00 8.176211739885822283e+00
5.870303218871256723e-01 3.050081645175712480e-02 2.981286307477071240e+00 1.398081464735382262e+01
6.668944651157951986e-01 2.413743895117865731e-02 2.957091123146655676e+00 1.013065901150879533e+01
1.002519032547115746e-01 1.825230471279850816e-02 2.749019500526236559e+00 9.790184601974875278e+00
4.861434884651016475e+00 3.830836380142393222e-02 2.360122109436709081e+00 7.798743908951052184e+00
5.150628446190431475e+00 5.743325923862314941e-02 2.205402526808010855e+00 7.718909991420408900e+00
3.951204226227301053e+00 3.405071793768869176e-03 2.430478038354507042e+00 6.763183559256972011e+00
6.220214596622387626e-01 2.611763154100275527e-02 2.920800360650937399e+00 1.068866465668404686e+01
2.374255157487283796e+01 4.923245775371384303e-01 2.051930328696554895e+00 8.874266286781443469e+00
6.550879678532969264e-01 2.133933827808202205e-02 2.760850182678424858e+00 1.003619969531160905e+01
6.092351060754583880e-01 2.277758596129266996e-02 2.795012075548146679e+00 1.106775673434111873e+01
4.489296411490406591e-01 2.411924303632494507e-02 2.892527196537992396e+00 1.034209970874707984e+01
1.809723383359275184e-01 2.266674906187268052e-02 2.780222025346362535e+00 1.273422912638086224e+01
5.068390868733807508e+00 4.576627366293064408e-02 2.318007874204220720e+00 8.903614092383751455e+00
6.681969431450484054e-01 2.678824754339919137e-02 3.019550977048039542e+00 1.222358699811143978e+01
7.059644686557413173e+00 7.595169834748997928e-02 2.284879150707051387e+00 6.437305155231888065e+00
6.433047544572115806e-01 2.250981066911328030e-02 2.748244029207780770e+00 1.005491698969899161e+01
