logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.554267428765929708e+03 -1.560260143052621061e+03 9.899999999999999911e-01
-1.560260143052621061e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.503627768467958276e+03 -1.509622982754649684e+03 1.510000000000000009e+00
-1.509622982754649684e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.468969993667302106e+03 -1.474967707953993340e+03 1.909999999999999920e+00
-1.474967707953993340e+03 2.547750159371051382e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.427513922368700605e+03 -1.433514136655391894e+03 1.830000000000000071e+00
-1.433514136655391894e+03 2.888480870391749633e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.329024180326850683e+03 -1.335026894613542026e+03 1.149999999999999911e+00
-1.335026894613542026e+03 5.954073146364066815e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.318513477820180924e+03 -1.324518692106872322e+03 1.959999999999999964e+00
-1.324518664795740051e+03 6.081976684996546823e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.309854213775261087e+03 -1.315861928061952312e+03 1.860000000000000098e+00
-1.315861754126049846e+03 4.322809363452849141e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.309772991416338982e+03 -1.315783205703030262e+03 9.300000000000000488e-01
-1.315128561700320006e+03 3.285640158392510557e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.249098210546692144e+03 -1.255110924833383478e+03 1.110000000000000098e+00
-1.255110924833383478e+03 2.814696702442195075e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.191244921437052881e+03 -1.197260135723744270e+03 1.324999999999999956e+00
-1.197260135723744270e+03 3.630601867221015056e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.175706846592132933e+03 -1.181724560878824150e+03 1.989999999999999991e+00
-1.181724560699769427e+03 3.831225606968549613e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.135050229088753895e+03 -1.141070443375445166e+03 1.614999999999999991e+00
-1.141070443375445166e+03 4.834411487511994210e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.121052583635130759e+03 -1.127075297921822084e+03 9.100000000000000311e-01
-1.127075297086247247e+03 1.842870829721279691e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.100806879150738496e+03 -1.106832093437429876e+03 3.049999999999999933e-01
-1.106832093435813704e+03 2.519988615083529737e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.099429807047915574e+03 -1.105457521334606781e+03 1.649999999999999911e+00
-1.105232022312622576e+03 1.092906594241537377e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.078221730974537422e+03 -1.084251945261228684e+03 1.135000000000000009e+00
-1.084251945260455159e+03 1.706535833807338776e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.063109367234716956e+03 -1.069142081521408272e+03 9.100000000000000311e-01
-1.069142081247333181e+03 2.051473474229344518e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.057712655277907743e+03 -1.063747869564599114e+03 2.000000000000000000e+00
-1.063743337051816525e+03 1.750200127599059385e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.036522536305786844e+03 -1.042560250592478269e+03 2.999999999999999889e-01
-1.042560250591846852e+03 2.393001353717817636e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.029673666371385025e+03 -1.035713880658076278e+03 1.584999999999999964e+00
-1.035712817914412199e+03 2.619794510929469666e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -1.018134219921971521e+03 -1.024176934208662942e+03 1.800000000000000044e+00
