weight logl Mphi g si norm
0.000000000000000000e+00 -1.554267428765929708e+03 4.367648902655079657e-01 1.331629840196877322e-03 3.473308978753191667e+00 1.821964512911692324e+01
0.000000000000000000e+00 -1.503627768467958276e+03 5.062861554917224538e+01 7.466835306394079552e-01 3.439303151342501863e+00 1.830296393255731147e+01
0.000000000000000000e+00 -1.468969993667302106e+03 5.063010031302350455e+01 2.989644301156646890e-04 3.363256871136210968e+00 1.994230309861584516e+01
0.000000000000000000e+00 -1.427513922368700605e+03 9.840425872729555157e-02 4.878384004372426507e-04 3.346523093069871724e+00 1.984845748179183644e+01
0.000000000000000000e+00 -1.329024180326850683e+03 6.148123183770006328e+00 2.834090851104103387e-02 3.341226914582278607e+00 1.821400050338013088e+01
0.000000000000000000e+00 -1.318513477820180924e+03 1.509360714033614881e-01 9.521430411795516521e-04 3.319225723534711570e+00 1.892306747680020962e+01
0.000000000000000000e+00 -1.309854213775261087e+03 1.946430427888376502e-01 2.699826849541019785e-03 3.456420228339321721e+00 1.397096482210629276e+01
0.000000000000000000e+00 -1.309772991416338982e+03 3.121466576341941912e-01 3.800260135148361110e-04 3.344989105759825332e+00 1.781186638558361679e+01
0.000000000000000000e+00 -1.249098210546692144e+03 7.126886013213081128e+01 1.406979552586705984e-01 3.270539895510052197e+00 1.962277218460497608e+01
0.000000000000000000e+00 -1.191244921437052881e+03 4.370824197763746588e-02 3.043468726767048689e-04 3.252993381330544942e+00 1.924982282383153986e+01
0.000000000000000000e+00 -1.175706846592132933e+03 5.962887140198743907e+01 1.015791663525813376e-01 3.304096187144304864e+00 1.698406847842686673e+01
0.000000000000000000e+00 -1.135050229088753895e+03 1.090415459633668371e+00 2.657051122031497980e-04 3.354703616540849254e+00 1.814560267316234388e+01
0.000000000000000000e+00 -1.121052583635130759e+03 9.441977130873253543e+01 1.397803501905201251e-01 3.237888667514878804e+00 1.854827374336794676e+01
0.000000000000000000e+00 -1.100806879150738496e+03 4.702787342091153455e+00 2.375682683425575517e-04 3.472263508512110963e+00 1.086727404947193776e+01
0.000000000000000000e+00 -1.099429807047915574e+03 8.638429593068009638e+01 1.664562944390019818e-03 3.219406618262255826e+00 1.888642469263122692e+01
0.000000000000000000e+00 -1.078221730974537422e+03 2.877506522938123723e+01 8.097858093045794473e-04 3.292353270985714175e+00 1.579018469887908793e+01
0.000000000000000000e+00 -1.063109367234716956e+03 6.512305831909482201e+00 4.098004019638058770e-02 3.372074076194103043e+00 1.300124331828934920e+01
0.000000000000000000e+00 -1.057712655277907743e+03 1.823536543959176359e-01 3.945091665535150390e-04 3.465433423831305593e+00 1.054900336234933000e+01
0.000000000000000000e+00 -1.036522536305786844e+03 1.525738088150558003e+00 8.469727169065086395e-04 3.278875143204723841e+00 1.865733389962466049e+01
0.000000000000000000e+00 -1.029673666371385025e+03 6.571251366979888320e-02 7.882271654026869493e-04 3.307197637414293290e+00 1.454039477018979376e+01
0.000000000000000000e+00 -1.018134219921971521e+03 4.470042795050219731e+00 1.233468831415940694e-04 3.444053276409100306e+00 1.059901391556106098e+01
0.000000000000000000e+00 -9.818751729878705419e+02 8.169483130079568411e+01 1.061715722467539320e-02 3.331562136201348334e+00 1.310385699270226212e+01
0.000000000000000000e+00 -9.770676362710407830e+02 4.786147452653310430e-01 4.534697427109646989e-03 3.488397083048722092e+00 1.017455092322962251e+01
0.000000000000000000e+00 -9.533982922803667179e+02 1.773581089087361917e+01 4.134575642910987003e-01 3.276501186241221220e+00 1.766852314010875347e+01
0.000000000000000000e+00 -8.975675692105368171e+02 4.103145827367568610e-02 1.027044363764464431e-02 3.403936382700433860e+00 1.295836444297571965e+01
0.000000000000000000e+00 -8.869805013712459640e+02 7.651956709625489239e+00 3.719686091257752916e-04 3.423334549852866449e+00 9.597905359108695578e+00
0.000000000000000000e+00 -8.738583763070394070e+02 1.888830039918422965e-01 7.263599411684099061e-04 3.182079749241318645e+00 1.620104094857899568e+01
0.000000000000000000e+00 -8.226937042307434922e+02 5.487017017787157869e+01 5.228818072812637663e-01 3.124949451421121793e+00 1.741580169057214178e+01
0.000000000000000000e+00 -7.605931534615652936e+02 2.997587957563229155e-01 3.609829031659777827e-03 3.071425579600153721e+00 1.818133247611977410e+01
1.147319242772542725e-319 -7.436201724409431790e+02 4.431127000397450805e-02 5.772438407310979827e-04 3.358345832922826624e+00 9.406183874860371219e+00
3.193442708459481163e-319 -7.425939925048087389e+02 1.707535177256763603e+01 1.865130772176510883e-03 3.205442617306213382e+00 1.327070800904676595e+01
7.049688008676287847e-302 -7.026556638672415147e+02 4.800580972672336344e+01 4.957980431147914202e-01 3.030616152505392513e+00 1.862120122897442442e+01
1.433961649784105270e-301 -7.019431211377099089e+02 6.582642993274518517e+01 8.895004866586836423e-01 3.297966653169093210e+00 1.045313276315910223e+01
2.682975391073504218e-295 -6.874986251788061509e+02 3.672232451188147451e+00 2.672877049524103286e-03 3.302580101418395753e+00 9.902347653414231843e+00
6.850675054486644338e-294 -6.842561192895268505e+02 1.741814545363915556e+01 1.397469201891356205e-01 3.261304670458661903e+00 1.091258210787527716e+01
6.013769381631129072e-290 -6.751735743761570347e+02 4.830064369007599723e+00 2.218250460948755138e-04 3.058385341216862674e+00 1.689359767188904016e+01
8.674334176796229243e-290 -6.748047575421364854e+02 3.200144129179689401e+01 3.042981346948164800e-01 3.017156030319144033e+00 1.848932130043273858e+01
3.378482383674655474e-275 -6.412064231084068524e+02 3.914774435523443730e-02 2.581322372566945654e-03 3.378120810473124180e+00 7.882658530138257014e+00
2.491317946280156053e-274 -6.392059527590208745e+02 5.589118598317138059e-02 5.134109278756054245e-03 3.256252455303379811e+00 1.060116069273626671e+01
9.413724755311875549e-269 -6.263611704554471089e+02 4.031649349211270561e+01 7.307685996979909398e-04 3.270765232446255943e+00 9.911812174169426726e+00
3.816304288506973109e-267 -6.226563864836247149e+02 2.140889994084073766e+00 7.037014275810620726e-04 3.002327666981756682e+00 1.757471832255537691e+01
1.369130692842268619e-258 -6.029557271295918781e+02 8.594932500373414497e-02 5.429865842578176366e-03 3.127629321494420633e+00 1.351113088134610862e+01
8.443863757347325290e-256 -5.965287929562636009e+02 1.815615604563390306e+01 2.894387875352894685e-02 3.475670926231608782e+00 5.841320025037171959e+00
2.336628399191723627e-253 -5.909032686369962448e+02 5.897437677826763980e-02 5.521054949372629188e-03 3.002990136779193797e+00 1.747816625278294467e+01
4.166061284261796100e-243 -5.672966556890421543e+02 2.098771865480303589e+00 1.134883833915524250e-03 3.087880175408743710e+00 1.361211815699169136e+01
1.746108989806889182e-242 -5.658611517713162584e+02 7.447119303026413206e+01 3.417952912061010193e-03 3.187587557123996884e+00 1.104900347530518445e+01
3.472845299022068684e-240 -5.605658972345011080e+02 4.974039128950946687e-01 2.924246181948314842e-04 3.306885422367693117e+00 9.555700150242506297e+00
9.736564469445473406e-236 -5.503221427598344917e+02 4.258971173286363765e+00 3.085095705704552892e-03 3.180247648315793096e+00 1.095437937647975168e+01
5.697347154830082598e-234 -5.462503602503331877e+02 6.231542971228317684e-01 8.045263865906861819e-04 3.298140214767252054e+00 1.033378623102538540e+01
9.738867669436450828e-233 -5.434091509572173209e+02 7.528812797903852605e+00 5.065473706453257246e-04 3.473658976918306163e+00 5.403413230608200557e+00
7.296813118719852662e-231 -5.390901679326655085e+02 9.250718555693576661e+01 9.758366870448715149e-04 3.009229832186345543e+00 1.577868979895544221e+01
1.322628448213771159e-225 -5.269799740631191298e+02 5.283724876480386712e+01 5.456781835823699273e-02 3.007154231076015982e+00 1.559080993148948835e+01
2.991635101804702678e-221 -5.169509346017584903e+02 9.585619920930742444e-01 7.581863738826566000e-04 3.155819166143035037e+00 1.555006244254502512e+01
4.541383371636114990e-221 -5.165310230234321125e+02 7.846329121534775908e+00 8.887840715583313067e-02 3.498113191980347203e+00 4.838071421295872199e+00
9.571133805639592485e-221 -5.157830030230445573e+02 4.391301756152840596e+01 4.282746048536633099e-01 3.016343763441288406e+00 1.509987042853282979e+01
2.225115589636644473e-218 -5.103316905528308212e+02 3.091613506513380891e-02 3.493647201772703153e-04 3.274687090740616036e+00 8.341856326681156730e+00
1.391575906151576552e-216 -5.061933923811387217e+02 1.032438566896690268e+01 3.077583163657977572e-01 3.142719882770430573e+00 1.638309255594393576e+01
1.401998680503661994e-213 -4.992756751050688422e+02 4.500944635893886631e-02 2.931056598446430891e-03 3.270003195423705655e+00 8.311565003516584227e+00
1.247202532561349103e-212 -4.970875857901768882e+02 7.594835371957181280e+00 1.637710171317865505e-04 3.009932757502447931e+00 1.486651379417980046e+01
4.382873010643069122e-207 -4.843153589467059419e+02 7.675814450821579760e-01 4.600586645542417740e-04 3.262026825892453630e+00 1.108537799720924610e+01
1.743727365597358505e-206 -4.829319533153689008e+02 3.840237883339709946e+00 8.867043989274604743e-02 2.988129903811670651e+00 1.671147102394333217e+01
2.653790776923598380e-206 -4.825094892018780115e+02 4.265345012575169292e+00 1.116834477879910109e-01 3.341742077576017156e+00 7.482869508134808889e+00
3.286641844366918048e-205 -4.799905268810815073e+02 4.975115890575142474e-01 1.181508604450991814e-03 3.294009647733135537e+00 8.782825976933104073e+00
9.639793650727830498e-200 -4.673990680407381433e+02 5.059769242835959746e-01 1.282171400197751159e-02 3.130800515351199742e+00 1.652058392570925349e+01
1.291112299588629825e-199 -4.671043785560166270e+02 6.235140544210809210e+00 2.798294612867309808e-02 3.119752816320188860e+00 1.112269906543482278e+01
2.581125514021835719e-198 -4.641065720080663368e+02 1.092805498637702932e+01 7.832738699356670345e-03 2.911499225352653486e+00 1.738138223247171155e+01
5.610319167044344293e-198 -4.633276899471796924e+02 6.769893852490993424e+01 1.078552397754480214e-04 3.197052525993289152e+00 9.309465133423438843e+00
3.151552473566411647e-188 -4.408760514474980710e+02 4.392083581957546556e+01 4.409630473071925053e-04 2.897168479396153185e+00 1.734547995664573961e+01
2.082186129724680726e-179 -4.205647624250499916e+02 7.066711437560962317e+00 7.938561812770314474e-02 2.930490997793214980e+00 1.560090539102977125e+01
4.543935443839841016e-177 -4.151767171303258124e+02 2.965424766022987657e-01 1.809292882506330054e-03 2.931682555298369852e+00 1.552925320368052908e+01
1.572986824889107053e-173 -4.070246939845107477e+02 5.024621843446340819e+01 1.405374131886446276e-01 2.890110454834291964e+00 1.670362321559940000e+01
4.245581679942036332e-173 -4.060292913953131233e+02 2.350660564327975433e-01 2.602482582153488213e-04 3.139681095227025320e+00 9.689536198379373744e+00
9.924816086731499424e-170 -3.982698766576865523e+02 2.380161557690952112e-01 1.321688981198765800e-03 2.944015483639410125e+00 1.473007320867151293e+01
7.768832637105384671e-167 -3.916045397614641956e+02 9.032819521982165867e+00 7.549520808497756910e-04 3.037891572273951901e+00 1.187858304898801798e+01
1.342381278625431409e-162 -3.818447890993948590e+02 2.474820727940324616e+01 1.160619394289864048e-01 2.809008638104348865e+00 1.878998650040567142e+01
8.263676460539679119e-162 -3.800248646292478156e+02 1.716944943966212112e+00 1.435407232707739886e-03 2.963725174896119530e+00 1.416361322790542765e+01
1.453443468622025280e-159 -3.748525433838659637e+02 8.105126204443482152e+01 5.139461455254891176e-01 3.216699297587878537e+00 7.650891766364412483e+00
1.703567787144660063e-159 -3.746912541806578361e+02 8.867573347735520883e+01 1.016886626806997630e-03 2.864740380878120884e+00 1.668944597284993492e+01
3.235632141808533902e-156 -3.671394993359534169e+02 9.816399065354747266e-02 4.797286850407380689e-04 3.398353629391142050e+00 4.763832800741097273e+00
5.785020772487131210e-154 -3.619507815144903589e+02 3.464554185568737704e-02 1.295301981546013960e-03 2.969844334844829348e+00 1.312431765975954079e+01
1.040559870647982879e-151 -3.567560392814338002e+02 1.125990090392354537e+00 3.682700498772552462e-03 3.235071094726313490e+00 8.517435284953773333e+00
2.668938069556459135e-150 -3.535090324273630245e+02 4.513190158596067647e-01 2.871273429921625893e-04 2.836323312903344718e+00 1.804368701807888797e+01
2.722996065660671617e-148 -3.488813101390790621e+02 1.077029756617277761e-01 3.987917294155512993e-03 2.846120631585945304e+00 1.665375588278609342e+01
7.095111162026661912e-141 -3.318030412788103263e+02 3.599646027533637493e+01 3.345655837274471764e-04 3.328971102259998815e+00 5.298660581523607860e+00
3.215406816979177422e-140 -3.302894082771151147e+02 2.308980011004341248e-01 1.123144645133152594e-03 3.139599248830931888e+00 8.453137903135273135e+00
3.314047336116465494e-128 -3.026256708454513955e+02 1.295333209610222092e+01 5.096300177099409578e-03 2.778827733640111930e+00 1.733799371492494501e+01
2.794941929207185602e-127 -3.004909446253188321e+02 1.048932052254501063e-01 2.143348669529183265e-02 3.449424017085934935e+00 1.709122190377064854e+01
1.304467211333440574e-121 -2.874349507068422440e+02 6.047049761297025594e-02 1.930289379367338201e-02 3.472108703063518043e+00 1.372292428757673655e+01
2.137305144638810235e-118 -2.800309443608230708e+02 5.454444464360204414e-02 1.085814675649782483e-03 3.198133874033218582e+00 6.592003320395757093e+00
6.186252082755502908e-118 -2.789656606941347263e+02 2.238579278250236371e+01 3.777073771406187080e-02 3.448759626449791504e+00 3.317275830276669168e+00
1.804385973586826869e-117 -2.778926846720276558e+02 1.401036084539392945e+01 1.069027950842887376e-01 2.878267338096393235e+00 1.350410200149572049e+01
6.322528144463936661e-117 -2.766362858740703814e+02 4.129226254255851991e+00 5.816316273517933844e-02 3.415734224063168956e+00 3.012657626676855216e+00
1.536937084559945459e-116 -2.757455284023101285e+02 5.522218878150049193e+01 3.131280214722964583e-02 2.699253841733338710e+00 1.911877223342370513e+01
2.682866127663907996e-116 -2.751859342584168076e+02 1.101603277979558726e+01 1.787694205113803645e-04 2.962023935793068219e+00 1.132539350843166837e+01
1.851265251597328870e-113 -2.686466953280173584e+02 8.549730271303521145e-02 1.186401735145497550e-02 3.057488847161453194e+00 1.243471336594078736e+01
9.392082810424085731e-112 -2.647176124799589729e+02 1.358330662391816546e+00 1.251496932545290708e-01 3.409495898291345028e+00 1.886690248728059061e+01
6.577123931168427884e-110 -2.604662118168844245e+02 1.094150627309635054e-01 7.456826508613246807e-01 2.964180315351530481e+00 2.700258247282766533e+00
6.562457407941507935e-110 -2.604659442364630308e+02 4.907782562007959037e-02 9.304520024694288294e-01 3.055601584991368469e+00 1.139498404541604692e+01
6.549770648254232022e-110 -2.604653793406408795e+02 9.090528840331431326e-02 9.350947816138676094e-01 2.701800647013602674e+00 1.241781618914971297e+01
6.534007016839485977e-110 -2.604652889870665149e+02 3.307608311428719000e-02 6.861743010104464080e-01 3.467640645195097626e+00 6.493221272076428185e+00
6.517796631355164432e-110 -2.604652729952935033e+02 1.070670831081386026e-01 6.682804568609899132e-01 3.494026275108307544e+00 4.527374795071178681e+00
6.520767618362518031e-110 -2.604623172722550066e+02 5.327146913387731386e-02 7.653972381237174050e-01 2.572771216612218304e+00 1.542042938337820601e+01
6.512525491272965406e-110 -2.604610820528624799e+02 3.646017251624888433e-01 6.325549474739817768e-01 2.594160308773244772e+00 5.943661439737918606e+00
6.496288798828267769e-110 -2.604610783143224353e+02 4.219484359390982542e-01 5.821349532660244908e-01 3.306739875515742444e+00 5.751655022028350217e+00
6.482091604952795772e-110 -2.604607661373167957e+02 3.575392602068667158e-01 6.180998268319770617e-01 3.018212120683937183e+00 8.149031101366510654e+00
6.499490375163779050e-110 -2.604555856041343418e+02 8.598972837251417367e-01 6.869684418220374233e-01 2.773689686028361745e+00 1.284765869587387854e+01
6.494343505668666043e-110 -2.604538778060066306e+02 2.154669055012362888e-01 6.321888096688752512e-01 2.212184784816668692e+00 6.994923191738696033e+00
6.497910324601250330e-110 -2.604508287374510473e+02 3.999175743705036395e-02 5.647980928137482648e-01 2.385865176016423561e+00 1.153925068163873924e+01
6.492187249615582091e-110 -2.604492098817724468e+02 1.016655520063388385e-01 4.545317298215960644e-01 3.036885571467272893e+00 1.053937826588733095e+01
6.478441111015746932e-110 -2.604488294620061879e+02 5.505393165973238717e-02 4.180468887472952866e-01 3.343379650665904368e+00 9.380807321996938342e+00
6.491701055994242596e-110 -2.604442847736091835e+02 2.346255897905038801e-01 3.913215432766862789e-01 2.635600506704685930e+00 4.186858743462476440e+00
6.489733961502422361e-110 -2.604420878363297902e+02 3.097501202207665338e-01 4.354775513271731402e-01 2.062062347548827113e+00 1.738054651029953046e+00
6.488405842954434228e-110 -2.604397925064246806e+02 4.685194666085487625e-01 5.791539189715649849e-01 2.554983144601872258e+00 1.663261751680450828e+01
6.496875996099093538e-110 -2.604359879287572994e+02 4.439373384852342563e-01 3.415937633021156605e-01 3.235084934586152983e+00 3.562655029330247469e+00
6.487679585436106207e-110 -2.604349044442695913e+02 4.096918029617872548e-01 5.655183000865358078e-01 2.567586705147263171e+00 1.926576916556158636e+01
6.504851281245351870e-110 -2.604297611246602173e+02 7.973586292333237902e-01 5.586020430912964629e-01 2.777471778573398886e+00 1.924124554720828328e+01
6.493604615383964907e-110 -2.604289915869177889e+02 1.024064978469498177e+00 4.999110325913961872e-01 3.079863713681044057e+00 1.269034241732181201e+01
6.545171343862512055e-110 -2.604185817957695122e+02 2.030015584801981854e-01 5.034965762552546797e-01 2.423849721500952459e+00 1.783837134906410782e+01
6.543655489188375980e-110 -2.604163134215218065e+02 5.175169266167742310e-02 3.415976740616537000e-01 3.225971924192892804e+00 1.177340502659704669e+01
6.550759328821905524e-110 -2.604127284031488330e+02 2.748662882965526300e-01 4.712367278404538395e-01 2.591334074596518988e+00 1.887380652229908051e+01
6.537408830968659968e-110 -2.604122684903971958e+02 8.319005606329912816e-02 3.995065351031950596e-01 2.425551102644200263e+00 9.625792682535173839e+00
6.551474748979030248e-110 -2.604076191973212531e+02 1.962968971230632853e+00 5.666108118941112215e-01 2.679597164146050758e+00 1.399165917400764414e+01
6.562481722977410657e-110 -2.604034405312975196e+02 2.416271345087178446e+00 7.193514378721034275e-01 2.873641104704375060e+00 1.319548235337239461e+01
6.555097420035107580e-110 -2.604020663950932430e+02 3.657930291201200168e-01 4.465355871876845462e-01 2.642562452480144763e+00 1.758719503386592109e+01
6.604997300343526350e-110 -2.603919828448962903e+02 5.723552942953377132e-01 4.304036714199078184e-01 2.846367775263189959e+00 1.711568479267668152e+01
6.589505036744770143e-110 -2.603918311366805938e+02 2.556031226360431230e-01 2.793052736728759422e-01 3.069378974204103994e+00 4.885648127065984170e+00
6.582969014191768560e-110 -2.603903235126099958e+02 1.337303957499156759e+00 5.395334519973107312e-01 2.446375442287211488e+00 1.853975815886403211e+01
6.609839508813895252e-110 -2.603837500006308687e+02 2.253883534920018139e+00 6.231790003522935661e-01 2.719773405005753375e+00 1.693353373425240349e+01
6.615943602414814737e-110 -2.603803269408796268e+02 3.727016921335578603e-01 4.974794976569894556e-01 2.178327114731057890e+00 1.408039956156027372e+01
6.618909569095641827e-110 -2.603773787354190858e+02 3.995475547135544231e-02 3.805559018847159969e-01 2.334801211292669709e+00 1.172911586340574530e+01
6.723918769090375767e-110 -2.603591382394099583e+02 3.007969064047642416e+00 5.039489598671208492e-01 2.106554087296830247e+00 2.655456694329273226e+00
6.721857079378856936e-110 -2.603569449066860670e+02 3.205240749095206176e-02 2.319344873962960740e-01 2.728746045227460115e+00 4.267082603723394207e+00
6.740724657095060354e-110 -2.603516419391069689e+02 1.686386771757762970e+00 3.654219777921741685e-01 2.187950700414885041e+00 3.146824899529006014e+00
6.883760042887137851e-110 -2.603281443536209849e+02 5.813923631095187922e-02 1.967302137582251642e-01 2.808880226163690708e+00 2.779814903426641060e+00
7.136033759870220588e-110 -2.602896522479512100e+02 1.288907363914050697e+00 2.610699410723953950e-01 3.275604595457906054e+00 3.049387716676458915e+00
7.664475338160033556e-110 -2.602157133131934756e+02 6.373976599571595791e-02 2.533932236451114650e-01 3.482616648746706289e+00 1.681709780620365535e+01
7.858675917127852060e-110 -2.601881912402715216e+02 4.300260252412920536e+00 9.365713700270942299e-01 2.864489237677790179e+00 1.058334420481229543e+01
7.941466669718661632e-110 -2.601752113968325375e+02 7.308905650923137598e-01 3.068572376158583137e-01 2.973724893820264725e+00 1.613271224424051908e+01
8.926744066857985590e-110 -2.600557576519127565e+02 5.752431630722226075e+00 8.549381984023497472e-01 2.849410835722625990e+00 3.013066604362020229e+00
9.001776169945541481e-110 -2.600448874640602526e+02 1.161527516119431835e+00 3.335965853487978805e-01 2.357913898148643828e+00 1.331887579288368251e+01
9.329245786655407283e-110 -2.600066551999926787e+02 9.776405585928815700e-02 1.609192830752953773e-01 3.259647725674062357e+00 4.616230358136807155e+00
9.315336728299808717e-110 -2.600056472217019063e+02 1.294769987125646282e-01 1.909057455553066496e-01 3.153762192916210516e+00 8.375866284958622288e+00
9.296276843669675436e-110 -2.600051953935296183e+02 3.534664656239376590e-02 2.140323314098604990e-01 3.167235126424775782e+00 1.753023081668956351e+01
