weight logl Mphi g si norm
0.000000000000000000e+00 -1.554267428765929708e+03 3.301636386974343695e-01 2.810958796505279578e-01 9.822059858354610373e-01 9.062971120587854923e-01
0.000000000000000000e+00 -1.503627768467958276e+03 9.160902291267736253e-01 9.682841430847404229e-01 9.595354342283344273e-01 9.106823122398585157e-01
0.000000000000000000e+00 -1.468969993667302106e+03 9.160938444038018158e-01 1.189048800882822610e-01 9.088379140908074971e-01 9.969633209797812423e-01
0.000000000000000000e+00 -1.427513922368700605e+03 1.464406460631768603e-01 1.720689957562191452e-01 8.976820620465810752e-01 9.920240779890440175e-01
0.000000000000000000e+00 -1.329024180326850683e+03 6.561739625056732805e-01 6.131034420266224805e-01 8.941512763881857007e-01 9.060000264936910463e-01
0.000000000000000000e+00 -1.318513477820180924e+03 1.991756849742191138e-01 2.446755494197564440e-01 8.794838156898078241e-01 9.433193408842215355e-01
0.000000000000000000e+00 -1.309854213775261087e+03 2.305267053323600823e-01 3.578339780119502711e-01 9.709468188928811472e-01 6.826823590582259405e-01
0.000000000000000000e+00 -1.309772991416338982e+03 2.887517589556589659e-01 1.449533314826700892e-01 8.966594038398835176e-01 8.848350729254534919e-01
0.000000000000000000e+00 -1.249098210546692144e+03 9.582443229383785788e-01 7.870719464867443893e-01 8.470265970067015759e-01 9.801459044528934017e-01
0.000000000000000000e+00 -1.191244921437052881e+03 4.639446766437382852e-02 1.208422108772525538e-01 8.353289208870300353e-01 9.605169907279758057e-01
0.000000000000000000e+00 -1.175706846592132933e+03 9.362613854404808755e-01 7.517011610767787566e-01 8.693974580962030574e-01 8.412667620224666409e-01
0.000000000000000000e+00 -1.135050229088753895e+03 4.429532942506595461e-01 1.060999775941573464e-01 9.031357443605662061e-01 9.024001406927548707e-01
0.000000000000000000e+00 -1.121052583635130759e+03 9.929213982092328639e-01 7.863615310433582639e-01 8.252591116765858326e-01 9.235933549141024379e-01
0.000000000000000000e+00 -1.100806879150738496e+03 6.231364303446695896e-01 9.394710802085537438e-02 9.815090056747406422e-01 5.193302131301019697e-01
0.000000000000000000e+00 -1.099429807047915574e+03 9.819564604167146937e-01 3.053250555932663923e-01 8.129377455081704396e-01 9.413907732963804342e-01
0.000000000000000000e+00 -1.078221730974537422e+03 8.464370413168643692e-01 2.270925404794511548e-01 8.615688473238095613e-01 7.784307736252151777e-01
0.000000000000000000e+00 -1.063109367234716956e+03 6.632682252192623196e-01 6.531430950137179225e-01 9.147160507960687692e-01 6.316443851731236014e-01
0.000000000000000000e+00 -1.057712655277907743e+03 2.224865722094859777e-01 1.490142746603518864e-01 9.769556158875369878e-01 5.025791243341752867e-01
0.000000000000000000e+00 -1.036522536305786844e+03 4.843648778868404614e-01 2.319673552131986671e-01 8.525834288031490793e-01 9.293333631381399673e-01
