weight logl Mphi g si norm
0.000000000000000000e+00 -1.987181513021947239e+03 9.042754927860807701e-02 4.263580759079257376e-01 9.871674904634900605e-01 8.679824741067269089e-01
0.000000000000000000e+00 -1.894327845276596008e+03 6.929454782552546543e-02 5.729365976680778072e-02 9.941889507981419571e-01 7.674484212614691714e-01
0.000000000000000000e+00 -1.891939522402102511e+03 6.140808589621447044e-01 4.320382945021309373e-01 9.368262484020358771e-01 9.201351022635705368e-01
0.000000000000000000e+00 -1.870740452344543883e+03 8.235933711030204440e-01 7.223338207053980886e-01 9.195344333035645468e-01 9.509671905285699278e-01
0.000000000000000000e+00 -1.867775487184109579e+03 8.426425889830934102e-01 4.224782953905317218e-01 9.139526430131621471e-01 9.650743749356092138e-01
0.000000000000000000e+00 -1.804136339057199621e+03 7.164040398027232692e-01 7.464470898660952036e-01 9.766410455994678497e-01 7.350117398868267760e-01
0.000000000000000000e+00 -1.703040580878631090e+03 2.094854339821332623e-01 3.322051120532479862e-01 9.149105069643722610e-01 8.124906326109497812e-01
0.000000000000000000e+00 -1.670752820815262339e+03 3.242363070869876962e-01 3.351778935927315350e-01 8.666549056214107871e-01 9.191539121248031297e-01
0.000000000000000000e+00 -1.645473072890773210e+03 9.531584993012330864e-01 4.123192269503672680e-01 8.666687789475694403e-01 8.962260333753392372e-01
0.000000000000000000e+00 -1.634543476686133545e+03 3.607961396707868307e-01 2.117679675939718731e-01 9.636369226363019624e-01 6.911522598337278556e-01
0.000000000000000000e+00 -1.599143061022775100e+03 7.156976312336427171e-01 4.263457506809054109e-02 8.212545690774963880e-01 9.904387847516742394e-01
0.000000000000000000e+00 -1.499071512985480013e+03 5.104622503096557518e-01 1.382190283894589866e-01 9.890362109880184160e-01 5.256689172397833731e-01
0.000000000000000000e+00 -1.492571937215146590e+03 6.623929779345092417e-01 6.389804780496347592e-01 8.641705686742626735e-01 7.787519649691703183e-01
0.000000000000000000e+00 -1.470002444860222340e+03 4.161985941000875266e-01 5.326183164594756603e-01 9.963368310730016386e-01 6.233208276905660705e-01
0.000000000000000000e+00 -1.441672688785841274e+03 2.561020357628451816e-02 5.044521899374156959e-01 8.259488121589704246e-01 8.375494305475821299e-01
0.000000000000000000e+00 -1.440416226324710124e+03 6.178498580823310604e-02 1.302589505121199975e-01 9.276020686558940076e-01 5.955082269456773991e-01
0.000000000000000000e+00 -1.405934926850391321e+03 7.191195772399157082e-01 7.245862431551142180e-01 9.609383500889836505e-01 5.105463286026424852e-01
0.000000000000000000e+00 -1.373634193864860663e+03 8.258201029879862487e-01 5.076301668110437815e-01 9.299066395154785836e-01 5.512752283731349179e-01
0.000000000000000000e+00 -1.359988123643469635e+03 2.814713176717432708e-01 1.594800267814455719e-02 7.816827228005935879e-01 8.906996233786470540e-01
0.000000000000000000e+00 -1.341944261869037973e+03 3.357823002436211013e-01 4.274442236422066888e-01 7.935605582468762131e-01 8.597433555824783857e-01
0.000000000000000000e+00 -1.319701097115015500e+03 8.707874320500316179e-01 2.126195880413528361e-02 8.318422652187728028e-01 7.259357459607939100e-01
0.000000000000000000e+00 -1.316797182425534402e+03 8.783156265153769793e-01 5.548565394851759924e-01 9.587338057923732171e-01 4.699457230086867554e-01
0.000000000000000000e+00 -1.314587258944753785e+03 3.402357093463889148e-01 2.119407351346526136e-01 8.228716845268604363e-01 7.657088050095197662e-01
0.000000000000000000e+00 -1.300175190586099006e+03 5.052702823928754139e-01 3.557780937508187025e-01 9.033094748447698663e-01 6.324061114610078915e-01
0.000000000000000000e+00 -1.281215125595328800e+03 3.289799729170770348e-01 2.129381744826425171e-01 9.603397429632494209e-01 4.512242944679373258e-01
0.000000000000000000e+00 -1.254209456936650668e+03 5.923395364376764505e-01 3.897583060563666324e-01 7.145874227165516235e-01 9.847515811577579603e-01
0.000000000000000000e+00 -1.252011386271092078e+03 2.831568921637017677e-01 6.342596848989112690e-02 7.856206522793012237e-01 7.902520207864822677e-01
0.000000000000000000e+00 -1.245417310554852293e+03 8.005998568988750286e-01 4.629351610226992708e-01 7.951807779862173353e-01 7.605714788599883258e-01
0.000000000000000000e+00 -1.167954310387068517e+03 8.423016086628719590e-01 9.316846802413032425e-01 7.834929537766877061e-01 7.969835491152137408e-01
0.000000000000000000e+00 -1.160585775045615719e+03 7.777712930544192771e-01 5.172839742709800515e-02 9.206726100927149492e-01 4.535507207966126275e-01
0.000000000000000000e+00 -1.149451827517324091e+03 6.371834569307112117e-01 2.682137188877328215e-01 7.896169557347042511e-01 7.032202271724857789e-01
0.000000000000000000e+00 -1.139742239868305660e+03 5.327635701405618596e-01 7.255043935376382924e-01 8.193662340064232774e-01 8.866386047773477941e-01
0.000000000000000000e+00 -1.131093400499695917e+03 1.009725333523487922e-01 5.638339569062277290e-01 8.331040181867043204e-01 6.122302330929604297e-01
0.000000000000000000e+00 -1.127646202400711672e+03 3.646178173706877690e-01 4.561591692689903610e-02 7.762842966006507917e-01 7.291930717532273398e-01
0.000000000000000000e+00 -1.121269985824845207e+03 3.542672975353546860e-01 5.000861377872716229e-01 6.935153257162665064e-01 9.890796431528537935e-01
0.000000000000000000e+00 -1.109424630253498435e+03 7.657531573014575432e-01 3.187381280222473245e-01 7.335091086653624526e-01 8.118455238520463357e-01
0.000000000000000000e+00 -1.095077294531428379e+03 9.682118498828190534e-01 5.596593425330360638e-01 9.687657002617089397e-01 3.545311665931678569e-01
0.000000000000000000e+00 -1.087712239534641412e+03 1.061605612684624056e-01 6.762379320653910675e-02 9.184782144141669935e-01 4.216360111399096722e-01
0.000000000000000000e+00 -1.074946106682771642e+03 4.700187559001461901e-01 2.841079852252856863e-01 9.538525803890921528e-01 5.299528832982453030e-01
0.000000000000000000e+00 -1.072950868040833257e+03 5.359641408857876987e-01 8.541710207885500061e-02 6.975048285243951041e-01 8.797444232811609810e-01
0.000000000000000000e+00 -1.071141763846068898e+03 4.538469168476132465e-01 5.077306984158347358e-02 7.144974396075627343e-01 8.481952490078070728e-01
0.000000000000000000e+00 -1.049506611431631200e+03 9.868970211045051677e-01 3.887661620240587812e-01 7.407068156173680640e-01 7.456551274359909387e-01
0.000000000000000000e+00 -1.043195398494636947e+03 3.118500594020254812e-01 5.794873559855926448e-01 8.124265507887523663e-01 5.973322490255794648e-01
0.000000000000000000e+00 -1.033897302765591121e+03 9.295295626785569088e-01 9.650886575767723130e-01 8.055874686840316379e-01 6.027382058175302371e-01
0.000000000000000000e+00 -1.021875981528378702e+03 3.208030399318918535e-01 2.127701511225665865e-02 6.546658309154612665e-01 9.571854309970067032e-01
0.000000000000000000e+00 -1.017655180680173657e+03 3.850183663241907306e-01 2.513626863356164254e-01 7.015138896193017226e-01 9.263441337703438583e-01
0.000000000000000000e+00 -9.936895339316130276e+02 8.548936570590549566e-01 1.263117569002950580e-01 8.565361293418124466e-01 4.726872013206915302e-01
