Mphi g si norm
8.390337296935902467e-01 1.256155569702943967e-02 2.621779184626751302e+00 7.504109257703248659e+00
2.335597837567970103e+01 4.145739568726598545e-01 2.116501531348959020e+00 7.535435350148297573e+00
6.875572592128098570e-01 2.173522239182246879e-02 2.783713827134686625e+00 8.395327867421663370e+00
6.046282100421776384e+00 5.423924670830176931e-02 2.356311717470719991e+00 6.418917197134719643e+00
5.682303244866858449e+00 5.220440956968278035e-02 2.315366043521263073e+00 7.683861235999374983e+00
5.904491650526875191e+00 8.497151145976480913e-02 2.282716152089031780e+00 9.603805666080646120e+00
5.797012458484550379e+00 3.624695178939878887e-02 2.311800421276406947e+00 7.992900729762720147e+00
6.239939309529941802e+00 6.455654326198385917e-02 2.360692183125428389e+00 7.231451278138001371e+00
6.154739023176912127e+00 3.856209786260528932e-02 2.457671911937939768e+00 6.554280315733843842e+00
6.816790547680952050e-01 1.744293838854532597e-02 2.568328451584045879e+00 8.272318492110834143e+00
4.962573417639728035e+00 2.433483145825718862e-03 2.373197812124193895e+00 8.625852834505719713e+00
7.659386343320876422e-01 1.624258506586891138e-02 2.615909088143073102e+00 6.736310107889604382e+00
5.254799396314115967e+01 9.856697163026677533e-01 2.215878927220846784e+00 9.494944060092290528e+00
7.057231682974030029e-01 2.694505720367104673e-02 2.875674475839768984e+00 1.072789909012107756e+01
7.160359624881509788e+00 3.049472979456597024e-02 2.408302489584386308e+00 6.354621600232444933e+00
3.890699988651478286e-02 2.728212046384646469e-02 3.117670027129258781e+00 1.430433925435669629e+01
1.409463949599270571e-01 2.188027073639625675e-02 2.688424817148932888e+00 1.017253755796850001e+01
5.515569714088164766e+00 7.061553505434706168e-02 2.107821995448344143e+00 1.010252184327915614e+01
6.796960684127770769e+00 6.970056443686208081e-02 2.309579090642560395e+00 9.280395339461092519e+00
6.193924956116413583e+00 6.002368260028449753e-02 2.409213245626151689e+00 6.946193944973789947e+00
5.782441186919351495e+00 3.649805838510956219e-02 2.415205922733977495e+00 7.959293215496989760e+00
2.567596939579235382e+01 4.621330611585996451e-01 2.210420522702940982e+00 8.752724675981834679e+00
6.209407274408894395e+00 6.811896979210767256e-02 2.253309559691023978e+00 8.720563270741674700e+00
6.943099271294012276e+00 6.289912674489979427e-02 2.370748818568992000e+00 8.235996445695008106e+00
1.001855062001274776e-01 2.564983045201800135e-02 2.896277656094243813e+00 1.229875464340620006e+01
5.863873269105574160e+00 8.168935431118809487e-02 2.227986875031485070e+00 8.274194024726213570e+00
1.713643899265971104e-01 2.089767363434989061e-02 2.814694001927457112e+00 8.882567621857369033e+00
2.929476926729136110e+01 4.244224001461833762e-01 2.341301388912711001e+00 8.008298264818895618e+00
6.223374484871172285e+00 4.825240069497012396e-02 2.334256980601751241e+00 7.563169559783720075e+00
6.222656511049405204e+00 7.898221298343598151e-02 2.119314389696505874e+00 7.747477598544542765e+00
3.116983776489191271e+01 5.280155514410346251e-01 2.272881185543452975e+00 8.295561821583639528e+00
6.755138977688422974e-01 5.640667334528907647e-04 2.524060135684088380e+00 7.388680507185249269e+00
