logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 8.090000000000000000e+02 -2.104079109700444405e+03 -2.110775526600810736e+03 1.918417799752781150e+00
-2.110775526600810736e+03 nan -1.236093943139678509e-03 8.090000000000000000e+02 -2.074964943253602996e+03 -2.081662596247912461e+03 1.854140914709518029e+00
-2.081662596247912461e+03 nan -2.472187886279357018e-03 8.090000000000000000e+02 -2.055159127097935198e+03 -2.061858016186187797e+03 8.899876390605686582e-01
-2.061858016183681684e+03 1.661476399383931835e+01 -3.708281829419035527e-03 8.090000000000000000e+02 -2.038512827190108510e+03 -2.045212952372304244e+03 3.955500618046971506e-01
-2.045212952313265077e+03 1.204264169854865330e+01 -4.944375772558714036e-03 8.090000000000000000e+02 -1.987181513021947239e+03 -1.993882874298086108e+03 1.082818294190358577e+00
-1.993882874298086108e+03 2.257468071002731236e+01 -6.180469715698392111e-03 8.090000000000000000e+02 -1.894327845276596008e+03 -1.901030442646678011e+03 3.090234857849196715e-01
-1.901030442646678011e+03 4.572754149560748260e+01 -7.416563658838070186e-03 8.090000000000000000e+02 -1.891939522402102511e+03 -1.898643355866127649e+03 1.377008652657601973e+00
-1.898555439306021754e+03 4.049017631024592845e+01 -8.652657601977748261e-03 8.090000000000000000e+02 -1.870740452344543883e+03 -1.877445521902512155e+03 1.194066749072929534e+00
-1.877445521901832763e+03 4.513370051650779402e+01 -9.888751545117426336e-03 8.090000000000000000e+02 -1.869724419688864145e+03 -1.876430725340775552e+03 1.940667490729295341e+00
-1.876121421587612076e+03 8.864338390664496359e+00 -1.112484548825710441e-02 8.090000000000000000e+02 -1.867775487184109579e+03 -1.874483028929964121e+03 2.793572311495673421e-01
-1.874305475317321225e+03 7.614068313857911718e+00 -1.236093943139678249e-02 8.090000000000000000e+02 -1.830231688658649546e+03 -1.836940466498447222e+03 1.851668726823238575e+00
-1.836940466498447222e+03 1.816196908800014498e+01 -1.359703337453646056e-02 8.090000000000000000e+02 -1.804136339057199621e+03 -1.810846352990940431e+03 7.812113720642769321e-01
-1.810846352990935884e+03 1.990100467005776252e+01 -1.483312731767613864e-02 8.090000000000000000e+02 -1.783508492197619034e+03 -1.790219742225302980e+03 1.918417799752781150e+00
-1.790219742224201582e+03 1.697931738072966468e+01 -1.606922126081581845e-02 8.090000000000000000e+02 -1.707633389507246193e+03 -1.714345875628873273e+03 1.814585908529048108e+00
-1.714345875628873273e+03 3.888083726787223071e+01 -1.730531520395549652e-02 8.090000000000000000e+02 -1.703040580878631090e+03 -1.709754303094201305e+03 1.119901112484548822e+00
