weight logl Mphi g si norm
0.000000000000000000e+00 -2.104079109700444405e+03 9.680727570667428949e+01 6.057610197373222396e-05 3.480650941555549771e+00 2.965137223402726363e+01
0.000000000000000000e+00 -2.074964943253602996e+03 5.121963375650664574e+01 4.707796498752025885e-04 3.467514982301621806e+00 2.950744821763665016e+01
0.000000000000000000e+00 -2.055159127097935198e+03 4.293848412677805926e-02 4.637751938088624428e-04 3.493251355776392231e+00 2.741854125751134674e+01
0.000000000000000000e+00 -2.038512827190108510e+03 3.625007948167909166e+00 7.797063186292447524e-03 3.498908656389533078e+00 2.656055862564166503e+01
0.000000000000000000e+00 -1.987181513021947239e+03 6.247216344506964503e-02 1.354535462337447434e-03 3.480751235695235035e+00 2.617149174909507892e+01
0.000000000000000000e+00 -1.894327845276596008e+03 5.263050587740805003e-02 1.934052678002794520e-05 3.491283426197212769e+00 2.325600421658260686e+01
0.000000000000000000e+00 -1.891939522402102511e+03 4.369720515264365446e+00 1.446077179260334480e-03 3.405239372603054093e+00 2.768391796564354479e+01
0.000000000000000000e+00 -1.870740452344543883e+03 2.390786729472877070e+01 4.089489557202673903e-02 3.379301649955346765e+00 2.857804852532852635e+01
0.000000000000000000e+00 -1.869724419688864145e+03 3.676226149486991002e+00 7.199446307752557783e-03 3.474152503211494381e+00 2.341900703695313268e+01
0.000000000000000000e+00 -1.867775487184109579e+03 2.790287292994807800e+01 1.295362967173118275e-03 3.370928964519743332e+00 2.898715687313266898e+01
0.000000000000000000e+00 -1.830231688658649546e+03 2.568697308919100086e-01 2.805028144469578870e-03 3.488428833799847695e+00 2.191928563057559742e+01
0.000000000000000000e+00 -1.804136339057199621e+03 1.002134052204040238e+01 5.398031932472686228e-02 3.464961568399201663e+00 2.231534045671797628e+01
0.000000000000000000e+00 -1.783508492197619034e+03 3.707835731825346454e-02 8.651370403759716873e-03 3.494810594104281964e+00 2.234859567752089760e+01
0.000000000000000000e+00 -1.707633389507246193e+03 9.090707831572271402e+01 8.035490545477089880e-03 3.317716947141966521e+00 2.762757261901169414e+01
0.000000000000000000e+00 -1.703040580878631090e+03 1.641016839114293746e-01 4.581688513058321515e-04 3.372365760446558447e+00 2.456222834571754277e+01
0.000000000000000000e+00 -1.670752820815262339e+03 4.162616960372042541e-01 4.741213015662451027e-04 3.299982358432115959e+00 2.765546345161929054e+01
0.000000000000000000e+00 -1.645473072890773210e+03 6.838849914290619836e+01 1.152381120889497913e-03 3.300003168421354438e+00 2.699055496788483666e+01
0.000000000000000000e+00 -1.640271415197073566e+03 1.081468908445348376e+01 1.095823057213285109e-04 3.288906503982818030e+00 2.747867550832138051e+01
0.000000000000000000e+00 -1.634543476686133545e+03 5.599668357938500929e-01 1.145090569391926704e-04 3.445455383954453055e+00 2.104341553517810937e+01
0.000000000000000000e+00 -1.626837936820508276e+03 1.042397827086997530e+01 2.229241642073393175e-04 3.393608260429408663e+00 2.180648031249076624e+01
0.000000000000000000e+00 -1.599143061022775100e+03 9.964080506606382670e+00 1.633702130246988561e-05 3.231881853616244804e+00 2.972272475779855228e+01
0.000000000000000000e+00 -1.594665247270237160e+03 2.497948178934439056e+01 1.025612228645919030e-04 3.339885145305266256e+00 2.365581215594841069e+01
0.000000000000000000e+00 -1.576626938194470767e+03 4.258353621851265758e-01 5.110038579886816884e-05 3.315994783380050492e+00 2.447284876132289355e+01
0.000000000000000000e+00 -1.574137922775322750e+03 4.491649679172572718e+01 1.009881785409975086e-01 3.254563389352071567e+00 2.770018850632669682e+01
0.000000000000000000e+00 -1.532268921886351336e+03 4.293957657089242730e+01 1.902026370707131375e-02 3.263556277342385847e+00 2.612850649506805922e+01
0.000000000000000000e+00 -1.499071512985480013e+03 1.885462358761332613e+00 4.910154323145865280e-05 3.483554316482027513e+00 1.624439859995371904e+01
0.000000000000000000e+00 -1.492571937215146590e+03 6.466233715687143224e+00 1.566398974917229681e-02 3.296255853011393899e+00 2.358380698410594078e+01
0.000000000000000000e+00 -1.478687947448770728e+03 4.576251131801313043e+00 9.990642412073907214e-03 3.406009548456753411e+00 1.835393847980424908e+01
0.000000000000000000e+00 -1.476937641532704220e+03 5.952679096475287679e+01 2.331502174098663491e-03 3.374845841902593069e+00 1.960977291973883396e+01
0.000000000000000000e+00 -1.470002444860222340e+03 8.776845140496900566e-01 4.603536408958540729e-03 3.494505246609502347e+00 1.907630400302641505e+01
0.000000000000000000e+00 -1.447451323862281697e+03 2.824954737148003048e+00 1.061712461335092336e-03 3.276330127307094831e+00 2.314539236476022310e+01
0.000000000000000000e+00 -1.441672688785841274e+03 3.692690393212944011e-02 3.328594947960906644e-03 3.238923218238455526e+00 2.528893348587988044e+01
0.000000000000000000e+00 -1.440416226324710124e+03 4.952018608627137275e-02 4.480172671327988491e-05 3.391403102983840956e+00 1.826973858142464380e+01
0.000000000000000000e+00 -1.430636980721263171e+03 5.056083466865191944e+00 2.504254437494713922e-02 3.196166327552220743e+00 2.741933661620716833e+01
0.000000000000000000e+00 -1.430456950392427643e+03 1.748501803004073318e+00 1.701954732508873506e-05 3.440470340062946608e+00 1.639427834861711730e+01
0.000000000000000000e+00 -1.417049165822926852e+03 2.640394076122209110e+00 9.854784932633476203e-04 3.154025375095046879e+00 2.880895930534206073e+01
0.000000000000000000e+00 -1.415825996637986464e+03 6.175637980858861287e-02 3.663243104224493674e-03 3.369327872229361365e+00 1.874287489880095947e+01
0.000000000000000000e+00 -1.405934926850391321e+03 1.024453684367858308e+01 4.196925071854624989e-02 3.441407525133475254e+00 1.580584352947663263e+01
0.000000000000000000e+00 -1.395004426418028288e+03 1.804777782963851962e+01 1.256247202054089845e-05 3.219277422125339072e+00 2.515776116252688510e+01
0.000000000000000000e+00 -1.393517642257958641e+03 6.664000391074735319e+01 5.082616757583907369e-04 3.238645823797431600e+00 2.412372589487704033e+01
0.000000000000000000e+00 -1.383588252278294931e+03 9.168335178670606922e+01 1.526762698462080209e-05 3.304435057912725515e+00 2.079951382909169411e+01
0.000000000000000000e+00 -1.373634193864860663e+03 2.434363024795987585e+01 3.452636314214996283e-03 3.394859959273217598e+00 1.698698162282091317e+01
0.000000000000000000e+00 -1.367052285514500454e+03 2.178956618883092844e+01 2.206159606227400382e-03 3.424132646604533647e+00 1.584937727179958600e+01
0.000000000000000000e+00 -1.359988123643469635e+03 2.942460063852934682e-01 1.201544924869880484e-05 3.172524084200890382e+00 2.683028907798076546e+01
0.000000000000000000e+00 -1.353006252767243268e+03 2.434012511278137580e+01 2.368752091984792710e-02 3.332579026318108983e+00 1.901863626194672463e+01
0.000000000000000000e+00 -1.342145084570815470e+03 6.300235105228008337e+01 1.643434336384922909e-02 3.258863083534669691e+00 2.201073121602195570e+01
0.000000000000000000e+00 -1.341944261869037973e+03 4.571319574755952631e-01 1.371579919415599584e-03 3.190340837370314375e+00 2.593255731189187330e+01
0.000000000000000000e+00 -1.335906236081994166e+03 3.810650779250845943e+01 7.051545799079861343e-01 3.445291508212715570e+00 1.687307173162826146e+01
0.000000000000000000e+00 -1.319701097115015500e+03 3.505902150093639591e+01 1.277349652023333285e-05 3.247763397828159260e+00 2.205213663286302506e+01
0.000000000000000000e+00 -1.319550598364098278e+03 3.347623238164126214e+00 6.541610436613491675e-02 3.190860057086940760e+00 2.979952575535277504e+01
0.000000000000000000e+00 -1.318442096524903945e+03 9.494159005538506113e-01 3.916564216624370334e-03 3.334917671354735713e+00 2.328194926123858721e+01
0.000000000000000000e+00 -1.316797182425534402e+03 3.726668024068865748e+01 5.946791300426646984e-03 3.438100708688559770e+00 1.462842596725191591e+01
0.000000000000000000e+00 -1.314587258944753785e+03 4.739476820169093996e-01 1.147370489729473704e-04 3.234307526790290765e+00 2.320555534527607477e+01
0.000000000000000000e+00 -1.300175190586099006e+03 1.807703476262205733e+00 6.010221375703074607e-04 3.354964212267154799e+00 1.933977723236922941e+01
0.000000000000000000e+00 -1.299995025855227141e+03 1.049336091959559292e-01 2.053334078112475610e-05 3.321085996495052317e+00 1.851014444260440328e+01
0.000000000000000000e+00 -1.286105432101743190e+03 1.763982037033269279e-01 1.917552105356735374e-03 3.126386145035068509e+00 2.754264830837672662e+01
0.000000000000000000e+00 -1.281215125595328800e+03 4.325913278847548504e-01 1.160622197496292746e-04 3.440509614444874131e+00 1.408550453957018256e+01
0.000000000000000000e+00 -1.280310135913257454e+03 7.305369287974228598e+01 8.509071847738453043e-02 3.169722127152460711e+00 2.502605609007476062e+01
0.000000000000000000e+00 -1.269470730105608482e+03 1.772931151629148161e+00 5.298598256725094591e-04 3.154689529380512614e+00 2.900700138346316947e+01
0.000000000000000000e+00 -1.260699153639087172e+03 2.446631412766751001e+00 1.880079339726002994e-05 3.177701915995812865e+00 2.415310818719685670e+01
0.000000000000000000e+00 -1.254209456936650668e+03 3.663208326076431209e+00 8.887743866183708341e-04 3.071881134074827546e+00 2.955779585357498007e+01
0.000000000000000000e+00 -1.254148676831433477e+03 1.473622751062455105e+00 3.326563459745873579e-03 3.380651267704853691e+00 2.144496084830082694e+01
0.000000000000000000e+00 -1.252735045324531029e+03 1.622023696617303301e+01 1.422478796765323671e-05 3.499810972786774776e+00 1.198686430820804638e+01
0.000000000000000000e+00 -1.252011386271092078e+03 2.982968393158516029e-01 2.075533953915032601e-05 3.178430978418951725e+00 2.391730860280798510e+01
0.000000000000000000e+00 -1.245417310554852293e+03 1.983980841640785542e+01 2.063838953108235695e-03 3.192771166979325947e+00 2.305657288693966223e+01
0.000000000000000000e+00 -1.235497281695596257e+03 1.602504617944608967e+01 5.658275887065957084e-03 3.221186923031384985e+00 2.149337785777637322e+01
0.000000000000000000e+00 -1.225565856102434964e+03 1.033468558816638572e+00 3.219499540739776755e-04 3.485992885014357778e+00 1.659082146009195924e+01
0.000000000000000000e+00 -1.224558601716257499e+03 8.402008730227843170e-02 6.650082299095970081e-03 3.320328803534907003e+00 1.765290866719994156e+01
0.000000000000000000e+00 -1.218619579386671603e+03 4.922545211002547916e+01 9.458357786928963101e-04 3.335508969789249711e+00 1.656224380333989288e+01
0.000000000000000000e+00 -1.196237449145013215e+03 6.929322469218035074e+00 2.729992406676906656e-03 3.328256198556798662e+00 1.645317870503161828e+01
0.000000000000000000e+00 -1.185935149216382342e+03 8.090850026240811843e+00 9.944137549467424713e-04 3.184449697464310169e+00 2.219365106824117007e+01
0.000000000000000000e+00 -1.167954310387068517e+03 2.782580190369687401e+01 4.554318521792447005e-01 3.175239430665031559e+00 2.411252292434119937e+01
0.000000000000000000e+00 -1.160585775045615719e+03 1.648599681901587033e+01 1.814019649912399174e-05 3.381008915139072535e+00 1.415297090310176564e+01
0.000000000000000000e+00 -1.149451827517324091e+03 5.270372506940534940e+00 2.193151304252394121e-04 3.184425433602056543e+00 2.139338658800208748e+01
0.000000000000000000e+00 -1.141250525669261833e+03 5.839264025631296562e+01 2.465306846317802739e-03 3.032677076453613285e+00 2.911505797895483738e+01
0.000000000000000000e+00 -1.139742239868305660e+03 2.259345831629223866e+00 4.241524380464305188e-02 3.229049351009634972e+00 2.671251953854308425e+01
0.000000000000000000e+00 -1.134620249246091362e+03 9.829292690285360123e+00 4.481976741686911035e-03 3.299782439501732334e+00 1.640577196589171649e+01
0.000000000000000000e+00 -1.131093400499695917e+03 6.805111514460185362e-02 6.594316452617969386e-03 3.249656027280056314e+00 1.875467675969585102e+01
0.000000000000000000e+00 -1.128867317075273604e+03 3.289358273133473620e-01 2.914380239981179159e-05 3.250587797132550083e+00 1.819002721484073248e+01
0.000000000000000000e+00 -1.127646202400711672e+03 5.775979107805889745e-01 1.690750733993199369e-05 3.164426444900976243e+00 2.214659908084359330e+01
0.000000000000000000e+00 -1.127478583724981718e+03 3.901928270266679516e-02 5.545900086323989823e-05 3.096056830107936531e+00 2.520518856816072173e+01
0.000000000000000000e+00 -1.125048605529785846e+03 1.544412557206443104e+01 7.618319042432054877e-02 3.239262862383406549e+00 1.854171192655639544e+01
0.000000000000000000e+00 -1.121269985824845207e+03 5.310824955771502598e-01 3.165415239869397764e-03 3.040272988574399982e+00 2.968330965143276146e+01
0.000000000000000000e+00 -1.109424630253498435e+03 1.495466802604683565e+01 3.923653432192679359e-04 3.100263662998043568e+00 2.454352019170934440e+01
0.000000000000000000e+00 -1.106449377008491410e+03 5.858795078425328207e+00 1.819556954031321255e-02 3.028174079670411967e+00 2.874128641435597586e+01
