Mphi g si norm
4.294942406466254425e+01 7.115254982193536248e-01 2.351876205950782506e+00 8.425918578135410897e+00
1.887209985072167973e-01 1.719891432546580626e-02 2.633710950038203435e+00 8.328221359695326953e+00
7.586710283538920796e-02 2.921009584768519129e-02 3.102733724621358213e+00 1.619479615217780477e+01
6.776699112875872011e+00 1.289434756228143150e-03 2.442215950472238717e+00 6.912753124953221473e+00
6.375098169556602912e+00 5.624034730244161341e-04 2.533429663254911368e+00 7.237435606887637540e+00
6.355401762581437630e+00 6.592378653483509099e-02 2.250421044975981832e+00 7.885505778702123436e+00
3.137372018445686028e-02 2.014233853151916817e-02 2.895685012588173013e+00 9.696489750108797878e+00
5.774893696387511932e-01 3.490834316423554323e-02 2.982882787243768430e+00 1.618506124688823178e+01
6.608952413883482535e+00 5.594181017538069067e-02 2.353475139427011253e+00 7.327114168580869169e+00
1.463865061804186241e-01 2.264696613834073224e-02 2.790324319554219112e+00 1.059618977482974245e+01
6.203072661892840678e+00 4.927049958587011863e-02 2.336129819696250554e+00 7.325081261786220210e+00
6.772472361891085590e+00 4.491069077953274702e-02 2.415034776493372615e+00 7.332492806507952210e+00
5.445167463053784296e+00 2.219435540541332685e-02 2.390541039404147305e+00 7.226421094438847170e+00
5.679028819771109404e+00 6.471933568770711631e-02 2.315099750493188058e+00 7.570709320400843545e+00
5.243590357010248504e-02 1.739359320634852393e-02 2.712382463491441964e+00 7.897896594140039639e+00
6.166283422231408906e+00 6.012838542086516858e-02 2.232935471867309118e+00 7.895786529791580577e+00
3.495196867795849016e+01 6.383898532730172271e-01 2.022287160152463237e+00 7.397626209110692130e+00
6.584271075048839350e+00 3.631260492096582970e-03 2.369327190687942952e+00 7.649904650437635567e+00
6.351335719347551922e+00 6.067203642277956693e-02 2.334220548506590553e+00 7.352923248923135979e+00
5.982594288119104320e+00 6.734068912594218248e-02 2.273009184231782775e+00 8.322110168287107257e+00
7.905133651493676084e+00 4.132224282205299373e-03 2.484944978988022690e+00 7.899556224450149600e+00
2.747563574913542439e+01 5.385450242403944099e-01 2.122672834022902411e+00 8.194048939744469351e+00
