logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.591335712626123041e+03 -1.597328426912814393e+03 9.300000000000000488e-01
-1.597328426912814393e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.550043016550961511e+03 -1.556038230837652918e+03 1.449999999999999956e+00
-1.556038230837652918e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.546136402453409573e+03 -1.552134116740100808e+03 9.549999999999999600e-01
-1.552114158433435023e+03 2.187552203492371117e+00 -7.499999999999999722e-03 4.000000000000000000e+02 -1.424392762838374438e+03 -1.430392977125065727e+03 1.719999999999999973e+00
-1.430392977125065727e+03 6.048182587005646837e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.424293882508231491e+03 -1.430296596794922834e+03 1.560000000000000053e+00
-1.429650479082571337e+03 4.533079287746773645e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.403463524586270069e+03 -1.409468738872961467e+03 8.000000000000000444e-01
-1.409468738871242749e+03 3.840274448569996224e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.348957512028864357e+03 -1.354965226315555583e+03 2.949999999999999845e-01
-1.354965226315555583e+03 2.403619627139433490e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.330248911897989046e+03 -1.336259126184680326e+03 1.635000000000000009e+00
-1.336259126177163353e+03 2.070474148101531497e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.292099113417145190e+03 -1.298111827703836525e+03 1.445000000000000062e+00
-1.298111827703836525e+03 3.228889598882602030e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.264214822202234018e+03 -1.270230036488925407e+03 9.749999999999999778e-01
-1.270230036488924725e+03 3.794665243864875492e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.247026749915544997e+03 -1.253044464202236213e+03 1.834999999999999964e+00
-1.253044464167848673e+03 4.297677490903232922e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.241872533668257802e+03 -1.247892747954949073e+03 3.049999999999999933e-01
-1.247886975189220720e+03 4.484231671178208956e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.235600272698820163e+03 -1.241622986985511488e+03 3.599999999999999867e-01
-1.241621085156596337e+03 4.445756051651632568e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -1.218053855763223055e+03 -1.224079070049914435e+03 4.050000000000000266e-01
-1.224079070025837609e+03 1.042504797644932601e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.191679250861668834e+03 -1.197706965148360041e+03 2.550000000000000044e-01
-1.197706965148356630e+03 2.325923788173295392e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.057010736984522509e+03 -1.063040951271213771e+03 4.149999999999999800e-01
-1.063040951271213771e+03 7.614653066056085606e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.045183739322708561e+03 -1.051216453609399878e+03 4.199999999999999845e-01
-1.051216446286479368e+03 5.159063548675968036e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.044376892183593554e+03 -1.050412106470284925e+03 8.399999999999999689e-01
-1.050042349244824663e+03 4.665197191325183290e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -1.030782628486172598e+03 -1.036820342772864024e+03 5.999999999999999778e-01
-1.036820340962544833e+03 4.854226543351992440e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -1.007731561411131224e+03 -1.013771775697822591e+03 5.400000000000000355e-01
-1.013771775697724820e+03 8.830857619594628005e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.004188565985308514e+03 -1.010231280271999822e+03 1.669999999999999929e+00
-1.010202693829051668e+03 2.846534415200902668e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -9.877259317616567387e+02 -9.937711460483481005e+02 1.614999999999999991e+00
-9.937711459752562178e+02 9.104853240634749767e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -9.837887147065224553e+02 -9.898364289932137581e+02 6.149999999999999911e-01
-9.898170664314633314e+02 9.541966745570467978e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -9.807359635510042608e+02 -9.867861778376956181e+02 1.560000000000000053e+00
-9.867390340526167165e+02 2.002386959336596828e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -9.619374005229885825e+02 -9.679901148096798806e+02 1.580000000000000071e+00
-9.679901148024779332e+02 7.653450074770629996e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -9.572878731557827905e+02 -9.633430874424741432e+02 8.199999999999999512e-01
-9.633335430678529292e+02 2.419692217938787415e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -9.488819072195317403e+02 -9.549396215062230340e+02 9.100000000000000311e-01
-9.549393952934821073e+02 4.719310183667936087e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -9.254579966481485371e+02 -9.315182109348398853e+02 1.375000000000000000e+00
-9.315182109347725827e+02 1.178081147000929896e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -8.520109559163943231e+02 -8.580736702030856122e+02 2.200000000000000011e-01
-8.580736702030856122e+02 3.864028596481587385e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -8.454790283813323413e+02 -8.515442426680236849e+02 8.750000000000000000e-01
-8.515427838912374909e+02 2.936282699635163951e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -8.429269666909927992e+02 -8.489946809776840837e+02 1.030000000000000027e+00
-8.489193602308492927e+02 2.259887104958437121e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -8.420926608295213782e+02 -8.481628751162127173e+02 5.250000000000000222e-01
-8.477780800945924966e+02 2.288726548069922373e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -8.369804264386003751e+02 -8.430531407252916551e+02 1.989999999999999991e+00
-8.430443085918993802e+02 1.785928549620640737e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -8.333740759986860667e+02 -8.394492902853774012e+02 4.050000000000000266e-01
-8.394222003725395780e+02 2.849439578643271798e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -8.287802996777021463e+02 -8.348580139643934217e+02 1.270000000000000018e+00
-8.348476495093550511e+02 3.022970561320369676e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -7.852723462453163847e+02 -7.913525605320077148e+02 9.300000000000000488e-01
-7.913525605320077148e+02 1.169893791408801142e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -7.693886652858958541e+02 -7.754713795725871250e+02 8.000000000000000444e-01
-7.754713794458538132e+02 1.612109367525605919e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -7.608283334520079961e+02 -7.669135477386993216e+02 1.635000000000000009e+00
-7.669133557219046224e+02 4.036025063172025362e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -7.551612579667358887e+02 -7.612489722534271550e+02 9.050000000000000266e-01
-7.612455109657962566e+02 3.794789396025607608e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -7.500311626367646340e+02 -7.561213769234559550e+02 7.449999999999999956e-01
-7.561154431941406528e+02 2.369302074096345745e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -7.471722019920531466e+02 -7.532649162787444084e+02 1.254999999999999893e+00
-7.532087119061192197e+02 1.878561801767763217e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -7.467569063167760532e+02 -7.528521206034673696e+02 1.645000000000000018e+00
-7.523214579110280056e+02 1.948256778095191155e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -7.445874936972469413e+02 -7.506852079839381986e+02 8.900000000000000133e-01
-7.505073054706886069e+02 2.098942395780551529e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -7.423432874733139215e+02 -7.484435017600052333e+02 8.149999999999999467e-01
-7.483239690623754541e+02 2.030738653954515360e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -7.400212238699616591e+02 -7.461239381566530255e+02 9.649999999999999689e-01
-7.460188579197023273e+02 2.712126444673595760e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -7.247695434773170291e+02 -7.308747577640083364e+02 1.235000000000000098e+00
-7.308747574991577949e+02 7.933526282936473883e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -7.219662865646719183e+02 -7.280740008513632802e+02 1.074999999999999956e+00
-7.280150113838211610e+02 7.925591869614639684e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -6.774200207110917518e+02 -6.835302349977830545e+02 1.750000000000000000e+00
-6.835302349977830545e+02 1.220713001775887996e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -6.769979815365534250e+02 -6.831106958232447823e+02 7.349999999999999867e-01
-6.826054760790037790e+02 2.194682741871054610e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -6.591460984257564633e+02 -6.652613127124477614e+02 1.165000000000000036e+00
-6.652613126831033696e+02 9.727219683050250865e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -6.577206442422201462e+02 -6.638383585289114990e+02 1.205000000000000071e+00
-6.636224402087447061e+02 8.881243201542073251e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -6.526295404610432342e+02 -6.587497547477345279e+02 2.849999999999999756e-01
-6.587421310953523061e+02 6.828921003482215646e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -6.525629654363400505e+02 -6.586856797230313987e+02 1.104999999999999982e+00
