weight logl Mphi g si norm
0.000000000000000000e+00 -1.591335712626123041e+03 5.273562818245643991e-01 1.088663230479760896e-05 3.467784227936789865e+00 1.808073879913870030e+01
0.000000000000000000e+00 -1.550043016550961511e+03 4.573986828573155944e-02 8.866291432231120789e-04 3.401872205811745431e+00 1.988677971277857282e+01
0.000000000000000000e+00 -1.546136402453409573e+03 3.220455737800913265e-02 1.065876753654525829e-05 3.438132149712383345e+00 1.834786589627313802e+01
0.000000000000000000e+00 -1.424392762838374438e+03 1.570650892176952695e-01 1.143018372147561017e-02 3.462510070817526930e+00 1.791983902816726726e+01
0.000000000000000000e+00 -1.424293882508231491e+03 1.887221831003885186e-01 3.780012059364911011e-04 3.357803430081570006e+00 1.931803632487065059e+01
0.000000000000000000e+00 -1.403463524586270069e+03 9.036364958928995605e+00 5.578983182150527333e-03 3.431254129432896427e+00 1.611499389702134621e+01
0.000000000000000000e+00 -1.348957512028864357e+03 2.768735150461020478e+00 4.121749047046209123e-05 3.385695716722125326e+00 1.689372661632992845e+01
0.000000000000000000e+00 -1.330248911897989046e+03 7.768966804123164649e-02 4.323180357902827689e-05 3.312634495849457572e+00 1.941132577892671307e+01
0.000000000000000000e+00 -1.292099113417145190e+03 4.411460920004706310e+01 6.317406507422813899e-02 3.361890706371776449e+00 1.682725985263564894e+01
0.000000000000000000e+00 -1.264214822202234018e+03 9.325377304332627126e-02 4.543647807401708394e-05 3.415644870317778636e+00 1.457141417302915976e+01
0.000000000000000000e+00 -1.247026749915544997e+03 3.107802309761844434e-02 7.513419271451721474e-04 3.287153264473950287e+00 1.889952449879981700e+01
0.000000000000000000e+00 -1.241872533668257802e+03 5.116587354626710216e+00 1.350281588226252263e-03 3.352450571008430913e+00 1.633350069444989572e+01
0.000000000000000000e+00 -1.235600272698820163e+03 3.046079061308116565e+01 7.650654538139308944e-03 3.255373290737455960e+00 1.999890905289464271e+01
0.000000000000000000e+00 -1.218053855763223055e+03 2.606749716835218056e+00 2.316766298711562047e-04 3.251237660506818283e+00 1.962808311453649068e+01
0.000000000000000000e+00 -1.191679250861668834e+03 5.869830976978700904e-02 2.661666310212063764e-05 3.265358784912446133e+00 1.875470044138952730e+01
0.000000000000000000e+00 -1.057010736984522509e+03 1.414854853553858316e+00 4.138042933274842342e-05 3.285426029594819219e+00 1.673856916442228027e+01
0.000000000000000000e+00 -1.045183739322708561e+03 3.218966326682733836e+01 1.551231361072702474e-03 3.416583220670815102e+00 1.160699022067040076e+01
0.000000000000000000e+00 -1.044376892183593554e+03 6.210509437560678137e-02 4.498411547466736778e-04 3.355524681876462800e+00 1.327679088313988487e+01
0.000000000000000000e+00 -1.030782628486172598e+03 4.336967992638732561e+00 4.521244654685132279e-03 3.269875683734001726e+00 1.570664290894872828e+01
0.000000000000000000e+00 -1.007731561411131224e+03 1.333141442455919035e-01 1.622895281256443495e-04 3.351450261949996623e+00 1.288927649192802782e+01
0.000000000000000000e+00 -1.004188565985308514e+03 5.319770039140869322e+00 2.459087209975567537e-05 3.366229576332464113e+00 1.242684826895230188e+01
