weight logl Mphi g si norm
0.000000000000000000e+00 -1.591335712626123041e+03 3.533992961312288905e-01 7.378710980771696626e-03 9.785228186245266135e-01 8.989862525862474252e-01
0.000000000000000000e+00 -1.550043016550961511e+03 5.199544695863356214e-02 3.895484004643907650e-01 9.345814705411634726e-01 9.940410375146616628e-01
0.000000000000000000e+00 -1.546136402453409573e+03 8.741737102572533225e-03 5.541398104682904169e-03 9.587547664749220822e-01 9.130455734880599250e-01
0.000000000000000000e+00 -1.424392762838374438e+03 2.040826445085300866e-01 6.116106422047224989e-01 9.750067138783513609e-01 8.905178435877508791e-01
0.000000000000000000e+00 -1.424293882508231491e+03 2.267184750790783854e-01 3.154986370736504453e-01 9.052022867210465229e-01 9.641071749931920953e-01
0.000000000000000000e+00 -1.403463524586270069e+03 7.036496817847912588e-01 5.493110104462526344e-01 9.541694196219308033e-01 7.955259945800708943e-01
0.000000000000000000e+00 -1.348957512028864357e+03 5.578279304213227263e-01 1.230163092401751479e-01 9.237971444814166988e-01 8.365119271752594621e-01
0.000000000000000000e+00 -1.330248911897989046e+03 1.173023657419568488e-01 1.271606708313687273e-01 8.750896638996383814e-01 9.690171462593006879e-01
0.000000000000000000e+00 -1.292099113417145190e+03 8.991116102990348580e-01 7.601077646855193271e-01 9.079271375811843736e-01 8.330136764545077455e-01
0.000000000000000000e+00 -1.264214822202234018e+03 1.398132587762161982e-01 1.314809320920943270e-01 9.437632468785190909e-01 7.142849564752189462e-01
0.000000000000000000e+00 -1.247026749915544997e+03 4.352159558849044707e-03 3.751675248915319338e-01 8.581021763159669691e-01 9.420802367789377074e-01
0.000000000000000000e+00 -1.241872533668257802e+03 6.335327724329667953e-01 4.260848691746326189e-01 9.016337140056206456e-01 8.070263523394681782e-01
0.000000000000000000e+00 -1.235600272698820163e+03 8.534554079144617278e-01 5.767397184069842364e-01 8.369155271583038624e-01 9.999425817312969089e-01
0.000000000000000000e+00 -1.218053855763223055e+03 5.503959178029145249e-01 2.729764454028877907e-01 8.341584403378787815e-01 9.804254270808679950e-01
0.000000000000000000e+00 -1.191679250861668834e+03 8.274606144117402362e-02 8.503072151868651396e-02 8.435725232749641256e-01 9.344579179678698111e-01
0.000000000000000000e+00 -1.057010736984522509e+03 4.750633658553947702e-01 1.233589984543252971e-01 8.569506863965461463e-01 8.283457454959094468e-01
0.000000000000000000e+00 -1.045183739322708561e+03 8.602609961907815572e-01 4.381353152485732982e-01 9.443888137805435123e-01 5.582626431931789757e-01
0.000000000000000000e+00 -1.044376892183593554e+03 8.970106387611753718e-02 3.306118370681977447e-01 9.036831212509752742e-01 6.461468885863097533e-01
0.000000000000000000e+00 -1.030782628486172598e+03 6.131533664585262500e-01 5.310516016636560588e-01 8.465837891560009654e-01 7.740338373130909444e-01
0.000000000000000000e+00 -1.007731561411131224e+03 1.838709252756640655e-01 2.420580994994760982e-01 9.009668412999978226e-01 6.257513943120014410e-01
0.000000000000000000e+00 -1.004188565985308514e+03 6.383335241067673582e-01 7.815478619829607787e-02 9.108197175549761493e-01 6.014130667869632685e-01
0.000000000000000000e+00 -9.877259317616567387e+02 7.560534616522379681e-01 1.237841386560714074e-01 8.494749145278884805e-01 7.346929081212307810e-01
0.000000000000000000e+00 -9.837887147065224553e+02 8.625427765205504471e-01 7.928761350463603419e-01 8.350478389625036746e-01 7.693099414010003967e-01
0.000000000000000000e+00 -9.807359635510042608e+02 6.511746213155861218e-01 2.289087086845247310e-01 8.873259469690718548e-01 6.370580684945793548e-01
0.000000000000000000e+00 -9.619374005229885825e+02 8.824467912818115822e-01 6.498428799107438536e-01 8.056774292517860925e-01 8.315934270502944869e-01
0.000000000000000000e+00 -9.572878731557827905e+02 3.715855075079393943e-01 6.064548065859306503e-01 8.633798984765161943e-01 8.696420536249267474e-01
0.000000000000000000e+00 -9.488819072195317403e+02 3.570305843076826413e-03 8.723895384302715605e-02 7.626598618349574865e-01 9.497546061863049172e-01
0.000000000000000000e+00 -9.254579966481485371e+02 3.614790282668638444e-01 3.108469138512626184e-01 7.951983465863434741e-01 9.050829298116372934e-01
0.000000000000000000e+00 -8.520109559163943231e+02 9.614939842632831413e-01 6.675124371410144919e-01 7.363372222667924349e-01 9.317563952746856781e-01
