Mphi g si norm
4.883323581973008504e-02 2.736404219846774039e-02 2.922631986675550131e+00 1.597864765149335931e+01
6.468387639582487303e+00 5.257613970041126461e-02 2.356441311812781159e+00 7.411058222853744937e+00
6.269485926229169337e+00 5.030117586463819096e-02 2.240618673007248152e+00 7.414529064098377198e+00
4.406342071167473201e-02 2.935923646228832951e-02 3.035050437074083618e+00 1.740739261403578553e+01
5.418047683471185039e+00 5.181717162122241593e-02 2.398492249583136005e+00 8.231494030510805970e+00
6.293972563397167264e+00 6.775486024487270553e-02 2.317162297953170302e+00 8.032709728099886703e+00
6.427037701751967091e+00 6.358039805488180374e-02 2.253068647798958768e+00 7.862210339326040298e+00
6.791518772865329012e+00 6.244350427951790572e-02 2.330545392678130767e+00 7.295519816057745466e+00
1.373443993732635093e-01 1.801789188815772907e-02 2.595026306885910294e+00 8.581892207394682615e+00
5.600730928367702255e+00 6.107942662940766404e-02 2.298290826129770092e+00 7.478143174446307384e+00
5.923866337433989493e+00 6.169277362131297959e-03 2.450788091430581961e+00 7.050445628935332998e+00
6.175662904228500061e+00 4.472477859133361378e-02 2.402412096041575129e+00 8.210976003198414475e+00
6.429915202951469455e-01 2.236701677432012536e-02 2.782290099126757621e+00 8.509298692320868440e+00
1.939640595361009912e-01 2.594741372649876296e-02 2.880987588156144419e+00 1.241897906255502981e+01
2.188787466305068463e+01 4.820700941578120458e-01 2.021242705136630402e+00 9.380270578316403984e+00
4.690287844097247583e-02 2.177385943263915324e-02 2.945006760250683531e+00 8.894884357531079644e+00
5.961892753220558561e+00 4.048598912597090038e-02 2.441099170600204538e+00 7.564866798677458704e+00
1.645487334691662795e+01 3.265945629402958739e-01 2.037107895489178588e+00 7.006991691378797960e+00
8.687810942575602269e-01 1.349841866521096258e-02 2.612602422405339020e+00 7.544562983556355462e+00
1.018074666736288991e+00 2.900272874931542760e-04 2.643040152123328657e+00 6.439994856191489703e+00
5.544923219562518213e+00 4.540389331334105522e-02 2.239853912699531602e+00 8.760807648319786978e+00
6.115010734491439059e+00 6.783974169568916801e-02 2.390801766189941446e+00 7.876015210037564884e+00
5.693592963420050168e+00 7.627278009505999989e-02 2.213516482191949741e+00 8.552931202282625378e+00
6.105237541525333711e+00 3.074930666968381937e-02 2.398633304465455307e+00 7.701433487121404298e+00
5.648765155394220194e+00 4.097343370785628408e-02 2.492529390230344699e+00 7.337934635710292142e+00
1.732314546759356755e-01 2.409653392297866556e-02 2.883035130218269515e+00 1.085905654098507966e+01
6.533926791753812857e+00 7.558080108572678979e-02 2.253459194895521378e+00 8.356646213766195430e+00
4.119975970136972876e+01 7.882333443778195559e-01 2.238715803490137546e+00 9.456465080951467428e+00
5.156879054594371709e-02 2.285214159439334647e-02 2.910855037413202062e+00 1.216138366393060899e+01
6.492639784531006875e+00 9.793813766691482348e-02 2.182678790652843759e+00 7.986745480366643335e+00
6.290334998830394042e+00 9.053534193069713229e-03 2.318705629763567089e+00 9.568267513113397627e+00
6.087245593865287852e+00 9.253972598161631620e-04 2.557879699988863997e+00 6.533252002015959903e+00
7.526153637755730763e+00 1.324100842434396260e-03 2.469300290995268377e+00 6.735784885218595974e+00
5.932399785343413612e+00 4.235775684841272537e-02 2.424113540307568648e+00 8.192402772063800853e+00
5.861092417232686813e+00 4.691326443825424158e-02 2.337900040379389033e+00 8.828016319733787753e+00
6.507580283098117313e+00 7.927993684965599364e-02 2.135961179141558031e+00 7.987029151542091476e+00
3.260789558844576419e+01 4.652136631576714865e-01 2.310468016332063446e+00 7.443972889953514915e+00
6.273559103084920707e+00 4.245599743668895809e-02 2.385063132978564759e+00 7.484694647407547308e+00
4.605805919858861619e-02 2.012384613009688197e-02 2.737289026719429863e+00 1.017261981185547981e+01
5.167681266854284861e-02 1.866879688494173239e-02 2.694935982118342288e+00 8.565057227512372862e+00
6.532281531476878733e+00 3.486984053240970577e-02 2.412784761925058419e+00 7.642051263461683064e+00
6.398316162787333283e+00 8.418476016412471119e-02 2.261840482209742209e+00 7.009752557270390483e+00
4.248174526503533527e-02 2.339760206972078121e-02 2.924074013665962646e+00 1.282434966073304494e+01
5.283899291847021118e+00 9.044148380555413688e-03 2.504022981253733349e+00 6.709318983185395879e+00
2.968068434271395328e-01 1.660664121861964507e-02 2.621331176319609213e+00 8.638295465878069734e+00
6.203064862413135927e+00 8.448178697400965734e-03 2.526073127237539850e+00 6.154382975632389119e+00
5.415697221500759717e+00 4.538054553174375449e-02 2.269976243668457183e+00 8.693409141191715150e+00
4.244825539545470094e-02 2.571493468396266954e-02 2.975673068622672446e+00 1.446745293529505183e+01
6.696418310114478079e-01 6.048659798740164571e-04 2.380285260223692134e+00 7.430415990197756670e+00
5.858860251140479924e+00 3.274373564911681883e-02 2.371254693087086363e+00 7.985721740900233456e+00
1.692461403707495315e-01 1.578760306716225914e-02 2.615907167183187276e+00 7.899210917712922608e+00
1.088865698475807164e-01 2.391709805318455173e-02 2.886860381610501403e+00 1.272778273280873762e+01
6.035443849275099026e+00 7.454626018933629972e-02 2.202245938284706384e+00 8.954973881682136039e+00
6.353214671614634312e+01 8.542209198504888690e-01 2.339433003514190812e+00 8.832015799529767008e+00
6.070478077037537723e+00 8.695624177405561483e-02 2.190140862983242176e+00 8.746525346345974228e+00
3.658021474199313339e-02 2.498173130043866014e-02 2.912502721892135327e+00 1.382899430120917295e+01
5.697989124400617555e+00 3.101412086516298905e-02 2.601985994103517275e+00 5.753846969828199320e+00
3.437220272656942299e-01 2.047216932489054689e-02 2.548643251484866923e+00 9.352293206439377116e+00
2.643423520454076225e+01 4.716512041133852362e-01 2.265052305179651171e+00 8.916669934997965896e+00
6.654320059909655249e+00 1.010221076530318507e-01 2.083479118963347254e+00 7.359715733482222078e+00
6.670838320048945391e+00 4.751556783900161285e-02 2.403884641429151703e+00 8.050281230690924161e+00
5.999697927804660935e+00 5.441005861501178181e-02 2.429509116364239052e+00 7.025282012670589715e+00
5.387213366023885897e+00 3.972650157491451617e-02 2.407913760546998461e+00 7.367035274540310930e+00
3.059360731786275184e-02 1.781179260244735926e-02 2.776031318330967945e+00 9.195390801306237094e+00
5.123887751551031045e+01 8.556271512774716870e-01 2.146044792195477946e+00 6.696202410280807982e+00
1.863443565096652155e-01 1.728461228158038182e-02 2.694245867525348892e+00 8.746934209235877944e+00
5.693278972200550569e+00 5.665088450114563051e-02 2.230468029155166398e+00 7.221092526383836585e+00
6.021180079115739048e+00 5.808379302105686620e-02 2.230351504962883258e+00 7.169150887997195021e+00
2.900921716635333425e+01 5.322521416119407878e-01 2.166685444575739972e+00 8.461709290416006723e+00
3.915648694870419178e+01 6.014606493280038046e-01 2.194779299318049492e+00 7.800755114452173622e+00
6.218884762132115718e+00 3.954793468723290933e-03 2.438249646988452923e+00 7.573688729065346514e+00
6.568800695743759022e+00 7.334401099663082069e-02 2.342512998034215865e+00 8.511336025834081553e+00
2.022895039430688513e+01 4.200637459311004074e-01 2.077406953162868497e+00 9.514943112125440194e+00
6.185512301692671855e+00 4.038468218523622727e-03 2.403895124150168705e+00 6.656480473805628684e+00
7.197341378210277973e+00 5.406587897296775969e-02 2.411065143423106516e+00 7.640670884181893996e+00
5.742477003409899083e+00 5.251008924652244420e-02 2.359303247666727277e+00 8.997879983036112250e+00
5.848924956215037163e+00 8.083939989128062498e-03 2.508868680127252837e+00 6.925007531408311934e+00
7.519149449005535502e-01 2.069148043804145201e-02 2.713749281259981050e+00 8.052852402679315347e+00
5.714589950722441358e+00 5.120742437154865434e-02 2.512586629306919228e+00 6.953905847577019017e+00
5.293399005227334442e+01 9.235436273138973862e-01 2.119346314532946973e+00 7.930973182939896837e+00
5.652852751137516840e+00 6.074267630703333171e-02 2.339937240180217870e+00 7.070424141714034327e+00
3.308636027847004085e-02 1.668129834966318795e-02 2.704283046346553476e+00 7.877600436116789062e+00
6.183606450493080331e+00 5.627579576283912172e-02 2.352568309391770196e+00 7.531717099222044354e+00
1.873097380361185671e+01 3.319834233035420246e-01 2.104232173427270869e+00 7.251273618881439731e+00
5.630206897188656079e+00 5.135420185378854196e-02 2.369105525790521583e+00 6.776134515494669053e+00
4.513471585581284984e+01 8.866894424944959940e-01 2.169296881777204700e+00 8.380701959573615412e+00
4.785344526186922631e-01 2.119504790724707852e-03 2.606183155820298580e+00 6.498855879981305428e+00
6.856020449009674778e+00 5.128771793864379119e-02 2.369482967430930120e+00 7.720078922103938979e+00
3.236013039453566192e-02 1.977630301331966683e-02 2.945895533629540708e+00 8.455099187297708596e+00
6.507780127500402578e+00 9.242633637156576210e-02 2.084402243873117122e+00 7.676776165241433247e+00
6.269823480222602718e+00 4.791533180366834566e-02 2.319828240996296920e+00 6.962878109524314851e+00
5.726680109925387896e+00 3.353146380969589807e-02 2.472700585785509997e+00 6.957331775043804178e+00
7.411351100571198502e-01 3.931071201845588378e-03 2.576810591926990135e+00 6.220489783775671633e+00
5.421792337564669495e+00 1.984950524641470541e-03 2.452708795062779501e+00 6.772773922130328472e+00
6.148356593897788436e+00 6.106241481482543865e-02 2.253635220487141932e+00 8.751155030895407805e+00
6.084794152198378825e+00 5.300566980964899894e-02 2.351619292989622689e+00 8.471176534082685450e+00
5.638147190345178750e+00 1.001595422173961027e-03 2.440296976619310332e+00 7.242404044229319382e+00
6.277832705674200930e+00 6.138736310693510001e-02 2.356989941727752669e+00 7.903379638388033257e+00
3.658021474199313339e-02 2.498173130043866014e-02 2.912502721892135327e+00 1.382899430120917295e+01
4.636767736016145225e-02 2.303821028173278287e-02 2.791739967092617292e+00 1.130138530093958593e+01
6.002537537209154950e-01 3.725800465156085817e-02 3.105761763425598510e+00 1.825008372025906311e+01
5.152848867086255780e+00 8.302593830530217989e-03 2.433129585590799060e+00 7.233205478634334717e+00
6.579255843134236059e+00 7.080449711069333740e-02 2.269322873811793428e+00 7.228156902096525727e+00
7.058448006802965358e-01 1.849440018770792324e-02 2.627842639485932441e+00 8.156213009519412083e+00
6.168155292488727959e+00 6.179228922296230164e-02 2.278461732817691043e+00 8.095587540074669519e+00
3.146719632612039064e+01 5.643548576741602707e-01 2.176218257189383110e+00 8.128035029343768869e+00
6.102179923351420676e+00 4.380446219747591297e-03 2.620398113825311626e+00 6.089744512333146176e+00
1.215707375211458330e-01 2.772038987362097917e-02 3.007148675715043407e+00 1.450842607698186448e+01
7.038869132957519703e+00 6.849448666459660717e-02 2.259797394908143353e+00 7.422445621898569712e+00
3.253077807848979575e+01 6.352791861425870490e-01 2.090291845681486738e+00 8.138159538810306515e+00
5.386161547224495472e+00 7.250333868879825158e-04 2.412057580782404287e+00 7.259239586306651226e+00
5.626262477995405131e-01 3.809224320731717517e-02 2.987487731214632625e+00 1.909456281288134960e+01
6.727014827819722598e+00 7.095552624531835384e-02 2.337978864698519565e+00 7.553086450466880208e+00
4.403829252808677808e+01 6.733318510873362861e-01 2.218922014778559326e+00 7.833028338258716694e+00
6.545441194840853072e+00 4.714531149465524262e-02 2.523022434936845748e+00 6.445500068152819395e+00
3.264248900448304624e+01 5.516236857246820113e-01 2.260636192012525303e+00 8.605465203727929335e+00
3.158620247418227578e+01 6.888056184221003075e-01 2.053490831128782723e+00 9.474005241215269990e+00
