logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.634302106739475448e+03 -1.640294821026166801e+03 2.849999999999999756e-01
-1.640294821026166801e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.625532462403410591e+03 -1.631527676690101998e+03 8.149999999999999467e-01
-1.631527520934466111e+03 4.036773396763370769e+00 -5.000000000000000104e-03 4.000000000000000000e+02 -1.541359274749359656e+03 -1.547356989036050891e+03 6.300000000000000044e-01
-1.547356989036050891e+03 3.664137491928915580e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.526340773248054120e+03 -1.532340987534745409e+03 3.250000000000000111e-01
-1.532340987233699025e+03 4.238973228775812885e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.517091708097722403e+03 -1.523094422384413747e+03 9.300000000000000488e-01
-1.523094325946686240e+03 4.005405943884397146e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.510523041534990170e+03 -1.516528255821681569e+03 4.349999999999999978e-01
-1.516526849493884583e+03 3.136598808527833526e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.493679415279632622e+03 -1.499687129566323847e+03 2.750000000000000222e-01
-1.499687129517727726e+03 1.061986485815448233e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.403130198737665978e+03 -1.409140413024357258e+03 1.915000000000000036e+00
-1.409140413024357258e+03 4.516565414569124925e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.385379579495995586e+03 -1.391392293782686920e+03 1.504999999999999893e+00
-1.391392293763094358e+03 4.048777147107631436e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.340969829321148381e+03 -1.346985043607839771e+03 1.584999999999999964e+00
-1.346985043607839771e+03 6.040726627339593335e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.306192983643429216e+03 -1.312210697930120432e+03 1.985000000000000098e+00
-1.312210697930120432e+03 5.127435659510341281e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.276510974205381672e+03 -1.282531188492072943e+03 3.649999999999999911e-01
-1.282531188492072715e+03 2.471273107000852676e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.178334216072758409e+03 -1.184356930359449734e+03 1.419999999999999929e+00
-1.184356930359449734e+03 5.166057201090804796e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.174725322008377134e+03 -1.180750536295068514e+03 5.400000000000000355e-01
-1.180723748736780180e+03 3.733716847179147180e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.158059743212357716e+03 -1.164087457499048924e+03 1.620000000000000107e+00
-1.164087457439489526e+03 3.225363649010944300e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.135273985300952063e+03 -1.141304199587643325e+03 1.064999999999999947e+00
-1.141304199587515768e+03 3.850255542656117314e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.124158400219874466e+03 -1.130191114506565782e+03 1.969999999999999973e+00
-1.130191099590811064e+03 1.410850451688149043e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.091155746416033026e+03 -1.097190960702724396e+03 1.784999999999999920e+00
-1.097190960702724396e+03 1.856850395175036539e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.083566167381502282e+03 -1.089603881668193708e+03 4.000000000000000222e-01
-1.089603374836949115e+03 2.045369613606754911e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.069953097271575416e+03 -1.075993311558266669e+03 1.590000000000000080e+00
-1.075993310330193253e+03 6.049866896428761187e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.063191308642589320e+03 -1.069234022929280627e+03 1.915000000000000036e+00
-1.069232863546091266e+03 7.814846506766410350e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.046355215616166333e+03 -1.052400429902857695e+03 3.699999999999999956e-01
-1.052400429853906189e+03 1.106039260180271810e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.013727517750356469e+03 -1.019775232037047772e+03 9.849999999999999867e-01
-1.019775232037047772e+03 9.236566846837726885e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -9.908805057659765225e+02 -9.969307200526678798e+02 1.250000000000000000e+00
-9.969307200525480539e+02 1.719658448277470697e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -9.849843374096948310e+02 -9.910370516963861292e+02 2.300000000000000100e-01
-9.910342986444780990e+02 8.308523691380786502e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -9.713018882237131493e+02 -9.773571025104045020e+02 3.099999999999999978e-01
-9.773571013620686472e+02 7.651916125053658924e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -9.687396221883623184e+02 -9.747973364750536120e+02 1.814999999999999947e+00
-9.747228572908741171e+02 6.949224885922388850e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -9.393228381735561925e+02 -9.453830524602475407e+02 6.400000000000000133e-01
-9.453830524602473133e+02 1.341751579829685426e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -9.336926733794891788e+02 -9.397553876661804679e+02 1.004999999999999893e+00
-9.397517971546068338e+02 9.842620606295504615e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -9.276045235458597062e+02 -9.336697378325510499e+02 1.895000000000000018e+00
-9.336674569662964132e+02 3.875274728718598904e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -9.072660779881551889e+02 -9.133337922748464734e+02 5.600000000000000533e-01
-9.133337922733701362e+02 1.200316818333100954e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -9.013140441868957851e+02 -9.073842584735871242e+02 1.985000000000000098e+00
-9.073816548104166486e+02 9.503945646232173416e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -8.943642972183089341e+02 -9.004370115050002141e+02 7.550000000000000044e-01
-9.004360481850942506e+02 8.946122815562763009e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -8.708413080273180640e+02 -8.769165223140093985e+02 5.749999999999999556e-01
-8.769165223139483487e+02 1.426635144565167757e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -8.673675744672034398e+02 -8.734452887538947152e+02 1.909999999999999920e+00
-8.734146832476000100e+02 1.258531771282487810e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -8.617846513533303323e+02 -8.678648656400216623e+02 1.794999999999999929e+00
-8.678609850130529821e+02 8.944655199111659627e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -8.535725760002028437e+02 -8.596552902868941146e+02 1.435000000000000053e+00
-8.596550172302393094e+02 4.679098998353424577e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -8.512447907507457785e+02 -8.573300050374371040e+02 9.449999999999999512e-01
-8.572367130274915326e+02 1.130976173757624048e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -8.276317771922762176e+02 -8.337194914789674840e+02 1.800000000000000044e+00
-8.337194914789063205e+02 9.024169648503095331e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -8.085339031773193028e+02 -8.146241174640106237e+02 1.950000000000000067e-01
