weight logl Mphi g si norm
0.000000000000000000e+00 -1.634302106739475448e+03 3.249896823259640133e+00 9.846187828668998172e-04 3.463415604496189459e+00 1.884372809757343958e+01
0.000000000000000000e+00 -1.625532462403410591e+03 1.748553007044738872e-01 4.195865198165199539e-03 3.466842365427305950e+00 1.872581169933078016e+01
0.000000000000000000e+00 -1.541359274749359656e+03 1.267846985934248494e+01 1.577294550950256364e-04 3.444043359110998903e+00 1.803310139391415490e+01
0.000000000000000000e+00 -1.526340773248054120e+03 2.717634012246959996e-01 6.214609521987055421e-03 3.449618222003630663e+00 1.774204751825400805e+01
0.000000000000000000e+00 -1.517091708097722403e+03 7.326048987528193379e+01 2.788145844694838935e-03 3.484488706364414323e+00 1.615618699957923354e+01
0.000000000000000000e+00 -1.510523041534990170e+03 1.438734728585001066e-01 3.411744214146790011e-04 3.469772937818301539e+00 1.656280987960707307e+01
0.000000000000000000e+00 -1.493679415279632622e+03 8.983710862337621061e-02 5.160183782820211909e-04 3.448169529410256118e+00 1.705700791164995422e+01
0.000000000000000000e+00 -1.403130198737665978e+03 2.694957339897280235e+01 6.272689525162275124e-04 3.332718286087130721e+00 1.996130284050179782e+01
0.000000000000000000e+00 -1.385379579495995586e+03 1.695952633405143350e-01 3.247093763377730761e-04 3.394470548298947676e+00 1.719814629914684545e+01
0.000000000000000000e+00 -1.340969829321148381e+03 3.604239100393854756e+00 1.349580793162531006e-04 3.395325811583042253e+00 1.638876791350535456e+01
0.000000000000000000e+00 -1.306192983643429216e+03 8.855696338961058700e+01 9.718808055286402847e-03 3.407679715366814577e+00 1.545920914059621865e+01
0.000000000000000000e+00 -1.276510974205381672e+03 4.077310705300127847e-01 1.210181594047548436e-04 3.356490439565260608e+00 1.676387002257660441e+01
0.000000000000000000e+00 -1.178334216072758409e+03 1.335912162919587809e+00 2.503639836010526643e-03 3.476571302248938178e+00 1.831343706406087080e+01
0.000000000000000000e+00 -1.174725322008377134e+03 2.124787654456401143e+01 8.574089126018542622e-04 3.233098055833906415e+00 1.976185374697454833e+01
0.000000000000000000e+00 -1.158059743212357716e+03 6.727764442877767759e-02 6.806962174070884828e-04 3.253105390949199371e+00 1.862491699526074029e+01
0.000000000000000000e+00 -1.135273985300952063e+03 5.194219497625495841e+00 2.215338342566777860e-04 3.274773701561070727e+00 1.737489222172461822e+01
0.000000000000000000e+00 -1.124158400219874466e+03 2.049909933027662945e-01 7.043176086196210710e-03 3.342407951295305324e+00 1.515446474073526417e+01
0.000000000000000000e+00 -1.091155746416033026e+03 1.121296363624507642e+01 3.220095446086110313e-02 3.277392828837701000e+00 1.648227495845627644e+01
