weight logl Mphi g si norm
0.000000000000000000e+00 -1.634302106739475448e+03 5.775811391051546284e-01 2.483170290600889007e-01 9.756104029974597136e-01 9.391435840828126214e-01
0.000000000000000000e+00 -1.625532462403410591e+03 2.173102178732791989e-01 4.057053817587511491e-01 9.778949102848707442e-01 9.329374578595147627e-01
0.000000000000000000e+00 -1.541359274749359656e+03 7.453976641470655418e-01 4.947820074301301219e-02 9.626955727406659724e-01 8.964790207323238835e-01
0.000000000000000000e+00 -1.526340773248054120e+03 2.716726245043002974e-01 4.483534615318720551e-01 9.664121480024205901e-01 8.811603956975793128e-01
0.000000000000000000e+00 -1.517091708097722403e+03 9.616421139047102162e-01 3.613288718659571908e-01 9.896591375762762155e-01 7.976940526094333794e-01
0.000000000000000000e+00 -1.510523041534990170e+03 1.932679269891222074e-01 1.332441159295068012e-01 9.798486252122009521e-01 8.190952568214250329e-01
0.000000000000000000e+00 -1.493679415279632622e+03 1.352117247229740471e-01 1.781662923856461855e-01 9.654463529401706712e-01 8.451056795605239591e-01
0.000000000000000000e+00 -1.403130198737665978e+03 8.383571657427522084e-01 1.993634480263024589e-01 8.884788573914206289e-01 9.979633073948314115e-01
0.000000000000000000e+00 -1.385379579495995586e+03 2.135448076043546806e-01 1.278737073836035965e-01 9.296470321992985619e-01 8.525340157445707723e-01
0.000000000000000000e+00 -1.340969829321148381e+03 5.903388931121743566e-01 3.254972221838448032e-02 9.302172077220280944e-01 8.099351533423870819e-01
0.000000000000000000e+00 -1.306192983643429216e+03 9.850187055504424638e-01 4.969032512430409110e-01 9.384531435778762365e-01 7.610110073998009872e-01
0.000000000000000000e+00 -1.276510974205381672e+03 3.216836668779460284e-01 2.071263583849825007e-02 9.043269597101737389e-01 8.296773696092949457e-01
0.000000000000000000e+00 -1.178334216072758409e+03 4.679856357324106986e-01 3.496429632748276894e-01 9.843808681659587112e-01 9.112335296874143342e-01
0.000000000000000000e+00 -1.174725322008377134e+03 8.090526202286481006e-01 2.332969984015631493e-01 8.220653705559376467e-01 9.874659866828708887e-01
0.000000000000000000e+00 -1.158059743212357716e+03 9.956332530285982862e-02 2.082383343149540877e-01 8.354035939661329513e-01 9.276272102768811090e-01
0.000000000000000000e+00 -1.135273985300952063e+03 6.353891817597621117e-01 8.636001605831356009e-02 8.498491343740470771e-01 8.618364327223483334e-01
0.000000000000000000e+00 -1.124158400219874466e+03 2.369123621583352213e-01 4.619421365772604648e-01 8.949386341968701419e-01 7.449718284597507401e-01
0.000000000000000000e+00 -1.091155746416033026e+03 7.302548129027143231e-01 6.269671861766115128e-01 8.515952192251340369e-01 8.148565767608566546e-01
0.000000000000000000e+00 -1.083566167381502282e+03 9.655592828818739815e-01 2.720518849939423944e-01 9.401999921613564126e-01 5.924501097883730916e-01
0.000000000000000000e+00 -1.069953097271575416e+03 8.701671787821628756e-01 4.006408674217800669e-01 8.809241075667497700e-01 7.207932868995902131e-01
0.000000000000000000e+00 -1.063191308642589320e+03 2.023989907094877472e-01 4.127886075312909853e-01 8.532537838915169592e-01 7.917611588898482156e-01
0.000000000000000000e+00 -1.046355215616166333e+03 5.351093692739189445e-01 2.333468626970095494e-01 7.760610798122061782e-01 9.966443907099699073e-01
0.000000000000000000e+00 -1.013727517750356469e+03 5.119193417529476209e-01 2.174061187415640140e-01 8.646051129978185035e-01 7.649033817055479467e-01
0.000000000000000000e+00 -9.908805057659765225e+02 8.806407586071918203e-01 8.676887847854896085e-01 8.804365512295529994e-01 6.627311332381912168e-01
0.000000000000000000e+00 -9.849843374096948310e+02 4.261837844801559250e-01 5.063622545339148129e-01 9.952854890531864784e-01 6.664097848058149198e-01
0.000000000000000000e+00 -9.713018882237131493e+02 1.038049803679649274e-01 4.164766755010383958e-01 9.160807692161898608e-01 5.719155730724272413e-01
0.000000000000000000e+00 -9.687396221883623184e+02 6.930674795087832241e-02 2.398055556327677307e-01 9.761343345588342491e-01 4.526040805319998528e-01
0.000000000000000000e+00 -9.393228381735561925e+02 3.432165665943500699e-01 2.275609383235386307e-01 8.014523743148928014e-01 8.571683063078374687e-01
0.000000000000000000e+00 -9.336926733794891788e+02 5.161645404672716708e-01 4.911447134890633004e-01 8.375571111654338541e-01 7.529842547646551365e-01
0.000000000000000000e+00 -9.276045235458597062e+02 6.738845632877992209e-01 1.044185393690495456e-01 9.637029182004178685e-01 4.505026235669969958e-01
0.000000000000000000e+00 -9.072660779881551889e+02 3.037600392323769327e-02 1.251430457365383386e-01 7.952580414301466671e-01 8.107517634278479379e-01
0.000000000000000000e+00 -9.013140441868957851e+02 1.432577079242537410e-01 1.382966664470040019e-01 8.933865825011894080e-01 5.673629498405149407e-01
0.000000000000000000e+00 -8.943642972183089341e+02 9.174980088963645697e-01 4.537425187755087519e-01 8.510863599875870822e-01 6.559722510674640406e-01
0.000000000000000000e+00 -8.708413080273180640e+02 7.058744848860123433e-01 2.145252076363989291e-01 7.455210313588124249e-01 9.218584997006283865e-01
0.000000000000000000e+00 -8.673675744672034398e+02 1.954928804395407171e-01 3.775221802019825823e-01 8.529471685169797146e-01 6.317420015796273436e-01
0.000000000000000000e+00 -8.617846513533303323e+02 5.565994054940993641e-01 4.065810130874288886e-01 9.630720839066091443e-01 4.013912270853046138e-01
0.000000000000000000e+00 -8.535725760002028437e+02 9.860324409895835363e-01 3.229193118831730214e-01 9.519605962178872005e-01 4.286575388185782653e-01
0.000000000000000000e+00 -8.512447907507457785e+02 3.423268200032116848e-01 1.151790032722910251e-02 7.500328661652765350e-01 9.216371179144713377e-01
0.000000000000000000e+00 -8.276317771922762176e+02 4.907590093564773159e-01 1.883113422171691642e-01 8.023405073953060462e-01 9.007533316396348910e-01
0.000000000000000000e+00 -8.085339031773193028e+02 5.746798739951044510e-01 2.465545256953985964e-01 7.837645283631685666e-01 7.391675824919576865e-01
0.000000000000000000e+00 -8.004349137630659925e+02 8.637438407023008136e-01 2.530245220874076661e-01 9.113092261645684422e-01 4.671792997768435818e-01
0.000000000000000000e+00 -7.716848262261489708e+02 6.849649706589596709e-01 5.956744413435802743e-01 8.010125016695893718e-01 6.753929815760455480e-01
0.000000000000000000e+00 -7.660547822785381413e+02 7.227936723201668912e-01 4.424108778388372576e-01 8.677360893098614580e-01 5.244975297227892908e-01
0.000000000000000000e+00 -7.560335038617163264e+02 4.894753256937484087e-01 2.895700669177329045e-01 7.498464809088709604e-01 9.853893133258030401e-01
3.952525166729972353e-323 -7.519342373534625494e+02 9.041119310210957716e-01 9.880942797590823723e-01 8.694509604433058314e-01 5.963939796910264768e-01
7.679262333310495036e-319 -7.420488611336280655e+02 7.523151677484644084e-01 2.407370859790545214e-01 7.612586397572472796e-01 7.495497808645502635e-01
1.930447876026127385e-318 -7.411245510029390289e+02 4.125034015975942436e-01 4.148903886625905368e-01 8.234401447206649571e-01 7.689205528002297507e-01
1.399516039823498706e-317 -7.391410904114734421e+02 1.167727336876410726e-01 2.244730085268293873e-01 7.426160420547144314e-01 7.977191017655100858e-01
1.088237818778247310e-310 -7.232720616858927087e+02 6.330644479647876688e-01 3.814063376469929434e-01 8.082898205547417447e-01 6.180569629305182611e-01
2.002265106027563696e-308 -7.180546721151690690e+02 1.354599276056844825e-01 1.194339390088631214e-01 7.935445921734860519e-01 6.490361672295090756e-01
4.942823454075227763e-295 -6.872149082816301870e+02 7.970624120905784871e-01 2.393686012903440963e-01 6.939863288335559321e-01 8.830294544054184680e-01
4.329550707233428078e-290 -6.758319557601286078e+02 4.136470948266056658e-01 5.001894671524031999e-02 9.755367885521307736e-01 3.843593307304821183e-01
1.721140095480971013e-281 -6.560286667795994617e+02 8.184927038541467414e-01 4.107387519804491793e-01 6.888890105157929877e-01 8.632550431462291396e-01
